,Date,NAV
1,2019-05-30,44.04
2,2019-05-29,44.66
3,2019-05-28,44.42
4,2019-05-24,45.12
5,2019-05-23,44.63
6,2019-05-22,45.47
7,2019-05-21,45.81
8,2019-05-20,45.50
9,2019-05-17,45.24
10,2019-05-16,45.47
11,2019-05-15,44.92
12,2019-05-14,45.51
13,2019-05-13,44.99
14,2019-05-10,46.71
15,2019-05-09,46.54
16,2019-05-08,46.56
17,2019-05-07,46.95
18,2019-05-06,47.85
19,2019-05-03,48.03
20,2019-05-02,47.51
21,2019-05-01,47.12
22,2019-04-30,47.63
23,2019-04-29,47.76
24,2019-04-26,47.19
25,2019-04-25,46.74
26,2019-04-24,46.77
27,2019-04-23,46.82
28,2019-04-22,46.09
29,2019-04-18,46.21
30,2019-04-17,46.58
31,2019-04-16,46.47
32,2019-04-15,45.70
33,2019-04-12,46.31
34,2019-04-11,45.39
35,2019-04-10,45.17
36,2019-04-09,44.85
37,2019-04-08,45.52
38,2019-04-05,45.41
39,2019-04-04,45.37
40,2019-04-03,44.92
41,2019-04-02,44.82
42,2019-04-01,44.71
43,2019-03-29,43.45
44,2019-03-28,43.49
45,2019-03-27,42.90
46,2019-03-26,42.96
47,2019-03-25,42.15
48,2019-03-22,42.16
49,2019-03-21,43.89
50,2019-03-20,44.73
51,2019-03-19,46.31
52,2019-03-18,47.28
53,2019-03-15,46.64
54,2019-03-14,46.64
55,2019-03-13,46.47
56,2019-03-12,46.08
57,2019-03-11,46.18
58,2019-03-08,45.82
59,2019-03-07,45.71
60,2019-03-06,46.40
61,2019-03-05,47.23
62,2019-03-04,47.28
63,2019-03-01,47.41
64,2019-02-28,47.21
65,2019-02-27,47.30
66,2019-02-26,46.79
67,2019-02-25,47.18
68,2019-02-22,47.28
69,2019-02-21,47.24
70,2019-02-20,47.57
71,2019-02-19,47.06
72,2019-02-15,46.68
73,2019-02-14,45.73
74,2019-02-13,46.18
75,2019-02-12,46.27
76,2019-02-11,45.76
77,2019-02-08,45.46
78,2019-02-07,45.85
79,2019-02-06,45.11
80,2019-02-05,45.12
81,2019-02-04,45.35
82,2019-02-01,44.97
83,2019-01-31,44.67
84,2019-01-30,45.08
85,2019-01-29,45.32
86,2019-01-28,45.51
87,2019-01-25,45.35
88,2019-01-24,44.94
89,2019-01-23,44.82
90,2019-01-22,44.76
91,2019-01-18,44.96
92,2019-01-17,44.08
93,2019-01-16,43.65
94,2019-01-15,42.65
95,2019-01-14,42.34
96,2019-01-11,42.07
97,2019-01-10,41.94
98,2019-01-09,42.12
99,2019-01-08,41.81
100,2019-01-07,41.53
101,2019-01-04,41.31
102,2019-01-03,40.14
103,2019-01-02,40.39
104,2018-12-31,39.66
105,2018-12-28,39.35
106,2018-12-27,39.20
107,2018-12-26,39.19
108,2018-12-24,37.46
109,2018-12-21,38.20
110,2018-12-20,38.81
111,2018-12-19,38.97
112,2018-12-18,39.94
113,2018-12-17,40.56
114,2018-12-14,40.89
115,2018-12-13,41.50
116,2018-12-12,42.59
117,2018-12-11,42.25
118,2018-12-10,42.75
119,2018-12-07,43.70
120,2018-12-06,44.37
121,2018-12-04,44.72
122,2018-12-03,47.00
123,2018-11-30,47.04
124,2018-11-29,46.47
125,2018-11-28,46.60
126,2018-11-27,46.22
127,2018-11-26,46.54
128,2018-11-23,45.68
129,2018-11-21,45.79
130,2018-11-20,45.78
131,2018-11-19,46.61
132,2018-11-16,46.67
133,2018-11-15,46.72
134,2018-11-14,45.98
135,2018-11-13,46.64
136,2018-11-12,46.24
137,2018-11-09,46.75
138,2018-11-08,46.82
139,2018-11-07,46.56
140,2018-11-06,46.40
141,2018-11-05,46.06
142,2018-11-02,45.81
143,2018-11-01,45.73
144,2018-10-31,45.43
145,2018-10-30,44.93
146,2018-10-29,44.33
147,2018-10-26,43.54
148,2018-10-25,43.89
149,2018-10-24,42.77
150,2018-10-23,44.29
151,2018-10-22,44.24
152,2018-10-19,45.58
153,2018-10-18,45.69
154,2018-10-17,46.47
155,2018-10-16,45.84
156,2018-10-15,45.68
157,2018-10-12,45.71
158,2018-10-11,46.80
159,2018-10-10,48.30
160,2018-10-09,49.07
161,2018-10-08,49.30
162,2018-10-05,48.84
163,2018-10-04,49.22
164,2018-10-03,49.00
165,2018-10-02,47.97
166,2018-10-01,48.12
167,2018-09-28,48.36
168,2018-09-27,48.56
169,2018-09-26,49.08
170,2018-09-25,49.93
171,2018-09-24,50.07
172,2018-09-21,50.79
173,2018-09-20,50.96
174,2018-09-19,50.33
175,2018-09-18,49.61
176,2018-09-17,49.72
177,2018-09-14,50.01
178,2018-09-13,49.69
179,2018-09-12,50.24
180,2018-09-11,51.20
181,2018-09-10,51.05
182,2018-09-07,51.16
183,2018-09-06,51.20
184,2018-09-05,51.43
185,2018-09-04,51.29
186,2018-08-31,51.02
187,2018-08-30,50.80
188,2018-08-29,51.21
189,2018-08-28,51.31
190,2018-08-27,51.42
191,2018-08-24,51.12
192,2018-08-23,51.20
193,2018-08-22,51.56
194,2018-08-21,51.74
195,2018-08-20,51.35
196,2018-08-17,51.18
197,2018-08-16,51.05
198,2018-08-15,50.21
199,2018-08-14,50.74
200,2018-08-13,49.97
201,2018-08-10,50.37
202,2018-08-09,50.70
203,2018-08-08,50.94
204,2018-08-07,50.62
205,2018-08-06,50.43
206,2018-08-03,50.40
207,2018-08-02,50.50
208,2018-08-01,50.21
209,2018-07-31,49.89
210,2018-07-30,50.15
211,2018-07-27,50.16
212,2018-07-26,49.96
213,2018-07-25,49.68
214,2018-07-24,49.99
215,2018-07-23,50.38
216,2018-07-20,49.64
217,2018-07-19,49.44
218,2018-07-18,49.80
219,2018-07-17,49.28
220,2018-07-16,49.14
221,2018-07-13,48.49
222,2018-07-12,48.95
223,2018-07-11,49.26
224,2018-07-10,49.52
225,2018-07-09,49.94
226,2018-07-06,48.79
227,2018-07-05,48.46
228,2018-07-03,48.33
229,2018-07-02,48.70
230,2018-06-29,48.26
231,2018-06-28,48.45
232,2018-06-27,48.37
233,2018-06-26,49.14
234,2018-06-25,49.52
235,2018-06-22,49.92
236,2018-06-21,50.46
237,2018-06-20,50.51
238,2018-06-19,50.58
239,2018-06-18,50.37
240,2018-06-15,50.43
241,2018-06-14,50.36
242,2018-06-13,50.84
243,2018-06-12,51.03
244,2018-06-11,51.19
245,2018-06-08,51.73
246,2018-06-07,51.55
247,2018-06-06,51.58
248,2018-06-05,50.64
249,2018-06-04,50.76
250,2018-06-01,50.35
251,2018-05-31,49.69
252,2018-05-30,50.02
253,2018-05-29,49.09
254,2018-05-25,50.83
255,2018-05-24,51.06
256,2018-05-23,51.19
257,2018-05-22,51.58
258,2018-05-21,51.16
259,2018-05-18,50.94
260,2018-05-17,51.49
261,2018-05-16,51.32
262,2018-05-15,51.34
263,2018-05-14,51.05
264,2018-05-11,51.24
265,2018-05-10,51.17
266,2018-05-09,50.91
267,2018-05-08,50.23
268,2018-05-07,49.87
269,2018-05-04,49.70
270,2018-05-03,49.20
271,2018-05-02,49.47
272,2018-05-01,49.86
273,2018-04-30,49.61
274,2018-04-27,50.39
275,2018-04-26,49.77
276,2018-04-25,49.87
277,2018-04-24,49.83
278,2018-04-23,49.59
279,2018-04-20,49.19
280,2018-04-19,48.93
281,2018-04-18,48.00
282,2018-04-17,48.26
283,2018-04-16,49.06
284,2018-04-13,48.96
285,2018-04-12,49.90
286,2018-04-11,49.00
287,2018-04-10,49.41
288,2018-04-09,48.59
289,2018-04-06,48.38
290,2018-04-05,49.80
291,2018-04-04,49.52
292,2018-04-03,48.95
293,2018-04-02,48.19
294,2018-03-29,49.23
295,2018-03-28,48.69
296,2018-03-27,48.46
297,2018-03-26,49.67
298,2018-03-23,47.91
299,2018-03-22,49.62
300,2018-03-21,51.63
301,2018-03-20,51.53
302,2018-03-19,51.73
303,2018-03-16,52.05
304,2018-03-15,51.72
305,2018-03-14,51.66
306,2018-03-13,52.44
307,2018-03-12,52.96
308,2018-03-09,53.16
309,2018-03-08,52.21
310,2018-03-07,52.42
311,2018-03-06,52.34
312,2018-03-05,51.78
313,2018-03-02,51.21
314,2018-03-01,50.60
315,2018-02-28,50.92
316,2018-02-27,51.58
317,2018-02-26,52.26
318,2018-02-23,51.93
319,2018-02-22,51.03
320,2018-02-21,52.01
321,2018-02-20,51.59
322,2018-02-16,51.88
323,2018-02-15,51.71
324,2018-02-14,51.57
325,2018-02-13,50.12
326,2018-02-12,49.84
327,2018-02-09,49.51
328,2018-02-08,48.50
329,2018-02-07,50.53
330,2018-02-06,50.24
331,2018-02-05,49.54
332,2018-02-02,51.73
333,2018-02-01,52.34
334,2018-01-31,51.71
335,2018-01-30,51.74
336,2018-01-29,52.13
337,2018-01-26,52.27
338,2018-01-25,52.01
339,2018-01-24,52.23
340,2018-01-23,52.05
341,2018-01-22,51.95
342,2018-01-19,51.59
343,2018-01-18,50.90
344,2018-01-17,51.02
345,2018-01-16,50.85
346,2018-01-12,51.03
347,2018-01-11,50.80
348,2018-01-10,50.23
349,2018-01-09,49.62
350,2018-01-08,48.97
351,2018-01-05,48.92
352,2018-01-04,48.71
353,2018-01-03,48.46
354,2018-01-02,48.25
355,2017-12-29,48.04
356,2017-12-28,48.48
357,2017-12-27,48.28
358,2017-12-26,48.37
359,2017-12-22,48.78
360,2017-12-21,48.88
361,2017-12-20,48.36
362,2017-12-19,48.54
363,2017-12-18,48.69
364,2017-12-15,48.10
365,2017-12-14,47.38
366,2017-12-13,47.81
367,2017-12-12,48.46
368,2017-12-11,48.02
369,2017-12-08,48.31
370,2017-12-07,48.13
371,2017-12-06,47.82
372,2017-12-05,48.01
373,2017-12-04,48.73
374,2017-12-01,47.91
375,2017-11-30,47.88
376,2017-11-29,47.92
377,2017-11-28,46.39
378,2017-11-27,45.02
379,2017-11-24,44.99
380,2017-11-22,45.19
381,2017-11-21,45.29
382,2017-11-20,45.43
383,2017-11-17,45.16
384,2017-11-16,44.95
385,2017-11-15,45.06
386,2017-11-14,44.99
387,2017-11-13,44.67
388,2017-11-10,44.22
389,2017-11-09,44.41
390,2017-11-08,44.82
391,2017-11-07,45.23
392,2017-11-06,46.52
393,2017-11-03,46.59
394,2017-11-02,46.64
395,2017-11-01,46.32
396,2017-10-31,46.38
397,2017-10-30,46.32
398,2017-10-27,46.74
399,2017-10-26,46.58
400,2017-10-25,46.12
401,2017-10-24,46.31
402,2017-10-23,46.02
403,2017-10-20,46.25
404,2017-10-19,45.60
405,2017-10-18,45.37
406,2017-10-17,45.21
407,2017-10-16,45.66
408,2017-10-13,45.31
409,2017-10-12,45.60
410,2017-10-11,45.91
411,2017-10-10,46.17
412,2017-10-09,45.82
413,2017-10-06,46.02
414,2017-10-05,45.93
415,2017-10-04,45.33
416,2017-10-03,45.72
417,2017-10-02,45.91
418,2017-09-29,45.78
419,2017-09-28,45.49
420,2017-09-27,45.39
421,2017-09-26,44.59
422,2017-09-25,44.42
423,2017-09-22,44.39
424,2017-09-21,44.37
425,2017-09-20,44.17
