,Date,NAV
1,2019-05-30,41.77
2,2019-05-29,42.42
3,2019-05-28,42.23
4,2019-05-24,42.76
5,2019-05-23,42.26
6,2019-05-22,43.19
7,2019-05-21,43.64
8,2019-05-20,43.30
9,2019-05-17,43.18
10,2019-05-16,43.50
11,2019-05-15,43.03
12,2019-05-14,43.54
13,2019-05-13,42.93
14,2019-05-10,44.76
15,2019-05-09,44.63
16,2019-05-08,44.65
17,2019-05-07,45.11
18,2019-05-06,45.90
19,2019-05-03,46.01
20,2019-05-02,45.47
21,2019-05-01,44.95
22,2019-04-30,45.49
23,2019-04-29,45.60
24,2019-04-26,45.03
25,2019-04-25,44.59
26,2019-04-24,44.73
27,2019-04-23,44.76
28,2019-04-22,43.85
29,2019-04-18,44.15
30,2019-04-17,44.59
31,2019-04-16,44.69
32,2019-04-15,43.93
33,2019-04-12,44.54
34,2019-04-11,43.69
35,2019-04-10,43.50
36,2019-04-09,43.13
37,2019-04-08,43.88
38,2019-04-05,43.80
39,2019-04-04,43.65
40,2019-04-03,43.11
41,2019-04-02,42.91
42,2019-04-01,42.92
43,2019-03-29,41.77
44,2019-03-28,41.86
45,2019-03-27,41.31
46,2019-03-26,41.29
47,2019-03-25,40.36
48,2019-03-22,40.39
49,2019-03-21,42.18
50,2019-03-20,42.62
51,2019-03-19,44.02
52,2019-03-18,44.97
53,2019-03-15,44.32
54,2019-03-14,44.24
55,2019-03-13,44.06
56,2019-03-12,43.75
57,2019-03-11,43.78
58,2019-03-08,43.43
59,2019-03-07,43.39
60,2019-03-06,44.09
61,2019-03-05,44.99
62,2019-03-04,45.06
63,2019-03-01,45.24
64,2019-02-28,45.04
65,2019-02-27,45.18
66,2019-02-26,44.73
67,2019-02-25,45.19
68,2019-02-22,45.34
69,2019-02-21,45.20
70,2019-02-20,45.50
71,2019-02-19,45.07
72,2019-02-15,44.71
73,2019-02-14,43.72
74,2019-02-13,44.14
75,2019-02-12,44.05
76,2019-02-11,43.52
77,2019-02-08,43.22
78,2019-02-07,43.58
79,2019-02-06,43.13
80,2019-02-05,42.99
81,2019-02-04,43.17
82,2019-02-01,42.77
83,2019-01-31,42.43
84,2019-01-30,42.79
85,2019-01-29,42.82
86,2019-01-28,42.96
87,2019-01-25,42.71
88,2019-01-24,42.18
89,2019-01-23,42.08
90,2019-01-22,42.04
91,2019-01-18,42.46
92,2019-01-17,41.65
93,2019-01-16,41.32
94,2019-01-15,40.33
95,2019-01-14,40.02
96,2019-01-11,39.78
97,2019-01-10,39.61
98,2019-01-09,39.67
99,2019-01-08,39.35
100,2019-01-07,39.00
101,2019-01-04,38.76
102,2019-01-03,37.53
