,Date,NAV
1,2019-05-30,46.15
2,2019-05-29,46.97
3,2019-05-28,46.73
4,2019-05-24,47.23
5,2019-05-23,46.62
6,2019-05-22,47.75
7,2019-05-21,48.32
8,2019-05-20,48.02
9,2019-05-17,47.81
10,2019-05-16,48.18
11,2019-05-15,47.73
12,2019-05-14,48.26
13,2019-05-13,47.41
14,2019-05-10,49.27
15,2019-05-09,49.07
16,2019-05-08,49.15
17,2019-05-07,49.59
18,2019-05-06,50.30
19,2019-05-03,50.38
20,2019-05-02,49.44
21,2019-05-01,48.91
22,2019-04-30,49.38
23,2019-04-29,49.68
24,2019-04-26,49.06
25,2019-04-25,48.50
26,2019-04-24,48.76
27,2019-04-23,48.78
28,2019-04-22,47.80
29,2019-04-18,48.35
30,2019-04-17,49.02
31,2019-04-16,48.98
32,2019-04-15,48.12
33,2019-04-12,48.83
34,2019-04-11,48.11
35,2019-04-10,47.98
36,2019-04-09,47.43
37,2019-04-08,48.22
38,2019-04-05,48.18
39,2019-04-04,47.94
40,2019-04-03,47.34
41,2019-04-02,47.22
42,2019-04-01,47.36
43,2019-03-29,46.25
44,2019-03-28,46.42
45,2019-03-27,45.86
46,2019-03-26,45.73
47,2019-03-25,44.53
48,2019-03-22,44.31
49,2019-03-21,46.32
50,2019-03-20,46.70
51,2019-03-19,47.98
52,2019-03-18,49.24
53,2019-03-15,48.65
54,2019-03-14,48.64
55,2019-03-13,48.58
56,2019-03-12,48.34
57,2019-03-11,48.53
58,2019-03-08,48.17
59,2019-03-07,48.00
60,2019-03-06,48.85
61,2019-03-05,50.09
62,2019-03-04,50.23
63,2019-03-01,50.48
64,2019-02-28,50.38
65,2019-02-27,50.38
66,2019-02-26,50.02
67,2019-02-25,50.63
68,2019-02-22,50.83
69,2019-02-21,50.73
70,2019-02-20,50.93
71,2019-02-19,50.37
72,2019-02-15,49.84
73,2019-02-14,48.90
74,2019-02-13,49.25
75,2019-02-12,49.09
76,2019-02-11,48.69
77,2019-02-08,48.19
78,2019-02-07,48.54
79,2019-02-06,48.15
80,2019-02-05,48.08
81,2019-02-04,48.18
82,2019-02-01,47.65
83,2019-01-31,47.23
84,2019-01-30,47.65
85,2019-01-29,47.87
86,2019-01-28,47.83
87,2019-01-25,47.55
88,2019-01-24,47.17
89,2019-01-23,47.20
90,2019-01-22,47.18
91,2019-01-18,47.67
92,2019-01-17,46.96
93,2019-01-16,46.77
94,2019-01-15,45.74
95,2019-01-14,45.50
96,2019-01-11,45.47
97,2019-01-10,45.44
98,2019-01-09,45.58
99,2019-01-08,45.43
100,2019-01-07,44.97
101,2019-01-04,44.73
102,2019-01-03,43.59
103,2019-01-02,43.57
104,2018-12-31,42.91
105,2018-12-28,42.69
106,2018-12-27,42.18
107,2018-12-26,42.45
108,2018-12-24,40.89
109,2018-12-21,41.56
110,2018-12-20,41.95
111,2018-12-19,42.02
112,2018-12-18,43.41
113,2018-12-17,43.94
114,2018-12-14,44.25
115,2018-12-13,44.98
116,2018-12-12,46.18
117,2018-12-11,45.44
118,2018-12-10,45.77
119,2018-12-07,46.45
120,2018-12-06,46.62
121,2018-12-04,46.79
122,2018-12-03,49.70
123,2018-11-30,49.79
124,2018-11-29,49.13
125,2018-11-28,49.39
126,2018-11-27,48.73
127,2018-11-26,49.06
128,2018-11-23,48.44
129,2018-11-21,48.35
