,Date,NAV
1,2019-05-30,159.45
2,2019-05-29,159.45
3,2019-05-28,160.74
4,2019-05-24,160.95
5,2019-05-23,160.95
6,2019-05-22,160.95
7,2019-05-21,161.22
8,2019-05-20,160.90
9,2019-05-17,162.01
10,2019-05-16,162.88
11,2019-05-15,162.13
12,2019-05-14,162.50
13,2019-05-13,161.30
14,2019-05-10,164.56
15,2019-05-09,164.20
16,2019-05-08,164.70
17,2019-05-07,164.74
18,2019-05-06,166.95
19,2019-05-03,166.91
20,2019-05-02,165.42
21,2019-05-01,167.34
22,2019-04-30,166.97
23,2019-04-29,167.48
24,2019-04-26,166.77
25,2019-04-25,166.47
26,2019-04-24,166.56
27,2019-04-23,166.60
28,2019-04-22,165.41
29,2019-04-18,165.42
30,2019-04-17,165.60
31,2019-04-16,165.79
32,2019-04-15,165.81
33,2019-04-12,166.08
34,2019-04-11,165.85
35,2019-04-10,166.36
36,2019-04-09,165.21
37,2019-04-08,165.59
38,2019-04-05,165.91
39,2019-04-04,165.59
40,2019-04-03,165.33
41,2019-04-02,165.18
42,2019-04-01,164.74
43,2019-03-29,163.56
44,2019-03-28,163.25
45,2019-03-27,163.00
46,2019-03-26,163.07
47,2019-03-25,163.07
48,2019-03-22,165.70
49,2019-03-21,165.70
50,2019-03-20,164.77
51,2019-03-19,164.74
52,2019-03-18,164.35
53,2019-03-15,164.22
54,2019-03-14,162.85
55,2019-03-13,163.57
56,2019-03-12,162.28
57,2019-03-11,162.30
58,2019-03-08,159.67
59,2019-03-07,159.77
60,2019-03-06,161.95
61,2019-03-05,162.36
62,2019-03-04,162.22
63,2019-03-01,162.37
64,2019-02-28,162.48
65,2019-02-27,162.45
66,2019-02-26,162.63
67,2019-02-25,162.60
68,2019-02-22,162.80
69,2019-02-21,161.03
70,2019-02-20,161.62
71,2019-02-19,161.92
72,2019-02-15,161.31
73,2019-02-14,160.03
74,2019-02-13,160.54
75,2019-02-12,159.68
76,2019-02-11,158.06
77,2019-02-08,157.18
78,2019-02-07,157.86
79,2019-02-06,159.07
80,2019-02-05,159.85
81,2019-02-04,157.81
82,2019-02-01,157.43
83,2019-01-31,157.20
84,2019-01-30,156.34
85,2019-01-29,154.64
86,2019-01-28,155.06
87,2019-01-25,156.03
88,2019-01-24,155.51
89,2019-01-23,155.58
90,2019-01-22,154.60
91,2019-01-18,155.47
92,2019-01-17,155.06
93,2019-01-16,153.67
94,2019-01-15,153.62
95,2019-01-14,153.56
96,2019-01-11,153.78
97,2019-01-10,154.07
