,Date,NAV
1,2019-05-30,26.41
2,2019-05-29,26.50
3,2019-05-28,26.55
4,2019-05-24,26.86
5,2019-05-23,26.65
6,2019-05-22,27.03
7,2019-05-21,27.19
8,2019-05-20,26.91
9,2019-05-17,26.88
10,2019-05-16,27.06
11,2019-05-15,26.79
12,2019-05-14,26.89
13,2019-05-13,26.68
14,2019-05-10,27.48
15,2019-05-09,27.30
16,2019-05-08,27.36
17,2019-05-07,27.42
18,2019-05-06,27.88
19,2019-05-03,28.07
20,2019-05-02,27.82
21,2019-05-01,27.79
22,2019-04-30,28.02
23,2019-04-29,27.98
24,2019-04-26,27.70
25,2019-04-25,27.45
26,2019-04-24,27.40
27,2019-04-23,27.43
28,2019-04-22,27.26
29,2019-04-18,27.34
30,2019-04-17,27.42
31,2019-04-16,27.35
32,2019-04-15,26.97
33,2019-04-12,27.14
34,2019-04-11,26.65
35,2019-04-10,26.49
36,2019-04-09,26.41
37,2019-04-08,26.63
38,2019-04-05,26.60
39,2019-04-04,26.56
40,2019-04-03,26.40
41,2019-04-02,26.32
42,2019-04-01,26.34
43,2019-03-29,25.71
44,2019-03-28,25.64
45,2019-03-27,25.42
46,2019-03-26,25.53
47,2019-03-25,25.23
48,2019-03-22,25.34
49,2019-03-21,26.06
50,2019-03-20,26.14
51,2019-03-19,26.69
52,2019-03-18,26.90
53,2019-03-15,26.63
54,2019-03-14,26.44
55,2019-03-13,26.35
56,2019-03-12,26.17
57,2019-03-11,26.11
58,2019-03-08,25.84
59,2019-03-07,25.85
60,2019-03-06,26.12
61,2019-03-05,26.29
62,2019-03-04,26.39
63,2019-03-01,26.55
64,2019-02-28,26.39
65,2019-02-27,26.45
66,2019-02-26,26.36
67,2019-02-25,26.44
68,2019-02-22,26.33
69,2019-02-21,26.37
70,2019-02-20,26.50
71,2019-02-19,26.34
72,2019-02-15,26.30
73,2019-02-14,25.75
74,2019-02-13,26.07
75,2019-02-12,26.00
76,2019-02-11,25.62
77,2019-02-08,25.54
78,2019-02-07,25.67
79,2019-02-06,25.93
80,2019-02-05,25.96
81,2019-02-04,26.03
82,2019-02-01,25.92
83,2019-01-31,25.81
84,2019-01-30,25.85
85,2019-01-29,25.70
86,2019-01-28,25.79
87,2019-01-25,25.87
88,2019-01-24,25.66
89,2019-01-23,25.60
90,2019-01-22,25.57
91,2019-01-18,25.87
92,2019-01-17,25.43
93,2019-01-16,25.29
94,2019-01-15,24.76
95,2019-01-14,24.54
96,2019-01-11,24.38
97,2019-01-10,24.32
98,2019-01-09,24.31
99,2019-01-08,24.19
100,2019-01-07,24.17
101,2019-01-04,24.14
102,2019-01-03,23.36
103,2019-01-02,23.90
104,2018-12-31,23.70
105,2018-12-28,23.47
106,2018-12-27,23.48
107,2018-12-26,23.20
108,2018-12-24,22.20
109,2018-12-21,22.67
110,2018-12-20,23.14
111,2018-12-19,23.34
112,2018-12-18,23.64
113,2018-12-17,23.73
114,2018-12-14,23.97
115,2018-12-13,24.20
116,2018-12-12,24.38
117,2018-12-11,24.24
118,2018-12-10,24.48
119,2018-12-07,24.83
120,2018-12-06,25.31
121,2018-12-04,25.67
122,2018-12-03,26.83
123,2018-11-30,26.67
124,2018-11-29,26.53
125,2018-11-28,26.76
126,2018-11-27,26.25
127,2018-11-26,26.23
128,2018-11-23,25.71
129,2018-11-21,25.92
130,2018-11-20,25.90
131,2018-11-19,26.48
132,2018-11-16,26.49
133,2018-11-15,26.46
134,2018-11-14,26.07
135,2018-11-13,26.43
136,2018-11-12,26.28
137,2018-11-09,26.82
138,2018-11-08,27.06
139,2018-11-07,26.98
140,2018-11-06,26.64
141,2018-11-05,26.50
142,2018-11-02,26.08
143,2018-11-01,26.10
144,2018-10-31,25.98
145,2018-10-30,25.63
146,2018-10-29,25.19
147,2018-10-26,24.98
148,2018-10-25,25.34
149,2018-10-24,24.96
150,2018-10-23,25.60
151,2018-10-22,25.81
152,2018-10-19,26.37
153,2018-10-18,26.27
154,2018-10-17,26.72
155,2018-10-16,26.45
156,2018-10-15,26.01
157,2018-10-12,26.13
158,2018-10-11,26.10
159,2018-10-10,26.90
160,2018-10-09,27.76
161,2018-10-08,27.87
162,2018-10-05,27.69
163,2018-10-04,27.82
164,2018-10-03,27.64
165,2018-10-02,27.38
166,2018-10-01,27.38
167,2018-09-28,27.27
168,2018-09-27,27.56
169,2018-09-26,27.66
170,2018-09-25,27.99
171,2018-09-24,28.10
172,2018-09-21,28.42
173,2018-09-20,28.53
174,2018-09-19,28.28
175,2018-09-18,27.81
176,2018-09-17,27.67
177,2018-09-14,27.79
178,2018-09-13,27.59
179,2018-09-12,27.63
180,2018-09-11,27.89
181,2018-09-10,27.86
182,2018-09-07,27.89
183,2018-09-06,27.92
184,2018-09-05,28.05
185,2018-09-04,28.03
186,2018-08-31,27.89
187,2018-08-30,27.92
188,2018-08-29,28.13
189,2018-08-28,28.14
190,2018-08-27,28.17
191,2018-08-24,27.80
192,2018-08-23,27.70
193,2018-08-22,27.83
194,2018-08-21,27.93
195,2018-08-20,27.82
196,2018-08-17,27.73
197,2018-08-16,27.67
198,2018-08-15,27.31
199,2018-08-14,27.52
200,2018-08-13,27.27
201,2018-08-10,27.53
202,2018-08-09,27.86
203,2018-08-08,28.03
204,2018-08-07,27.96
205,2018-08-06,27.83
206,2018-08-03,27.68
207,2018-08-02,27.52
208,2018-08-01,27.51
209,2018-07-31,27.51
210,2018-07-30,27.71
211,2018-07-27,27.69
212,2018-07-26,27.63
213,2018-07-25,27.64
214,2018-07-24,27.58
215,2018-07-23,27.50
216,2018-07-20,27.13
217,2018-07-19,27.08
218,2018-07-18,27.49
219,2018-07-17,27.06
220,2018-07-16,27.03
221,2018-07-13,26.56
222,2018-07-12,26.68
223,2018-07-11,26.63
224,2018-07-10,26.76
225,2018-07-09,26.85
226,2018-07-06,26.25
227,2018-07-05,26.13
228,2018-07-03,26.07
229,2018-07-02,26.30
230,2018-06-29,26.17
231,2018-06-28,26.17
232,2018-06-27,25.95
233,2018-06-26,26.27
234,2018-06-25,26.36
235,2018-06-22,26.65
236,2018-06-21,26.78
237,2018-06-20,26.85
238,2018-06-19,26.92
239,2018-06-18,26.99
240,2018-06-15,27.04
241,2018-06-14,27.04
242,2018-06-13,27.30
243,2018-06-12,27.39
244,2018-06-11,27.46
245,2018-06-08,27.52
246,2018-06-07,27.48
247,2018-06-06,27.39
248,2018-06-05,26.90
249,2018-06-04,27.02
250,2018-06-01,26.93
251,2018-05-31,26.64
252,2018-05-30,26.87
253,2018-05-29,26.39
254,2018-05-25,27.30
255,2018-05-24,27.39
256,2018-05-23,27.60
257,2018-05-22,27.78
258,2018-05-21,27.59
259,2018-05-18,27.39
260,2018-05-17,27.62
261,2018-05-16,27.68
262,2018-05-15,27.63
263,2018-05-14,27.68
