,Date,NAV
1,2019-05-30,46.00
2,2019-05-29,45.57
3,2019-05-28,45.80
4,2019-05-24,45.81
5,2019-05-23,45.36
6,2019-05-22,45.67
7,2019-05-21,45.54
8,2019-05-20,44.88
9,2019-05-17,45.05
10,2019-05-16,45.72
11,2019-05-15,45.38
12,2019-05-14,45.07
13,2019-05-13,44.46
14,2019-05-10,45.47
15,2019-05-09,45.51
16,2019-05-08,45.47
17,2019-05-07,45.34
18,2019-05-06,45.95
19,2019-05-03,46.44
20,2019-05-02,45.49
21,2019-05-01,45.62
22,2019-04-30,46.14
23,2019-04-29,46.17
24,2019-04-26,45.98
25,2019-04-25,45.65
26,2019-04-24,45.32
27,2019-04-23,45.78
28,2019-04-22,45.34
29,2019-04-18,45.49
30,2019-04-17,45.41
31,2019-04-16,45.49
32,2019-04-15,45.77
33,2019-04-12,45.90
34,2019-04-11,45.95
35,2019-04-10,46.44
36,2019-04-09,46.24
37,2019-04-08,46.56
38,2019-04-05,46.45
39,2019-04-04,45.93
40,2019-04-03,46.08
41,2019-04-02,45.92
42,2019-04-01,45.83
43,2019-03-29,45.50
44,2019-03-28,44.85
45,2019-03-27,44.61
46,2019-03-26,45.45
47,2019-03-25,45.09
48,2019-03-22,45.22
49,2019-03-21,46.15
50,2019-03-20,46.61
51,2019-03-19,46.30
52,2019-03-18,46.00
53,2019-03-15,45.88
54,2019-03-14,45.35
55,2019-03-13,45.45
56,2019-03-12,45.16
57,2019-03-11,45.00
58,2019-03-08,44.50
59,2019-03-07,44.49
60,2019-03-06,44.99
61,2019-03-05,45.53
62,2019-03-04,45.69
63,2019-03-01,45.93
64,2019-02-28,46.35
65,2019-02-27,46.75
66,2019-02-26,46.39
67,2019-02-25,46.44
68,2019-02-22,46.12
69,2019-02-21,45.63
70,2019-02-20,45.84
71,2019-02-19,45.53
72,2019-02-15,45.43
73,2019-02-14,45.01
74,2019-02-13,44.60
75,2019-02-12,44.61
76,2019-02-11,43.93
77,2019-02-08,44.12
78,2019-02-07,43.87
79,2019-02-06,44.27
80,2019-02-05,44.64
81,2019-02-04,44.37
82,2019-02-01,44.52
83,2019-01-31,44.32
84,2019-01-30,43.74
85,2019-01-29,43.24
86,2019-01-28,43.00
87,2019-01-25,43.10
88,2019-01-24,42.61
89,2019-01-23,42.52
90,2019-01-22,42.20
91,2019-01-18,42.87
92,2019-01-17,42.83
93,2019-01-16,42.51
94,2019-01-15,42.55
95,2019-01-14,42.27
96,2019-01-11,42.79
97,2019-01-10,42.96
98,2019-01-09,42.92
99,2019-01-08,42.21
100,2019-01-07,41.92
101,2019-01-04,41.43
102,2019-01-03,39.88
103,2019-01-02,40.33
104,2018-12-31,40.07
105,2018-12-28,39.99
106,2018-12-27,39.59
107,2018-12-26,39.83
108,2018-12-24,38.42
109,2018-12-21,39.05
110,2018-12-20,40.05
111,2018-12-19,40.83
112,2018-12-18,41.12
113,2018-12-17,41.52
114,2018-12-14,42.46
115,2018-12-13,43.41
116,2018-12-12,43.46
117,2018-12-11,42.80
118,2018-12-10,42.65
119,2018-12-07,43.15
120,2018-12-06,43.63
121,2018-12-04,44.17
122,2018-12-03,45.51
123,2018-11-30,44.21
124,2018-11-29,44.35
125,2018-11-28,44.46
126,2018-11-27,43.60
127,2018-11-26,43.72
128,2018-11-23,43.42
129,2018-11-21,43.73
130,2018-11-20,43.00
131,2018-11-19,44.60
132,2018-11-16,45.48
133,2018-11-15,45.47
134,2018-11-14,45.02
135,2018-11-13,45.44
136,2018-11-12,45.63
137,2018-11-09,46.43
138,2018-11-08,47.26
139,2018-11-07,48.48
140,2018-11-06,47.42
141,2018-11-05,47.40
142,2018-11-02,47.31
143,2018-11-01,47.33
144,2018-10-31,46.41
145,2018-10-30,45.54
146,2018-10-29,45.23
147,2018-10-26,45.80
148,2018-10-25,46.40
149,2018-10-24,45.84
150,2018-10-23,47.72
151,2018-10-22,48.76
152,2018-10-19,48.89
153,2018-10-18,49.12
154,2018-10-17,49.91
155,2018-10-16,50.33
156,2018-10-15,48.68
157,2018-10-12,48.71
158,2018-10-11,47.86
159,2018-10-10,48.25
160,2018-10-09,50.24
161,2018-10-08,50.24
162,2018-10-05,51.20
163,2018-10-04,51.75
164,2018-10-03,53.38
165,2018-10-02,53.00
166,2018-10-01,53.70
167,2018-09-28,53.77
168,2018-09-27,53.65
169,2018-09-26,53.33
170,2018-09-25,53.33
171,2018-09-24,52.36
172,2018-09-21,52.36
173,2018-09-20,52.15
174,2018-09-19,51.43
175,2018-09-18,50.92
176,2018-09-17,50.75
177,2018-09-14,51.17
178,2018-09-13,50.97
179,2018-09-12,50.63
180,2018-09-11,49.96
181,2018-09-10,49.72
182,2018-09-07,50.13
183,2018-09-06,50.01
184,2018-09-05,50.35
185,2018-09-04,51.59
186,2018-08-31,52.36
187,2018-08-30,52.15
188,2018-08-29,53.08
189,2018-08-28,52.91
190,2018-08-27,52.87
191,2018-08-24,52.24
192,2018-08-23,51.84
193,2018-08-22,52.07
194,2018-08-21,51.53
195,2018-08-20,51.53
196,2018-08-17,50.56
197,2018-08-16,50.50
198,2018-08-15,49.69
199,2018-08-14,51.21
200,2018-08-13,51.74
201,2018-08-10,52.51
202,2018-08-09,53.28
203,2018-08-08,52.90
204,2018-08-07,53.03
205,2018-08-06,52.43
206,2018-08-03,52.50
207,2018-08-02,53.06
208,2018-08-01,53.61
209,2018-07-31,52.85
210,2018-07-30,52.94
211,2018-07-27,53.72
212,2018-07-26,54.73
213,2018-07-25,55.34
214,2018-07-24,54.41
215,2018-07-23,53.97
216,2018-07-20,54.23
217,2018-07-19,54.28
218,2018-07-18,54.65
219,2018-07-17,54.40
220,2018-07-16,54.10
221,2018-07-13,54.50
222,2018-07-12,54.42
223,2018-07-11,53.32
224,2018-07-10,54.13
225,2018-07-09,54.28
226,2018-07-06,53.56
227,2018-07-05,52.88
228,2018-07-03,53.09
229,2018-07-02,52.52
230,2018-06-29,53.24
231,2018-06-28,53.15
232,2018-06-27,53.32
233,2018-06-26,54.25
234,2018-06-25,54.04
235,2018-06-22,55.61
236,2018-06-21,55.83
237,2018-06-20,56.51
238,2018-06-19,56.19
239,2018-06-18,56.89
240,2018-06-15,57.19
241,2018-06-14,57.91
242,2018-06-13,58.17
243,2018-06-12,58.77
244,2018-06-11,59.00
245,2018-06-08,59.34
246,2018-06-07,58.75
247,2018-06-06,59.76
248,2018-06-05,59.11
249,2018-06-04,58.37
250,2018-06-01,57.72
251,2018-05-31,57.37
252,2018-05-30,57.34
253,2018-05-29,56.85
254,2018-05-25,57.98
255,2018-05-24,58.53
256,2018-05-23,58.68
257,2018-05-22,59.15
258,2018-05-21,59.26
259,2018-05-18,58.98
260,2018-05-17,58.97
261,2018-05-16,59.24
262,2018-05-15,58.78
263,2018-05-14,58.26
264,2018-05-11,58.02
265,2018-05-10,58.50
266,2018-05-09,57.58
267,2018-05-08,57.19
268,2018-05-07,57.47
269,2018-05-04,57.35
270,2018-05-03,56.98
271,2018-05-02,57.53
272,2018-05-01,58.09
273,2018-04-30,58.13
274,2018-04-27,58.15
275,2018-04-26,58.00
276,2018-04-25,57.65
277,2018-04-24,58.65
278,2018-04-23,58.56
279,2018-04-20,59.02
280,2018-04-19,59.41
281,2018-04-18,59.80
282,2018-04-17,59.23
283,2018-04-16,58.58
284,2018-04-13,59.12
285,2018-04-12,59.56
286,2018-04-11,59.09
287,2018-04-10,58.95
288,2018-04-09,57.63
289,2018-04-06,57.39
290,2018-04-05,58.08
291,2018-04-04,57.60
292,2018-04-03,57.57
293,2018-04-02,57.02
294,2018-03-29,58.45
295,2018-03-28,57.17
296,2018-03-27,57.79
297,2018-03-26,59.06
298,2018-03-23,57.80
299,2018-03-22,58.68
300,2018-03-21,60.53
301,2018-03-20,60.23
302,2018-03-19,59.95
303,2018-03-16,60.49
304,2018-03-15,60.57
305,2018-03-14,60.61
306,2018-03-13,61.04
307,2018-03-12,61.84
308,2018-03-09,61.46
309,2018-03-08,60.60
310,2018-03-07,60.23
311,2018-03-06,60.08
312,2018-03-05,59.35
313,2018-03-02,59.00
314,2018-03-01,59.01
315,2018-02-28,60.14
316,2018-02-27,60.47
317,2018-02-26,61.40
318,2018-02-23,61.97
319,2018-02-22,61.11
320,2018-02-21,60.87
321,2018-02-20,60.81
322,2018-02-16,60.47
323,2018-02-15,60.59
324,2018-02-14,59.49
325,2018-02-13,57.91
326,2018-02-12,58.08
327,2018-02-09,56.58
328,2018-02-08,56.32
329,2018-02-07,58.72
330,2018-02-06,59.39
331,2018-02-05,57.84
332,2018-02-02,59.88
333,2018-02-01,61.76
334,2018-01-31,62.09
335,2018-01-30,61.57
336,2018-01-29,62.19
337,2018-01-26,62.97
338,2018-01-25,62.35
339,2018-01-24,61.90
340,2018-01-23,61.78
341,2018-01-22,62.73
342,2018-01-19,62.50
343,2018-01-18,62.26
344,2018-01-17,62.35
345,2018-01-16,61.57
346,2018-01-12,62.24
347,2018-01-11,61.84
348,2018-01-10,61.39
349,2018-01-09,61.60
350,2018-01-08,61.31
351,2018-01-05,61.31
352,2018-01-04,60.83
353,2018-01-03,60.61
354,2018-01-02,59.98
355,2017-12-29,58.54
356,2017-12-28,58.44
357,2017-12-27,58.52
358,2017-12-26,58.42
359,2017-12-22,58.49
360,2017-12-21,58.23
361,2017-12-20,58.15
362,2017-12-19,58.02
363,2017-12-18,57.82
364,2017-12-15,56.79
365,2017-12-14,56.35
366,2017-12-13,56.63
367,2017-12-12,56.36
368,2017-12-11,56.74
369,2017-12-08,56.38
370,2017-12-07,55.83
371,2017-12-06,55.17
372,2017-12-05,54.89
373,2017-12-04,54.85
374,2017-12-01,55.14
375,2017-11-30,55.43
376,2017-11-29,55.34
377,2017-11-28,56.56
378,2017-11-27,56.37
379,2017-11-24,57.09
380,2017-11-22,56.91
381,2017-11-21,56.76
382,2017-11-20,56.26
383,2017-11-17,56.50
384,2017-11-16,56.50
385,2017-11-15,55.09
386,2017-11-14,54.71
387,2017-11-13,55.87
388,2017-11-10,55.98
389,2017-11-09,56.50
390,2017-11-08,57.06
391,2017-11-07,56.86
392,2017-11-06,57.22
393,2017-11-03,56.71
394,2017-11-02,56.66
395,2017-11-01,57.03
396,2017-10-31,57.07
397,2017-10-30,56.70
398,2017-10-27,56.76
399,2017-10-26,56.62
400,2017-10-25,57.37
401,2017-10-24,57.99
402,2017-10-23,57.46
403,2017-10-20,56.92
404,2017-10-19,56.48
405,2017-10-18,56.77
406,2017-10-17,56.63
407,2017-10-16,57.20
408,2017-10-13,56.87
409,2017-10-12,56.51
410,2017-10-11,56.33
411,2017-10-10,56.51
412,2017-10-09,56.28
413,2017-10-06,56.28
414,2017-10-05,56.16
415,2017-10-04,56.14
416,2017-10-03,56.11
417,2017-10-02,55.33
418,2017-09-29,55.18
419,2017-09-28,54.61
420,2017-09-27,54.30
421,2017-09-26,53.75
422,2017-09-25,53.76
423,2017-09-22,55.10
424,2017-09-21,55.04
425,2017-09-20,54.95
426,2017-09-19,55.14
427,2017-09-18,54.60
428,2017-09-15,54.37
429,2017-09-14,54.12
430,2017-09-13,54.19
431,2017-09-12,54.04
432,2017-09-11,53.83
433,2017-09-08,53.08
434,2017-09-07,53.50
435,2017-09-06,52.73
436,2017-09-05,52.33
437,2017-09-01,52.83
438,2017-08-31,52.12
439,2017-08-30,51.91
440,2017-08-29,51.39
441,2017-08-28,51.36
442,2017-08-25,51.19
443,2017-08-24,51.57
444,2017-08-23,51.45
445,2017-08-22,51.38
446,2017-08-21,50.86
447,2017-08-18,50.72
448,2017-08-17,50.35
449,2017-08-16,50.94
450,2017-08-15,50.28
451,2017-08-14,50.52
452,2017-08-11,48.85
453,2017-08-10,48.61
454,2017-08-09,49.66
455,2017-08-08,49.87
456,2017-08-07,50.29
457,2017-08-04,49.61
458,2017-08-03,49.44
459,2017-08-02,49.26
460,2017-08-01,49.43
461,2017-07-31,49.05
462,2017-07-28,49.01
463,2017-07-27,48.63
464,2017-07-26,49.34
465,2017-07-25,49.14
466,2017-07-24,49.50
467,2017-07-21,49.08
468,2017-07-20,48.96
469,2017-07-19,48.90
470,2017-07-18,48.78
471,2017-07-17,48.55
472,2017-07-14,48.56
473,2017-07-13,48.02
474,2017-07-12,48.03
475,2017-07-11,47.11
476,2017-07-10,47.08
477,2017-07-07,46.68
478,2017-07-06,46.46
479,2017-07-05,46.77
480,2017-07-03,46.66
481,2017-06-30,46.35
482,2017-06-29,45.87
483,2017-06-28,46.35
484,2017-06-27,45.71
485,2017-06-26,45.85
486,2017-06-23,45.60
487,2017-06-22,45.68
488,2017-06-21,45.38
489,2017-06-20,46.05
490,2017-06-19,46.81
491,2017-06-16,46.06
492,2017-06-15,45.60
493,2017-06-14,46.00
494,2017-06-13,46.55
495,2017-06-12,46.33
496,2017-06-09,46.82
497,2017-06-08,47.36
498,2017-06-07,47.86
499,2017-06-06,47.28
500,2017-06-05,47.37
501,2017-06-02,47.36
502,2017-06-01,47.11
503,2017-05-31,46.79
504,2017-05-30,46.91
505,2017-05-26,47.34
506,2017-05-25,46.99
507,2017-05-24,46.91
508,2017-05-23,46.82
509,2017-05-22,46.66
510,2017-05-19,46.85
511,2017-05-18,45.68
512,2017-05-17,47.67
513,2017-05-16,49.10
514,2017-05-15,48.48
515,2017-05-12,48.16
516,2017-05-11,48.03
517,2017-05-10,47.81
518,2017-05-09,47.15
519,2017-05-08,47.13
520,2017-05-05,47.14
521,2017-05-04,46.71
