,Date,NAV
1,2019-05-30,65.65
2,2019-05-29,64.57
3,2019-05-28,63.14
4,2019-05-24,62.77
5,2019-05-23,62.64
6,2019-05-22,65.18
7,2019-05-21,65.95
8,2019-05-20,63.60
9,2019-05-17,64.61
10,2019-05-16,68.31
11,2019-05-15,69.18
12,2019-05-14,68.67
13,2019-05-13,66.21
14,2019-05-10,73.48
15,2019-05-09,72.15
16,2019-05-08,75.93
17,2019-05-07,76.08
18,2019-05-06,81.02
19,2019-05-03,86.35
20,2019-05-02,83.18
21,2019-05-01,82.72
22,2019-04-30,84.54
23,2019-04-29,84.79
24,2019-04-26,84.30
25,2019-04-25,83.48
26,2019-04-24,83.81
27,2019-04-23,87.52
28,2019-04-22,86.95
29,2019-04-18,88.56
30,2019-04-17,88.89
31,2019-04-16,88.12
32,2019-04-15,86.15
33,2019-04-12,87.40
34,2019-04-11,85.75
35,2019-04-10,88.69
36,2019-04-09,87.47
37,2019-04-08,87.87
38,2019-04-05,87.81
39,2019-04-04,86.03
40,2019-04-03,84.51
41,2019-04-02,82.70
42,2019-04-01,83.57
43,2019-03-29,79.78
44,2019-03-28,77.33
45,2019-03-27,75.82
46,2019-03-26,78.22
47,2019-03-25,77.73
48,2019-03-22,77.09
49,2019-03-21,84.46
50,2019-03-20,84.21
51,2019-03-19,83.75
52,2019-03-18,83.62
53,2019-03-15,81.04
54,2019-03-14,77.67
55,2019-03-13,78.96
56,2019-03-12,78.79
57,2019-03-11,77.49
58,2019-03-08,73.48
59,2019-03-07,75.13
60,2019-03-06,79.38
61,2019-03-05,80.79
62,2019-03-04,78.56
63,2019-03-01,78.18
64,2019-02-28,78.17
65,2019-02-27,81.32
66,2019-02-26,83.38
67,2019-02-25,84.14
68,2019-02-22,81.56
69,2019-02-21,78.88
70,2019-02-20,79.49
71,2019-02-19,78.05
72,2019-02-15,76.40
73,2019-02-14,76.76
74,2019-02-13,76.30
75,2019-02-12,78.15
76,2019-02-11,76.11
77,2019-02-08,76.80
78,2019-02-07,78.31
79,2019-02-06,80.89
80,2019-02-05,84.13
81,2019-02-04,80.89
82,2019-02-01,80.47
83,2019-01-31,82.32
84,2019-01-30,80.30
85,2019-01-29,75.51
86,2019-01-28,75.23
87,2019-01-25,77.64
88,2019-01-24,74.54
89,2019-01-23,72.51
90,2019-01-22,70.60
91,2019-01-18,74.47
92,2019-01-17,73.28
93,2019-01-16,72.35
94,2019-01-15,69.88
95,2019-01-14,68.36
96,2019-01-11,70.08
97,2019-01-10,71.32
98,2019-01-09,69.73
99,2019-01-08,66.04
100,2019-01-07,65.53
101,2019-01-04,65.10
102,2019-01-03,59.41
103,2019-01-02,62.71
104,2018-12-31,62.40
105,2018-12-28,63.16
106,2018-12-27,61.66
107,2018-12-26,61.84
108,2018-12-24,58.39
109,2018-12-21,59.91
110,2018-12-20,61.35
111,2018-12-19,59.83
112,2018-12-18,63.08
113,2018-12-17,61.86
114,2018-12-14,63.70
115,2018-12-13,66.60
116,2018-12-12,66.52
117,2018-12-11,63.45
118,2018-12-10,62.14
119,2018-12-07,63.98
120,2018-12-06,68.06
121,2018-12-04,70.09
122,2018-12-03,74.58
123,2018-11-30,70.26
124,2018-11-29,70.70
125,2018-11-28,72.51
126,2018-11-27,67.69
127,2018-11-26,66.36
128,2018-11-23,64.00
129,2018-11-21,66.25
130,2018-11-20,62.96
131,2018-11-19,67.31
132,2018-11-16,70.23
133,2018-11-15,69.69
134,2018-11-14,65.34
135,2018-11-13,64.14
136,2018-11-12,62.07
137,2018-11-09,64.77
138,2018-11-08,68.73
139,2018-11-07,74.48
140,2018-11-06,70.54
141,2018-11-05,70.93
142,2018-11-02,70.42
143,2018-11-01,68.99
144,2018-10-31,62.40
145,2018-10-30,60.39
146,2018-10-29,57.16
147,2018-10-26,60.30
148,2018-10-25,62.22
149,2018-10-24,58.96
150,2018-10-23,65.36
151,2018-10-22,67.50
152,2018-10-19,65.55
153,2018-10-18,63.77
154,2018-10-17,69.08
155,2018-10-16,71.61
156,2018-10-15,66.70
157,2018-10-12,68.95
158,2018-10-11,63.55
159,2018-10-10,65.44
160,2018-10-09,71.84
161,2018-10-08,72.84
162,2018-10-05,72.33
163,2018-10-04,73.25
164,2018-10-03,79.13
165,2018-10-02,81.27
166,2018-10-01,84.39
167,2018-09-28,84.23
168,2018-09-27,85.98
169,2018-09-26,84.84
170,2018-09-25,84.40
171,2018-09-24,83.33
172,2018-09-21,86.13
173,2018-09-20,85.18
174,2018-09-19,82.25
175,2018-09-18,79.13
176,2018-09-17,76.98
177,2018-09-14,79.02
178,2018-09-13,79.16
179,2018-09-12,76.39
180,2018-09-11,75.14
