,Date,NAV
1,2019-05-30,28.71
2,2019-05-29,28.80
3,2019-05-28,28.55
4,2019-05-24,28.32
5,2019-05-23,28.19
6,2019-05-22,28.39
7,2019-05-21,28.33
8,2019-05-20,28.01
9,2019-05-17,28.01
10,2019-05-16,28.31
11,2019-05-15,28.07
12,2019-05-14,27.89
13,2019-05-13,27.85
14,2019-05-10,28.78
15,2019-05-09,28.79
16,2019-05-08,28.90
17,2019-05-07,28.52
18,2019-05-06,28.68
19,2019-05-03,28.75
20,2019-05-02,28.54
21,2019-05-01,28.18
22,2019-04-30,28.34
23,2019-04-29,28.14
24,2019-04-26,28.28
25,2019-04-25,28.38
26,2019-04-24,28.39
27,2019-04-23,28.66
28,2019-04-22,28.65
29,2019-04-18,28.66
30,2019-04-17,28.81
31,2019-04-16,28.82
32,2019-04-15,28.91
33,2019-04-12,28.85
34,2019-04-11,28.76
35,2019-04-10,28.76
36,2019-04-09,28.63
37,2019-04-08,29.03
38,2019-04-05,28.78
39,2019-04-04,28.87
40,2019-04-03,28.93
41,2019-04-02,28.74
42,2019-04-01,28.78
43,2019-03-29,28.46
44,2019-03-28,28.37
45,2019-03-27,28.23
46,2019-03-26,28.39
47,2019-03-25,28.59
48,2019-03-22,28.45
49,2019-03-21,28.87
50,2019-03-20,28.93
51,2019-03-19,28.65
52,2019-03-18,28.82
53,2019-03-15,28.68
54,2019-03-14,28.48
55,2019-03-13,28.50
56,2019-03-12,28.35
57,2019-03-11,28.39
58,2019-03-08,28.17
59,2019-03-07,28.08
60,2019-03-06,28.36
61,2019-03-05,28.73
62,2019-03-04,28.50
63,2019-03-01,28.40
64,2019-02-28,28.48
65,2019-02-27,28.93
66,2019-02-26,29.05
67,2019-02-25,29.09
68,2019-02-22,28.91
69,2019-02-21,28.75
70,2019-02-20,28.60
71,2019-02-19,28.74
72,2019-02-15,28.85
73,2019-02-14,28.91
74,2019-02-13,28.72
75,2019-02-12,28.80
76,2019-02-11,28.35
77,2019-02-08,28.35
78,2019-02-07,28.09
79,2019-02-06,28.32
80,2019-02-05,28.57
81,2019-02-04,27.99
82,2019-02-01,28.32
83,2019-01-31,28.28
84,2019-01-30,28.35
85,2019-01-29,28.18
86,2019-01-28,28.12
87,2019-01-25,28.16
88,2019-01-24,27.97
89,2019-01-23,27.85
90,2019-01-22,27.56
91,2019-01-18,27.90
92,2019-01-17,27.84
93,2019-01-16,27.70
94,2019-01-15,27.65
95,2019-01-14,27.41
96,2019-01-11,27.56
97,2019-01-10,27.41
98,2019-01-09,27.16
99,2019-01-08,27.03
100,2019-01-07,26.97
101,2019-01-04,26.90
102,2019-01-03,26.24
103,2019-01-02,26.47
104,2018-12-31,26.15
105,2018-12-28,26.27
106,2018-12-27,26.57
107,2018-12-26,26.47
108,2018-12-24,26.15
109,2018-12-21,26.01
110,2018-12-20,26.16
111,2018-12-19,26.10
112,2018-12-18,26.93
113,2018-12-17,26.71
114,2018-12-14,26.96
115,2018-12-13,27.08
116,2018-12-12,27.12
117,2018-12-11,27.13
118,2018-12-10,27.09
119,2018-12-07,27.35
120,2018-12-06,27.60
121,2018-12-04,27.40
122,2018-12-03,27.63
123,2018-11-30,27.28
124,2018-11-29,27.33
125,2018-11-28,27.33
126,2018-11-27,27.11
127,2018-11-26,26.95
128,2018-11-23,26.83
129,2018-11-21,26.89
130,2018-11-20,26.75
131,2018-11-19,26.85
132,2018-11-16,26.88
133,2018-11-15,26.94
134,2018-11-14,26.69
135,2018-11-13,26.54
136,2018-11-12,26.78
137,2018-11-09,26.98
138,2018-11-08,27.08
139,2018-11-07,27.38
140,2018-11-06,27.18
141,2018-11-05,27.30
142,2018-11-02,27.25
143,2018-11-01,27.21
144,2018-10-31,26.75
145,2018-10-30,26.59
146,2018-10-29,26.30
147,2018-10-26,26.50
148,2018-10-25,26.49
149,2018-10-24,26.25
150,2018-10-23,26.66
151,2018-10-22,26.54
152,2018-10-19,26.70
153,2018-10-18,26.62
154,2018-10-17,26.99
155,2018-10-16,27.26
156,2018-10-15,26.98
157,2018-10-12,27.41
158,2018-10-11,26.98
159,2018-10-10,27.18
160,2018-10-09,27.63
161,2018-10-08,27.91
162,2018-10-05,27.65
163,2018-10-04,27.94
164,2018-10-03,28.23
165,2018-10-02,28.39
166,2018-10-01,28.17
167,2018-09-28,28.11
168,2018-09-27,28.33
169,2018-09-26,28.48
170,2018-09-25,28.55
171,2018-09-24,28.43
172,2018-09-21,28.36
173,2018-09-20,28.22
174,2018-09-19,27.72
175,2018-09-18,27.59
176,2018-09-17,27.30
177,2018-09-14,27.33
178,2018-09-13,27.38
179,2018-09-12,27.32
180,2018-09-11,27.29
181,2018-09-10,27.33
182,2018-09-07,27.42
183,2018-09-06,27.52
184,2018-09-05,27.29
185,2018-09-04,27.25
186,2018-08-31,27.61
187,2018-08-30,27.20
188,2018-08-29,28.02
189,2018-08-28,28.14
190,2018-08-27,28.29
191,2018-08-24,28.40
192,2018-08-23,28.48
193,2018-08-22,28.64
194,2018-08-21,28.57
195,2018-08-20,28.44
196,2018-08-17,28.41
197,2018-08-16,28.37
198,2018-08-15,28.04
199,2018-08-14,28.18
200,2018-08-13,28.07
201,2018-08-10,28.46
202,2018-08-09,28.84
203,2018-08-08,29.07
204,2018-08-07,29.19
205,2018-08-06,29.40
206,2018-08-03,29.22
207,2018-08-02,29.26
208,2018-08-01,29.67
209,2018-07-31,29.37
210,2018-07-30,29.20
211,2018-07-27,29.32
212,2018-07-26,29.15
213,2018-07-25,29.25
214,2018-07-24,29.03
215,2018-07-23,28.90
216,2018-07-20,28.94
217,2018-07-19,28.76
218,2018-07-18,28.87
219,2018-07-17,28.77
220,2018-07-16,28.68
221,2018-07-13,28.80
222,2018-07-12,28.68
223,2018-07-11,28.74
224,2018-07-10,28.81
225,2018-07-09,28.78
226,2018-07-06,28.56
227,2018-07-05,28.50
228,2018-07-03,27.99
229,2018-07-02,27.92
230,2018-06-29,28.47
231,2018-06-28,28.52
232,2018-06-27,28.52
233,2018-06-26,29.27
234,2018-06-25,29.23
235,2018-06-22,29.56
236,2018-06-21,29.42
237,2018-06-20,29.32
238,2018-06-19,29.32
239,2018-06-18,29.44
240,2018-06-15,29.58
241,2018-06-14,29.85
242,2018-06-13,30.32
243,2018-06-12,30.47
244,2018-06-11,30.60
245,2018-06-08,30.58
246,2018-06-07,30.41
247,2018-06-06,30.35
248,2018-06-05,30.06
249,2018-06-04,29.81
250,2018-06-01,29.32
251,2018-05-31,29.09
252,2018-05-30,29.12
253,2018-05-29,29.10
254,2018-05-25,29.40
255,2018-05-24,29.44
256,2018-05-23,29.75
257,2018-05-22,29.87
258,2018-05-21,30.29
259,2018-05-18,30.38
260,2018-05-17,30.30
261,2018-05-16,30.57
262,2018-05-15,30.66
263,2018-05-14,30.71
264,2018-05-11,30.78
265,2018-05-10,31.03
266,2018-05-09,30.89
267,2018-05-08,30.97
268,2018-05-07,31.27
269,2018-05-04,31.51
270,2018-05-03,31.29
271,2018-05-02,31.63
272,2018-05-01,32.18
273,2018-04-30,32.07
274,2018-04-27,32.14
275,2018-04-26,32.05
276,2018-04-25,32.13
277,2018-04-24,32.40
278,2018-04-23,32.61
279,2018-04-20,32.84
280,2018-04-19,32.98
281,2018-04-18,33.42
282,2018-04-17,33.47
283,2018-04-16,33.38
284,2018-04-13,33.53
285,2018-04-12,33.75
286,2018-04-11,33.79
287,2018-04-10,34.00
288,2018-04-09,33.81
289,2018-04-06,33.62
290,2018-04-05,33.89
291,2018-04-04,33.95
292,2018-04-03,33.94
293,2018-04-02,33.58
294,2018-03-29,33.79
295,2018-03-28,33.43
296,2018-03-27,33.26
297,2018-03-26,33.55
298,2018-03-23,32.77
299,2018-03-22,32.98
300,2018-03-21,33.67
301,2018-03-20,33.44
302,2018-03-19,33.33
303,2018-03-16,33.79
304,2018-03-15,33.71
305,2018-03-14,33.81
306,2018-03-13,33.76
307,2018-03-12,33.82
308,2018-03-09,34.18
309,2018-03-08,33.66
310,2018-03-07,33.58
311,2018-03-06,33.43
312,2018-03-05,33.34
313,2018-03-02,33.16
314,2018-03-01,33.08
315,2018-02-28,33.16
316,2018-02-27,33.30
317,2018-02-26,33.87
318,2018-02-23,33.89
319,2018-02-22,33.74
320,2018-02-21,33.54
321,2018-02-20,33.48
322,2018-02-16,33.44
323,2018-02-15,33.37
324,2018-02-14,32.77
325,2018-02-13,32.33
326,2018-02-12,32.21
327,2018-02-09,31.98
328,2018-02-08,31.86
329,2018-02-07,32.33
330,2018-02-06,32.22
331,2018-02-05,31.32
332,2018-02-02,33.22
333,2018-02-01,34.05
334,2018-01-31,33.99
335,2018-01-30,33.79
336,2018-01-29,34.21
337,2018-01-26,34.70
338,2018-01-25,34.46
339,2018-01-24,34.64
340,2018-01-23,34.61
341,2018-01-22,34.79
342,2018-01-19,34.56
343,2018-01-18,34.58
344,2018-01-17,34.42
345,2018-01-16,34.31
346,2018-01-12,34.09
347,2018-01-11,33.84
348,2018-01-10,33.49
349,2018-01-09,33.36
350,2018-01-08,33.22
351,2018-01-05,33.19
352,2018-01-04,33.26
353,2018-01-03,32.91
354,2018-01-02,32.47
355,2017-12-29,31.87
356,2017-12-28,31.85
357,2017-12-27,31.69
358,2017-12-26,31.78
359,2017-12-22,31.80
360,2017-12-21,31.67
361,2017-12-20,31.71
362,2017-12-19,31.61
363,2017-12-18,31.47
364,2017-12-15,31.61
365,2017-12-14,31.82
366,2017-12-13,31.83
367,2017-12-12,31.82
368,2017-12-11,31.65
369,2017-12-08,31.83
370,2017-12-07,31.51
371,2017-12-06,31.41
372,2017-12-05,31.57
373,2017-12-04,31.47
374,2017-12-01,31.28
375,2017-11-30,31.15
376,2017-11-29,31.22
377,2017-11-28,31.27
378,2017-11-27,31.25
379,2017-11-24,31.17
380,2017-11-22,31.21
381,2017-11-21,30.50
382,2017-11-20,30.42
383,2017-11-17,30.16
384,2017-11-16,30.19
385,2017-11-15,29.77
386,2017-11-14,29.58
387,2017-11-13,29.78
388,2017-11-10,29.63
389,2017-11-09,29.69
390,2017-11-08,29.84
391,2017-11-07,29.78
392,2017-11-06,30.17
393,2017-11-03,30.30
394,2017-11-02,30.38
395,2017-11-01,30.39
396,2017-10-31,30.12
397,2017-10-30,30.22
398,2017-10-27,30.43
399,2017-10-26,30.38
400,2017-10-25,30.34
401,2017-10-24,30.43
402,2017-10-23,30.25
403,2017-10-20,30.18
404,2017-10-19,30.20
405,2017-10-18,30.07
406,2017-10-17,30.22
407,2017-10-16,30.32
408,2017-10-13,30.31
409,2017-10-12,30.18
410,2017-10-11,30.16
411,2017-10-10,30.12
412,2017-10-09,30.15
413,2017-10-06,30.32
414,2017-10-05,30.23
415,2017-10-04,30.10
416,2017-10-03,30.07
417,2017-10-02,30.16
418,2017-09-29,29.78
419,2017-09-28,29.65
420,2017-09-27,29.55
421,2017-09-26,29.45
422,2017-09-25,29.35
423,2017-09-22,29.81
424,2017-09-21,29.66
425,2017-09-20,29.60
426,2017-09-19,29.77
427,2017-09-18,29.75
428,2017-09-15,29.80
429,2017-09-14,29.84
430,2017-09-13,29.67
431,2017-09-12,29.64
432,2017-09-11,29.73
433,2017-09-08,29.47
434,2017-09-07,29.38
435,2017-09-06,29.24
436,2017-09-05,29.17
437,2017-09-01,29.05
438,2017-08-31,28.83
439,2017-08-30,28.98
440,2017-08-29,29.16
441,2017-08-28,29.19
442,2017-08-25,29.09
443,2017-08-24,28.97
444,2017-08-23,28.93
445,2017-08-22,28.81
446,2017-08-21,28.67
447,2017-08-18,28.53
448,2017-08-17,28.38
449,2017-08-16,28.42
450,2017-08-15,28.53
451,2017-08-14,28.72
452,2017-08-11,28.11
453,2017-08-10,27.82
454,2017-08-09,28.02
455,2017-08-08,28.07
456,2017-08-07,27.96
457,2017-08-04,27.88
458,2017-08-03,27.90
459,2017-08-02,27.83
460,2017-08-01,27.80
461,2017-07-31,27.83
462,2017-07-28,28.07
463,2017-07-27,28.13
464,2017-07-26,28.02
