,Date,NAV
1,2019-05-30,22.44
2,2019-05-29,22.05
3,2019-05-28,21.98
4,2019-05-24,22.31
5,2019-05-23,22.04
6,2019-05-22,22.00
7,2019-05-21,22.42
8,2019-05-20,22.39
9,2019-05-17,22.59
10,2019-05-16,22.51
11,2019-05-15,22.95
12,2019-05-14,22.94
13,2019-05-13,23.10
14,2019-05-10,22.88
15,2019-05-09,23.05
16,2019-05-08,23.58
17,2019-05-07,24.04
18,2019-05-06,23.75
19,2019-05-03,23.80
20,2019-05-02,23.46
21,2019-05-01,24.02
22,2019-04-30,24.46
23,2019-04-29,24.31
24,2019-04-26,24.76
25,2019-04-25,24.04
26,2019-04-24,24.17
27,2019-04-23,24.18
28,2019-04-22,24.37
29,2019-04-18,24.65
30,2019-04-17,24.94
31,2019-04-16,25.35
32,2019-04-15,25.56
33,2019-04-12,25.65
34,2019-04-11,25.79
35,2019-04-10,26.40
36,2019-04-09,26.54
37,2019-04-08,26.67
38,2019-04-05,26.44
39,2019-04-04,26.53
40,2019-04-03,26.05
41,2019-04-02,26.02
42,2019-04-01,26.01
43,2019-03-29,26.40
44,2019-03-28,26.62
45,2019-03-27,27.22
46,2019-03-26,27.56
47,2019-03-25,27.71
48,2019-03-22,27.20
49,2019-03-21,27.29
50,2019-03-20,27.13
51,2019-03-19,26.61
52,2019-03-18,26.53
53,2019-03-15,26.61
54,2019-03-14,26.28
55,2019-03-13,26.87
56,2019-03-12,26.66
57,2019-03-11,26.21
58,2019-03-08,26.27
59,2019-03-07,25.77
60,2019-03-06,25.76
61,2019-03-05,26.22
62,2019-03-04,26.12
63,2019-03-01,26.01
64,2019-02-28,26.88
65,2019-02-27,27.27
66,2019-02-26,27.67
67,2019-02-25,27.72
68,2019-02-22,27.65
69,2019-02-21,27.45
70,2019-02-20,27.63
71,2019-02-19,27.67
72,2019-02-15,26.79
73,2019-02-14,26.45
74,2019-02-13,26.13
75,2019-02-12,26.33
76,2019-02-11,26.35
77,2019-02-08,26.84
78,2019-02-07,26.52
79,2019-02-06,26.84
80,2019-02-05,27.15
81,2019-02-04,26.98
82,2019-02-01,26.88
83,2019-01-31,27.14
84,2019-01-30,26.77
85,2019-01-29,26.19
86,2019-01-28,25.75
87,2019-01-25,25.49
88,2019-01-24,24.52
89,2019-01-23,24.53
90,2019-01-22,24.52
91,2019-01-18,24.73
92,2019-01-17,25.14
93,2019-01-16,25.19
94,2019-01-15,25.19
95,2019-01-14,25.75
96,2019-01-11,25.97
97,2019-01-10,26.18
98,2019-01-09,26.51
99,2019-01-08,26.07
100,2019-01-07,25.90
101,2019-01-04,26.00
102,2019-01-03,25.87
103,2019-01-02,25.17
104,2018-12-31,25.02
105,2018-12-28,24.96
106,2018-12-27,25.09
107,2018-12-26,24.98
108,2018-12-24,24.91
109,2018-12-21,24.44
110,2018-12-20,24.94
111,2018-12-19,24.09
112,2018-12-18,25.16
113,2018-12-17,24.49
114,2018-12-14,24.31
115,2018-12-13,24.22
116,2018-12-12,24.05
117,2018-12-11,23.52
118,2018-12-10,23.58
119,2018-12-07,23.59
120,2018-12-06,23.28
121,2018-12-04,23.28
122,2018-12-03,23.14
123,2018-11-30,22.77
124,2018-11-29,23.09
125,2018-11-28,23.17
126,2018-11-27,22.55
127,2018-11-26,22.89
128,2018-11-23,23.09
129,2018-11-21,23.94
130,2018-11-20,23.28
131,2018-11-19,23.61
132,2018-11-16,23.61
133,2018-11-15,23.12
134,2018-11-14,22.83
135,2018-11-13,22.20
136,2018-11-12,22.34
137,2018-11-09,23.07
138,2018-11-08,23.34
139,2018-11-07,23.37
140,2018-11-06,23.47
141,2018-11-05,23.79
142,2018-11-02,23.82
143,2018-11-01,23.68
144,2018-10-31,22.79
145,2018-10-30,23.22
146,2018-10-29,23.29
147,2018-10-26,23.62
148,2018-10-25,23.83
149,2018-10-24,24.37
150,2018-10-23,24.90
151,2018-10-22,24.63
152,2018-10-19,24.76
153,2018-10-18,24.82
154,2018-10-17,25.07
155,2018-10-16,25.11
156,2018-10-15,24.86
157,2018-10-12,24.49
158,2018-10-11,24.34
159,2018-10-10,23.38
160,2018-10-09,23.58
161,2018-10-08,23.66
162,2018-10-05,23.64
163,2018-10-04,23.72
164,2018-10-03,23.77
165,2018-10-02,23.94
166,2018-10-01,23.76
167,2018-09-28,23.94
168,2018-09-27,23.84
169,2018-09-26,23.97
170,2018-09-25,24.33
171,2018-09-24,24.21
172,2018-09-21,24.39
173,2018-09-20,24.73
174,2018-09-19,24.45
175,2018-09-18,23.83
176,2018-09-17,23.80
177,2018-09-14,23.32
178,2018-09-13,23.45
179,2018-09-12,23.68
180,2018-09-11,22.92
181,2018-09-10,23.02
182,2018-09-07,23.29
183,2018-09-06,23.55
184,2018-09-05,23.44
185,2018-09-04,23.50
186,2018-08-31,24.37
187,2018-08-30,24.48
188,2018-08-29,25.10
189,2018-08-28,24.87
190,2018-08-27,25.40
191,2018-08-24,24.91
192,2018-08-23,23.88
193,2018-08-22,24.78
194,2018-08-21,24.74
195,2018-08-20,24.50
196,2018-08-17,24.22
197,2018-08-16,23.59
198,2018-08-15,23.84
199,2018-08-14,25.28
200,2018-08-13,25.34
201,2018-08-10,26.20
202,2018-08-09,26.63
203,2018-08-08,26.47
204,2018-08-07,26.52
205,2018-08-06,26.58
206,2018-08-03,26.90
207,2018-08-02,26.58
208,2018-08-01,26.92
209,2018-07-31,27.40
210,2018-07-30,27.01
211,2018-07-27,27.20
212,2018-07-26,27.37
213,2018-07-25,28.05
214,2018-07-24,27.89
215,2018-07-23,27.33
216,2018-07-20,27.75
217,2018-07-19,27.39
218,2018-07-18,27.95
219,2018-07-17,27.94
220,2018-07-16,28.05
221,2018-07-13,28.24
222,2018-07-12,28.50
223,2018-07-11,28.14
224,2018-07-10,29.06
225,2018-07-09,29.23
226,2018-07-06,29.10
227,2018-07-05,28.88
228,2018-07-03,28.76
229,2018-07-02,28.28
230,2018-06-29,28.53
231,2018-06-28,28.01
232,2018-06-27,28.18
233,2018-06-26,28.60
234,2018-06-25,28.61
235,2018-06-22,28.95
236,2018-06-21,28.47
237,2018-06-20,28.68
238,2018-06-19,28.56
239,2018-06-18,29.07
240,2018-06-15,29.22
241,2018-06-14,29.90
242,2018-06-13,29.90
243,2018-06-12,29.77
244,2018-06-11,29.94
245,2018-06-08,29.85
246,2018-06-07,30.15
247,2018-06-06,30.18
248,2018-06-05,30.04
249,2018-06-04,29.86
250,2018-06-01,30.17
251,2018-05-31,29.99
252,2018-05-30,30.08
253,2018-05-29,29.93
254,2018-05-25,30.23
255,2018-05-24,30.76
256,2018-05-23,30.63
257,2018-05-22,30.72
258,2018-05-21,30.38
259,2018-05-18,30.31
260,2018-05-17,30.38
261,2018-05-16,30.25
262,2018-05-15,29.99
263,2018-05-14,30.63
264,2018-05-11,30.93
265,2018-05-10,30.79
266,2018-05-09,30.20
267,2018-05-08,30.20
268,2018-05-07,30.36
269,2018-05-04,30.49
270,2018-05-03,30.33
271,2018-05-02,30.26
272,2018-05-01,30.01
273,2018-04-30,30.21
274,2018-04-27,30.57
275,2018-04-26,30.54
276,2018-04-25,30.39
277,2018-04-24,30.65
278,2018-04-23,30.39
279,2018-04-20,31.07
280,2018-04-19,31.43
281,2018-04-18,31.40
282,2018-04-17,30.68
283,2018-04-16,30.32
284,2018-04-13,30.80
285,2018-04-12,30.52
286,2018-04-11,30.36
287,2018-04-10,30.07
288,2018-04-09,29.47
289,2018-04-06,29.99
290,2018-04-05,30.39
291,2018-04-04,30.27
292,2018-04-03,30.02
293,2018-04-02,30.33
294,2018-03-29,30.35
295,2018-03-28,29.74
296,2018-03-27,30.12
297,2018-03-26,30.55
298,2018-03-23,30.20
299,2018-03-22,29.73
300,2018-03-21,30.07
301,2018-03-20,29.01
302,2018-03-19,29.32
303,2018-03-16,29.63
304,2018-03-15,29.65
305,2018-03-14,30.17
306,2018-03-13,30.38
307,2018-03-12,30.21
308,2018-03-09,30.09
309,2018-03-08,29.86
310,2018-03-07,29.86
311,2018-03-06,30.30
312,2018-03-05,29.60
313,2018-03-02,29.59
314,2018-03-01,29.37
315,2018-02-28,29.21
316,2018-02-27,29.76
317,2018-02-26,30.54
318,2018-02-23,30.08
319,2018-02-22,29.96
320,2018-02-21,29.92
321,2018-02-20,30.08
322,2018-02-16,30.92
323,2018-02-15,31.43
324,2018-02-14,31.01
325,2018-02-13,29.61
326,2018-02-12,29.68
327,2018-02-09,28.44
328,2018-02-08,29.01
329,2018-02-07,29.27
330,2018-02-06,30.25
331,2018-02-05,30.31
332,2018-02-02,30.49
333,2018-02-01,31.88
334,2018-01-31,31.92
335,2018-01-30,31.58
336,2018-01-29,31.98
337,2018-01-26,32.72
338,2018-01-25,32.54
339,2018-01-24,33.52
340,2018-01-23,32.69
341,2018-01-22,32.61
342,2018-01-19,32.68
343,2018-01-18,32.35
344,2018-01-17,33.00
345,2018-01-16,33.34
346,2018-01-12,33.36
347,2018-01-11,32.65
348,2018-01-10,32.45
349,2018-01-09,32.11
350,2018-01-08,32.19
