,Date,NAV
1,2019-05-30,7.76
2,2019-05-29,7.65
3,2019-05-28,7.64
4,2019-05-24,7.64
5,2019-05-23,7.65
6,2019-05-22,7.68
7,2019-05-21,7.79
8,2019-05-20,7.81
9,2019-05-17,7.85
10,2019-05-16,7.80
11,2019-05-15,7.97
12,2019-05-14,7.96
13,2019-05-13,8.05
14,2019-05-10,7.95
15,2019-05-09,7.99
16,2019-05-08,8.12
17,2019-05-07,8.24
18,2019-05-06,8.14
19,2019-05-03,8.21
20,2019-05-02,8.10
21,2019-05-01,8.30
22,2019-04-30,8.46
23,2019-04-29,8.39
24,2019-04-26,8.53
25,2019-04-25,8.32
26,2019-04-24,8.28
27,2019-04-23,8.22
28,2019-04-22,8.32
29,2019-04-18,8.45
30,2019-04-17,8.51
31,2019-04-16,8.69
32,2019-04-15,8.85
33,2019-04-12,8.75
34,2019-04-11,8.86
35,2019-04-10,9.12
36,2019-04-09,9.15
37,2019-04-08,9.18
38,2019-04-05,9.09
39,2019-04-04,9.04
40,2019-04-03,8.96
41,2019-04-02,8.97
42,2019-04-01,8.93
43,2019-03-29,9.15
44,2019-03-28,9.25
45,2019-03-27,9.53
46,2019-03-26,9.57
47,2019-03-25,9.56
48,2019-03-22,9.41
49,2019-03-21,9.35
50,2019-03-20,9.25
51,2019-03-19,9.14
52,2019-03-18,9.07
53,2019-03-15,9.18
54,2019-03-14,9.08
55,2019-03-13,9.23
56,2019-03-12,9.09
57,2019-03-11,8.99
58,2019-03-08,8.98
59,2019-03-07,8.78
60,2019-03-06,8.69
61,2019-03-05,8.94
62,2019-03-04,8.83
63,2019-03-01,8.85
64,2019-02-28,9.21
65,2019-02-27,9.26
66,2019-02-26,9.40
67,2019-02-25,9.58
68,2019-02-22,9.61
69,2019-02-21,9.45
70,2019-02-20,9.54
71,2019-02-19,9.39
72,2019-02-15,9.09
73,2019-02-14,9.00
74,2019-02-13,8.94
75,2019-02-12,8.93
76,2019-02-11,9.02
77,2019-02-08,9.10
78,2019-02-07,9.04
79,2019-02-06,9.13
80,2019-02-05,9.10
81,2019-02-04,9.10
82,2019-02-01,9.10
83,2019-01-31,9.14
84,2019-01-30,8.95
85,2019-01-29,8.78
86,2019-01-28,8.53
87,2019-01-25,8.51
88,2019-01-24,8.29
89,2019-01-23,8.20
90,2019-01-22,8.20
91,2019-01-18,8.18
92,2019-01-17,8.31
93,2019-01-16,8.41
94,2019-01-15,8.35
95,2019-01-14,8.61
96,2019-01-11,8.72
97,2019-01-10,8.77
98,2019-01-09,8.82
99,2019-01-08,8.68
100,2019-01-07,8.68
101,2019-01-04,8.70
102,2019-01-03,8.69
103,2019-01-02,8.41
104,2018-12-31,8.34
105,2018-12-28,8.26
106,2018-12-27,8.28
107,2018-12-26,8.21
108,2018-12-24,8.18
109,2018-12-21,8.14
110,2018-12-20,8.31
111,2018-12-19,8.06
112,2018-12-18,8.32
113,2018-12-17,8.13
114,2018-12-14,7.91
115,2018-12-13,7.77
116,2018-12-12,7.80
117,2018-12-11,7.60
118,2018-12-10,7.68
119,2018-12-07,7.79
120,2018-12-06,7.51
121,2018-12-04,7.55
122,2018-12-03,7.57
123,2018-11-30,7.37
124,2018-11-29,7.47
125,2018-11-28,7.46
126,2018-11-27,7.28
127,2018-11-26,7.36
128,2018-11-23,7.51
129,2018-11-21,7.86
130,2018-11-20,7.69
131,2018-11-19,7.77
132,2018-11-16,7.80
133,2018-11-15,7.57
134,2018-11-14,7.51
135,2018-11-13,7.39
136,2018-11-12,7.49
137,2018-11-09,7.82
138,2018-11-08,7.83
139,2018-11-07,7.92
140,2018-11-06,7.95
141,2018-11-05,8.11
142,2018-11-02,8.11
143,2018-11-01,8.13
144,2018-10-31,7.92
145,2018-10-30,7.95
146,2018-10-29,7.97
147,2018-10-26,8.11
148,2018-10-25,8.01
149,2018-10-24,8.30
150,2018-10-23,8.49
151,2018-10-22,8.44
152,2018-10-19,8.55
153,2018-10-18,8.57
154,2018-10-17,8.65
155,2018-10-16,8.67
156,2018-10-15,8.60
157,2018-10-12,8.53
158,2018-10-11,8.54
159,2018-10-10,8.13
160,2018-10-09,8.16
161,2018-10-08,8.23
