,Date,NAV
1,2019-05-30,47.00
2,2019-05-29,47.93
3,2019-05-28,48.02
4,2019-05-24,47.44
5,2019-05-23,47.51
6,2019-05-22,48.67
7,2019-05-21,48.51
8,2019-05-20,48.17
9,2019-05-17,48.15
10,2019-05-16,47.12
11,2019-05-15,46.09
12,2019-05-14,46.00
13,2019-05-13,45.71
14,2019-05-10,47.22
15,2019-05-09,47.43
16,2019-05-08,47.73
17,2019-05-07,47.32
18,2019-05-06,47.79
19,2019-05-03,48.00
20,2019-05-02,48.92
21,2019-05-01,48.34
22,2019-04-30,47.37
23,2019-04-29,47.79
24,2019-04-26,47.12
25,2019-04-25,48.09
26,2019-04-24,48.28
27,2019-04-23,48.79
28,2019-04-22,48.33
29,2019-04-18,48.39
30,2019-04-17,48.42
31,2019-04-16,48.13
32,2019-04-15,46.83
33,2019-04-12,46.58
34,2019-04-11,46.39
35,2019-04-10,44.67
36,2019-04-09,45.08
37,2019-04-08,45.69
38,2019-04-05,46.36
39,2019-04-04,46.18
40,2019-04-03,46.54
41,2019-04-02,46.39
42,2019-04-01,46.83
43,2019-03-29,46.26
44,2019-03-28,46.34
45,2019-03-27,44.46
46,2019-03-26,43.78
47,2019-03-25,43.11
48,2019-03-22,44.09
49,2019-03-21,44.42
50,2019-03-20,43.88
51,2019-03-19,44.72
52,2019-03-18,45.03
53,2019-03-15,45.17
54,2019-03-14,45.79
55,2019-03-13,44.30
56,2019-03-12,45.26
57,2019-03-11,46.08
58,2019-03-08,45.38
59,2019-03-07,46.95
60,2019-03-06,46.68
61,2019-03-05,46.58
62,2019-03-04,46.74
63,2019-03-01,46.38
64,2019-02-28,44.06
65,2019-02-27,43.22
66,2019-02-26,42.39
67,2019-02-25,42.56
68,2019-02-22,42.41
69,2019-02-21,42.87
70,2019-02-20,41.43
71,2019-02-19,41.22
72,2019-02-15,43.16
73,2019-02-14,44.07
74,2019-02-13,44.73
75,2019-02-12,44.16
76,2019-02-11,44.43
77,2019-02-08,43.79
78,2019-02-07,44.28
79,2019-02-06,44.54
80,2019-02-05,43.70
81,2019-02-04,44.01
82,2019-02-01,43.39
83,2019-01-31,43.16
84,2019-01-30,43.23
85,2019-01-29,43.97
86,2019-01-28,44.70
87,2019-01-25,45.14
88,2019-01-24,47.21
89,2019-01-23,46.98
90,2019-01-22,46.77
91,2019-01-18,47.17
92,2019-01-17,45.97
93,2019-01-16,45.79
94,2019-01-15,46.22
95,2019-01-14,45.91
96,2019-01-11,46.24
97,2019-01-10,46.42
98,2019-01-09,45.61
99,2019-01-08,46.48
100,2019-01-07,46.09
101,2019-01-04,46.43
102,2019-01-03,45.36
103,2019-01-02,46.66
104,2018-12-31,46.75
105,2018-12-28,46.94
106,2018-12-27,47.46
107,2018-12-26,48.43
108,2018-12-24,48.02
109,2018-12-21,49.70
110,2018-12-20,48.99
111,2018-12-19,51.27
112,2018-12-18,50.36
113,2018-12-17,50.74
114,2018-12-14,51.75
115,2018-12-13,51.10
116,2018-12-12,50.67
117,2018-12-11,51.01
118,2018-12-10,50.88
119,2018-12-07,50.26
120,2018-12-06,51.63
121,2018-12-04,51.57
122,2018-12-03,52.61
123,2018-11-30,53.77
124,2018-11-29,53.34
125,2018-11-28,53.84
126,2018-11-27,54.57
127,2018-11-26,53.55
128,2018-11-23,53.47
129,2018-11-21,53.17
130,2018-11-20,53.58
131,2018-11-19,53.46
132,2018-11-16,53.61
133,2018-11-15,54.75
134,2018-11-14,54.92
135,2018-11-13,56.36
136,2018-11-12,56.43
137,2018-11-09,55.25
138,2018-11-08,53.41
139,2018-11-07,53.06
140,2018-11-06,52.99
141,2018-11-05,52.37
142,2018-11-02,52.08
143,2018-11-01,52.04
144,2018-10-31,54.38
145,2018-10-30,53.46
146,2018-10-29,52.71
147,2018-10-26,52.09
148,2018-10-25,52.53
149,2018-10-24,52.14
150,2018-10-23,52.48
151,2018-10-22,53.47
152,2018-10-19,52.97
153,2018-10-18,53.14
154,2018-10-17,53.26
155,2018-10-16,53.17
156,2018-10-15,53.05
157,2018-10-12,54.04
158,2018-10-11,53.39
159,2018-10-10,57.75
160,2018-10-09,58.20
161,2018-10-08,58.39
162,2018-10-05,56.35
163,2018-10-04,56.89
164,2018-10-03,57.00
165,2018-10-02,56.33
166,2018-10-01,58.36
167,2018-09-28,58.05
168,2018-09-27,59.19
169,2018-09-26,57.63
170,2018-09-25,56.69
171,2018-09-24,56.98
172,2018-09-21,56.99
173,2018-09-20,55.78
174,2018-09-19,56.31
175,2018-09-18,57.07
176,2018-09-17,56.72
177,2018-09-14,57.65
178,2018-09-13,56.54
179,2018-09-12,55.85
180,2018-09-11,57.33
181,2018-09-10,57.41
182,2018-09-07,57.28
183,2018-09-06,56.78
184,2018-09-05,57.13
185,2018-09-04,57.68
186,2018-08-31,56.78
187,2018-08-30,56.60
188,2018-08-29,55.73
189,2018-08-28,56.46
190,2018-08-27,55.18
191,2018-08-24,55.81
192,2018-08-23,58.81
193,2018-08-22,57.16
194,2018-08-21,57.51
195,2018-08-20,58.04
196,2018-08-17,58.95
197,2018-08-16,60.52
198,2018-08-15,60.40
199,2018-08-14,57.48
200,2018-08-13,57.66
201,2018-08-10,55.14
202,2018-08-09,55.07
203,2018-08-08,54.79
204,2018-08-07,55.26
205,2018-08-06,55.62
206,2018-08-03,54.74
207,2018-08-02,55.39
208,2018-08-01,54.39
209,2018-07-31,53.24
210,2018-07-30,53.67
211,2018-07-27,53.42
212,2018-07-26,53.45
213,2018-07-25,52.22
214,2018-07-24,53.12
215,2018-07-23,53.21
216,2018-07-20,52.40
217,2018-07-19,53.40
218,2018-07-18,52.63
219,2018-07-17,52.64
220,2018-07-16,50.98
221,2018-07-13,50.91
222,2018-07-12,50.23
223,2018-07-11,50.78
224,2018-07-10,49.18
225,2018-07-09,48.83
226,2018-07-06,49.21
227,2018-07-05,48.92
228,2018-07-03,49.40
229,2018-07-02,50.99
230,2018-06-29,49.46
231,2018-06-28,49.99
232,2018-06-27,49.53
233,2018-06-26,48.67
234,2018-06-25,47.97
235,2018-06-22,47.41
236,2018-06-21,47.71
237,2018-06-20,47.45
238,2018-06-19,46.78
239,2018-06-18,46.44
240,2018-06-15,46.19
241,2018-06-14,43.92
242,2018-06-13,44.15
243,2018-06-12,44.57
244,2018-06-11,43.89
245,2018-06-08,44.27
246,2018-06-07,44.45
247,2018-06-06,44.41
248,2018-06-05,44.44
249,2018-06-04,44.99
250,2018-06-01,44.77
251,2018-05-31,44.18
252,2018-05-30,43.86
253,2018-05-29,44.11
254,2018-05-25,44.04
255,2018-05-24,43.60
256,2018-05-23,44.82
257,2018-05-22,44.94
258,2018-05-21,44.88
259,2018-05-18,44.93
260,2018-05-17,44.98
261,2018-05-16,45.01
262,2018-05-15,44.81
263,2018-05-14,42.76
264,2018-05-11,42.19
265,2018-05-10,42.02
266,2018-05-09,42.89
267,2018-05-08,42.63
268,2018-05-07,42.62
269,2018-05-04,42.60
270,2018-05-03,42.86
271,2018-05-02,43.55
272,2018-05-01,43.52
273,2018-04-30,42.58
274,2018-04-27,41.66
275,2018-04-26,42.27
276,2018-04-25,41.76
277,2018-04-24,40.93
278,2018-04-23,41.55
279,2018-04-20,40.59
280,2018-04-19,39.61
281,2018-04-18,39.38
282,2018-04-17,39.46
283,2018-04-16,39.55
284,2018-04-13,39.70
285,2018-04-12,40.53
286,2018-04-11,39.11
287,2018-04-10,40.07
288,2018-04-09,40.41
289,2018-04-06,40.73
290,2018-04-05,41.45
291,2018-04-04,40.73
292,2018-04-03,40.86
293,2018-04-02,39.90
294,2018-03-29,41.41
295,2018-03-28,41.43
296,2018-03-27,39.66
297,2018-03-26,38.92
298,2018-03-23,39.55
299,2018-03-22,41.21
300,2018-03-21,40.70
301,2018-03-20,42.93
302,2018-03-19,42.33
303,2018-03-16,42.63
304,2018-03-15,42.34
305,2018-03-14,41.52
306,2018-03-13,41.42
307,2018-03-12,41.62
308,2018-03-09,41.64
309,2018-03-08,41.75
310,2018-03-07,41.46
311,2018-03-06,40.63
312,2018-03-05,42.01
313,2018-03-02,41.78
314,2018-03-01,42.49
315,2018-02-28,42.26
316,2018-02-27,42.16
317,2018-02-26,40.77
318,2018-02-23,41.14
319,2018-02-22,40.92
320,2018-02-21,41.54
321,2018-02-20,40.97
322,2018-02-16,39.38
323,2018-02-15,38.96
324,2018-02-14,39.08
325,2018-02-13,41.29
326,2018-02-12,42.04
327,2018-02-09,42.71
328,2018-02-08,42.42
329,2018-02-07,42.64
330,2018-02-06,42.00
331,2018-02-05,40.65
332,2018-02-02,41.06
333,2018-02-01,39.40
334,2018-01-31,39.73
335,2018-01-30,40.57
336,2018-01-29,40.12
337,2018-01-26,39.39
338,2018-01-25,39.50
339,2018-01-24,38.67
340,2018-01-23,40.18
341,2018-01-22,40.75
342,2018-01-19,40.98
343,2018-01-18,41.53
344,2018-01-17,41.25
345,2018-01-16,40.33
346,2018-01-12,40.43
347,2018-01-11,41.91
348,2018-01-10,42.35
349,2018-01-09,42.65
350,2018-01-08,42.07
351,2018-01-05,42.05
352,2018-01-04,41.86
353,2018-01-03,42.51
354,2018-01-02,42.17
355,2017-12-29,43.62
356,2017-12-28,44.53
357,2017-12-27,44.97
358,2017-12-26,45.44
359,2017-12-22,46.44
360,2017-12-21,47.28
361,2017-12-20,47.50
362,2017-12-19,47.94
363,2017-12-18,48.01
364,2017-12-15,48.70
365,2017-12-14,49.08
366,2017-12-13,48.82
367,2017-12-12,50.17
368,2017-12-11,50.39
369,2017-12-08,49.72
370,2017-12-07,49.78
371,2017-12-06,47.81
