,Date,NAV
1,2019-05-30,47.81
2,2019-05-29,47.06
3,2019-05-28,48.47
4,2019-05-24,50.66
5,2019-05-23,50.40
6,2019-05-22,50.97
7,2019-05-21,50.03
8,2019-05-20,48.77
9,2019-05-17,48.86
10,2019-05-16,49.10
11,2019-05-15,48.04
12,2019-05-14,47.66
13,2019-05-13,47.09
14,2019-05-10,49.67
15,2019-05-09,49.81
16,2019-05-08,50.07
17,2019-05-07,49.88
18,2019-05-06,52.95
19,2019-05-03,52.00
20,2019-05-02,50.91
21,2019-05-01,50.18
22,2019-04-30,50.64
23,2019-04-29,49.87
24,2019-04-26,50.23
25,2019-04-25,48.84
26,2019-04-24,47.31
27,2019-04-23,47.44
28,2019-04-22,45.34
29,2019-04-18,45.20
30,2019-04-17,45.11
31,2019-04-16,49.37
32,2019-04-15,52.55
33,2019-04-12,51.94
34,2019-04-11,53.46
35,2019-04-10,55.51
36,2019-04-09,55.35
37,2019-04-08,55.99
38,2019-04-05,56.04
39,2019-04-04,54.92
40,2019-04-03,55.28
41,2019-04-02,55.44
42,2019-04-01,55.83
43,2019-03-29,55.59
44,2019-03-28,53.70
45,2019-03-27,53.30
46,2019-03-26,54.62
47,2019-03-25,53.59
48,2019-03-22,53.69
49,2019-03-21,56.81
50,2019-03-20,56.15
51,2019-03-19,57.39
52,2019-03-18,56.02
53,2019-03-15,56.26
54,2019-03-14,55.55
55,2019-03-13,55.84
56,2019-03-12,54.13
57,2019-03-11,53.00
58,2019-03-08,51.16
59,2019-03-07,51.55
60,2019-03-06,52.81
61,2019-03-05,55.34
62,2019-03-04,55.45
63,2019-03-01,57.78
64,2019-02-28,55.39
65,2019-02-27,55.91
66,2019-02-26,56.74
67,2019-02-25,57.34
68,2019-02-22,57.14
69,2019-02-21,55.57
70,2019-02-20,57.12
71,2019-02-19,57.37
72,2019-02-15,57.81
73,2019-02-14,55.33
74,2019-02-13,54.89
75,2019-02-12,54.50
76,2019-02-11,52.42
77,2019-02-08,52.62
78,2019-02-07,52.38
79,2019-02-06,54.11
80,2019-02-05,53.52
81,2019-02-04,53.74
82,2019-02-01,54.20
83,2019-01-31,54.04
84,2019-01-30,52.08
85,2019-01-29,50.04
86,2019-01-28,49.36
87,2019-01-25,51.09
88,2019-01-24,50.91
