,Date,NAV
1,2019-05-30,129.94
2,2019-05-29,129.22
3,2019-05-28,131.23
4,2019-05-24,132.49
5,2019-05-23,131.41
6,2019-05-22,133.07
7,2019-05-21,132.94
8,2019-05-20,130.14
9,2019-05-17,131.92
10,2019-05-16,133.33
11,2019-05-15,131.87
12,2019-05-14,130.83
13,2019-05-13,128.68
14,2019-05-10,133.90
15,2019-05-09,135.67
16,2019-05-08,136.09
17,2019-05-07,135.95
18,2019-05-06,140.83
19,2019-05-03,140.42
20,2019-05-02,137.97
21,2019-05-01,136.52
22,2019-04-30,138.51
23,2019-04-29,139.63
24,2019-04-26,140.06
25,2019-04-25,139.25
26,2019-04-24,138.45
27,2019-04-23,140.07
28,2019-04-22,136.47
29,2019-04-18,136.53
30,2019-04-17,137.52
31,2019-04-16,145.21
32,2019-04-15,146.78
33,2019-04-12,147.99
34,2019-04-11,149.58
35,2019-04-10,153.18
36,2019-04-09,151.38
37,2019-04-08,153.77
38,2019-04-05,154.76
39,2019-04-04,151.51
40,2019-04-03,153.34
41,2019-04-02,152.56
42,2019-04-01,151.14
43,2019-03-29,150.85
44,2019-03-28,147.89
45,2019-03-27,146.43
46,2019-03-26,149.09
47,2019-03-25,145.95
48,2019-03-22,145.66
49,2019-03-21,150.98
50,2019-03-20,150.16
51,2019-03-19,151.26
52,2019-03-18,151.18
53,2019-03-15,151.46
54,2019-03-14,149.62
55,2019-03-13,150.59
56,2019-03-12,147.48
57,2019-03-11,146.35
58,2019-03-08,143.05
59,2019-03-07,143.70
60,2019-03-06,144.53
61,2019-03-05,148.73
62,2019-03-04,148.72
63,2019-03-01,151.30
64,2019-02-28,150.22
65,2019-02-27,151.28
66,2019-02-26,147.81
67,2019-02-25,148.48
68,2019-02-22,144.92
69,2019-02-21,142.61
70,2019-02-20,145.52
71,2019-02-19,146.34
72,2019-02-15,147.15
73,2019-02-14,144.87
74,2019-02-13,144.06
75,2019-02-12,143.31
76,2019-02-11,141.71
77,2019-02-08,140.76
78,2019-02-07,140.96
79,2019-02-06,144.35
80,2019-02-05,144.96
81,2019-02-04,144.72
82,2019-02-01,144.50
83,2019-01-31,143.77
84,2019-01-30,142.19
85,2019-01-29,140.25
86,2019-01-28,140.47
87,2019-01-25,143.23
88,2019-01-24,140.82
89,2019-01-23,139.97
90,2019-01-22,140.86
91,2019-01-18,144.28
92,2019-01-17,142.65
93,2019-01-16,141.18
94,2019-01-15,141.37
95,2019-01-14,138.05
96,2019-01-11,140.20
97,2019-01-10,140.31
98,2019-01-09,138.03
99,2019-01-08,136.62
100,2019-01-07,134.02
101,2019-01-04,129.56
102,2019-01-03,123.09
103,2019-01-02,124.06
104,2018-12-31,124.20
105,2018-12-28,121.44
106,2018-12-27,121.57
107,2018-12-26,121.24
108,2018-12-24,114.50
109,2018-12-21,115.92
110,2018-12-20,120.49
111,2018-12-19,123.06
112,2018-12-18,125.99
113,2018-12-17,127.89
114,2018-12-14,130.29
115,2018-12-13,132.45
116,2018-12-12,134.98
117,2018-12-11,132.78
118,2018-12-10,132.37
119,2018-12-07,131.58
120,2018-12-06,136.42
121,2018-12-04,135.96
122,2018-12-03,141.72
123,2018-11-30,140.05
124,2018-11-29,139.13
125,2018-11-28,140.03
126,2018-11-27,135.29
127,2018-11-26,136.84
128,2018-11-23,133.67
129,2018-11-21,132.81
130,2018-11-20,131.75
131,2018-11-19,132.41
132,2018-11-16,135.46
133,2018-11-15,133.88
134,2018-11-14,130.17
135,2018-11-13,132.95
136,2018-11-12,132.89
137,2018-11-09,137.98
138,2018-11-08,141.98
139,2018-11-07,143.56
140,2018-11-06,141.04
141,2018-11-05,141.14
142,2018-11-02,141.29
143,2018-11-01,139.98
144,2018-10-31,133.76
145,2018-10-30,132.69
146,2018-10-29,131.17
147,2018-10-26,133.59
148,2018-10-25,134.92
149,2018-10-24,130.46
150,2018-10-23,140.67
151,2018-10-22,141.00
152,2018-10-19,143.86
153,2018-10-18,146.43
154,2018-10-17,149.10
155,2018-10-16,149.26
156,2018-10-15,143.01
157,2018-10-12,144.57
158,2018-10-11,141.83
159,2018-10-10,143.95
160,2018-10-09,149.28
161,2018-10-08,150.18
162,2018-10-05,152.37
163,2018-10-04,153.02
164,2018-10-03,156.72
165,2018-10-02,156.26
166,2018-10-01,157.53
167,2018-09-28,158.49
168,2018-09-27,159.14
169,2018-09-26,157.61
170,2018-09-25,157.48
171,2018-09-24,156.67
172,2018-09-21,153.43
173,2018-09-20,154.40
174,2018-09-19,151.10
175,2018-09-18,151.22
176,2018-09-17,149.27
177,2018-09-14,151.50
178,2018-09-13,151.76
179,2018-09-12,150.85
180,2018-09-11,151.00
181,2018-09-10,151.98
182,2018-09-07,151.40
183,2018-09-06,152.50
184,2018-09-05,155.67
185,2018-09-04,156.12
186,2018-08-31,157.26
187,2018-08-30,157.45
188,2018-08-29,157.28
189,2018-08-28,155.33
190,2018-08-27,155.42
191,2018-08-24,151.75
192,2018-08-23,151.70
193,2018-08-22,152.93
194,2018-08-21,151.62
195,2018-08-20,149.52
196,2018-08-17,149.76
197,2018-08-16,149.69
198,2018-08-15,148.18
199,2018-08-14,151.07
200,2018-08-13,149.92
201,2018-08-10,150.88
202,2018-08-09,151.66
203,2018-08-08,151.37
204,2018-08-07,152.65
205,2018-08-06,150.09
206,2018-08-03,149.15
207,2018-08-02,151.36
208,2018-08-01,149.01
209,2018-07-31,148.09
210,2018-07-30,146.45
211,2018-07-27,148.45
212,2018-07-26,151.39
213,2018-07-25,151.32
214,2018-07-24,148.90
215,2018-07-23,150.26
216,2018-07-20,150.70
217,2018-07-19,150.68
218,2018-07-18,150.34
219,2018-07-17,150.71
220,2018-07-16,149.03
221,2018-07-13,150.77
222,2018-07-12,150.73
223,2018-07-11,148.24
224,2018-07-10,148.48
225,2018-07-09,148.19
226,2018-07-06,147.66
227,2018-07-05,142.73
228,2018-07-03,141.93
229,2018-07-02,141.51
230,2018-06-29,140.01
231,2018-06-28,137.41
232,2018-06-27,136.68
233,2018-06-26,140.63
234,2018-06-25,141.29
235,2018-06-22,145.28
236,2018-06-21,145.29
237,2018-06-20,148.00
238,2018-06-19,145.49
239,2018-06-18,144.00
240,2018-06-15,145.50
241,2018-06-14,145.07
242,2018-06-13,143.74
243,2018-06-12,144.79
244,2018-06-11,143.18
245,2018-06-08,142.86
246,2018-06-07,141.76
247,2018-06-06,142.91
248,2018-06-05,140.72
249,2018-06-04,140.88
250,2018-06-01,142.15
251,2018-05-31,139.96
252,2018-05-30,140.04
253,2018-05-29,137.44
254,2018-05-25,137.98
255,2018-05-24,137.42
256,2018-05-23,137.84
257,2018-05-22,137.40
258,2018-05-21,137.05
259,2018-05-18,138.75
260,2018-05-17,137.85
261,2018-05-16,138.30
262,2018-05-15,137.51
263,2018-05-14,138.98
264,2018-05-11,137.40
265,2018-05-10,134.73
266,2018-05-09,134.73
267,2018-05-08,132.80
268,2018-05-07,133.68
269,2018-05-04,132.09
270,2018-05-03,130.40
271,2018-05-02,131.64
272,2018-05-01,133.20
273,2018-04-30,131.92
274,2018-04-27,134.35
275,2018-04-26,133.28
276,2018-04-25,130.83
277,2018-04-24,131.97
278,2018-04-23,134.65
279,2018-04-20,134.60
280,2018-04-19,135.21
281,2018-04-18,137.47
282,2018-04-17,137.57
283,2018-04-16,135.47
284,2018-04-13,136.26
285,2018-04-12,137.08
286,2018-04-11,135.19
287,2018-04-10,135.58
288,2018-04-09,132.27
289,2018-04-06,125.54
290,2018-04-05,129.68
291,2018-04-04,130.80
292,2018-04-03,127.25
293,2018-04-02,126.24
294,2018-03-29,132.90
295,2018-03-28,132.66
296,2018-03-27,132.01
297,2018-03-26,136.42
298,2018-03-23,132.67
299,2018-03-22,135.73
300,2018-03-21,138.87
301,2018-03-20,138.64
302,2018-03-19,138.94
303,2018-03-16,141.41
304,2018-03-15,141.65
305,2018-03-14,143.27
306,2018-03-13,143.43
307,2018-03-12,144.51
308,2018-03-09,143.62
309,2018-03-08,141.62
310,2018-03-07,140.41
311,2018-03-06,139.39
312,2018-03-05,139.25
313,2018-03-02,137.23
314,2018-03-01,133.04
315,2018-02-28,134.89
316,2018-02-27,137.83
317,2018-02-26,139.37
318,2018-02-23,138.44
319,2018-02-22,135.76
320,2018-02-21,136.43
321,2018-02-20,137.18
322,2018-02-16,138.44
323,2018-02-15,138.53
324,2018-02-14,137.22
325,2018-02-13,133.43
326,2018-02-12,132.94
327,2018-02-09,130.43
328,2018-02-08,129.50
329,2018-02-07,135.16
330,2018-02-06,135.62
331,2018-02-05,133.13
332,2018-02-02,139.08
333,2018-02-01,141.70
334,2018-01-31,140.73
335,2018-01-30,143.33
