,Date,NAV
1,2019-05-30,184.76
2,2019-05-29,183.81
3,2019-05-28,185.46
4,2019-05-24,188.20
5,2019-05-23,187.67
6,2019-05-22,188.52
7,2019-05-21,187.43
8,2019-05-20,185.88
9,2019-05-17,186.20
10,2019-05-16,186.52
11,2019-05-15,184.94
12,2019-05-14,184.48
13,2019-05-13,183.56
14,2019-05-10,187.03
15,2019-05-09,187.21
16,2019-05-08,187.33
17,2019-05-07,187.22
18,2019-05-06,191.07
19,2019-05-03,189.87
20,2019-05-02,188.41
21,2019-05-01,187.48
22,2019-04-30,188.22
23,2019-04-29,187.46
24,2019-04-26,187.86
25,2019-04-25,185.99
26,2019-04-24,183.98
27,2019-04-23,184.29
28,2019-04-22,181.19
29,2019-04-18,181.00
30,2019-04-17,180.70
31,2019-04-16,186.52
32,2019-04-15,190.37
33,2019-04-12,189.75
34,2019-04-11,191.56
35,2019-04-10,193.90
36,2019-04-09,193.46
37,2019-04-08,194.39
38,2019-04-05,194.51
39,2019-04-04,193.17
40,2019-04-03,193.61
41,2019-04-02,193.75
42,2019-04-01,193.99
43,2019-03-29,193.78
44,2019-03-28,191.47
45,2019-03-27,190.83
46,2019-03-26,192.60
47,2019-03-25,191.22
48,2019-03-22,191.40
49,2019-03-21,195.27
50,2019-03-20,194.28
51,2019-03-19,195.69
52,2019-03-18,194.19
53,2019-03-15,194.45
54,2019-03-14,193.40
55,2019-03-13,193.76
56,2019-03-12,191.65
57,2019-03-11,190.27
58,2019-03-08,187.93
59,2019-03-07,188.33
60,2019-03-06,189.81
61,2019-03-05,192.84
62,2019-03-04,192.98
63,2019-03-01,195.78
64,2019-02-28,192.73
65,2019-02-27,193.43
66,2019-02-26,194.11
67,2019-02-25,194.79
68,2019-02-22,194.29
69,2019-02-21,192.41
70,2019-02-20,194.16
71,2019-02-19,194.48
72,2019-02-15,195.00
73,2019-02-14,192.16
74,2019-02-13,191.76
75,2019-02-12,191.15
76,2019-02-11,188.67
77,2019-02-08,188.71
78,2019-02-07,188.52
79,2019-02-06,190.58
80,2019-02-05,189.99
81,2019-02-04,190.15
82,2019-02-01,190.71
83,2019-01-31,190.51
84,2019-01-30,188.08
85,2019-01-29,185.40
86,2019-01-28,184.61
87,2019-01-25,186.80
88,2019-01-24,186.37
89,2019-01-23,187.75
90,2019-01-22,187.77
91,2019-01-18,189.12
92,2019-01-17,187.04
93,2019-01-16,185.22
94,2019-01-15,185.64
95,2019-01-14,182.23
96,2019-01-11,184.36
97,2019-01-10,183.79
98,2019-01-09,183.27
99,2019-01-08,182.59
100,2019-01-07,180.76
101,2019-01-04,179.35
102,2019-01-03,173.90
103,2019-01-02,177.85
104,2018-12-31,180.33
105,2018-12-28,177.79
106,2018-12-27,177.67
107,2018-12-26,175.90
108,2018-12-24,168.22
109,2018-12-21,172.09
110,2018-12-20,174.96
111,2018-12-19,177.48
112,2018-12-18,179.83
113,2018-12-17,181.26
114,2018-12-14,185.27
115,2018-12-13,191.30
116,2018-12-12,191.63
117,2018-12-11,189.90
118,2018-12-10,189.60
119,2018-12-07,188.55
120,2018-12-06,193.57
121,2018-12-04,194.27
122,2018-12-03,199.18
123,2018-11-30,197.96
124,2018-11-29,195.97
125,2018-11-28,195.28
126,2018-11-27,190.52
127,2018-11-26,188.87
128,2018-11-23,186.97
129,2018-11-21,186.85
130,2018-11-20,187.42
131,2018-11-19,189.21
132,2018-11-16,192.08
133,2018-11-15,190.14
134,2018-11-14,188.03
135,2018-11-13,190.02
136,2018-11-12,191.39
137,2018-11-09,194.24
138,2018-11-08,195.32
139,2018-11-07,195.31
140,2018-11-06,190.00
141,2018-11-05,188.97
142,2018-11-02,187.49
143,2018-11-01,188.40
144,2018-10-31,185.80
145,2018-10-30,185.31
146,2018-10-29,183.09
147,2018-10-26,183.07
148,2018-10-25,185.01
149,2018-10-24,182.70
150,2018-10-23,189.01
151,2018-10-22,190.05
152,2018-10-19,191.49
153,2018-10-18,193.57
154,2018-10-17,195.96
155,2018-10-16,195.04
156,2018-10-15,189.48
157,2018-10-12,191.08
158,2018-10-11,188.11
159,2018-10-10,192.86
160,2018-10-09,197.74
161,2018-10-08,197.39
162,2018-10-05,197.81
163,2018-10-04,198.16
164,2018-10-03,200.24
165,2018-10-02,200.66
166,2018-10-01,201.24
167,2018-09-28,200.13
168,2018-09-27,199.45
169,2018-09-26,198.66
170,2018-09-25,198.37
171,2018-09-24,198.83
172,2018-09-21,198.30
173,2018-09-20,198.05
174,2018-09-19,196.26
175,2018-09-18,196.52
176,2018-09-17,195.38
177,2018-09-14,196.34
178,2018-09-13,196.90
179,2018-09-12,194.63
180,2018-09-11,193.75
181,2018-09-10,193.68
182,2018-09-07,194.27
183,2018-09-06,194.09
184,2018-09-05,194.14
185,2018-09-04,193.70
186,2018-08-31,195.05
187,2018-08-30,195.05
188,2018-08-29,195.34
189,2018-08-28,194.05
190,2018-08-27,193.85
191,2018-08-24,192.86
192,2018-08-23,192.11
193,2018-08-22,192.37
194,2018-08-21,191.94
195,2018-08-20,191.76
196,2018-08-17,191.28
197,2018-08-16,190.50
198,2018-08-15,188.78
199,2018-08-14,189.21
200,2018-08-13,188.30
201,2018-08-10,188.25
202,2018-08-09,189.02
203,2018-08-08,189.17
204,2018-08-07,189.01
205,2018-08-06,188.80
206,2018-08-03,188.54
207,2018-08-02,187.56
208,2018-08-01,186.84
209,2018-07-31,186.63
210,2018-07-30,184.65
211,2018-07-27,184.69
212,2018-07-26,186.27
213,2018-07-25,186.40
214,2018-07-24,184.38
215,2018-07-23,183.01
216,2018-07-20,182.59
217,2018-07-19,182.88
218,2018-07-18,183.74
219,2018-07-17,183.64
220,2018-07-16,182.52
221,2018-07-13,183.85
222,2018-07-12,183.51
223,2018-07-11,181.38
224,2018-07-10,182.78
225,2018-07-09,181.95
226,2018-07-06,180.80
227,2018-07-05,178.07
228,2018-07-03,176.42
229,2018-07-02,175.88
230,2018-06-29,175.31
231,2018-06-28,174.94
232,2018-06-27,174.50
233,2018-06-26,176.30
234,2018-06-25,176.73
235,2018-06-22,178.60
236,2018-06-21,177.87
237,2018-06-20,178.93
238,2018-06-19,178.41
239,2018-06-18,178.02
240,2018-06-15,179.63
241,2018-06-14,179.08
242,2018-06-13,178.14
243,2018-06-12,178.25
244,2018-06-11,178.28
245,2018-06-08,177.98
246,2018-06-07,176.79
247,2018-06-06,176.88
248,2018-06-05,174.91
249,2018-06-04,175.05
250,2018-06-01,174.40
251,2018-05-31,172.43
252,2018-05-30,174.13
253,2018-05-29,171.76
254,2018-05-25,173.49
255,2018-05-24,173.48
256,2018-05-23,174.00
257,2018-05-22,173.50
258,2018-05-21,173.76
259,2018-05-18,173.91
260,2018-05-17,173.30
261,2018-05-16,173.20
262,2018-05-15,172.19
263,2018-05-14,174.42
264,2018-05-11,173.28
265,2018-05-10,170.74
266,2018-05-09,168.57
267,2018-05-08,167.33
268,2018-05-07,168.64
269,2018-05-04,168.72
270,2018-05-03,167.35
271,2018-05-02,168.39
272,2018-05-01,170.79
273,2018-04-30,170.65
274,2018-04-27,173.53
275,2018-04-26,172.54
276,2018-04-25,170.39
277,2018-04-24,169.74
278,2018-04-23,171.24
279,2018-04-20,170.62
280,2018-04-19,171.48
281,2018-04-18,173.01
282,2018-04-17,172.78
283,2018-04-16,171.41
284,2018-04-13,170.08
285,2018-04-12,170.22
286,2018-04-11,168.88
287,2018-04-10,170.41
288,2018-04-09,167.46
289,2018-04-06,165.74
290,2018-04-05,170.07
291,2018-04-04,170.09
292,2018-04-03,167.74
293,2018-04-02,165.01
294,2018-03-29,169.34
295,2018-03-28,168.17
296,2018-03-27,167.32
297,2018-03-26,169.45
298,2018-03-23,165.91
299,2018-03-22,169.39
300,2018-03-21,174.53
301,2018-03-20,175.04
302,2018-03-19,174.68
303,2018-03-16,177.58
304,2018-03-15,177.54
305,2018-03-14,177.82
306,2018-03-13,178.75
307,2018-03-12,178.56
308,2018-03-09,179.30
309,2018-03-08,176.60
310,2018-03-07,175.28
311,2018-03-06,174.47
312,2018-03-05,174.60
313,2018-03-02,172.91
314,2018-03-01,170.95
315,2018-02-28,173.68
316,2018-02-27,176.69
317,2018-02-26,178.25
318,2018-02-23,176.16
319,2018-02-22,173.55
320,2018-02-21,173.95
321,2018-02-20,174.64
322,2018-02-16,176.61
323,2018-02-15,175.35
324,2018-02-14,173.49
325,2018-02-13,171.18
326,2018-02-12,171.24
327,2018-02-09,169.39
328,2018-02-08,167.06
329,2018-02-07,173.29
330,2018-02-06,173.48
331,2018-02-05,171.57
332,2018-02-02,179.63
333,2018-02-01,182.01
334,2018-01-31,181.63
335,2018-01-30,184.26
336,2018-01-29,188.17
337,2018-01-26,188.60
338,2018-01-25,184.90
339,2018-01-24,183.22
340,2018-01-23,182.70
341,2018-01-22,183.44
342,2018-01-19,181.70
343,2018-01-18,181.08
344,2018-01-17,180.90
345,2018-01-16,179.16
346,2018-01-12,178.56
347,2018-01-11,177.35
348,2018-01-10,176.54
349,2018-01-09,176.84
350,2018-01-08,174.81
351,2018-01-05,175.66
352,2018-01-04,174.25
353,2018-01-03,174.07
354,2018-01-02,172.38
355,2017-12-29,170.45
356,2017-12-28,171.61
357,2017-12-27,171.39
358,2017-12-26,170.92
359,2017-12-22,170.84
360,2017-12-21,171.34
361,2017-12-20,171.69
362,2017-12-19,172.12
363,2017-12-18,172.36
364,2017-12-15,172.25
365,2017-12-14,170.38
366,2017-12-13,172.31
367,2017-12-12,171.67
368,2017-12-11,171.06
369,2017-12-08,170.50
370,2017-12-07,168.58
371,2017-12-06,168.36
372,2017-12-05,168.55
373,2017-12-04,168.96
374,2017-12-01,171.23
375,2017-11-30,171.54
376,2017-11-29,170.16
377,2017-11-28,169.21
378,2017-11-27,168.20
379,2017-11-24,168.12
380,2017-11-22,167.66
381,2017-11-21,167.89
382,2017-11-20,166.43
383,2017-11-17,167.01
384,2017-11-16,167.64
385,2017-11-15,165.83
386,2017-11-14,166.29
387,2017-11-13,167.07
388,2017-11-10,166.85
389,2017-11-09,167.94
390,2017-11-08,168.01
391,2017-11-07,167.60
392,2017-11-06,167.33
393,2017-11-03,167.88
394,2017-11-02,166.28
395,2017-11-01,166.75
396,2017-10-31,166.47
397,2017-10-30,166.64
398,2017-10-27,168.51
399,2017-10-26,168.35
400,2017-10-25,169.77
401,2017-10-24,170.20
402,2017-10-23,171.48
403,2017-10-20,171.83
404,2017-10-19,171.69
405,2017-10-18,170.79
406,2017-10-17,170.51
407,2017-10-16,168.41
408,2017-10-13,169.02
409,2017-10-12,169.45
410,2017-10-11,169.72
411,2017-10-10,169.38
412,2017-10-09,169.01
413,2017-10-06,170.19
414,2017-10-05,170.21
415,2017-10-04,170.12
416,2017-10-03,169.36
417,2017-10-02,169.25
418,2017-09-29,167.61
419,2017-09-28,166.69
420,2017-09-27,166.50
421,2017-09-26,166.48
422,2017-09-25,166.75
423,2017-09-22,167.25
424,2017-09-21,167.17
425,2017-09-20,168.10
426,2017-09-19,167.74
427,2017-09-18,169.20
428,2017-09-15,169.00
429,2017-09-14,169.65
430,2017-09-13,169.33
431,2017-09-12,169.93
432,2017-09-11,169.62
433,2017-09-08,168.34
434,2017-09-07,167.61
435,2017-09-06,166.04
436,2017-09-05,165.27
437,2017-09-01,166.09
438,2017-08-31,166.14
439,2017-08-30,163.30
440,2017-08-29,162.35
441,2017-08-28,162.06
442,2017-08-25,160.93
443,2017-08-24,161.01
444,2017-08-23,160.48
445,2017-08-22,161.62
446,2017-08-21,159.75
447,2017-08-18,159.05
448,2017-08-17,159.69
449,2017-08-16,161.76
450,2017-08-15,161.32
451,2017-08-14,161.21
452,2017-08-11,160.19
453,2017-08-10,159.63
454,2017-08-09,161.87
455,2017-08-08,161.59
456,2017-08-07,162.46
457,2017-08-04,162.24
458,2017-08-03,162.49
459,2017-08-02,162.01
460,2017-08-01,162.17
461,2017-07-31,162.65
462,2017-07-28,162.92
463,2017-07-27,162.17
464,2017-07-26,163.42
465,2017-07-25,163.94
466,2017-07-24,165.21
467,2017-07-21,165.14
468,2017-07-20,165.32
469,2017-07-19,164.18
