,Date,NAV
1,2019-05-30,108.81
2,2019-05-29,109.13
3,2019-05-28,110.07
4,2019-05-24,110.45
5,2019-05-23,109.09
6,2019-05-22,111.78
7,2019-05-21,112.39
8,2019-05-20,111.34
9,2019-05-17,111.62
10,2019-05-16,113.69
11,2019-05-15,113.23
12,2019-05-14,112.90
13,2019-05-13,111.85
14,2019-05-10,115.77
15,2019-05-09,115.75
16,2019-05-08,115.60
17,2019-05-07,116.29
18,2019-05-06,119.84
19,2019-05-03,118.08
20,2019-05-02,115.19
21,2019-05-01,113.74
22,2019-04-30,114.46
23,2019-04-29,115.52
24,2019-04-26,115.10
25,2019-04-25,112.95
26,2019-04-24,112.71
27,2019-04-23,112.62
28,2019-04-22,109.63
29,2019-04-18,109.56
30,2019-04-17,108.64
31,2019-04-16,112.76
32,2019-04-15,114.88
33,2019-04-12,114.94
34,2019-04-11,115.73
35,2019-04-10,117.39
36,2019-04-09,115.72
37,2019-04-08,116.56
38,2019-04-05,117.06
39,2019-04-04,115.55
40,2019-04-03,115.63
41,2019-04-02,115.43
42,2019-04-01,115.49
43,2019-03-29,115.52
44,2019-03-28,114.25
45,2019-03-27,113.27
46,2019-03-26,114.55
47,2019-03-25,114.54
48,2019-03-22,114.49
49,2019-03-21,119.27
50,2019-03-20,117.48
51,2019-03-19,118.16
52,2019-03-18,117.97
53,2019-03-15,117.52
54,2019-03-14,117.42
55,2019-03-13,117.95
56,2019-03-12,117.68
57,2019-03-11,117.08
58,2019-03-08,115.02
59,2019-03-07,114.83
60,2019-03-06,114.67
61,2019-03-05,118.72
62,2019-03-04,119.87
63,2019-03-01,122.61
64,2019-02-28,121.28
65,2019-02-27,120.96
66,2019-02-26,120.01
67,2019-02-25,122.86
68,2019-02-22,122.87
69,2019-02-21,122.17
70,2019-02-20,123.24
71,2019-02-19,122.58
72,2019-02-15,122.99
73,2019-02-14,121.20
74,2019-02-13,120.33
75,2019-02-12,120.72
76,2019-02-11,118.61
77,2019-02-08,117.25
78,2019-02-07,116.89
79,2019-02-06,118.42
80,2019-02-05,119.16
81,2019-02-04,118.80
82,2019-02-01,117.00
83,2019-01-31,117.53
84,2019-01-30,116.12
85,2019-01-29,114.50
86,2019-01-28,115.07
87,2019-01-25,117.08
88,2019-01-24,115.84
89,2019-01-23,115.75
90,2019-01-22,115.20
91,2019-01-18,117.10
92,2019-01-17,116.64
93,2019-01-16,115.92
