,Date,NAV
1,2019-05-30,79.07
2,2019-05-29,78.29
3,2019-05-28,79.45
4,2019-05-24,79.45
5,2019-05-23,78.19
6,2019-05-22,80.15
7,2019-05-21,79.95
8,2019-05-20,78.61
9,2019-05-17,79.17
10,2019-05-16,80.23
11,2019-05-15,78.95
12,2019-05-14,78.35
13,2019-05-13,76.86
14,2019-05-10,79.23
15,2019-05-09,79.42
16,2019-05-08,79.06
17,2019-05-07,79.23
18,2019-05-06,80.96
19,2019-05-03,79.68
20,2019-05-02,77.86
21,2019-05-01,76.73
22,2019-04-30,77.79
23,2019-04-29,78.29
24,2019-04-26,78.35
25,2019-04-25,76.88
26,2019-04-24,76.06
27,2019-04-23,76.01
28,2019-04-22,73.92
29,2019-04-18,73.84
30,2019-04-17,73.39
31,2019-04-16,77.07
32,2019-04-15,78.62
33,2019-04-12,78.61
34,2019-04-11,79.43
35,2019-04-10,80.27
36,2019-04-09,79.43
37,2019-04-08,80.03
38,2019-04-05,80.37
39,2019-04-04,79.08
40,2019-04-03,79.43
41,2019-04-02,79.26
42,2019-04-01,78.81
43,2019-03-29,79.63
44,2019-03-28,78.68
45,2019-03-27,78.25
46,2019-03-26,79.74
47,2019-03-25,80.25
48,2019-03-22,80.39
49,2019-03-21,82.63
50,2019-03-20,81.16
51,2019-03-19,81.90
52,2019-03-18,81.28
53,2019-03-15,81.48
54,2019-03-14,81.80
55,2019-03-13,81.81
56,2019-03-12,80.76
57,2019-03-11,79.94
58,2019-03-08,78.40
59,2019-03-07,78.31
60,2019-03-06,78.15
61,2019-03-05,80.25
62,2019-03-04,80.02
63,2019-03-01,82.07
64,2019-02-28,80.85
65,2019-02-27,81.13
66,2019-02-26,81.23
67,2019-02-25,81.88
68,2019-02-22,82.16
69,2019-02-21,81.28
70,2019-02-20,81.72
71,2019-02-19,81.76
72,2019-02-15,82.34
73,2019-02-14,81.47
74,2019-02-13,81.07
75,2019-02-12,81.06
76,2019-02-11,79.73
77,2019-02-08,79.20
78,2019-02-07,79.23
79,2019-02-06,79.88
80,2019-02-05,79.97
81,2019-02-04,80.43
82,2019-02-01,79.89
83,2019-01-31,79.92
84,2019-01-30,78.61
85,2019-01-29,77.35
86,2019-01-28,77.26
87,2019-01-25,78.34
88,2019-01-24,77.68
89,2019-01-23,77.52
90,2019-01-22,76.77
91,2019-01-18,77.86
92,2019-01-17,76.84
93,2019-01-16,76.31
94,2019-01-15,75.95
95,2019-01-14,73.78
96,2019-01-11,74.98
97,2019-01-10,75.21
98,2019-01-09,74.90
99,2019-01-08,73.56
100,2019-01-07,72.35
101,2019-01-04,70.47
102,2019-01-03,68.04
103,2019-01-02,70.28
104,2018-12-31,71.18
105,2018-12-28,69.91
106,2018-12-27,69.55
107,2018-12-26,69.72
108,2018-12-24,64.96
109,2018-12-21,66.20
110,2018-12-20,68.29
111,2018-12-19,71.68
112,2018-12-18,72.91
113,2018-12-17,73.31
114,2018-12-14,76.14
115,2018-12-13,78.08
116,2018-12-12,79.35
117,2018-12-11,78.14
118,2018-12-10,77.80
119,2018-12-07,77.33
120,2018-12-06,80.51
121,2018-12-04,80.55
122,2018-12-03,84.90
123,2018-11-30,83.38
124,2018-11-29,82.58
125,2018-11-28,82.33
126,2018-11-27,78.29
127,2018-11-26,79.07
128,2018-11-23,77.79
129,2018-11-21,77.31
130,2018-11-20,76.09
131,2018-11-19,76.62
132,2018-11-16,80.70
133,2018-11-15,79.51
134,2018-11-14,77.24
135,2018-11-13,78.49
136,2018-11-12,79.59
137,2018-11-09,82.91
138,2018-11-08,85.25
139,2018-11-07,86.27
140,2018-11-06,83.29
141,2018-11-05,83.29
142,2018-11-02,84.55
143,2018-11-01,84.96
144,2018-10-31,82.09
145,2018-10-30,80.59
146,2018-10-29,78.22
147,2018-10-26,79.88
148,2018-10-25,80.76
149,2018-10-24,79.54
150,2018-10-23,84.00
151,2018-10-22,84.19
152,2018-10-19,84.99
153,2018-10-18,87.07
154,2018-10-17,87.81
155,2018-10-16,88.24
156,2018-10-15,83.90
157,2018-10-12,84.89
158,2018-10-11,83.24
159,2018-10-10,83.55
160,2018-10-09,87.61
161,2018-10-08,88.39
162,2018-10-05,90.29
163,2018-10-04,90.92
164,2018-10-03,94.64
165,2018-10-02,94.87
166,2018-10-01,97.20
167,2018-09-28,98.76
168,2018-09-27,97.91
169,2018-09-26,97.60
170,2018-09-25,98.68
171,2018-09-24,97.59
172,2018-09-21,95.87
173,2018-09-20,96.55
174,2018-09-19,95.63
175,2018-09-18,96.41
176,2018-09-17,94.81
177,2018-09-14,97.44
178,2018-09-13,97.43
179,2018-09-12,97.27
180,2018-09-11,97.94
181,2018-09-10,97.41
182,2018-09-07,96.50
183,2018-09-06,95.98
184,2018-09-05,96.55
185,2018-09-04,98.35
186,2018-08-31,97.93
187,2018-08-30,96.97
188,2018-08-29,96.23
189,2018-08-28,95.25
190,2018-08-27,94.43
191,2018-08-24,93.51
192,2018-08-23,92.69
193,2018-08-22,92.35
194,2018-08-21,90.10
195,2018-08-20,89.12
196,2018-08-17,89.59
197,2018-08-16,89.23
198,2018-08-15,88.47
199,2018-08-14,89.70
200,2018-08-13,88.94
201,2018-08-10,89.76
202,2018-08-09,89.86
203,2018-08-08,89.28
204,2018-08-07,89.57
205,2018-08-06,89.32
206,2018-08-03,88.60
207,2018-08-02,89.64
208,2018-08-01,89.19
209,2018-07-31,88.00
210,2018-07-30,86.40
211,2018-07-27,88.68
212,2018-07-26,91.91
213,2018-07-25,92.76
214,2018-07-24,91.40
215,2018-07-23,93.95
216,2018-07-20,93.81
217,2018-07-19,93.86
218,2018-07-18,93.59
219,2018-07-17,93.53
220,2018-07-16,92.21
221,2018-07-13,92.70
222,2018-07-12,92.48
223,2018-07-11,91.06
224,2018-07-10,91.00
225,2018-07-09,91.80
226,2018-07-06,91.31
227,2018-07-05,90.02
228,2018-07-03,88.99
229,2018-07-02,88.67
230,2018-06-29,87.55
231,2018-06-28,86.96
232,2018-06-27,86.74
233,2018-06-26,89.47
234,2018-06-25,88.93
235,2018-06-22,91.45
236,2018-06-21,92.83
237,2018-06-20,94.06
238,2018-06-19,92.63
239,2018-06-18,92.83
240,2018-06-15,91.36
241,2018-06-14,91.78
242,2018-06-13,91.03
243,2018-06-12,90.68
244,2018-06-11,88.73
245,2018-06-08,88.51
246,2018-06-07,87.56
247,2018-06-06,88.98
248,2018-06-05,88.43
249,2018-06-04,87.91
250,2018-06-01,88.91
251,2018-05-31,87.24
252,2018-05-30,87.79
253,2018-05-29,86.13
254,2018-05-25,86.37
255,2018-05-24,86.50
256,2018-05-23,86.10
257,2018-05-22,85.77
258,2018-05-21,85.84
259,2018-05-18,86.45
260,2018-05-17,85.36
261,2018-05-16,84.77
262,2018-05-15,83.52
263,2018-05-14,83.61
264,2018-05-11,83.28
265,2018-05-10,81.41
266,2018-05-09,80.88
267,2018-05-08,79.91
268,2018-05-07,80.31
269,2018-05-04,79.07
270,2018-05-03,78.37
271,2018-05-02,78.58
272,2018-05-01,78.96
273,2018-04-30,77.90
274,2018-04-27,79.04
275,2018-04-26,78.16
276,2018-04-25,76.58
277,2018-04-24,76.52
278,2018-04-23,77.94
279,2018-04-20,78.50
280,2018-04-19,79.41
281,2018-04-18,80.68
282,2018-04-17,80.88
283,2018-04-16,78.42
284,2018-04-13,79.50
285,2018-04-12,80.25
286,2018-04-11,78.30
287,2018-04-10,77.96
288,2018-04-09,75.60
289,2018-04-06,71.77
290,2018-04-05,74.04
291,2018-04-04,75.15
292,2018-04-03,72.81
293,2018-04-02,72.60
294,2018-03-29,76.17
295,2018-03-28,75.50
296,2018-03-27,75.47
297,2018-03-26,78.63
298,2018-03-23,76.63
299,2018-03-22,77.88
300,2018-03-21,80.13
301,2018-03-20,80.18
302,2018-03-19,78.40
303,2018-03-16,80.40
304,2018-03-15,80.79
305,2018-03-14,81.73
306,2018-03-13,82.05
307,2018-03-12,82.80
308,2018-03-09,82.56
309,2018-03-08,81.30
310,2018-03-07,80.67
311,2018-03-06,79.49
312,2018-03-05,79.65
313,2018-03-02,79.00
314,2018-03-01,76.15
315,2018-02-28,77.40
316,2018-02-27,78.62
317,2018-02-26,79.42
318,2018-02-23,78.72
319,2018-02-22,78.04
320,2018-02-21,77.99
321,2018-02-20,77.68
322,2018-02-16,78.66
323,2018-02-15,77.98
324,2018-02-14,77.46
325,2018-02-13,74.99
326,2018-02-12,74.78
327,2018-02-09,73.02
328,2018-02-08,72.62
329,2018-02-07,76.82
330,2018-02-06,76.26
331,2018-02-05,75.41
332,2018-02-02,77.82
333,2018-02-01,79.32
334,2018-01-31,78.84
335,2018-01-30,79.26
336,2018-01-29,80.33
337,2018-01-26,80.02
338,2018-01-25,79.79
339,2018-01-24,79.23
340,2018-01-23,79.93
341,2018-01-22,78.63
342,2018-01-19,77.03
343,2018-01-18,76.04
344,2018-01-17,75.36
345,2018-01-16,75.07
346,2018-01-12,76.13
347,2018-01-11,75.59
348,2018-01-10,75.09
349,2018-01-09,74.48
350,2018-01-08,72.86
351,2018-01-05,73.72
352,2018-01-04,73.56
353,2018-01-03,73.63
354,2018-01-02,72.82
355,2017-12-29,72.07
356,2017-12-28,73.40
357,2017-12-27,72.92
358,2017-12-26,72.30
359,2017-12-22,71.82
360,2017-12-21,70.32
361,2017-12-20,70.21
362,2017-12-19,69.94
363,2017-12-18,70.08
364,2017-12-15,69.81
365,2017-12-14,69.49
366,2017-12-13,70.29
367,2017-12-12,69.35
368,2017-12-11,69.95
369,2017-12-08,69.88
370,2017-12-07,68.74
371,2017-12-06,67.15
372,2017-12-05,67.36
373,2017-12-04,67.98
374,2017-12-01,71.02
375,2017-11-30,71.55
376,2017-11-29,69.53
377,2017-11-28,70.43
378,2017-11-27,69.83
379,2017-11-24,69.87
380,2017-11-22,69.61
381,2017-11-21,69.62
382,2017-11-20,68.58
383,2017-11-17,68.43
384,2017-11-16,68.88
385,2017-11-15,67.58
386,2017-11-14,67.29
387,2017-11-13,67.64
388,2017-11-10,68.64
389,2017-11-09,68.49
390,2017-11-08,69.07
391,2017-11-07,68.99
392,2017-11-06,69.87
393,2017-11-03,70.07
394,2017-11-02,69.13
395,2017-11-01,67.88
396,2017-10-31,69.30
