,Date,NAV
1,2019-05-30,80.83
2,2019-05-29,81.27
3,2019-05-28,82.03
4,2019-05-24,82.91
5,2019-05-23,81.85
6,2019-05-22,82.68
7,2019-05-21,83.27
8,2019-05-20,80.77
9,2019-05-17,82.56
10,2019-05-16,83.49
11,2019-05-15,82.46
12,2019-05-14,81.77
13,2019-05-13,80.41
14,2019-05-10,83.92
15,2019-05-09,84.32
16,2019-05-08,84.49
17,2019-05-07,84.77
18,2019-05-06,87.66
19,2019-05-03,86.21
20,2019-05-02,84.58
21,2019-05-01,83.64
22,2019-04-30,85.20
23,2019-04-29,86.68
24,2019-04-26,87.24
25,2019-04-25,86.25
26,2019-04-24,85.86
27,2019-04-23,86.92
28,2019-04-22,84.52
29,2019-04-18,84.63
30,2019-04-17,84.83
31,2019-04-16,88.99
32,2019-04-15,89.10
33,2019-04-12,89.90
34,2019-04-11,90.85
35,2019-04-10,92.80
36,2019-04-09,91.45
37,2019-04-08,93.17
38,2019-04-05,93.80
39,2019-04-04,91.91
40,2019-04-03,92.68
41,2019-04-02,91.73
42,2019-04-01,90.43
43,2019-03-29,90.54
44,2019-03-28,88.89
45,2019-03-27,87.76
46,2019-03-26,89.72
47,2019-03-25,87.99
48,2019-03-22,87.86
49,2019-03-21,91.92
50,2019-03-20,90.33
51,2019-03-19,91.24
52,2019-03-18,91.56
53,2019-03-15,91.27
54,2019-03-14,90.57
55,2019-03-13,91.69
56,2019-03-12,89.97
57,2019-03-11,89.04
58,2019-03-08,86.46
59,2019-03-07,86.56
60,2019-03-06,86.53
61,2019-03-05,90.22
62,2019-03-04,90.90
63,2019-03-01,91.81
64,2019-02-28,89.14
65,2019-02-27,90.28
66,2019-02-26,88.83
67,2019-02-25,89.53
68,2019-02-22,85.74
69,2019-02-21,84.09
70,2019-02-20,85.30
71,2019-02-19,85.64
72,2019-02-15,86.59
73,2019-02-14,84.78
74,2019-02-13,84.43
75,2019-02-12,84.42
76,2019-02-11,83.08
77,2019-02-08,82.68
78,2019-02-07,81.99
79,2019-02-06,84.28
80,2019-02-05,83.80
81,2019-02-04,84.34
82,2019-02-01,83.99
83,2019-01-31,83.60
84,2019-01-30,82.29
85,2019-01-29,80.07
86,2019-01-28,80.03
87,2019-01-25,82.37
88,2019-01-24,80.55
89,2019-01-23,79.78
90,2019-01-22,80.86
91,2019-01-18,83.38
92,2019-01-17,82.40
93,2019-01-16,81.91
94,2019-01-15,82.20
95,2019-01-14,80.12
96,2019-01-11,82.00
97,2019-01-10,82.16
98,2019-01-09,80.82
99,2019-01-08,80.48
100,2019-01-07,79.50
101,2019-01-04,75.02
102,2019-01-03,71.21
103,2019-01-02,72.86
104,2018-12-31,71.75
105,2018-12-28,70.09
106,2018-12-27,69.58
107,2018-12-26,70.26
108,2018-12-24,65.42
109,2018-12-21,65.74
110,2018-12-20,68.65
111,2018-12-19,71.15
112,2018-12-18,73.64
113,2018-12-17,75.04
114,2018-12-14,76.78
115,2018-12-13,77.86
116,2018-12-12,80.07
117,2018-12-11,78.86
118,2018-12-10,79.12
119,2018-12-07,78.18
120,2018-12-06,80.69
121,2018-12-04,80.45
122,2018-12-03,84.62
123,2018-11-30,81.64
124,2018-11-29,80.44
125,2018-11-28,80.92
126,2018-11-27,77.96
127,2018-11-26,79.88
128,2018-11-23,78.08
129,2018-11-21,77.86
130,2018-11-20,76.44
131,2018-11-19,76.90
132,2018-11-16,79.51
133,2018-11-15,77.54
134,2018-11-14,74.92
135,2018-11-13,77.27
136,2018-11-12,77.65
137,2018-11-09,80.77
138,2018-11-08,84.20
139,2018-11-07,85.33
140,2018-11-06,83.23
141,2018-11-05,83.50
142,2018-11-02,83.95
143,2018-11-01,83.73
144,2018-10-31,79.10
145,2018-10-30,78.35
146,2018-10-29,77.91
147,2018-10-26,80.41
148,2018-10-25,80.43
149,2018-10-24,77.27
150,2018-10-23,83.41
151,2018-10-22,83.48
152,2018-10-19,85.41
153,2018-10-18,87.52
154,2018-10-17,89.28
155,2018-10-16,89.43
156,2018-10-15,84.93
157,2018-10-12,86.08
158,2018-10-11,84.40
159,2018-10-10,85.43
160,2018-10-09,88.39
161,2018-10-08,89.48
162,2018-10-05,90.43
163,2018-10-04,91.82
164,2018-10-03,94.88
165,2018-10-02,93.18
166,2018-10-01,94.57
167,2018-09-28,95.85
168,2018-09-27,95.97
169,2018-09-26,96.10
170,2018-09-25,96.88
171,2018-09-24,96.60
172,2018-09-21,95.52
173,2018-09-20,97.07
