,Date,NAV
1,2019-05-30,39.33
2,2019-05-29,39.27
3,2019-05-28,39.38
4,2019-05-24,39.66
5,2019-05-23,39.57
6,2019-05-22,40.05
7,2019-05-21,40.46
8,2019-05-20,39.92
9,2019-05-17,40.10
10,2019-05-16,40.66
11,2019-05-15,40.28
12,2019-05-14,40.15
13,2019-05-13,39.68
14,2019-05-10,41.02
15,2019-05-09,40.92
16,2019-05-08,40.82
17,2019-05-07,41.06
18,2019-05-06,41.85
19,2019-05-03,42.11
20,2019-05-02,41.52
21,2019-05-01,41.47
22,2019-04-30,41.87
23,2019-04-29,41.77
24,2019-04-26,41.69
25,2019-04-25,41.34
26,2019-04-24,41.97
27,2019-04-23,41.99
28,2019-04-22,41.63
29,2019-04-18,41.81
30,2019-04-17,41.51
31,2019-04-16,41.47
32,2019-04-15,41.30
33,2019-04-12,41.50
34,2019-04-11,41.18
35,2019-04-10,40.79
36,2019-04-09,40.56
37,2019-04-08,41.15
38,2019-04-05,41.16
39,2019-04-04,40.92
40,2019-04-03,40.78
41,2019-04-02,40.64
42,2019-04-01,40.70
43,2019-03-29,39.91
44,2019-03-28,39.62
45,2019-03-27,39.21
46,2019-03-26,39.15
47,2019-03-25,38.80
48,2019-03-22,38.76
49,2019-03-21,39.94
50,2019-03-20,39.45
51,2019-03-19,39.77
52,2019-03-18,40.04
53,2019-03-15,39.62
54,2019-03-14,39.68
55,2019-03-13,39.82
56,2019-03-12,39.54
57,2019-03-11,39.69
58,2019-03-08,39.10
59,2019-03-07,39.21
60,2019-03-06,39.47
61,2019-03-05,39.82
62,2019-03-04,40.07
63,2019-03-01,40.25
64,2019-02-28,40.08
65,2019-02-27,40.23
66,2019-02-26,40.17
67,2019-02-25,40.45
68,2019-02-22,40.47
69,2019-02-21,40.29
70,2019-02-20,40.43
71,2019-02-19,40.27
72,2019-02-15,40.22
73,2019-02-14,39.82
74,2019-02-13,39.78
75,2019-02-12,39.56
76,2019-02-11,38.95
77,2019-02-08,38.69
78,2019-02-07,38.68
79,2019-02-06,38.94
