,Date,NAV
1,2019-05-30,42.93
2,2019-05-29,42.68
3,2019-05-28,43.08
4,2019-05-24,43.54
5,2019-05-23,43.08
6,2019-05-22,43.52
7,2019-05-21,43.69
8,2019-05-20,43.39
9,2019-05-17,43.68
10,2019-05-16,43.96
11,2019-05-15,43.57
12,2019-05-14,43.31
13,2019-05-13,42.97
14,2019-05-10,43.91
15,2019-05-09,43.62
16,2019-05-08,43.87
17,2019-05-07,43.65
18,2019-05-06,44.49
19,2019-05-03,44.90
20,2019-05-02,44.47
21,2019-05-01,44.66
22,2019-04-30,45.00
23,2019-04-29,44.79
24,2019-04-26,44.58
25,2019-04-25,44.52
26,2019-04-24,44.61
27,2019-04-23,44.86
28,2019-04-22,44.88
29,2019-04-18,44.86
30,2019-04-17,44.95
31,2019-04-16,44.77
32,2019-04-15,44.76
33,2019-04-12,44.72
34,2019-04-11,44.44
35,2019-04-10,44.43
36,2019-04-09,44.28
37,2019-04-08,44.52
38,2019-04-05,44.44
39,2019-04-04,44.37
40,2019-04-03,44.43
41,2019-04-02,44.07
42,2019-04-01,43.93
43,2019-03-29,43.39
44,2019-03-28,43.19
45,2019-03-27,43.38
46,2019-03-26,43.29
47,2019-03-25,43.11
48,2019-03-22,43.13
49,2019-03-21,44.14
50,2019-03-20,44.26
51,2019-03-19,44.25
52,2019-03-18,44.09
53,2019-03-15,43.89
54,2019-03-14,43.41
55,2019-03-13,43.22
56,2019-03-12,42.75
57,2019-03-11,42.79
58,2019-03-08,42.43
59,2019-03-07,42.40
60,2019-03-06,43.03
61,2019-03-05,43.11
62,2019-03-04,43.02
63,2019-03-01,43.20
64,2019-02-28,42.93
65,2019-02-27,42.89
66,2019-02-26,43.04
67,2019-02-25,42.73
68,2019-02-22,42.64
69,2019-02-21,42.51
70,2019-02-20,42.71
71,2019-02-19,42.47
72,2019-02-15,42.30
73,2019-02-14,41.64
74,2019-02-13,41.63
75,2019-02-12,41.63
76,2019-02-11,41.18
77,2019-02-08,41.28
78,2019-02-07,41.43
79,2019-02-06,41.98
80,2019-02-05,42.17
81,2019-02-04,41.79
82,2019-02-01,41.67
83,2019-01-31,41.62
84,2019-01-30,41.68
85,2019-01-29,41.24
86,2019-01-28,41.11
87,2019-01-25,41.30
88,2019-01-24,40.88
89,2019-01-23,40.88
90,2019-01-22,40.60
91,2019-01-18,41.15
92,2019-01-17,40.64
93,2019-01-16,40.43
94,2019-01-15,40.42
95,2019-01-14,40.33
96,2019-01-11,40.50
97,2019-01-10,40.69
98,2019-01-09,40.63
99,2019-01-08,40.14
100,2019-01-07,39.85
101,2019-01-04,39.79
