,Date,NAV
1,2019-05-30,204.39
2,2019-05-29,204.23
3,2019-05-28,204.71
4,2019-05-24,205.50
5,2019-05-23,204.52
6,2019-05-22,207.91
7,2019-05-21,209.05
8,2019-05-20,205.78
9,2019-05-17,205.70
10,2019-05-16,207.29
11,2019-05-15,204.21
12,2019-05-14,203.99
13,2019-05-13,201.93
14,2019-05-10,207.97
15,2019-05-09,207.27
16,2019-05-08,207.17
17,2019-05-07,205.41
18,2019-05-06,210.49
19,2019-05-03,211.20
20,2019-05-02,209.04
21,2019-05-01,210.10
22,2019-04-30,209.62
23,2019-04-29,209.24
24,2019-04-26,208.93
25,2019-04-25,208.07
26,2019-04-24,208.21
27,2019-04-23,209.03
28,2019-04-22,205.04
29,2019-04-18,205.66
30,2019-04-17,203.95
31,2019-04-16,204.92
32,2019-04-15,203.39
33,2019-04-12,205.04
34,2019-04-11,201.86
35,2019-04-10,199.25
36,2019-04-09,199.87
37,2019-04-08,202.38
38,2019-04-05,204.33
39,2019-04-04,203.18
40,2019-04-03,200.36
41,2019-04-02,202.79
42,2019-04-01,204.08
43,2019-03-29,199.58
44,2019-03-28,197.39
45,2019-03-27,196.02
46,2019-03-26,195.95
47,2019-03-25,195.68
48,2019-03-22,194.28
49,2019-03-21,199.07
50,2019-03-20,197.56
51,2019-03-19,198.31
52,2019-03-18,198.69
53,2019-03-15,197.34
54,2019-03-14,197.66
55,2019-03-13,199.05
56,2019-03-12,197.75
57,2019-03-11,199.78
58,2019-03-08,200.39
59,2019-03-07,200.90
60,2019-03-06,202.38
61,2019-03-05,204.30
62,2019-03-04,205.38
63,2019-03-01,208.71
64,2019-02-28,208.51
65,2019-02-27,207.94
66,2019-02-26,207.43
67,2019-02-25,208.83
68,2019-02-22,208.83
69,2019-02-21,206.80
70,2019-02-20,208.50
71,2019-02-19,207.44
72,2019-02-15,207.59
73,2019-02-14,203.36
74,2019-02-13,203.61
75,2019-02-12,203.39
76,2019-02-11,201.01
77,2019-02-08,200.19
78,2019-02-07,199.61
79,2019-02-06,200.60
80,2019-02-05,200.41
81,2019-02-04,198.28
82,2019-02-01,194.23
83,2019-01-31,193.93
84,2019-01-30,194.12
85,2019-01-29,191.46
86,2019-01-28,187.85
87,2019-01-25,188.07
88,2019-01-24,186.39
89,2019-01-23,184.73
90,2019-01-22,182.39
91,2019-01-18,186.81
92,2019-01-17,183.98
93,2019-01-16,181.20
94,2019-01-15,181.57
95,2019-01-14,181.19
96,2019-01-11,181.27
97,2019-01-10,180.92
98,2019-01-09,178.55
99,2019-01-08,177.63
100,2019-01-07,174.77
101,2019-01-04,173.33
102,2019-01-03,167.85
103,2019-01-02,173.04
104,2018-12-31,172.35
105,2018-12-28,170.35
106,2018-12-27,170.15
107,2018-12-26,167.62
108,2018-12-24,161.55
109,2018-12-21,166.52
110,2018-12-20,170.79
111,2018-12-19,175.71
112,2018-12-18,179.96
113,2018-12-17,178.83
114,2018-12-14,182.27
115,2018-12-13,183.91
116,2018-12-12,185.32
117,2018-12-11,183.17
118,2018-12-10,184.01
119,2018-12-07,181.39
120,2018-12-06,184.04
121,2018-12-04,184.98
122,2018-12-03,192.64
123,2018-11-30,191.21
124,2018-11-29,190.31
125,2018-11-28,190.00
126,2018-11-27,185.88
127,2018-11-26,188.72
128,2018-11-23,187.60
129,2018-11-21,186.32
130,2018-11-20,185.36
131,2018-11-19,188.56
132,2018-11-16,193.71
133,2018-11-15,194.48
134,2018-11-14,192.32
135,2018-11-13,193.92
136,2018-11-12,194.68
137,2018-11-09,200.11
138,2018-11-08,199.92
139,2018-11-07,200.50
140,2018-11-06,198.77
141,2018-11-05,196.41
142,2018-11-02,195.22
143,2018-11-01,195.45
144,2018-10-31,190.92
145,2018-10-30,188.28
146,2018-10-29,184.06
147,2018-10-26,191.30
148,2018-10-25,192.37
149,2018-10-24,192.66
150,2018-10-23,199.49
151,2018-10-22,200.88
152,2018-10-19,201.11
153,2018-10-18,202.21
154,2018-10-17,205.55
155,2018-10-16,207.51
156,2018-10-15,203.03
157,2018-10-12,200.18
158,2018-10-11,199.33
159,2018-10-10,204.90
160,2018-10-09,211.66
161,2018-10-08,214.51
162,2018-10-05,214.20
163,2018-10-04,215.75
164,2018-10-03,216.72
165,2018-10-02,216.09
166,2018-10-01,216.25
167,2018-09-28,215.52
168,2018-09-27,214.25
169,2018-09-26,213.28
170,2018-09-25,214.10
171,2018-09-24,211.95
172,2018-09-21,214.16
173,2018-09-20,212.38
174,2018-09-19,214.09
175,2018-09-18,215.83
176,2018-09-17,213.25
177,2018-09-14,213.27
178,2018-09-13,210.24
179,2018-09-12,208.81
180,2018-09-11,207.94
181,2018-09-10,207.91
182,2018-09-07,207.76
183,2018-09-06,208.63
184,2018-09-05,206.41
185,2018-09-04,205.89
186,2018-08-31,205.77
187,2018-08-30,205.07
188,2018-08-29,206.98
189,2018-08-28,207.13
190,2018-08-27,206.66
191,2018-08-24,205.02
192,2018-08-23,203.74
193,2018-08-22,204.97
194,2018-08-21,206.50
195,2018-08-20,205.11
196,2018-08-17,203.87
197,2018-08-16,202.78
198,2018-08-15,200.02
199,2018-08-14,202.56
200,2018-08-13,200.96
201,2018-08-10,201.21
202,2018-08-09,202.02
203,2018-08-08,202.38
204,2018-08-07,202.65
205,2018-08-06,201.77
206,2018-08-03,202.11
207,2018-08-02,202.79
208,2018-08-01,202.97
209,2018-07-31,204.15
210,2018-07-30,199.06
211,2018-07-27,201.93
212,2018-07-26,202.78
213,2018-07-25,200.58
214,2018-07-24,200.49
215,2018-07-23,199.20
216,2018-07-20,201.23
217,2018-07-19,201.01
