,Date,NAV
1,2019-05-30,149.29
2,2019-05-29,148.63
3,2019-05-28,149.34
4,2019-05-24,150.44
5,2019-05-23,149.98
6,2019-05-22,152.52
7,2019-05-21,153.40
8,2019-05-20,151.54
9,2019-05-17,152.30
10,2019-05-16,153.84
11,2019-05-15,152.32
12,2019-05-14,151.85
13,2019-05-13,150.23
14,2019-05-10,154.47
15,2019-05-09,153.88
16,2019-05-08,154.16
17,2019-05-07,154.23
18,2019-05-06,157.22
19,2019-05-03,158.53
20,2019-05-02,156.51
21,2019-05-01,156.72
22,2019-04-30,158.26
23,2019-04-29,157.56
24,2019-04-26,157.14
25,2019-04-25,156.18
26,2019-04-24,158.62
27,2019-04-23,158.88
28,2019-04-22,157.27
29,2019-04-18,157.63
30,2019-04-17,156.36
31,2019-04-16,156.39
32,2019-04-15,155.95
33,2019-04-12,156.52
34,2019-04-11,154.71
35,2019-04-10,153.63
36,2019-04-09,153.41
37,2019-04-08,155.23
38,2019-04-05,155.63
39,2019-04-04,154.98
40,2019-04-03,154.39
41,2019-04-02,154.39
42,2019-04-01,154.68
43,2019-03-29,151.78
44,2019-03-28,150.46
45,2019-03-27,149.09
46,2019-03-26,149.14
47,2019-03-25,147.86
48,2019-03-22,147.55
49,2019-03-21,151.20
50,2019-03-20,149.37
51,2019-03-19,150.23
52,2019-03-18,150.68
53,2019-03-15,149.52
54,2019-03-14,149.47
55,2019-03-13,149.88
56,2019-03-12,148.88
57,2019-03-11,149.59
58,2019-03-08,147.91
59,2019-03-07,148.21
60,2019-03-06,149.30
61,2019-03-05,150.57
62,2019-03-04,151.32
63,2019-03-01,152.19
64,2019-02-28,151.50
65,2019-02-27,152.04
66,2019-02-26,151.47
67,2019-02-25,151.79
68,2019-02-22,151.29
69,2019-02-21,150.26
70,2019-02-20,150.70
71,2019-02-19,149.98
72,2019-02-15,149.98
73,2019-02-14,148.04
74,2019-02-13,148.58
75,2019-02-12,147.79
76,2019-02-11,145.51
77,2019-02-08,144.80
78,2019-02-07,144.42
79,2019-02-06,145.49
80,2019-02-05,145.51
81,2019-02-04,144.30
82,2019-02-01,142.54
83,2019-01-31,142.11
84,2019-01-30,141.71
85,2019-01-29,139.70
86,2019-01-28,138.56
87,2019-01-25,139.78
88,2019-01-24,137.88
89,2019-01-23,136.93
90,2019-01-22,136.92
91,2019-01-18,139.32
92,2019-01-17,136.82
93,2019-01-16,134.90
94,2019-01-15,134.53
95,2019-01-14,134.55
96,2019-01-11,134.83
97,2019-01-10,135.03
98,2019-01-09,133.18
99,2019-01-08,132.33
100,2019-01-07,130.23
101,2019-01-04,129.32
102,2019-01-03,124.59
103,2019-01-02,128.28
104,2018-12-31,127.98
105,2018-12-28,126.72
106,2018-12-27,126.91
107,2018-12-26,125.09
108,2018-12-24,119.56
109,2018-12-21,123.03
110,2018-12-20,125.73
111,2018-12-19,128.03
112,2018-12-18,130.34
113,2018-12-17,129.81
114,2018-12-14,132.33
115,2018-12-13,134.26
116,2018-12-12,134.66
117,2018-12-11,133.89
118,2018-12-10,134.55
119,2018-12-07,134.17
120,2018-12-06,137.50
121,2018-12-04,138.32
122,2018-12-03,144.37
