,Date,NAV
1,2019-05-30,26.33
2,2019-05-29,26.25
3,2019-05-28,26.38
4,2019-05-24,26.50
5,2019-05-23,26.30
6,2019-05-22,26.61
7,2019-05-21,26.60
8,2019-05-20,26.27
9,2019-05-17,26.36
10,2019-05-16,26.56
11,2019-05-15,26.68
12,2019-05-14,26.61
13,2019-05-13,26.60
14,2019-05-10,27.11
15,2019-05-09,27.13
16,2019-05-08,27.25
17,2019-05-07,27.23
18,2019-05-06,27.68
19,2019-05-03,27.92
20,2019-05-02,27.61
21,2019-05-01,27.41
22,2019-04-30,27.66
23,2019-04-29,27.61
24,2019-04-26,27.51
25,2019-04-25,27.29
26,2019-04-24,27.25
27,2019-04-23,27.29
28,2019-04-22,27.32
29,2019-04-18,27.32
30,2019-04-17,27.27
31,2019-04-16,27.44
32,2019-04-15,27.30
33,2019-04-12,27.29
34,2019-04-11,27.21
35,2019-04-10,27.11
36,2019-04-09,26.92
37,2019-04-08,27.41
38,2019-04-05,27.47
39,2019-04-04,27.35
40,2019-04-03,27.36
41,2019-04-02,27.09
42,2019-04-01,27.22
43,2019-03-29,26.89
44,2019-03-28,26.77
45,2019-03-27,26.68
46,2019-03-26,26.74
47,2019-03-25,26.69
48,2019-03-22,26.78
49,2019-03-21,27.21
50,2019-03-20,27.10
51,2019-03-19,27.15
52,2019-03-18,27.10
53,2019-03-15,27.00
54,2019-03-14,26.73
55,2019-03-13,26.80
56,2019-03-12,26.60
57,2019-03-11,26.48
58,2019-03-08,26.23
59,2019-03-07,26.18
60,2019-03-06,26.49
61,2019-03-05,26.41
62,2019-03-04,26.57
63,2019-03-01,26.56
64,2019-02-28,26.36
65,2019-02-27,26.47
66,2019-02-26,26.53
67,2019-02-25,26.40
68,2019-02-22,26.18
69,2019-02-21,26.03
70,2019-02-20,25.98
71,2019-02-19,25.96
72,2019-02-15,25.70
73,2019-02-14,25.42
74,2019-02-13,25.48
75,2019-02-12,25.49
76,2019-02-11,25.16
77,2019-02-08,25.13
78,2019-02-07,25.15
79,2019-02-06,25.31
80,2019-02-05,25.36
81,2019-02-04,25.17
82,2019-02-01,25.16
83,2019-01-31,25.20
84,2019-01-30,25.08
85,2019-01-29,24.83
86,2019-01-28,24.67
87,2019-01-25,24.73
88,2019-01-24,24.51
89,2019-01-23,24.52
90,2019-01-22,24.33
91,2019-01-18,24.63
92,2019-01-17,24.37
93,2019-01-16,24.07
94,2019-01-15,23.99
95,2019-01-14,23.91
96,2019-01-11,23.97
97,2019-01-10,24.06
98,2019-01-09,23.94
99,2019-01-08,23.72
100,2019-01-07,23.52
101,2019-01-04,23.45
102,2019-01-03,22.76
103,2019-01-02,23.17
104,2018-12-31,23.08
105,2018-12-28,22.94
106,2018-12-27,22.70
107,2018-12-26,23.75
108,2018-12-24,22.13
109,2018-12-21,22.58
110,2018-12-20,22.90
111,2018-12-19,23.01
112,2018-12-18,23.14
113,2018-12-17,23.06
114,2018-12-14,23.31
115,2018-12-13,23.81
116,2018-12-12,23.80
117,2018-12-11,23.48
118,2018-12-10,23.39
119,2018-12-07,23.55
120,2018-12-06,23.76
121,2018-12-04,24.02
122,2018-12-03,24.73
123,2018-11-30,24.57
124,2018-11-29,24.53
125,2018-11-28,24.56
126,2018-11-27,24.14
127,2018-11-26,24.17
128,2018-11-23,23.97
129,2018-11-21,24.03
130,2018-11-20,23.90
131,2018-11-19,24.07
132,2018-11-16,24.30
133,2018-11-15,24.16
134,2018-11-14,24.21
135,2018-11-13,24.13
136,2018-11-12,24.16
137,2018-11-09,24.38
138,2018-11-08,24.49
139,2018-11-07,24.68
140,2018-11-06,24.27
141,2018-11-05,24.08
142,2018-11-02,24.13
143,2018-11-01,24.00
144,2018-10-31,23.59
145,2018-10-30,23.28
146,2018-10-29,23.03
147,2018-10-26,23.26
148,2018-10-25,23.34
149,2018-10-24,23.11
150,2018-10-23,23.47
151,2018-10-22,23.69
152,2018-10-19,23.87
153,2018-10-18,23.86
154,2018-10-17,24.20
155,2018-10-16,24.34
156,2018-10-15,23.86
157,2018-10-12,23.99
158,2018-10-11,23.87
159,2018-10-10,24.31
160,2018-10-09,24.92
161,2018-10-08,25.02
162,2018-10-05,25.16
163,2018-10-04,25.18
164,2018-10-03,25.39
165,2018-10-02,25.52
166,2018-10-01,25.64
167,2018-09-28,25.55
168,2018-09-27,25.62
169,2018-09-26,25.79
170,2018-09-25,25.68
171,2018-09-24,25.75
172,2018-09-21,26.00
173,2018-09-20,25.30
174,2018-09-19,25.85
175,2018-09-18,25.91
176,2018-09-17,25.75
177,2018-09-14,25.76
178,2018-09-13,25.68
179,2018-09-12,25.55
180,2018-09-11,25.51
181,2018-09-10,25.52
182,2018-09-07,25.32
183,2018-09-06,25.49
184,2018-09-05,25.33
185,2018-09-04,25.30
186,2018-08-31,25.61
187,2018-08-30,25.60
188,2018-08-29,25.65
189,2018-08-28,25.50
190,2018-08-27,25.43
191,2018-08-24,25.25
192,2018-08-23,25.12
193,2018-08-22,25.32
194,2018-08-21,25.44
195,2018-08-20,25.19
196,2018-08-17,25.15
197,2018-08-16,25.03
198,2018-08-15,24.87
199,2018-08-14,25.10
200,2018-08-13,25.03
201,2018-08-10,25.15
202,2018-08-09,25.49
203,2018-08-08,25.54
204,2018-08-07,25.55
205,2018-08-06,25.36
206,2018-08-03,25.41
207,2018-08-02,25.25
208,2018-08-01,25.37
209,2018-07-31,25.60
210,2018-07-30,25.39
211,2018-07-27,25.46
212,2018-07-26,25.50
213,2018-07-25,25.31
214,2018-07-24,25.24
215,2018-07-23,25.18
216,2018-07-20,25.29
217,2018-07-19,25.11
218,2018-07-18,25.07
219,2018-07-17,25.14
220,2018-07-16,25.05
221,2018-07-13,25.13
222,2018-07-12,25.04
223,2018-07-11,24.85
224,2018-07-10,25.14
225,2018-07-09,25.22
226,2018-07-06,25.14
227,2018-07-05,24.85
228,2018-07-03,24.81
229,2018-07-02,24.71
230,2018-06-29,24.80
231,2018-06-28,24.61
232,2018-06-27,24.63
233,2018-06-26,24.74
234,2018-06-25,24.76
235,2018-06-22,24.83
236,2018-06-21,24.79
237,2018-06-20,25.03
238,2018-06-19,25.07
239,2018-06-18,25.27
240,2018-06-15,25.35
241,2018-06-14,25.54
242,2018-06-13,25.71
243,2018-06-12,25.63
244,2018-06-11,25.71
245,2018-06-08,25.64
246,2018-06-07,25.59
247,2018-06-06,25.52
248,2018-06-05,25.51
249,2018-06-04,25.58
250,2018-06-01,25.44
251,2018-05-31,25.20
252,2018-05-30,25.34
253,2018-05-29,25.08
254,2018-05-25,25.54
255,2018-05-24,25.64
256,2018-05-23,25.64
257,2018-05-22,25.74
258,2018-05-21,25.77
259,2018-05-18,25.47
260,2018-05-17,25.43
261,2018-05-16,25.40
262,2018-05-15,25.29
263,2018-05-14,25.48
264,2018-05-11,25.52
265,2018-05-10,25.50
266,2018-05-09,25.40
267,2018-05-08,25.32
268,2018-05-07,25.45
269,2018-05-04,25.45
270,2018-05-03,25.29
271,2018-05-02,25.19
272,2018-05-01,25.35
273,2018-04-30,25.13
274,2018-04-27,25.68
275,2018-04-26,25.52
276,2018-04-25,25.27
277,2018-04-24,25.35
278,2018-04-23,25.63
279,2018-04-20,25.75
280,2018-04-19,25.84
281,2018-04-18,25.89
282,2018-04-17,25.82
283,2018-04-16,25.62
284,2018-04-13,25.42
285,2018-04-12,25.28
286,2018-04-11,25.22
287,2018-04-10,25.48
288,2018-04-09,25.32
289,2018-04-06,25.11
290,2018-04-05,25.34
291,2018-04-04,25.13
292,2018-04-03,25.03
293,2018-04-02,24.86
