,Date,NAV
1,2019-05-30,117.74
2,2019-05-29,117.32
3,2019-05-28,117.93
4,2019-05-24,119.04
5,2019-05-23,118.92
6,2019-05-22,120.81
7,2019-05-21,121.83
8,2019-05-20,120.34
9,2019-05-17,120.82
10,2019-05-16,122.02
11,2019-05-15,120.99
12,2019-05-14,120.83
13,2019-05-13,119.80
14,2019-05-10,123.06
15,2019-05-09,122.59
16,2019-05-08,122.88
17,2019-05-07,122.99
18,2019-05-06,125.29
19,2019-05-03,126.32
20,2019-05-02,124.69
21,2019-05-01,125.44
22,2019-04-30,125.98
23,2019-04-29,125.63
24,2019-04-26,125.37
25,2019-04-25,124.54
26,2019-04-24,126.58
27,2019-04-23,126.94
28,2019-04-22,125.86
29,2019-04-18,126.24
30,2019-04-17,125.26
31,2019-04-16,125.03
32,2019-04-15,124.64
33,2019-04-12,125.10
34,2019-04-11,123.92
35,2019-04-10,122.48
36,2019-04-09,122.24
37,2019-04-08,124.17
38,2019-04-05,124.17
39,2019-04-04,123.60
40,2019-04-03,122.90
41,2019-04-02,122.72
42,2019-04-01,122.60
43,2019-03-29,120.22
44,2019-03-28,119.26
45,2019-03-27,118.01
46,2019-03-26,117.94
47,2019-03-25,117.22
48,2019-03-22,117.16
49,2019-03-21,120.15
50,2019-03-20,118.71
51,2019-03-19,119.63
52,2019-03-18,120.32
53,2019-03-15,118.82
54,2019-03-14,119.23
55,2019-03-13,119.63
56,2019-03-12,118.71
57,2019-03-11,119.01
58,2019-03-08,117.42
59,2019-03-07,117.73
60,2019-03-06,118.72
61,2019-03-05,119.69
62,2019-03-04,120.19
63,2019-03-01,120.81
64,2019-02-28,120.38
65,2019-02-27,120.81
66,2019-02-26,120.61
67,2019-02-25,121.07
68,2019-02-22,120.91
69,2019-02-21,120.19
70,2019-02-20,120.60
71,2019-02-19,120.04
72,2019-02-15,120.03
73,2019-02-14,118.78
74,2019-02-13,119.02
75,2019-02-12,118.41
76,2019-02-11,116.68
77,2019-02-08,115.33
78,2019-02-07,115.12
79,2019-02-06,116.41
80,2019-02-05,116.34
81,2019-02-04,115.68
82,2019-02-01,114.29
83,2019-01-31,114.19
84,2019-01-30,113.91
85,2019-01-29,112.54
86,2019-01-28,111.07
87,2019-01-25,111.71
88,2019-01-24,110.30
89,2019-01-23,109.58
90,2019-01-22,109.74
91,2019-01-18,112.27
92,2019-01-17,109.84
93,2019-01-16,108.52
94,2019-01-15,108.15
95,2019-01-14,108.33
96,2019-01-11,108.58
97,2019-01-10,108.51
98,2019-01-09,107.50
99,2019-01-08,106.30
100,2019-01-07,105.28
101,2019-01-04,104.41
102,2019-01-03,100.57
103,2019-01-02,103.20
104,2018-12-31,102.89
105,2018-12-28,102.02
106,2018-12-27,102.50
107,2018-12-26,101.07
108,2018-12-24,96.60
109,2018-12-21,99.38
110,2018-12-20,101.28
111,2018-12-19,103.20
112,2018-12-18,105.00
113,2018-12-17,104.79
114,2018-12-14,106.64
115,2018-12-13,108.00
116,2018-12-12,108.64
117,2018-12-11,108.11
118,2018-12-10,108.60
119,2018-12-07,108.59
120,2018-12-06,111.71
121,2018-12-04,112.09
122,2018-12-03,117.63
123,2018-11-30,116.21
124,2018-11-29,115.43
125,2018-11-28,115.29
126,2018-11-27,112.56
127,2018-11-26,113.33
128,2018-11-23,112.58
129,2018-11-21,111.98
130,2018-11-20,111.22
131,2018-11-19,113.47
132,2018-11-16,115.11
133,2018-11-15,114.78
134,2018-11-14,113.22
135,2018-11-13,113.38
136,2018-11-12,112.95
137,2018-11-09,115.04
138,2018-11-08,115.86
139,2018-11-07,116.33
140,2018-11-06,114.44
141,2018-11-05,113.37
142,2018-11-02,113.06
143,2018-11-01,113.02
144,2018-10-31,110.74
145,2018-10-30,109.99
146,2018-10-29,107.00
147,2018-10-26,108.44
148,2018-10-25,109.46
