,Date,NAV
1,2019-05-30,14.48
2,2019-05-29,14.61
3,2019-05-28,14.43
4,2019-05-24,14.25
5,2019-05-23,14.35
6,2019-05-22,13.84
7,2019-05-21,13.69
8,2019-05-20,14.10
9,2019-05-17,13.96
10,2019-05-16,13.68
11,2019-05-15,13.93
12,2019-05-14,14.00
13,2019-05-13,14.33
14,2019-05-10,13.59
15,2019-05-09,13.71
16,2019-05-08,13.65
17,2019-05-07,13.62
18,2019-05-06,13.14
19,2019-05-03,12.94
20,2019-05-02,13.29
21,2019-05-01,13.21
22,2019-04-30,12.99
23,2019-04-29,13.08
24,2019-04-26,13.31
25,2019-04-25,13.29
26,2019-04-24,12.86
27,2019-04-23,12.88
28,2019-04-22,13.15
29,2019-04-18,13.07
30,2019-04-17,13.24
31,2019-04-16,13.30
32,2019-04-15,13.37
33,2019-04-12,13.16
34,2019-04-11,13.56
35,2019-04-10,13.77
36,2019-04-09,13.79
37,2019-04-08,13.45
38,2019-04-05,13.35
39,2019-04-04,13.49
40,2019-04-03,13.58
41,2019-04-02,13.57
42,2019-04-01,13.67
43,2019-03-29,14.05
44,2019-03-28,14.28
45,2019-03-27,14.58
46,2019-03-26,14.54
47,2019-03-25,14.72
48,2019-03-22,14.86
49,2019-03-21,14.20
50,2019-03-20,14.52
51,2019-03-19,14.42
52,2019-03-18,14.24
53,2019-03-15,14.49
54,2019-03-14,14.35
55,2019-03-13,14.41
56,2019-03-12,14.62
57,2019-03-11,14.55
58,2019-03-08,14.78
59,2019-03-07,14.79
60,2019-03-06,14.53
61,2019-03-05,14.32
62,2019-03-04,14.24
63,2019-03-01,14.05
64,2019-02-28,14.19
65,2019-02-27,14.02
66,2019-02-26,14.11
67,2019-02-25,14.05
68,2019-02-22,14.15
69,2019-02-21,14.37
70,2019-02-20,14.27
71,2019-02-19,14.39
72,2019-02-15,14.42
73,2019-02-14,14.80
74,2019-02-13,14.67
75,2019-02-12,14.88
76,2019-02-11,15.33
77,2019-02-08,15.43
78,2019-02-07,15.54
79,2019-02-06,15.28
80,2019-02-05,15.29
81,2019-02-04,15.55
82,2019-02-01,15.93
83,2019-01-31,15.98
84,2019-01-30,16.14
85,2019-01-29,16.60
86,2019-01-28,16.93
87,2019-01-25,16.61
88,2019-01-24,17.08
89,2019-01-23,17.34
90,2019-01-22,17.42
91,2019-01-18,16.78
92,2019-01-17,17.44
93,2019-01-16,17.91
94,2019-01-15,18.04
95,2019-01-14,17.91
96,2019-01-11,17.82
97,2019-01-10,17.74
98,2019-01-09,18.31
99,2019-01-08,18.54
100,2019-01-07,19.10
101,2019-01-04,19.45
102,2019-01-03,21.00
103,2019-01-02,19.93
104,2018-12-31,20.16
105,2018-12-28,20.46
106,2018-12-27,20.46
107,2018-12-26,20.91
108,2018-12-24,22.95
109,2018-12-21,21.70
110,2018-12-20,21.00
111,2018-12-19,20.09
112,2018-12-18,19.41
113,2018-12-17,19.68
114,2018-12-14,18.91
115,2018-12-13,18.34
116,2018-12-12,18.18
117,2018-12-11,18.43
118,2018-12-10,18.22
119,2018-12-07,18.04
120,2018-12-06,17.46
121,2018-12-04,17.14
122,2018-12-03,16.15
123,2018-11-30,16.36
124,2018-11-29,16.62
125,2018-11-28,16.80
126,2018-11-27,17.84
127,2018-11-26,17.51
128,2018-11-23,17.75
129,2018-11-21,17.66
130,2018-11-20,17.92
131,2018-11-19,17.28
132,2018-11-16,16.68
133,2018-11-15,16.64
134,2018-11-14,17.05
135,2018-11-13,16.49
136,2018-11-12,17.10
137,2018-11-09,16.53
138,2018-11-08,16.09
139,2018-11-07,16.09
140,2018-11-06,16.62
141,2018-11-05,16.98
142,2018-11-02,17.05
143,2018-11-01,16.92
144,2018-10-31,17.27
145,2018-10-30,18.18
146,2018-10-29,18.82
147,2018-10-26,18.03
148,2018-10-25,17.79
149,2018-10-24,18.03
150,2018-10-23,16.93
151,2018-10-22,16.58
152,2018-10-19,16.51
153,2018-10-18,16.27
154,2018-10-17,15.73
155,2018-10-16,15.64
156,2018-10-15,16.26
157,2018-10-12,16.27
158,2018-10-11,16.36
159,2018-10-10,15.76
160,2018-10-09,14.61
161,2018-10-08,14.39
162,2018-10-05,14.34
163,2018-10-04,14.03
164,2018-10-03,13.97
165,2018-10-02,13.97
166,2018-10-01,13.94
167,2018-09-28,14.24
168,2018-09-27,14.18
169,2018-09-26,14.17
170,2018-09-25,14.11
171,2018-09-24,13.98
172,2018-09-21,13.76
173,2018-09-20,13.77
174,2018-09-19,13.80
175,2018-09-18,13.78
176,2018-09-17,14.01
177,2018-09-14,14.02
178,2018-09-13,14.12
179,2018-09-12,14.21
180,2018-09-11,14.35
181,2018-09-10,14.35
182,2018-09-07,14.61
183,2018-09-06,14.71
184,2018-09-05,14.71
185,2018-09-04,14.65
186,2018-08-31,14.61
187,2018-08-30,14.54
188,2018-08-29,14.54
189,2018-08-28,14.54
190,2018-08-27,14.52
191,2018-08-24,14.80
192,2018-08-23,14.82
193,2018-08-22,14.82
194,2018-08-21,14.69
195,2018-08-20,14.79
196,2018-08-17,14.97
197,2018-08-16,15.22
198,2018-08-15,15.64
199,2018-08-14,15.31
200,2018-08-13,15.41
201,2018-08-10,15.28
202,2018-08-09,15.13
203,2018-08-08,14.92
204,2018-08-07,14.92
205,2018-08-06,15.25
206,2018-08-03,15.38
207,2018-08-02,15.36
208,2018-08-01,15.31
209,2018-07-31,15.09
210,2018-07-30,15.55
211,2018-07-27,15.33
212,2018-07-26,15.15
213,2018-07-25,15.51
214,2018-07-24,15.68
215,2018-07-23,15.73
216,2018-07-20,15.59
217,2018-07-19,15.83
218,2018-07-18,15.55
219,2018-07-17,15.83
220,2018-07-16,15.95
221,2018-07-13,15.81
222,2018-07-12,15.94
223,2018-07-11,16.23
224,2018-07-10,15.89
225,2018-07-09,15.93
226,2018-07-06,16.42
227,2018-07-05,16.74
228,2018-07-03,16.81
229,2018-07-02,16.94
230,2018-06-29,16.79
231,2018-06-28,16.86
232,2018-06-27,16.86
233,2018-06-26,16.68
234,2018-06-25,16.76
235,2018-06-22,16.32
236,2018-06-21,16.39
237,2018-06-20,16.06
238,2018-06-19,16.16
239,2018-06-18,15.53
240,2018-06-15,15.68
241,2018-06-14,15.39
242,2018-06-13,15.24
243,2018-06-12,15.23
244,2018-06-11,15.24
245,2018-06-08,15.30
246,2018-06-07,15.56
247,2018-06-06,15.40
248,2018-06-05,15.82
249,2018-06-04,15.79
250,2018-06-01,15.93
251,2018-05-31,16.22
252,2018-05-30,15.78
253,2018-05-29,16.37
254,2018-05-25,15.82
255,2018-05-24,15.80
256,2018-05-23,15.94
257,2018-05-22,15.88
258,2018-05-21,15.58
259,2018-05-18,15.92
260,2018-05-17,16.17
261,2018-05-16,16.20
262,2018-05-15,16.43
263,2018-05-14,16.21
264,2018-05-11,16.24
265,2018-05-10,16.22
266,2018-05-09,16.49
267,2018-05-08,16.77
268,2018-05-07,16.98
269,2018-05-04,17.33
270,2018-05-03,17.67
271,2018-05-02,17.41
272,2018-05-01,17.68
273,2018-04-30,17.35
274,2018-04-27,17.11
275,2018-04-26,16.91
276,2018-04-25,16.92
277,2018-04-24,16.95
278,2018-04-23,16.21
279,2018-04-20,16.08
280,2018-04-19,15.96
281,2018-04-18,15.72
282,2018-04-17,15.97
283,2018-04-16,16.32
284,2018-04-13,16.78
285,2018-04-12,16.59
286,2018-04-11,16.84
287,2018-04-10,16.86
288,2018-04-09,16.96
289,2018-04-06,17.51
290,2018-04-05,16.49
291,2018-04-04,16.97
292,2018-04-03,17.10
293,2018-04-02,17.73
294,2018-03-29,16.75
295,2018-03-28,17.25
296,2018-03-27,17.13
297,2018-03-26,16.94
298,2018-03-23,17.43
299,2018-03-22,15.63
300,2018-03-21,15.63
301,2018-03-20,15.85
302,2018-03-19,16.09
303,2018-03-16,15.78
304,2018-03-15,15.78
305,2018-03-14,15.94
306,2018-03-13,15.63
307,2018-03-12,15.34
308,2018-03-09,15.34
309,2018-03-08,15.92
310,2018-03-07,15.96
311,2018-03-06,16.06
312,2018-03-05,16.33
313,2018-03-02,16.70
314,2018-03-01,16.53
315,2018-02-28,15.45
316,2018-02-27,15.45
317,2018-02-26,15.40
318,2018-02-23,15.67
319,2018-02-22,15.67
320,2018-02-21,15.89
321,2018-02-20,15.67
322,2018-02-16,15.67
323,2018-02-15,15.97
324,2018-02-14,16.90
325,2018-02-13,16.90
326,2018-02-12,16.67
327,2018-02-09,17.77
328,2018-02-08,17.17
329,2018-02-07,16.19
330,2018-02-06,16.85
331,2018-02-05,16.20
332,2018-02-02,15.05
333,2018-02-01,15.05
334,2018-01-31,15.05
335,2018-01-30,15.05
336,2018-01-29,14.45
337,2018-01-26,14.55
338,2018-01-25,14.91
339,2018-01-24,14.91
340,2018-01-23,15.02
341,2018-01-22,15.02
342,2018-01-19,15.08
343,2018-01-18,15.08
344,2018-01-17,15.10
345,2018-01-16,15.25
346,2018-01-12,15.01
347,2018-01-11,15.20
348,2018-01-10,15.44
349,2018-01-09,15.52
350,2018-01-08,16.01
351,2018-01-05,16.01
352,2018-01-04,16.01
353,2018-01-03,16.33
354,2018-01-02,16.55
355,2017-12-29,16.73
356,2017-12-28,16.73
357,2017-12-27,16.73
358,2017-12-26,16.73
359,2017-12-22,16.82
360,2017-12-21,16.82
361,2017-12-20,16.82
362,2017-12-19,16.84
363,2017-12-18,16.84
364,2017-12-15,16.98
365,2017-12-14,17.16
366,2017-12-13,17.16
367,2017-12-12,17.16
368,2017-12-11,17.24
369,2017-12-08,17.24
370,2017-12-07,17.56
371,2017-12-06,17.56
372,2017-12-05,17.57
373,2017-12-04,17.23
374,2017-12-01,17.22
375,2017-11-30,17.22
376,2017-11-29,18.11
377,2017-11-28,18.11
378,2017-11-27,18.11
379,2017-11-24,18.45
380,2017-11-22,18.45
381,2017-11-21,18.45
382,2017-11-20,18.45
383,2017-11-17,18.55
384,2017-11-16,18.55
385,2017-11-15,18.96
386,2017-11-14,18.59
387,2017-11-13,18.59
388,2017-11-10,18.59
389,2017-11-09,18.59
390,2017-11-08,18.20
391,2017-11-07,18.20
392,2017-11-06,18.25
393,2017-11-03,18.25
394,2017-11-02,18.25
395,2017-11-01,18.40
396,2017-10-31,17.75
397,2017-10-30,17.75
398,2017-10-27,17.75
399,2017-10-26,17.75
400,2017-10-25,17.75
401,2017-10-24,17.75
402,2017-10-23,17.97
403,2017-10-20,18.06
404,2017-10-19,18.65
405,2017-10-18,18.50
406,2017-10-17,18.50
407,2017-10-16,18.36
408,2017-10-13,18.41
409,2017-10-12,18.63
410,2017-10-11,18.63
411,2017-10-10,18.56
412,2017-10-09,18.60
413,2017-10-06,18.55
414,2017-10-05,18.55
415,2017-10-04,18.73
416,2017-10-03,18.70
417,2017-10-02,19.18
418,2017-09-29,19.18
419,2017-09-28,19.18
420,2017-09-27,19.18
421,2017-09-26,19.34
422,2017-09-25,19.34
423,2017-09-22,19.67
424,2017-09-21,19.36
425,2017-09-20,19.47
426,2017-09-19,19.59
427,2017-09-18,20.78
428,2017-09-15,20.78
429,2017-09-14,20.78
430,2017-09-13,20.78
431,2017-09-12,20.78
432,2017-09-11,20.78
433,2017-09-08,20.78
434,2017-09-07,20.93
435,2017-09-06,20.94
436,2017-09-05,20.50
437,2017-09-01,20.50
438,2017-08-31,20.56
439,2017-08-30,21.11
440,2017-08-29,21.11
441,2017-08-28,21.33
442,2017-08-25,21.33
443,2017-08-24,21.33
444,2017-08-23,21.33
445,2017-08-22,21.33
446,2017-08-21,21.65
447,2017-08-18,21.65
448,2017-08-17,21.16
449,2017-08-16,21.16
450,2017-08-15,21.16
451,2017-08-14,21.16
452,2017-08-11,21.16
453,2017-08-10,20.77
454,2017-08-09,20.77
455,2017-08-08,20.77
456,2017-08-07,20.88
457,2017-08-04,20.88
458,2017-08-03,20.88
459,2017-08-02,20.71
460,2017-08-01,20.76
461,2017-07-31,20.76
462,2017-07-28,20.95
463,2017-07-27,20.98
464,2017-07-26,20.88
465,2017-07-25,20.80
466,2017-07-24,20.53
467,2017-07-21,20.53
468,2017-07-20,20.53
469,2017-07-19,20.53
470,2017-07-18,20.88
471,2017-07-17,20.88
472,2017-07-14,20.88
473,2017-07-13,20.88
474,2017-07-12,20.88
475,2017-07-11,21.14
476,2017-07-10,20.96
477,2017-07-07,20.96
478,2017-07-06,20.96
479,2017-07-05,20.96
480,2017-07-03,21.12
481,2017-06-30,21.36
482,2017-06-29,21.91
483,2017-06-28,21.69
484,2017-06-27,21.69
485,2017-06-26,21.35
486,2017-06-23,21.35
487,2017-06-22,21.55
488,2017-06-21,21.55
489,2017-06-20,21.29
490,2017-06-19,21.23
491,2017-06-16,21.23
492,2017-06-15,21.23
493,2017-06-14,21.23
494,2017-06-13,21.23
495,2017-06-12,21.46
496,2017-06-09,21.46
497,2017-06-08,21.82
498,2017-06-07,21.82
499,2017-06-06,21.36
500,2017-06-05,21.36
501,2017-06-02,21.50
502,2017-06-01,21.65
503,2017-05-31,22.06
504,2017-05-30,22.06
505,2017-05-26,22.06
506,2017-05-25,22.06
507,2017-05-24,22.40
508,2017-05-23,22.61
509,2017-05-22,22.61
510,2017-05-19,22.69
511,2017-05-18,23.79
512,2017-05-17,23.20
513,2017-05-16,22.53
514,2017-05-15,22.53
515,2017-05-12,22.53
516,2017-05-11,22.53
517,2017-05-10,22.22
518,2017-05-09,22.22
519,2017-05-08,22.22
520,2017-05-05,22.22
521,2017-05-04,22.63
522,2017-05-03,22.63
523,2017-05-02,22.68
524,2017-05-01,22.68
525,2017-04-28,22.43
526,2017-04-27,22.43
527,2017-04-26,22.24
528,2017-04-25,23.97
529,2017-04-24,23.97
530,2017-04-21,23.97
531,2017-04-20,23.97
532,2017-04-19,23.97
533,2017-04-18,23.97
534,2017-04-17,24.53
535,2017-04-13,24.51
536,2017-04-12,24.26
537,2017-04-11,23.72
538,2017-04-10,23.65
539,2017-04-07,23.75
540,2017-04-06,23.93
541,2017-04-05,23.93
542,2017-04-04,23.73
543,2017-04-03,23.99
544,2017-03-31,23.54
545,2017-03-30,23.56
546,2017-03-29,23.94
547,2017-03-28,23.46
548,2017-03-27,24.30
549,2017-03-24,24.07
550,2017-03-23,23.78
551,2017-03-22,23.68
552,2017-03-21,24.08
553,2017-03-20,23.22
554,2017-03-17,23.31
555,2017-03-16,23.29
556,2017-03-15,23.44
557,2017-03-14,23.55
558,2017-03-13,23.55
559,2017-03-10,23.58
560,2017-03-09,23.58
561,2017-03-08,23.49
562,2017-03-07,23.20
563,2017-03-06,23.21
564,2017-03-03,23.22
565,2017-03-02,22.63
566,2017-03-01,22.63
567,2017-02-28,23.68
568,2017-02-27,23.68
569,2017-02-24,23.68
570,2017-02-23,23.64
571,2017-02-22,23.64
572,2017-02-21,23.64
573,2017-02-17,23.64
574,2017-02-16,23.64
575,2017-02-15,23.84
576,2017-02-14,23.86
577,2017-02-13,23.86
578,2017-02-10,24.90
579,2017-02-09,24.90
580,2017-02-08,24.97
581,2017-02-07,24.97
582,2017-02-06,24.89
583,2017-02-03,24.89
584,2017-02-02,25.44
585,2017-02-01,25.37
586,2017-01-31,25.07
587,2017-01-30,25.06
588,2017-01-27,24.35
589,2017-01-26,24.35
590,2017-01-25,24.31
591,2017-01-24,24.86
592,2017-01-23,25.68
593,2017-01-20,25.45
594,2017-01-19,25.43
595,2017-01-18,25.31
596,2017-01-17,25.31
597,2017-01-13,25.31
598,2017-01-12,25.46
599,2017-01-11,25.63
600,2017-01-10,25.50
601,2017-01-09,25.79
602,2017-01-06,25.36
603,2017-01-05,25.60
604,2017-01-04,25.97
605,2017-01-03,25.97
606,2016-12-30,26.27
607,2016-12-29,26.09
608,2016-12-28,25.82
609,2016-12-27,25.43
610,2016-12-23,25.57
611,2016-12-22,25.63
612,2016-12-21,25.65
613,2016-12-20,25.28
614,2016-12-19,25.69
615,2016-12-16,25.72
616,2016-12-15,25.65
617,2016-12-14,25.86
618,2016-12-13,25.49
619,2016-12-12,25.22
620,2016-12-09,25.27
621,2016-12-08,25.44
622,2016-12-07,25.38
623,2016-12-06,26.22
624,2016-12-05,26.41
625,2016-12-02,26.18
626,2016-12-01,26.54
627,2016-11-30,26.43
628,2016-11-29,26.28
629,2016-11-28,26.57
630,2016-11-25,26.33
631,2016-11-23,26.48
632,2016-11-22,26.76
633,2016-11-21,27.10
634,2016-11-18,27.27
635,2016-11-17,27.49
636,2016-11-16,27.40
637,2016-11-15,27.54
638,2016-11-14,27.54
639,2016-11-11,27.81
640,2016-11-10,27.81
641,2016-11-09,28.98
642,2016-11-08,30.21
643,2016-11-07,30.64
644,2016-11-04,31.83
645,2016-11-03,31.13
646,2016-11-02,31.13
647,2016-11-01,31.13
648,2016-10-31,31.13
649,2016-10-28,31.09
650,2016-10-27,31.21
651,2016-10-26,31.11
652,2016-10-25,30.95
653,2016-10-24,30.95
654,2016-10-21,31.27
655,2016-10-20,31.08
656,2016-10-19,30.63
657,2016-10-18,30.96
658,2016-10-17,31.21
659,2016-10-14,31.54
660,2016-10-13,31.59
661,2016-10-12,31.46
662,2016-10-11,31.46
663,2016-10-10,30.72
664,2016-10-07,30.72
665,2016-10-06,30.15
666,2016-10-05,30.15
667,2016-10-04,30.15
668,2016-10-03,29.80
669,2016-09-30,29.68
670,2016-09-29,30.36
671,2016-09-28,30.49
672,2016-09-27,30.49
673,2016-09-26,30.49
674,2016-09-23,30.22
675,2016-09-22,29.80
676,2016-09-21,31.28
677,2016-09-20,31.28
678,2016-09-19,31.50
679,2016-09-16,31.68
680,2016-09-15,31.50
681,2016-09-14,31.50
682,2016-09-13,31.64
683,2016-09-12,31.42
684,2016-09-09,31.42
685,2016-09-08,29.90
686,2016-09-07,29.90
687,2016-09-06,29.79
688,2016-09-02,30.10
689,2016-09-01,30.10
690,2016-08-31,29.72
691,2016-08-30,29.72
692,2016-08-29,29.88
693,2016-08-26,29.88
694,2016-08-25,29.57
695,2016-08-24,29.57
696,2016-08-23,29.40
697,2016-08-22,29.85
698,2016-08-19,29.85
699,2016-08-18,29.85
700,2016-08-17,29.85
701,2016-08-16,29.85
702,2016-08-15,29.85
703,2016-08-12,30.08
704,2016-08-11,30.08
705,2016-08-10,30.44
706,2016-08-09,30.79
707,2016-08-08,30.79
708,2016-08-05,31.32
709,2016-08-04,31.32
710,2016-08-03,31.32
711,2016-08-02,30.74
712,2016-08-01,30.74
713,2016-07-29,30.45
714,2016-07-28,30.45
715,2016-07-27,30.41
716,2016-07-26,30.56
717,2016-07-25,30.86
718,2016-07-22,30.49
719,2016-07-21,30.63
720,2016-07-20,30.25
721,2016-07-19,30.25
722,2016-07-18,30.37
723,2016-07-15,30.06
724,2016-07-14,30.31
725,2016-07-13,30.78
726,2016-07-12,30.79
727,2016-07-11,30.97
728,2016-07-08,31.65
729,2016-07-07,32.98
730,2016-07-06,33.01
731,2016-07-05,33.59
732,2016-07-01,32.09
733,2016-06-30,33.03
734,2016-06-29,33.94
735,2016-06-28,35.91
736,2016-06-27,36.32
737,2016-06-24,34.55
738,2016-06-23,32.76
739,2016-06-22,32.76
740,2016-06-21,32.76
741,2016-06-20,32.49
742,2016-06-17,33.75
743,2016-06-16,33.75
744,2016-06-15,33.21
745,2016-06-14,33.74
746,2016-06-13,33.75
747,2016-06-10,33.11
748,2016-06-09,32.96
749,2016-06-08,32.46
750,2016-06-07,32.46
751,2016-06-06,32.98
752,2016-06-03,33.70
753,2016-06-02,33.85
754,2016-06-01,33.85
755,2016-05-31,33.85
756,2016-05-27,33.72
757,2016-05-26,33.77
758,2016-05-25,33.77
759,2016-05-24,34.62
760,2016-05-23,35.20
761,2016-05-20,35.20
762,2016-05-19,35.49
763,2016-05-18,35.39
764,2016-05-17,35.07
765,2016-05-16,34.90
766,2016-05-13,34.90
767,2016-05-12,34.17
768,2016-05-11,34.25
769,2016-05-10,34.06
770,2016-05-09,35.21
771,2016-05-06,35.11
772,2016-05-05,35.39
773,2016-05-04,34.61
774,2016-05-03,34.61
775,2016-05-02,34.61
776,2016-04-29,34.61
777,2016-04-28,33.91
778,2016-04-27,33.41
779,2016-04-26,34.17
780,2016-04-25,34.17
781,2016-04-22,34.17
782,2016-04-21,34.19
783,2016-04-20,34.37
784,2016-04-19,34.08
785,2016-04-18,34.94
786,2016-04-15,34.87
787,2016-04-14,34.89
788,2016-04-13,34.97
789,2016-04-12,35.58
790,2016-04-11,35.90
791,2016-04-08,35.96
792,2016-04-07,36.21
793,2016-04-06,36.21
794,2016-04-05,35.40
795,2016-04-04,35.40
796,2016-04-01,35.50
797,2016-03-31,35.04
798,2016-03-30,35.04
799,2016-03-29,36.56
800,2016-03-28,36.37
801,2016-03-24,36.55
802,2016-03-23,36.12
803,2016-03-22,35.41
804,2016-03-21,35.77
805,2016-03-18,35.86
806,2016-03-17,37.50
807,2016-03-16,37.73
808,2016-03-15,38.58
809,2016-03-14,37.99
810,2016-03-11,38.38
811,2016-03-10,39.89
812,2016-03-09,39.13
813,2016-03-08,39.33
814,2016-03-07,38.13
815,2016-03-04,38.64
816,2016-03-03,39.29
817,2016-03-02,39.68
818,2016-03-01,39.73
819,2016-02-29,41.69
820,2016-02-26,40.76
821,2016-02-25,41.96
822,2016-02-24,43.42
823,2016-02-23,42.49
824,2016-02-22,42.01
825,2016-02-19,43.24
826,2016-02-18,42.94
827,2016-02-17,42.96
828,2016-02-16,44.29
829,2016-02-12,46.49
830,2016-02-11,48.08
831,2016-02-10,46.32
832,2016-02-09,46.70
833,2016-02-08,46.63
834,2016-02-05,45.73
835,2016-02-04,44.05
836,2016-02-03,45.63
837,2016-02-02,46.78
838,2016-02-01,45.06
839,2016-01-29,44.70
840,2016-01-28,47.23
841,2016-01-27,48.34
842,2016-01-26,46.63
843,2016-01-25,48.66
844,2016-01-22,47.11
845,2016-01-21,48.42
846,2016-01-20,48.18
847,2016-01-19,47.99
848,2016-01-15,47.92
849,2016-01-14,46.22
850,2016-01-13,47.31
851,2016-01-12,45.10
852,2016-01-11,45.64
853,2016-01-08,45.64
854,2016-01-07,44.76
855,2016-01-06,42.06
856,2016-01-05,41.38
857,2016-01-04,41.56
858,2015-12-31,40.00
859,2015-12-30,39.38
860,2015-12-29,39.10
861,2015-12-28,40.23
862,2015-12-24,40.65
863,2015-12-23,40.65
864,2015-12-22,40.65
865,2015-12-21,42.13
866,2015-12-18,42.13
867,2015-12-17,39.76
868,2015-12-16,39.76
869,2015-12-15,40.80
870,2015-12-14,41.76
871,2015-12-11,41.28
872,2015-12-10,39.85
873,2015-12-09,40.26
874,2015-12-08,39.98
875,2015-12-07,39.19
876,2015-12-04,38.24
877,2015-12-03,39.65
878,2015-12-02,38.56
879,2015-12-01,37.85
880,2015-11-30,37.84
881,2015-11-27,37.55
882,2015-11-25,37.55
883,2015-11-24,38.01
884,2015-11-23,37.60
885,2015-11-20,37.21
886,2015-11-19,37.92
887,2015-11-18,38.00
888,2015-11-17,38.98
889,2015-11-16,39.33
890,2015-11-13,40.38
891,2015-11-12,39.50
892,2015-11-11,38.71
893,2015-11-10,38.92
894,2015-11-09,39.13
895,2015-11-06,38.70
896,2015-11-05,38.38
897,2015-11-04,38.40
898,2015-11-03,38.21
899,2015-11-02,38.52
900,2015-10-30,39.13
901,2015-10-29,39.39
902,2015-10-28,39.37
903,2015-10-27,40.27
904,2015-10-26,39.67
905,2015-10-23,39.35
906,2015-10-22,39.78
907,2015-10-21,41.93
908,2015-10-20,41.54
909,2015-10-19,42.32
910,2015-10-16,41.90
911,2015-10-15,41.71
912,2015-10-14,42.89
913,2015-10-13,42.02
914,2015-10-12,40.90
915,2015-10-09,41.09
916,2015-10-08,41.94
917,2015-10-07,42.51
918,2015-10-06,43.60
919,2015-10-05,43.47
920,2015-10-02,46.16
921,2015-10-01,47.56
922,2015-09-30,46.87
923,2015-09-29,49.12
924,2015-09-28,49.34
925,2015-09-25,46.90
926,2015-09-24,47.56
927,2015-09-23,46.47
928,2015-09-22,46.24
929,2015-09-21,45.07
930,2015-09-18,45.56
931,2015-09-17,43.31
932,2015-09-16,43.15
933,2015-09-15,43.87
934,2015-09-14,45.50
935,2015-09-11,44.93
936,2015-09-10,45.59
937,2015-09-09,45.53
938,2015-09-08,44.56
939,2015-09-04,47.12
940,2015-09-03,45.53
941,2015-09-02,46.40
942,2015-09-01,47.79
943,2015-08-31,44.91
944,2015-08-28,44.71
945,2015-08-27,45.61
946,2015-08-26,46.79
947,2015-08-25,49.77
948,2015-08-24,48.47
949,2015-08-21,45.57
950,2015-08-20,42.76
951,2015-08-19,41.32
952,2015-08-18,40.40
953,2015-08-17,40.62
954,2015-08-14,40.95
955,2015-08-13,41.42
956,2015-08-12,41.64
957,2015-08-11,41.19
958,2015-08-10,40.59
959,2015-08-07,41.84
960,2015-08-06,41.53
961,2015-08-05,41.79
962,2015-08-04,41.79
963,2015-08-03,42.04
964,2015-07-31,40.67
965,2015-07-30,41.23
966,2015-07-29,41.30
967,2015-07-28,42.49
968,2015-07-27,43.95
969,2015-07-24,42.90
970,2015-07-23,42.32
971,2015-07-22,41.47
972,2015-07-21,40.60
973,2015-07-20,39.99
974,2015-07-17,40.31
975,2015-07-16,40.19
976,2015-07-15,40.55
977,2015-07-14,40.21
978,2015-07-13,40.87
979,2015-07-10,41.51
980,2015-07-09,41.74
981,2015-07-08,42.06
982,2015-07-07,40.92
983,2015-07-06,41.41
984,2015-07-02,40.97
985,2015-07-01,40.97
986,2015-06-30,40.97
987,2015-06-29,41.17
988,2015-06-26,39.86
989,2015-06-25,39.73
990,2015-06-24,39.54
991,2015-06-23,38.90
992,2015-06-22,38.69
993,2015-06-19,38.95
994,2015-06-18,38.73
995,2015-06-17,39.60
996,2015-06-16,39.84
997,2015-06-15,39.93
998,2015-06-12,38.81
999,2015-06-11,38.81
1000,2015-06-10,39.06
1001,2015-06-09,39.86
1002,2015-06-08,39.86
1003,2015-06-05,39.34
1004,2015-06-04,39.41
1005,2015-06-03,38.74
1006,2015-06-02,39.47
1007,2015-06-01,39.47
1008,2015-05-29,39.47
1009,2015-05-28,38.85
1010,2015-05-27,38.64
1011,2015-05-26,39.29
1012,2015-05-22,38.44
1013,2015-05-21,38.44
1014,2015-05-20,38.44
1015,2015-05-19,38.44
1016,2015-05-18,38.44
1017,2015-05-15,38.43
1018,2015-05-14,38.44
1019,2015-05-13,39.36
1020,2015-05-12,39.36
1021,2015-05-11,40.38
1022,2015-05-08,40.38
1023,2015-05-07,40.38
1024,2015-05-06,40.38
1025,2015-05-05,39.34
1026,2015-05-04,39.34
1027,2015-05-01,40.54
