,Date,NAV
1,2019-05-30,73.05
2,2019-05-29,72.77
3,2019-05-28,73.10
4,2019-05-24,73.78
5,2019-05-23,73.75
6,2019-05-22,74.89
7,2019-05-21,75.51
8,2019-05-20,74.63
9,2019-05-17,74.82
10,2019-05-16,75.66
11,2019-05-15,74.97
12,2019-05-14,74.87
13,2019-05-13,74.10
14,2019-05-10,76.27
15,2019-05-09,75.97
16,2019-05-08,76.08
17,2019-05-07,76.08
18,2019-05-06,77.65
19,2019-05-03,78.40
20,2019-05-02,77.46
21,2019-05-01,77.50
22,2019-04-30,78.01
23,2019-04-29,77.70
24,2019-04-26,77.52
25,2019-04-25,76.94
26,2019-04-24,78.52
27,2019-04-23,78.75
28,2019-04-22,78.07
29,2019-04-18,78.31
30,2019-04-17,77.42
31,2019-04-16,77.32
32,2019-04-15,76.85
33,2019-04-12,77.28
34,2019-04-11,76.27
35,2019-04-10,75.62
36,2019-04-09,75.64
37,2019-04-08,76.68
38,2019-04-05,77.01
39,2019-04-04,76.79
40,2019-04-03,76.32
41,2019-04-02,76.55
42,2019-04-01,76.58
43,2019-03-29,75.03
44,2019-03-28,74.23
45,2019-03-27,73.69
46,2019-03-26,73.61
47,2019-03-25,73.12
48,2019-03-22,72.95
49,2019-03-21,74.64
50,2019-03-20,73.93
51,2019-03-19,74.44
52,2019-03-18,74.71
53,2019-03-15,73.99
54,2019-03-14,74.25
55,2019-03-13,74.50
56,2019-03-12,73.85
57,2019-03-11,74.47
58,2019-03-08,73.84
59,2019-03-07,73.99
60,2019-03-06,74.44
61,2019-03-05,75.15
62,2019-03-04,75.63
63,2019-03-01,75.97
64,2019-02-28,75.90
65,2019-02-27,76.16
66,2019-02-26,75.86
67,2019-02-25,76.07
68,2019-02-22,75.77
69,2019-02-21,75.28
70,2019-02-20,75.58
71,2019-02-19,75.23
72,2019-02-15,75.26
73,2019-02-14,74.26
74,2019-02-13,74.61
75,2019-02-12,74.17
76,2019-02-11,73.04
77,2019-02-08,72.65
78,2019-02-07,72.54
79,2019-02-06,73.04
80,2019-02-05,73.02
81,2019-02-04,72.39
82,2019-02-01,71.47
83,2019-01-31,71.36
84,2019-01-30,71.05
85,2019-01-29,69.96
86,2019-01-28,69.00
87,2019-01-25,69.67
88,2019-01-24,68.79
89,2019-01-23,68.45
90,2019-01-22,68.35
91,2019-01-18,69.79
92,2019-01-17,68.49
93,2019-01-16,67.33
94,2019-01-15,67.26
95,2019-01-14,67.47
96,2019-01-11,67.48
97,2019-01-10,67.55
98,2019-01-09,66.65
99,2019-01-08,66.20
100,2019-01-07,65.30
101,2019-01-04,64.78
102,2019-01-03,62.41
103,2019-01-02,64.37
104,2018-12-31,64.04
105,2018-12-28,63.40
106,2018-12-27,63.57
107,2018-12-26,62.79
108,2018-12-24,59.99
109,2018-12-21,61.89
110,2018-12-20,63.08
111,2018-12-19,64.26
112,2018-12-18,65.50
113,2018-12-17,65.17
114,2018-12-14,66.26
115,2018-12-13,67.19
116,2018-12-12,67.37
117,2018-12-11,67.00
118,2018-12-10,67.39
119,2018-12-07,67.22
120,2018-12-06,69.04
121,2018-12-04,69.43
122,2018-12-03,72.51
123,2018-11-30,71.68
124,2018-11-29,70.99
125,2018-11-28,70.95
126,2018-11-27,69.29
127,2018-11-26,69.41
128,2018-11-23,68.90
129,2018-11-21,69.04
130,2018-11-20,68.56
131,2018-11-19,70.01
132,2018-11-16,71.14
133,2018-11-15,71.16
134,2018-11-14,70.23
135,2018-11-13,70.47
