,Date,NAV
1,2019-05-30,32.18
2,2019-05-29,32.04
3,2019-05-28,32.10
4,2019-05-24,32.08
5,2019-05-23,31.99
6,2019-05-22,31.93
7,2019-05-21,31.81
8,2019-05-20,31.95
9,2019-05-17,32.00
10,2019-05-16,31.93
11,2019-05-15,31.95
12,2019-05-14,31.89
13,2019-05-13,31.85
14,2019-05-10,31.80
15,2019-05-09,31.81
16,2019-05-08,31.80
17,2019-05-07,31.90
18,2019-05-06,31.85
19,2019-05-03,31.77
20,2019-05-02,31.74
21,2019-05-01,31.76
22,2019-04-30,31.85
23,2019-04-29,31.83
24,2019-04-26,31.84
25,2019-04-25,31.76
26,2019-04-24,31.79
27,2019-04-23,31.69
28,2019-04-22,31.56
29,2019-04-18,31.67
30,2019-04-17,31.65
31,2019-04-16,31.66
32,2019-04-15,31.71
33,2019-04-12,31.72
34,2019-04-11,31.75
35,2019-04-10,31.67
36,2019-04-09,31.66
37,2019-04-08,31.63
38,2019-04-05,31.63
39,2019-04-04,31.59
40,2019-04-03,31.59
41,2019-04-02,31.58
42,2019-04-01,31.55
43,2019-03-29,31.74
44,2019-03-28,31.70
45,2019-03-27,31.74
46,2019-03-26,31.65
47,2019-03-25,31.46
48,2019-03-22,31.44
49,2019-03-21,31.26
50,2019-03-20,31.23
51,2019-03-19,31.11
52,2019-03-18,31.12
53,2019-03-15,31.07
54,2019-03-14,31.02
55,2019-03-13,31.04
56,2019-03-12,31.03
57,2019-03-11,30.95
58,2019-03-08,30.95
59,2019-03-07,30.94
60,2019-03-06,30.87
61,2019-03-05,30.81
62,2019-03-04,30.82
63,2019-03-01,30.77
64,2019-02-28,30.76
65,2019-02-27,30.84
66,2019-02-26,30.91
67,2019-02-25,30.86
68,2019-02-22,30.86
69,2019-02-21,30.81
70,2019-02-20,30.84
71,2019-02-19,30.91
72,2019-02-15,30.80
73,2019-02-14,30.83
74,2019-02-13,30.78
75,2019-02-12,30.85
76,2019-02-11,30.86
77,2019-02-08,30.88
78,2019-02-07,30.83
79,2019-02-06,30.86
80,2019-02-05,30.89
81,2019-02-04,30.79
82,2019-02-01,30.79
83,2019-01-31,30.80
84,2019-01-30,30.64
85,2019-01-29,30.62
86,2019-01-28,30.48
87,2019-01-25,30.47
88,2019-01-24,30.48
