,Date,NAV
1,2019-05-30,104.44
2,2019-05-29,103.99
3,2019-05-28,103.83
4,2019-05-24,103.94
5,2019-05-23,103.65
6,2019-05-22,103.59
7,2019-05-21,103.39
8,2019-05-20,103.45
9,2019-05-17,103.53
10,2019-05-16,103.62
11,2019-05-15,103.60
12,2019-05-14,103.46
13,2019-05-13,103.49
14,2019-05-10,103.44
15,2019-05-09,103.38
16,2019-05-08,103.36
17,2019-05-07,103.53
18,2019-05-06,103.46
19,2019-05-03,103.36
20,2019-05-02,102.99
21,2019-05-01,103.36
22,2019-04-30,103.40
23,2019-04-29,103.27
24,2019-04-26,103.59
25,2019-04-25,103.28
26,2019-04-24,103.31
27,2019-04-23,102.98
28,2019-04-22,102.89
29,2019-04-18,102.93
30,2019-04-17,102.75
31,2019-04-16,102.82
32,2019-04-15,103.08
33,2019-04-12,103.01
34,2019-04-11,103.19
35,2019-04-10,103.18
36,2019-04-09,102.97
37,2019-04-08,102.63
38,2019-04-05,102.73
39,2019-04-04,102.43
40,2019-04-03,102.32
41,2019-04-02,102.48
42,2019-04-01,102.50
43,2019-03-29,102.87
44,2019-03-28,102.87
45,2019-03-27,102.91
46,2019-03-26,102.73
47,2019-03-25,102.75
48,2019-03-22,102.49
49,2019-03-21,101.88
50,2019-03-20,101.63
51,2019-03-19,101.25
52,2019-03-18,101.10
53,2019-03-15,101.24
54,2019-03-14,100.97
55,2019-03-13,101.05
56,2019-03-12,101.13
57,2019-03-11,100.86
58,2019-03-08,100.65
59,2019-03-07,100.72
60,2019-03-06,100.40
61,2019-03-05,100.22
62,2019-03-04,100.25
63,2019-03-01,100.15
64,2019-02-28,100.36
65,2019-02-27,100.44
66,2019-02-26,100.64
67,2019-02-25,100.51
68,2019-02-22,100.49
69,2019-02-21,100.20
70,2019-02-20,100.40
71,2019-02-19,100.45
72,2019-02-15,100.28
73,2019-02-14,100.32
74,2019-02-13,100.13
75,2019-02-12,100.23
76,2019-02-11,100.17
77,2019-02-08,100.31
78,2019-02-07,100.12
79,2019-02-06,100.13
80,2019-02-05,100.20
81,2019-02-04,99.78
82,2019-02-01,100.05
83,2019-01-31,100.19
84,2019-01-30,99.68
85,2019-01-29,99.32
86,2019-01-28,99.11
87,2019-01-25,98.94
88,2019-01-24,99.05
89,2019-01-23,98.66
90,2019-01-22,98.56
91,2019-01-18,98.52
92,2019-01-17,98.29
93,2019-01-16,98.19
94,2019-01-15,98.05
95,2019-01-14,98.07
96,2019-01-11,98.16
97,2019-01-10,98.14
98,2019-01-09,98.27
99,2019-01-08,97.93
100,2019-01-07,97.87
101,2019-01-04,97.88
102,2019-01-03,98.03
103,2019-01-02,97.77
104,2018-12-31,97.63
105,2018-12-28,97.18
106,2018-12-27,96.88
107,2018-12-26,96.83
108,2018-12-24,97.00
109,2018-12-21,97.04
110,2018-12-20,97.24
111,2018-12-19,97.42
112,2018-12-18,97.43
113,2018-12-17,97.17
114,2018-12-14,97.13
115,2018-12-13,97.09
116,2018-12-12,96.88
117,2018-12-11,96.86
118,2018-12-10,96.74
119,2018-12-07,96.44
120,2018-12-06,96.66
121,2018-12-04,96.43
122,2018-12-03,96.25
123,2018-11-30,95.95
124,2018-11-29,96.21
125,2018-11-28,96.35
126,2018-11-27,96.02
127,2018-11-26,96.20
128,2018-11-23,96.14
129,2018-11-21,96.08
130,2018-11-20,96.11
131,2018-11-19,96.04
132,2018-11-16,96.18
133,2018-11-15,95.99
134,2018-11-14,96.15
135,2018-11-13,96.29
136,2018-11-12,96.34
137,2018-11-09,96.44
138,2018-11-08,96.35
139,2018-11-07,96.43
140,2018-11-06,96.31
141,2018-11-05,96.37
142,2018-11-02,96.10
143,2018-11-01,96.61
144,2018-10-31,96.21
145,2018-10-30,96.46
146,2018-10-29,96.71
147,2018-10-26,96.80
148,2018-10-25,96.80
149,2018-10-24,96.73
150,2018-10-23,96.73
151,2018-10-22,96.69
152,2018-10-19,96.79
153,2018-10-18,96.79
154,2018-10-17,96.71
155,2018-10-16,97.07
156,2018-10-15,97.04
157,2018-10-12,97.15
158,2018-10-11,97.06
159,2018-10-10,96.90
160,2018-10-09,97.15
161,2018-10-08,96.88
162,2018-10-05,97.07
163,2018-10-04,97.29
164,2018-10-03,97.68
165,2018-10-02,98.11
166,2018-10-01,98.07
167,2018-09-28,97.94
168,2018-09-27,98.08
169,2018-09-26,97.87
170,2018-09-25,97.76
171,2018-09-24,97.68
172,2018-09-21,97.89
173,2018-09-20,97.94
174,2018-09-19,97.54
175,2018-09-18,97.80
176,2018-09-17,97.80
177,2018-09-14,97.94
178,2018-09-13,97.95
179,2018-09-12,97.76
180,2018-09-11,97.77
181,2018-09-10,97.92
182,2018-09-07,97.68
183,2018-09-06,98.10
184,2018-09-05,97.87
185,2018-09-04,97.90
186,2018-08-31,98.28
187,2018-08-30,98.49
188,2018-08-29,98.22
189,2018-08-28,98.27
190,2018-08-27,98.64
191,2018-08-24,98.63
192,2018-08-23,98.57
193,2018-08-22,98.20
194,2018-08-21,98.30
195,2018-08-20,98.35
196,2018-08-17,98.32
197,2018-08-16,98.37
198,2018-08-15,98.26
199,2018-08-14,98.27
200,2018-08-13,98.23
201,2018-08-10,98.24
202,2018-08-09,98.09
203,2018-08-08,98.08
204,2018-08-07,97.80
205,2018-08-06,97.92
206,2018-08-03,97.81
207,2018-08-02,97.60
208,2018-08-01,97.53
209,2018-07-31,97.62
210,2018-07-30,97.58
211,2018-07-27,97.52
212,2018-07-26,97.43
213,2018-07-25,97.39
214,2018-07-24,97.43
215,2018-07-23,97.09
216,2018-07-20,97.54
217,2018-07-19,97.51
218,2018-07-18,97.59
219,2018-07-17,97.57
220,2018-07-16,97.64
221,2018-07-13,97.76
222,2018-07-12,97.60
223,2018-07-11,97.43
224,2018-07-10,97.30
225,2018-07-09,97.42
226,2018-07-06,97.24
227,2018-07-05,97.19
228,2018-07-03,96.81
229,2018-07-02,96.92
230,2018-06-29,96.86
231,2018-06-28,96.90
232,2018-06-27,96.83
233,2018-06-26,96.62
234,2018-06-25,96.50
235,2018-06-22,96.44
236,2018-06-21,96.48
237,2018-06-20,96.43
238,2018-06-19,96.66
239,2018-06-18,96.77
240,2018-06-15,96.68
241,2018-06-14,96.74
242,2018-06-13,96.43
243,2018-06-12,96.60
244,2018-06-11,96.51
245,2018-06-08,96.75
246,2018-06-07,96.71
247,2018-06-06,96.51
248,2018-06-05,96.75
249,2018-06-04,96.72
250,2018-06-01,97.09
251,2018-05-31,97.19
252,2018-05-30,97.34
253,2018-05-29,97.21
254,2018-05-25,97.00
255,2018-05-24,96.82
256,2018-05-23,96.61
257,2018-05-22,96.19
258,2018-05-21,96.22
259,2018-05-18,96.17
260,2018-05-17,95.91
261,2018-05-16,96.04
262,2018-05-15,96.04
263,2018-05-14,96.60
264,2018-05-11,96.64
265,2018-05-10,96.44
266,2018-05-09,96.39
267,2018-05-08,96.45
268,2018-05-07,96.73
269,2018-05-04,96.74
270,2018-05-03,96.60
271,2018-05-02,96.64
272,2018-05-01,96.54
273,2018-04-30,96.76
274,2018-04-27,96.79
275,2018-04-26,96.77
276,2018-04-25,96.56
277,2018-04-24,96.75
278,2018-04-23,97.00
279,2018-04-20,97.13
280,2018-04-19,97.27
281,2018-04-18,97.69
282,2018-04-17,98.04
283,2018-04-16,98.12
284,2018-04-13,98.02
285,2018-04-12,98.00
286,2018-04-11,98.18
287,2018-04-10,98.16
288,2018-04-09,98.08
289,2018-04-06,98.01
290,2018-04-05,97.62
291,2018-04-04,97.71
292,2018-04-03,97.66
293,2018-04-02,97.92
294,2018-03-29,97.91
295,2018-03-28,97.48
296,2018-03-27,97.30
297,2018-03-26,97.23
298,2018-03-23,97.38
299,2018-03-22,97.30
300,2018-03-21,97.23
301,2018-03-20,97.45
302,2018-03-19,97.66
303,2018-03-16,97.73
304,2018-03-15,97.89
305,2018-03-14,97.96
306,2018-03-13,97.66
307,2018-03-12,97.51
308,2018-03-09,97.47
309,2018-03-08,97.68
310,2018-03-07,97.60
311,2018-03-06,97.68
312,2018-03-05,97.69
313,2018-03-02,97.60
314,2018-03-01,97.77
315,2018-02-28,97.72
316,2018-02-27,97.64
317,2018-02-26,98.00
318,2018-02-23,97.75
319,2018-02-22,97.48
320,2018-02-21,97.61
321,2018-02-20,97.78
322,2018-02-16,97.95
323,2018-02-15,97.81
324,2018-02-14,97.56
325,2018-02-13,97.74
326,2018-02-12,98.06
327,2018-02-09,98.18
328,2018-02-08,98.26
329,2018-02-07,98.49
330,2018-02-06,98.99
331,2018-02-05,99.14
332,2018-02-02,99.02
333,2018-02-01,99.26
334,2018-01-31,99.70
335,2018-01-30,99.43
336,2018-01-29,99.75
337,2018-01-26,99.76
338,2018-01-25,99.99
339,2018-01-24,99.76
340,2018-01-23,99.74
341,2018-01-22,99.36
342,2018-01-19,99.41
343,2018-01-18,99.72
344,2018-01-17,99.91
345,2018-01-16,100.24
346,2018-01-12,100.20
347,2018-01-11,100.20
348,2018-01-10,100.05
349,2018-01-09,99.99
350,2018-01-08,100.23
351,2018-01-05,100.37
352,2018-01-04,100.37
353,2018-01-03,100.27
354,2018-01-02,100.31
355,2017-12-29,100.63
356,2017-12-28,100.31
357,2017-12-27,100.24
358,2017-12-26,99.94
359,2017-12-22,99.98
360,2017-12-21,99.86
361,2017-12-20,99.73
362,2017-12-19,99.94
363,2017-12-18,100.40
364,2017-12-15,100.63
365,2017-12-14,100.50
366,2017-12-13,100.49
367,2017-12-12,100.15
368,2017-12-11,100.17
369,2017-12-08,100.17
370,2017-12-07,100.20
371,2017-12-06,100.39
372,2017-12-05,100.23
373,2017-12-04,99.96
374,2017-12-01,99.99
375,2017-11-30,99.57
376,2017-11-29,99.69
377,2017-11-28,100.03
378,2017-11-27,100.01
379,2017-11-24,99.80
380,2017-11-22,100.02
381,2017-11-21,99.83
382,2017-11-20,99.63
383,2017-11-17,99.63
384,2017-11-16,99.46
385,2017-11-15,99.62
386,2017-11-14,99.19
387,2017-11-13,99.27
388,2017-11-10,99.21
389,2017-11-09,99.66
390,2017-11-08,99.92
391,2017-11-07,99.94
392,2017-11-06,100.18
393,2017-11-03,100.09
394,2017-11-02,99.99
395,2017-11-01,99.91
396,2017-10-31,99.83
397,2017-10-30,99.91
398,2017-10-27,99.62
399,2017-10-26,99.29
400,2017-10-25,99.39
401,2017-10-24,99.62
402,2017-10-23,99.80
403,2017-10-20,99.65
404,2017-10-19,99.78
405,2017-10-18,99.68
406,2017-10-17,99.89
407,2017-10-16,99.90
408,2017-10-13,100.11
409,2017-10-12,99.74
410,2017-10-11,99.73
411,2017-10-10,99.67
412,2017-10-09,99.56
413,2017-10-06,99.52
414,2017-10-05,99.69
415,2017-10-04,99.76
416,2017-10-03,99.67
417,2017-10-02,99.46
418,2017-09-29,99.28
419,2017-09-28,99.35
420,2017-09-27,99.31
421,2017-09-26,99.68
422,2017-09-25,99.68
423,2017-09-22,99.39
424,2017-09-21,99.19
425,2017-09-20,99.14
426,2017-09-19,99.38
427,2017-09-18,99.30
428,2017-09-15,99.42
429,2017-09-14,99.41
430,2017-09-13,99.26
431,2017-09-12,99.37
432,2017-09-11,99.65
433,2017-09-08,99.76
434,2017-09-07,100.00
435,2017-09-06,99.60
436,2017-09-05,99.79
437,2017-09-01,99.44
438,2017-08-31,99.73
439,2017-08-30,99.65
440,2017-08-29,99.55
441,2017-08-28,99.42
442,2017-08-25,99.20
443,2017-08-24,99.08
444,2017-08-23,99.25
445,2017-08-22,99.09
446,2017-08-21,99.22
447,2017-08-18,99.15
448,2017-08-17,99.02
449,2017-08-16,99.01
450,2017-08-15,98.74
451,2017-08-14,99.00
452,2017-08-11,99.08
453,2017-08-10,98.94
454,2017-08-09,99.03
455,2017-08-08,98.78
456,2017-08-07,99.01
457,2017-08-04,99.10
458,2017-08-03,99.31
459,2017-08-02,99.04
460,2017-08-01,99.13
461,2017-07-31,99.01
462,2017-07-28,98.78
463,2017-07-27,98.78
464,2017-07-26,98.97
465,2017-07-25,98.82
466,2017-07-24,99.05
467,2017-07-21,99.32
468,2017-07-20,99.12
469,2017-07-19,98.99
470,2017-07-18,98.98
471,2017-07-17,98.53
472,2017-07-14,98.44
473,2017-07-13,98.29
474,2017-07-12,98.42
475,2017-07-11,98.07
476,2017-07-10,97.76
477,2017-07-07,97.93
478,2017-07-06,97.99
479,2017-07-05,98.04
480,2017-07-03,98.07
481,2017-06-30,98.24
482,2017-06-29,98.26
483,2017-06-28,98.47
484,2017-06-27,98.39
485,2017-06-26,98.96
486,2017-06-23,98.76
487,2017-06-22,98.72
488,2017-06-21,98.58
489,2017-06-20,98.53
490,2017-06-19,98.19
491,2017-06-16,98.52
492,2017-06-15,98.17
493,2017-06-14,98.37
494,2017-06-13,98.01
495,2017-06-12,97.92
496,2017-06-09,97.78
497,2017-06-08,97.93
498,2017-06-07,97.99
499,2017-06-06,98.22
500,2017-06-05,97.93
501,2017-06-02,98.02
502,2017-06-01,97.74
503,2017-05-31,97.69
504,2017-05-30,97.80
505,2017-05-26,97.41
506,2017-05-25,97.50
507,2017-05-24,97.29
508,2017-05-23,97.30
509,2017-05-22,97.55
510,2017-05-19,97.35
511,2017-05-18,97.42
512,2017-05-17,97.50
513,2017-05-16,96.86
514,2017-05-15,96.88
515,2017-05-12,96.95
516,2017-05-11,96.48
517,2017-05-10,96.49
518,2017-05-09,96.37
519,2017-05-08,96.37
520,2017-05-05,96.49
521,2017-05-04,96.41
522,2017-05-03,96.64
523,2017-05-02,96.69
524,2017-05-01,96.53
525,2017-04-28,96.66
526,2017-04-27,96.39
527,2017-04-26,96.43
528,2017-04-25,96.18
529,2017-04-24,96.55
530,2017-04-21,96.65
531,2017-04-20,96.59
532,2017-04-19,96.80
533,2017-04-18,96.96
534,2017-04-17,96.42
535,2017-04-13,96.46
536,2017-04-12,96.29
537,2017-04-11,96.34
538,2017-04-10,95.90
539,2017-04-07,95.82
540,2017-04-06,95.94
541,2017-04-05,95.94
542,2017-04-04,95.88
543,2017-04-03,95.75
544,2017-03-31,95.58
545,2017-03-30,95.67
546,2017-03-29,95.74
547,2017-03-28,95.59
548,2017-03-27,95.62
549,2017-03-24,95.49
550,2017-03-23,95.41
551,2017-03-22,95.46
552,2017-03-21,95.38
553,2017-03-20,95.08
554,2017-03-17,94.89
555,2017-03-16,94.50
556,2017-03-15,94.64
557,2017-03-14,94.08
558,2017-03-13,94.14
559,2017-03-10,94.21
560,2017-03-09,94.27
561,2017-03-08,94.54
562,2017-03-07,95.03
563,2017-03-06,95.24
564,2017-03-03,95.42
565,2017-03-02,95.23
566,2017-03-01,95.36
567,2017-02-28,95.70
568,2017-02-27,95.66
569,2017-02-24,95.98
570,2017-02-23,95.48
571,2017-02-22,95.33
572,2017-02-21,95.15
573,2017-02-17,95.16
574,2017-02-16,94.97
575,2017-02-15,94.83
576,2017-02-14,94.86
577,2017-02-13,95.23
578,2017-02-10,95.24
579,2017-02-09,95.34
580,2017-02-08,95.60
581,2017-02-07,95.36
582,2017-02-06,95.29
583,2017-02-03,94.88
584,2017-02-02,94.82
585,2017-02-01,94.81
586,2017-01-31,94.99
587,2017-01-30,94.82
588,2017-01-27,94.97
589,2017-01-26,94.85
590,2017-01-25,94.46
591,2017-01-24,94.55
592,2017-01-23,94.61
593,2017-01-20,94.65
594,2017-01-19,94.36
595,2017-01-18,94.86
596,2017-01-17,95.29
597,2017-01-13,95.03
598,2017-01-12,95.18
599,2017-01-11,95.10
600,2017-01-10,95.03
601,2017-01-09,95.04
602,2017-01-06,94.95
603,2017-01-05,95.07
604,2017-01-04,94.58
605,2017-01-03,94.56
606,2016-12-30,94.44
607,2016-12-29,94.34
608,2016-12-28,93.94
609,2016-12-27,93.72
610,2016-12-23,93.38
611,2016-12-22,93.58
612,2016-12-21,93.18
613,2016-12-20,93.19
614,2016-12-19,93.57
615,2016-12-16,92.97
616,2016-12-15,92.93
617,2016-12-14,92.81
618,2016-12-13,93.39
619,2016-12-12,93.28
620,2016-12-09,93.30
621,2016-12-08,93.65
622,2016-12-07,93.80
623,2016-12-06,93.40
624,2016-12-05,93.50
625,2016-12-02,93.48
626,2016-12-01,92.90
627,2016-11-30,93.69
628,2016-11-29,93.80
629,2016-11-28,93.65
630,2016-11-25,93.19
631,2016-11-23,93.46
632,2016-11-22,93.57
633,2016-11-21,93.52
634,2016-11-18,93.38
635,2016-11-17,94.16
636,2016-11-16,94.35
637,2016-11-15,94.57
638,2016-11-14,94.44
639,2016-11-11,94.59
640,2016-11-10,95.21
641,2016-11-09,95.52
642,2016-11-08,96.58
643,2016-11-07,96.96
644,2016-11-04,96.87
645,2016-11-03,96.67
646,2016-11-02,96.80
647,2016-11-01,96.48
648,2016-10-31,96.65
649,2016-10-28,96.34
650,2016-10-27,96.71
651,2016-10-26,96.74
652,2016-10-25,97.03
653,2016-10-24,97.02
654,2016-10-21,97.22
655,2016-10-20,97.15
656,2016-10-19,97.12
657,2016-10-18,96.78
658,2016-10-17,96.91
659,2016-10-14,96.76
660,2016-10-13,97.06
661,2016-10-12,96.81
662,2016-10-11,96.84
663,2016-10-10,97.06
664,2016-10-07,96.88
665,2016-10-06,96.61
666,2016-10-05,96.74
667,2016-10-04,96.97
668,2016-10-03,97.11
669,2016-09-30,97.56
670,2016-09-29,97.63
671,2016-09-28,97.68
672,2016-09-27,97.75
673,2016-09-26,97.53
674,2016-09-23,97.41
675,2016-09-22,97.42
676,2016-09-21,96.93
677,2016-09-20,96.65
678,2016-09-19,96.61
679,2016-09-16,96.48
680,2016-09-15,96.50
681,2016-09-14,96.45
