,Date,NAV
1,2019-05-30,55.47
2,2019-05-29,55.32
3,2019-05-28,55.34
4,2019-05-24,55.25
5,2019-05-23,55.21
6,2019-05-22,55.08
7,2019-05-21,54.92
8,2019-05-20,54.98
9,2019-05-17,55.07
10,2019-05-16,55.09
11,2019-05-15,55.13
12,2019-05-14,55.02
13,2019-05-13,55.02
14,2019-05-10,54.93
15,2019-05-09,54.93
16,2019-05-08,54.86
17,2019-05-07,54.97
18,2019-05-06,54.89
19,2019-05-03,54.83
20,2019-05-02,54.69
21,2019-05-01,54.82
22,2019-04-30,54.88
23,2019-04-29,54.82
24,2019-04-26,54.92
25,2019-04-25,54.77
26,2019-04-24,54.79
27,2019-04-23,54.68
28,2019-04-22,54.50
29,2019-04-18,54.58
30,2019-04-17,54.52
31,2019-04-16,54.55
32,2019-04-15,54.67
33,2019-04-12,54.68
34,2019-04-11,54.75
35,2019-04-10,54.74
36,2019-04-09,54.53
37,2019-04-08,54.44
38,2019-04-05,54.50
39,2019-04-04,54.44
40,2019-04-03,54.38
41,2019-04-02,54.40
42,2019-04-01,54.33
43,2019-03-29,54.62
44,2019-03-28,54.65
45,2019-03-27,54.62
46,2019-03-26,54.52
47,2019-03-25,54.49
48,2019-03-22,54.39
49,2019-03-21,54.17
50,2019-03-20,54.12
51,2019-03-19,53.86
52,2019-03-18,53.85
53,2019-03-15,53.84
54,2019-03-14,53.69
55,2019-03-13,53.72
56,2019-03-12,53.70
57,2019-03-11,53.61
58,2019-03-08,53.52
59,2019-03-07,53.53
60,2019-03-06,53.43
61,2019-03-05,53.36
62,2019-03-04,53.32
63,2019-03-01,53.22
64,2019-02-28,53.28
65,2019-02-27,53.34
66,2019-02-26,53.36
67,2019-02-25,53.29
68,2019-02-22,53.30
69,2019-02-21,53.11
70,2019-02-20,53.20
71,2019-02-19,53.23
72,2019-02-15,53.18
73,2019-02-14,53.14
74,2019-02-13,53.06
75,2019-02-12,53.14
76,2019-02-11,53.12
77,2019-02-08,53.15
78,2019-02-07,53.11
79,2019-02-06,53.05
80,2019-02-05,53.04
81,2019-02-04,52.93
82,2019-02-01,52.99
83,2019-01-31,53.09
84,2019-01-30,52.83
85,2019-01-29,52.65
86,2019-01-28,52.56
87,2019-01-25,52.51
88,2019-01-24,52.53
89,2019-01-23,52.41
90,2019-01-22,52.31
91,2019-01-18,52.20
92,2019-01-17,52.12
93,2019-01-16,52.07
94,2019-01-15,52.00
95,2019-01-14,51.98
96,2019-01-11,52.02
97,2019-01-10,51.91
98,2019-01-09,51.94
99,2019-01-08,51.81
100,2019-01-07,51.68
101,2019-01-04,51.71
102,2019-01-03,51.84
103,2019-01-02,51.75
104,2018-12-31,51.60
105,2018-12-28,51.51
106,2018-12-27,51.28
107,2018-12-26,51.22
108,2018-12-24,51.30
