,Date,NAV
1,2019-05-30,120.18
2,2019-05-29,119.49
3,2019-05-28,119.44
4,2019-05-24,119.36
5,2019-05-23,119.11
6,2019-05-22,118.85
7,2019-05-21,118.70
8,2019-05-20,118.60
9,2019-05-17,118.88
10,2019-05-16,118.87
11,2019-05-15,119.06
12,2019-05-14,118.73
13,2019-05-13,118.56
14,2019-05-10,118.50
15,2019-05-09,118.43
16,2019-05-08,118.32
17,2019-05-07,118.71
18,2019-05-06,118.72
19,2019-05-03,118.56
20,2019-05-02,118.04
21,2019-05-01,118.47
22,2019-04-30,118.50
23,2019-04-29,118.45
24,2019-04-26,118.92
25,2019-04-25,118.50
26,2019-04-24,118.56
27,2019-04-23,118.17
28,2019-04-22,117.68
29,2019-04-18,117.87
30,2019-04-17,117.77
31,2019-04-16,117.79
32,2019-04-15,118.12
33,2019-04-12,118.30
34,2019-04-11,118.37
35,2019-04-10,118.49
36,2019-04-09,117.92
37,2019-04-08,117.67
38,2019-04-05,117.84
39,2019-04-04,117.65
40,2019-04-03,117.46
41,2019-04-02,117.71
42,2019-04-01,117.55
43,2019-03-29,117.99
44,2019-03-28,118.08
45,2019-03-27,117.93
46,2019-03-26,117.77
47,2019-03-25,117.72
48,2019-03-22,117.48
49,2019-03-21,116.77
50,2019-03-20,116.55
51,2019-03-19,115.77
52,2019-03-18,115.75
53,2019-03-15,115.81
54,2019-03-14,115.39
55,2019-03-13,115.62
56,2019-03-12,115.81
57,2019-03-11,115.49
58,2019-03-08,115.36
59,2019-03-07,115.21
60,2019-03-06,114.84
61,2019-03-05,114.73
62,2019-03-04,114.69
63,2019-03-01,114.43
64,2019-02-28,114.63
65,2019-02-27,114.79
66,2019-02-26,115.11
67,2019-02-25,114.94
68,2019-02-22,114.98
69,2019-02-21,114.46
70,2019-02-20,114.79
71,2019-02-19,114.89
72,2019-02-15,114.82
73,2019-02-14,114.68
74,2019-02-13,114.55
75,2019-02-12,114.85
76,2019-02-11,114.69
77,2019-02-08,114.95
78,2019-02-07,114.66
79,2019-02-06,114.68
80,2019-02-05,114.90
81,2019-02-04,114.43
82,2019-02-01,114.59
83,2019-01-31,114.86
84,2019-01-30,114.07
85,2019-01-29,113.54
86,2019-01-28,113.30
87,2019-01-25,113.32
88,2019-01-24,113.22
89,2019-01-23,112.92
90,2019-01-22,112.64
91,2019-01-18,112.45
92,2019-01-17,112.25
93,2019-01-16,112.03
94,2019-01-15,111.81
95,2019-01-14,111.74
96,2019-01-11,112.04
97,2019-01-10,111.83
98,2019-01-09,112.13
99,2019-01-08,111.70
100,2019-01-07,111.46
101,2019-01-04,111.45
102,2019-01-03,111.52
103,2019-01-02,111.47
104,2018-12-31,111.12
105,2018-12-28,110.82
106,2018-12-27,110.29
107,2018-12-26,110.29
108,2018-12-24,110.38
109,2018-12-21,110.64
110,2018-12-20,110.75
111,2018-12-19,111.11
112,2018-12-18,111.20
113,2018-12-17,110.80
114,2018-12-14,110.69
115,2018-12-13,110.80
116,2018-12-12,110.51
117,2018-12-11,110.39
118,2018-12-10,110.20
119,2018-12-07,109.86
120,2018-12-06,109.85
121,2018-12-04,109.52
122,2018-12-03,109.50
123,2018-11-30,109.09
124,2018-11-29,109.16
125,2018-11-28,109.48
126,2018-11-27,109.18
127,2018-11-26,109.32
128,2018-11-23,109.27
129,2018-11-21,109.22
130,2018-11-20,108.99
131,2018-11-19,109.25
132,2018-11-16,109.36
133,2018-11-15,109.14
134,2018-11-14,109.35
135,2018-11-13,109.64
136,2018-11-12,109.79
137,2018-11-09,109.80
138,2018-11-08,109.72
139,2018-11-07,110.04
140,2018-11-06,109.76
141,2018-11-05,109.57
142,2018-11-02,109.38
143,2018-11-01,109.82
144,2018-10-31,109.49
145,2018-10-30,109.80
146,2018-10-29,110.04
147,2018-10-26,110.17
148,2018-10-25,109.98
149,2018-10-24,110.12
150,2018-10-23,109.96
151,2018-10-22,109.81
152,2018-10-19,109.94
153,2018-10-18,110.08
154,2018-10-17,110.08
155,2018-10-16,110.63
156,2018-10-15,110.34
