,Date,NAV
1,2019-05-30,55.56
2,2019-05-29,55.35
3,2019-05-28,55.39
4,2019-05-24,55.25
5,2019-05-23,55.23
6,2019-05-22,55.09
7,2019-05-21,55.00
8,2019-05-20,55.07
9,2019-05-17,55.14
10,2019-05-16,55.11
11,2019-05-15,55.18
12,2019-05-14,55.04
13,2019-05-13,55.04
14,2019-05-10,54.98
15,2019-05-09,54.97
16,2019-05-08,54.90
17,2019-05-07,55.05
18,2019-05-06,55.02
19,2019-05-03,54.94
20,2019-05-02,54.78
21,2019-05-01,54.95
22,2019-04-30,54.98
23,2019-04-29,54.91
24,2019-04-26,55.05
25,2019-04-25,54.88
26,2019-04-24,54.94
27,2019-04-23,54.74
28,2019-04-22,54.55
29,2019-04-18,54.62
30,2019-04-17,54.61
31,2019-04-16,54.59
32,2019-04-15,54.72
33,2019-04-12,54.72
34,2019-04-11,54.78
35,2019-04-10,54.91
36,2019-04-09,54.70
37,2019-04-08,54.63
38,2019-04-05,54.64
39,2019-04-04,54.59
40,2019-04-03,54.53
41,2019-04-02,54.62
42,2019-04-01,54.58
43,2019-03-29,54.78
44,2019-03-28,54.79
45,2019-03-27,54.77
46,2019-03-26,54.69
47,2019-03-25,54.65
48,2019-03-22,54.54
49,2019-03-21,54.26
50,2019-03-20,54.16
51,2019-03-19,53.91
52,2019-03-18,53.91
53,2019-03-15,53.92
54,2019-03-14,53.77
55,2019-03-13,53.83
56,2019-03-12,53.91
57,2019-03-11,53.76
58,2019-03-08,53.70
59,2019-03-07,53.67
60,2019-03-06,53.54
61,2019-03-05,53.46
62,2019-03-04,53.44
63,2019-03-01,53.33
64,2019-02-28,53.43
65,2019-02-27,53.46
66,2019-02-26,53.58
67,2019-02-25,53.49
68,2019-02-22,53.53
69,2019-02-21,53.34
70,2019-02-20,53.44
71,2019-02-19,53.53
72,2019-02-15,53.48
73,2019-02-14,53.42
74,2019-02-13,53.31
75,2019-02-12,53.37
76,2019-02-11,53.33
77,2019-02-08,53.43
78,2019-02-07,53.34
79,2019-02-06,53.31
80,2019-02-05,53.30
81,2019-02-04,53.15
82,2019-02-01,53.27
83,2019-01-31,53.38
84,2019-01-30,53.04
85,2019-01-29,52.93
86,2019-01-28,52.80
