,Date,NAV
1,2019-05-30,79.77
2,2019-05-29,79.65
3,2019-05-28,79.62
4,2019-05-24,79.54
5,2019-05-23,79.55
6,2019-05-22,79.42
7,2019-05-21,79.39
8,2019-05-20,79.44
9,2019-05-17,79.49
10,2019-05-16,79.47
11,2019-05-15,79.52
12,2019-05-14,79.44
13,2019-05-13,79.44
14,2019-05-10,79.36
15,2019-05-09,79.34
16,2019-05-08,79.29
17,2019-05-07,79.35
18,2019-05-06,79.33
19,2019-05-03,79.25
20,2019-05-02,79.18
21,2019-05-01,79.25
22,2019-04-30,79.33
23,2019-04-29,79.23
24,2019-04-26,79.31
25,2019-04-25,79.17
26,2019-04-24,79.19
27,2019-04-23,79.12
28,2019-04-22,79.02
29,2019-04-18,79.03
30,2019-04-17,79.01
31,2019-04-16,79.01
32,2019-04-15,79.04
33,2019-04-12,79.07
34,2019-04-11,79.10
35,2019-04-10,79.15
36,2019-04-09,79.06
37,2019-04-08,79.01
38,2019-04-05,78.99
39,2019-04-04,78.98
40,2019-04-03,78.96
41,2019-04-02,79.02
42,2019-04-01,78.96
43,2019-03-29,79.15
44,2019-03-28,79.15
45,2019-03-27,79.18
46,2019-03-26,79.15
47,2019-03-25,79.15
48,2019-03-22,79.02
49,2019-03-21,78.86
50,2019-03-20,78.87
51,2019-03-19,78.65
52,2019-03-18,78.63
53,2019-03-15,78.66
54,2019-03-14,78.56
55,2019-03-13,78.59
56,2019-03-12,78.55
57,2019-03-11,78.50
58,2019-03-08,78.49
59,2019-03-07,78.49
60,2019-03-06,78.37
61,2019-03-05,78.30
62,2019-03-04,78.27
63,2019-03-01,78.20
64,2019-02-28,78.23
65,2019-02-27,78.25
66,2019-02-26,78.28
67,2019-02-25,78.18
68,2019-02-22,78.21
69,2019-02-21,78.12
70,2019-02-20,78.12
71,2019-02-19,78.12
72,2019-02-15,78.07
73,2019-02-14,78.06
74,2019-02-13,77.98
75,2019-02-12,78.05
76,2019-02-11,78.03
77,2019-02-08,78.07
78,2019-02-07,78.01
79,2019-02-06,77.98
80,2019-02-05,77.98
81,2019-02-04,77.92
82,2019-02-01,77.95
83,2019-01-31,78.04
84,2019-01-30,77.87
85,2019-01-29,77.70
86,2019-01-28,77.62
87,2019-01-25,77.61
88,2019-01-24,77.62
89,2019-01-23,77.53
90,2019-01-22,77.45
91,2019-01-18,77.37
92,2019-01-17,77.32
93,2019-01-16,77.32
94,2019-01-15,77.26
95,2019-01-14,77.19
96,2019-01-11,77.20
97,2019-01-10,77.07
98,2019-01-09,77.10
99,2019-01-08,76.93
100,2019-01-07,76.97
101,2019-01-04,77.00
102,2019-01-03,77.21
103,2019-01-02,77.06
