,Date,NAV
1,2019-05-30,11.97
2,2019-05-29,11.97
3,2019-05-28,11.97
4,2019-05-24,11.85
5,2019-05-23,11.85
6,2019-05-22,12.04
7,2019-05-21,12.09
8,2019-05-20,12.05
9,2019-05-17,12.05
10,2019-05-16,12.05
11,2019-05-15,12.01
12,2019-05-14,11.99
13,2019-05-13,11.83
14,2019-05-10,12.01
15,2019-05-09,11.97
16,2019-05-08,11.97
17,2019-05-07,11.97
18,2019-05-06,12.16
19,2019-05-03,12.14
20,2019-05-02,12.14
21,2019-05-01,12.20
22,2019-04-30,12.31
23,2019-04-29,12.31
24,2019-04-26,12.31
25,2019-04-25,12.37
26,2019-04-24,12.36
27,2019-04-23,12.58
28,2019-04-22,12.53
29,2019-04-18,12.46
30,2019-04-17,12.46
31,2019-04-16,12.54
32,2019-04-15,12.54
33,2019-04-12,12.55
34,2019-04-11,12.54
35,2019-04-10,12.63
36,2019-04-09,12.59
37,2019-04-08,12.63
38,2019-04-05,12.55
39,2019-04-04,12.50
40,2019-04-03,12.57
41,2019-04-02,12.44
42,2019-04-01,12.45
43,2019-03-29,12.26
44,2019-03-28,12.23
45,2019-03-27,12.23
46,2019-03-26,12.28
47,2019-03-25,12.24
48,2019-03-22,12.25
49,2019-03-21,12.60
50,2019-03-20,12.40
51,2019-03-19,12.50
52,2019-03-18,12.52
53,2019-03-15,12.37
54,2019-03-14,12.35
55,2019-03-13,12.28
56,2019-03-12,12.21
57,2019-03-11,12.14
58,2019-03-08,12.07
59,2019-03-07,12.17
60,2019-03-06,12.26
61,2019-03-05,12.23
62,2019-03-04,12.20
63,2019-03-01,12.22
64,2019-02-28,12.19
65,2019-02-27,12.31
66,2019-02-26,12.28
67,2019-02-25,12.27
68,2019-02-22,12.21
69,2019-02-21,12.17
70,2019-02-20,12.27
71,2019-02-19,12.12
72,2019-02-15,11.88
73,2019-02-14,11.88
74,2019-02-13,11.86
75,2019-02-12,11.86
76,2019-02-11,11.78
77,2019-02-08,11.80
78,2019-02-07,11.95
79,2019-02-06,11.95
80,2019-02-05,11.99
81,2019-02-04,11.88
82,2019-02-01,11.86
83,2019-01-31,11.87
84,2019-01-30,11.80
85,2019-01-29,11.61
86,2019-01-28,11.50
87,2019-01-25,11.55
88,2019-01-24,11.42
89,2019-01-23,11.39
90,2019-01-22,11.38
91,2019-01-18,11.53
92,2019-01-17,11.42
93,2019-01-16,11.32
94,2019-01-15,11.31
95,2019-01-14,11.27
96,2019-01-11,11.26
97,2019-01-10,11.32
98,2019-01-09,11.25
99,2019-01-08,11.14
100,2019-01-07,11.10
101,2019-01-04,11.05
102,2019-01-03,10.74
103,2019-01-02,10.76
104,2018-12-31,10.75
105,2018-12-28,10.79
106,2018-12-27,10.56
107,2018-12-26,10.43
108,2018-12-24,10.47
109,2018-12-21,10.65
110,2018-12-20,10.72
111,2018-12-19,10.88
112,2018-12-18,10.87
113,2018-12-17,10.94
114,2018-12-14,11.02
115,2018-12-13,11.14
116,2018-12-12,11.14
117,2018-12-11,10.96
118,2018-12-10,10.85
119,2018-12-07,11.10
120,2018-12-06,11.12
121,2018-12-04,11.36
122,2018-12-03,11.51
123,2018-11-30,11.28
124,2018-11-29,11.20
125,2018-11-28,11.20
126,2018-11-27,11.20
127,2018-11-26,11.30
128,2018-11-23,11.29
129,2018-11-21,11.57
130,2018-11-20,11.40
131,2018-11-19,11.62
132,2018-11-16,11.69
133,2018-11-15,11.57
134,2018-11-14,11.48
135,2018-11-13,11.60
136,2018-11-12,11.67
137,2018-11-09,11.79
138,2018-11-08,11.99
139,2018-11-07,12.03
140,2018-11-06,11.84
141,2018-11-05,11.86
142,2018-11-02,11.77
143,2018-11-01,11.77
144,2018-10-31,11.72
145,2018-10-30,11.48
146,2018-10-29,11.48
147,2018-10-26,11.48
148,2018-10-25,11.48
149,2018-10-24,11.35
150,2018-10-23,11.66
151,2018-10-22,11.77
152,2018-10-19,11.85
153,2018-10-18,11.80
154,2018-10-17,11.97
155,2018-10-16,12.02
156,2018-10-15,11.85
157,2018-10-12,11.77
158,2018-10-11,11.77
159,2018-10-10,12.03
160,2018-10-09,12.23
161,2018-10-08,12.23
162,2018-10-05,12.24
163,2018-10-04,12.36
164,2018-10-03,12.48
165,2018-10-02,12.48
166,2018-10-01,12.49
167,2018-09-28,12.39
168,2018-09-27,12.49
169,2018-09-26,12.44
170,2018-09-25,12.50
171,2018-09-24,12.38
172,2018-09-21,12.34
173,2018-09-20,12.28
174,2018-09-19,12.19
175,2018-09-18,12.10
