,Date,NAV
1,2019-05-30,86.06
2,2019-05-29,85.94
3,2019-05-28,86.01
4,2019-05-24,86.82
5,2019-05-23,86.37
6,2019-05-22,87.95
7,2019-05-21,88.54
8,2019-05-20,87.22
9,2019-05-17,88.36
10,2019-05-16,89.02
11,2019-05-15,87.85
12,2019-05-14,87.98
13,2019-05-13,87.17
14,2019-05-10,89.50
15,2019-05-09,88.41
16,2019-05-08,89.14
17,2019-05-07,89.21
18,2019-05-06,90.99
19,2019-05-03,92.43
20,2019-05-02,91.26
21,2019-05-01,92.22
22,2019-04-30,94.01
23,2019-04-29,93.59
24,2019-04-26,93.74
25,2019-04-25,92.98
26,2019-04-24,94.42
27,2019-04-23,95.07
28,2019-04-22,94.75
29,2019-04-18,95.64
30,2019-04-17,95.89
31,2019-04-16,96.20
32,2019-04-15,95.46
33,2019-04-12,95.86
34,2019-04-11,94.60
35,2019-04-10,94.82
36,2019-04-09,94.82
37,2019-04-08,95.70
38,2019-04-05,95.63
39,2019-04-04,95.66
40,2019-04-03,94.46
41,2019-04-02,93.12
42,2019-04-01,92.86
43,2019-03-29,91.42
44,2019-03-28,90.70
45,2019-03-27,89.75
46,2019-03-26,89.94
47,2019-03-25,89.48
48,2019-03-22,89.69
49,2019-03-21,92.76
50,2019-03-20,91.69
51,2019-03-19,91.65
52,2019-03-18,91.94
53,2019-03-15,91.70
54,2019-03-14,91.43
55,2019-03-13,92.49
56,2019-03-12,92.05
57,2019-03-11,91.68
58,2019-03-08,90.42
59,2019-03-07,90.49
60,2019-03-06,91.26
61,2019-03-05,91.23
62,2019-03-04,91.68
63,2019-03-01,91.45
64,2019-02-28,91.63
65,2019-02-27,92.78
66,2019-02-26,92.86
67,2019-02-25,93.50
68,2019-02-22,92.84
69,2019-02-21,92.40
70,2019-02-20,92.76
71,2019-02-19,90.98
72,2019-02-15,90.32
73,2019-02-14,89.08
74,2019-02-13,89.74
75,2019-02-12,89.50
76,2019-02-11,87.54
77,2019-02-08,87.20
78,2019-02-07,87.45
79,2019-02-06,89.11
80,2019-02-05,89.64
81,2019-02-04,89.06
82,2019-02-01,89.15
83,2019-01-31,88.59
84,2019-01-30,90.29
85,2019-01-29,89.03
86,2019-01-28,88.20
87,2019-01-25,88.39
88,2019-01-24,86.51
89,2019-01-23,87.02
90,2019-01-22,87.61
91,2019-01-18,89.06
92,2019-01-17,87.55
93,2019-01-16,86.14
94,2019-01-15,85.44
95,2019-01-14,86.01
96,2019-01-11,86.77
97,2019-01-10,87.21
98,2019-01-09,86.53
99,2019-01-08,86.24
100,2019-01-07,85.19
101,2019-01-04,85.07
