,Date,NAV
1,2019-05-30,28.72
2,2019-05-29,28.58
3,2019-05-28,28.69
4,2019-05-24,29.05
5,2019-05-23,28.85
6,2019-05-22,29.35
7,2019-05-21,29.77
8,2019-05-20,29.30
9,2019-05-17,29.51
10,2019-05-16,29.77
11,2019-05-15,29.57
12,2019-05-14,29.45
13,2019-05-13,29.07
14,2019-05-10,29.72
15,2019-05-09,29.68
16,2019-05-08,29.57
17,2019-05-07,29.64
18,2019-05-06,30.17
19,2019-05-03,30.31
20,2019-05-02,29.99
21,2019-05-01,29.75
22,2019-04-30,30.04
23,2019-04-29,29.72
24,2019-04-26,29.59
25,2019-04-25,29.45
26,2019-04-24,29.70
27,2019-04-23,29.50
28,2019-04-22,29.20
29,2019-04-18,29.38
30,2019-04-17,29.28
31,2019-04-16,29.35
32,2019-04-15,29.21
33,2019-04-12,29.17
34,2019-04-11,28.95
35,2019-04-10,28.74
36,2019-04-09,28.56
37,2019-04-08,28.99
38,2019-04-05,28.92
39,2019-04-04,28.58
40,2019-04-03,28.23
41,2019-04-02,28.08
42,2019-04-01,28.08
43,2019-03-29,27.68
44,2019-03-28,27.52
45,2019-03-27,27.35
46,2019-03-26,27.20
47,2019-03-25,27.11
48,2019-03-22,26.89
49,2019-03-21,27.50
50,2019-03-20,27.06
51,2019-03-19,27.25
52,2019-03-18,27.35
53,2019-03-15,27.10
54,2019-03-14,26.99
55,2019-03-13,27.13
56,2019-03-12,27.24
57,2019-03-11,27.33
58,2019-03-08,26.97
59,2019-03-07,27.25
60,2019-03-06,27.30
61,2019-03-05,27.55
62,2019-03-04,27.76
63,2019-03-01,27.77
64,2019-02-28,27.63
65,2019-02-27,27.88
66,2019-02-26,27.92
67,2019-02-25,28.00
68,2019-02-22,28.17
69,2019-02-21,27.86
70,2019-02-20,27.78
71,2019-02-19,27.55
72,2019-02-15,27.52
73,2019-02-14,27.07
74,2019-02-13,27.11
75,2019-02-12,26.94
76,2019-02-11,26.43
77,2019-02-08,26.26
78,2019-02-07,26.31
79,2019-02-06,26.44
80,2019-02-05,26.54
81,2019-02-04,26.45
82,2019-02-01,26.32
83,2019-01-31,26.19
84,2019-01-30,25.88
85,2019-01-29,25.58
86,2019-01-28,25.45
87,2019-01-25,25.47
88,2019-01-24,25.21
89,2019-01-23,24.97
90,2019-01-22,25.12
91,2019-01-18,25.60
92,2019-01-17,25.13
93,2019-01-16,24.93
94,2019-01-15,25.01
95,2019-01-14,25.17
96,2019-01-11,25.24
97,2019-01-10,25.30
98,2019-01-09,25.28
99,2019-01-08,25.04
100,2019-01-07,24.86
101,2019-01-04,24.43
102,2019-01-03,23.62
103,2019-01-02,23.84
104,2018-12-31,23.78
105,2018-12-28,23.60
106,2018-12-27,23.57
107,2018-12-26,23.42
108,2018-12-24,22.38
109,2018-12-21,22.74
110,2018-12-20,23.19
111,2018-12-19,23.70
112,2018-12-18,24.27
113,2018-12-17,24.01
114,2018-12-14,24.33
115,2018-12-13,24.54
116,2018-12-12,24.90
117,2018-12-11,24.67
118,2018-12-10,24.80
119,2018-12-07,25.07
120,2018-12-06,25.70
121,2018-12-04,25.60
122,2018-12-03,26.88
123,2018-11-30,26.72
124,2018-11-29,26.60
125,2018-11-28,26.76
126,2018-11-27,26.08
127,2018-11-26,26.13
128,2018-11-23,25.95
129,2018-11-21,25.94
130,2018-11-20,25.59
131,2018-11-19,26.04
132,2018-11-16,26.35
133,2018-11-15,26.33
134,2018-11-14,26.39
135,2018-11-13,26.44
136,2018-11-12,26.17
137,2018-11-09,26.76
138,2018-11-08,27.27
139,2018-11-07,27.60
140,2018-11-06,27.13
141,2018-11-05,26.79
142,2018-11-02,26.70
143,2018-11-01,26.86
144,2018-10-31,25.91
145,2018-10-30,25.81
146,2018-10-29,24.78
147,2018-10-26,25.17
148,2018-10-25,25.53
149,2018-10-24,24.97
150,2018-10-23,25.79
151,2018-10-22,25.91
152,2018-10-19,25.99
153,2018-10-18,26.50
154,2018-10-17,27.04
155,2018-10-16,27.69
156,2018-10-15,27.12
157,2018-10-12,27.15
158,2018-10-11,27.19
159,2018-10-10,27.76
160,2018-10-09,28.45
161,2018-10-08,29.02
162,2018-10-05,28.87
163,2018-10-04,29.19
164,2018-10-03,29.47
165,2018-10-02,29.43
166,2018-10-01,29.50
167,2018-09-28,29.68
168,2018-09-27,29.91
169,2018-09-26,30.02
170,2018-09-25,30.26
171,2018-09-24,30.32
172,2018-09-21,30.63
173,2018-09-20,30.87
174,2018-09-19,30.79
175,2018-09-18,30.78
176,2018-09-17,30.65
177,2018-09-14,30.99
178,2018-09-13,30.82
179,2018-09-12,31.04
180,2018-09-11,30.96
181,2018-09-10,30.85
182,2018-09-07,30.71
183,2018-09-06,31.01
184,2018-09-05,31.02
185,2018-09-04,30.89
186,2018-08-31,30.87
187,2018-08-30,30.85
188,2018-08-29,31.14
189,2018-08-28,30.99
190,2018-08-27,31.23
191,2018-08-24,30.98
192,2018-08-23,30.95
193,2018-08-22,31.20
194,2018-08-21,31.36
195,2018-08-20,30.78
196,2018-08-17,30.76
197,2018-08-16,30.52
198,2018-08-15,30.35
199,2018-08-14,30.52
200,2018-08-13,30.13
201,2018-08-10,30.68
202,2018-08-09,30.92
203,2018-08-08,30.90
204,2018-08-07,30.94
205,2018-08-06,30.51
206,2018-08-03,30.33
207,2018-08-02,30.26
208,2018-08-01,30.02
209,2018-07-31,30.41
210,2018-07-30,29.99
211,2018-07-27,30.15
212,2018-07-26,30.42
213,2018-07-25,30.14
214,2018-07-24,30.52
215,2018-07-23,30.74
216,2018-07-20,30.98
217,2018-07-19,31.42
218,2018-07-18,31.15
219,2018-07-17,31.16
220,2018-07-16,30.86
221,2018-07-13,31.01
222,2018-07-12,30.81
223,2018-07-11,30.71
224,2018-07-10,31.03
