,Date,NAV
1,2019-05-30,41.36
2,2019-05-29,41.93
3,2019-05-28,42.55
4,2019-05-24,42.89
5,2019-05-23,43.37
6,2019-05-22,43.65
7,2019-05-21,44.10
8,2019-05-20,43.80
9,2019-05-17,44.49
10,2019-05-16,45.13
11,2019-05-15,45.06
12,2019-05-14,45.06
13,2019-05-13,44.45
14,2019-05-10,46.51
15,2019-05-09,46.51
16,2019-05-08,47.22
17,2019-05-07,47.50
18,2019-05-06,48.78
19,2019-05-03,49.00
20,2019-05-02,47.41
21,2019-05-01,48.40
22,2019-04-30,48.40
23,2019-04-29,48.39
24,2019-04-26,47.99
25,2019-04-25,47.69
26,2019-04-24,48.47
27,2019-04-23,49.15
28,2019-04-22,49.13
29,2019-04-18,49.13
30,2019-04-17,49.44
31,2019-04-16,49.36
32,2019-04-15,48.76
33,2019-04-12,48.79
34,2019-04-11,48.79
35,2019-04-10,48.68
36,2019-04-09,48.72
37,2019-04-08,49.00
38,2019-04-05,48.75
39,2019-04-04,48.69
40,2019-04-03,47.81
41,2019-04-02,47.86
42,2019-04-01,48.11
43,2019-03-29,47.45
44,2019-03-28,47.44
45,2019-03-27,46.91
46,2019-03-26,46.91
47,2019-03-25,46.72
48,2019-03-22,47.07
49,2019-03-21,48.87
50,2019-03-20,48.49
51,2019-03-19,48.72
52,2019-03-18,48.63
53,2019-03-15,48.49
54,2019-03-14,48.44
55,2019-03-13,48.96
56,2019-03-12,49.56
57,2019-03-11,49.62
58,2019-03-08,48.32
59,2019-03-07,48.93
60,2019-03-06,49.78
61,2019-03-05,50.76
62,2019-03-04,50.87
63,2019-03-01,50.84
64,2019-02-28,50.69
65,2019-02-27,50.73
66,2019-02-26,51.01
67,2019-02-25,51.38
68,2019-02-22,51.25
69,2019-02-21,50.89
70,2019-02-20,51.17
71,2019-02-19,50.32
72,2019-02-15,48.18
73,2019-02-14,48.18
74,2019-02-13,47.79
75,2019-02-12,47.19
76,2019-02-11,46.23
77,2019-02-08,45.87
78,2019-02-07,45.98
79,2019-02-06,47.09
80,2019-02-05,47.01
81,2019-02-04,47.05
82,2019-02-01,46.82
83,2019-01-31,46.71
84,2019-01-30,46.44
85,2019-01-29,45.58
86,2019-01-28,45.18
87,2019-01-25,45.33
88,2019-01-24,44.21
89,2019-01-23,43.86
90,2019-01-22,44.60
91,2019-01-18,45.28
92,2019-01-17,44.49
93,2019-01-16,43.41
94,2019-01-15,42.77
95,2019-01-14,43.26
96,2019-01-11,43.37
97,2019-01-10,43.43
98,2019-01-09,42.90
99,2019-01-08,42.19
100,2019-01-07,41.81
101,2019-01-04,41.10
102,2019-01-03,39.44
103,2019-01-02,40.77
104,2018-12-31,39.74
105,2018-12-28,40.19
106,2018-12-27,38.51
107,2018-12-26,38.88
108,2018-12-24,37.59
109,2018-12-21,38.53
110,2018-12-20,39.31
111,2018-12-19,39.70
112,2018-12-18,40.37
113,2018-12-17,40.42
114,2018-12-14,41.14
115,2018-12-13,41.65
116,2018-12-12,42.18
117,2018-12-11,41.41
118,2018-12-10,41.91
119,2018-12-07,42.18
120,2018-12-06,43.00
121,2018-12-04,44.51
122,2018-12-03,46.55
123,2018-11-30,46.18
124,2018-11-29,46.00
125,2018-11-28,46.17
126,2018-11-27,45.72
127,2018-11-26,45.72
128,2018-11-23,45.53
129,2018-11-21,45.73
130,2018-11-20,46.17
131,2018-11-19,46.40
132,2018-11-16,47.04
133,2018-11-15,46.97
134,2018-11-14,46.57
135,2018-11-13,46.26
136,2018-11-12,46.90
137,2018-11-09,48.13
138,2018-11-08,48.36
139,2018-11-07,49.24
140,2018-11-06,48.06
141,2018-11-05,48.65
142,2018-11-02,48.47
143,2018-11-01,47.84
144,2018-10-31,46.42
145,2018-10-30,45.75
146,2018-10-29,44.91
147,2018-10-26,45.86
148,2018-10-25,45.33
149,2018-10-24,45.33
150,2018-10-23,46.98
151,2018-10-22,47.75
152,2018-10-19,47.65
153,2018-10-18,48.16
154,2018-10-17,49.31
155,2018-10-16,49.32
156,2018-10-15,48.23
157,2018-10-12,48.02
158,2018-10-11,48.53
159,2018-10-10,49.61
160,2018-10-09,51.27
161,2018-10-08,52.38
162,2018-10-05,52.24
