,Date,NAV
1,2019-05-30,16.31
2,2019-05-29,16.01
3,2019-05-28,16.05
4,2019-05-24,16.11
5,2019-05-23,16.06
6,2019-05-22,16.04
7,2019-05-21,16.20
8,2019-05-20,16.19
9,2019-05-17,16.21
10,2019-05-16,16.11
11,2019-05-15,16.30
12,2019-05-14,16.33
13,2019-05-13,16.35
14,2019-05-10,15.88
15,2019-05-09,16.01
16,2019-05-08,16.11
17,2019-05-07,16.31
18,2019-05-06,15.96
19,2019-05-03,15.98
20,2019-05-02,15.90
21,2019-05-01,16.15
22,2019-04-30,16.38
23,2019-04-29,16.37
24,2019-04-26,16.71
25,2019-04-25,16.41
26,2019-04-24,16.57
27,2019-04-23,16.39
28,2019-04-22,16.53
29,2019-04-18,16.79
30,2019-04-17,17.10
31,2019-04-16,17.15
32,2019-04-15,17.42
33,2019-04-12,17.41
34,2019-04-11,17.39
35,2019-04-10,17.71
36,2019-04-09,17.89
37,2019-04-08,17.83
38,2019-04-05,17.54
39,2019-04-04,17.67
40,2019-04-03,17.34
41,2019-04-02,17.31
42,2019-04-01,17.20
43,2019-03-29,17.56
44,2019-03-28,17.60
45,2019-03-27,18.10
46,2019-03-26,18.40
47,2019-03-25,18.30
48,2019-03-22,17.85
49,2019-03-21,17.81
50,2019-03-20,17.80
51,2019-03-19,17.38
52,2019-03-18,17.31
53,2019-03-15,17.44
54,2019-03-14,17.49
55,2019-03-13,17.94
56,2019-03-12,17.74
57,2019-03-11,17.43
58,2019-03-08,17.48
59,2019-03-07,17.01
60,2019-03-06,16.78
61,2019-03-05,17.21
62,2019-03-04,17.19
63,2019-03-01,17.05
64,2019-02-28,17.42
65,2019-02-27,17.49
66,2019-02-26,17.80
67,2019-02-25,17.90
68,2019-02-22,18.15
69,2019-02-21,18.19
70,2019-02-20,18.39
71,2019-02-19,18.20
72,2019-02-15,17.50
73,2019-02-14,17.32
74,2019-02-13,17.25
75,2019-02-12,17.39
76,2019-02-11,17.42
77,2019-02-08,17.56
78,2019-02-07,17.36
79,2019-02-06,17.44
80,2019-02-05,17.60
81,2019-02-04,17.54
82,2019-02-01,17.56
83,2019-01-31,17.68
84,2019-01-30,17.31
85,2019-01-29,17.16
86,2019-01-28,16.71
87,2019-01-25,16.59
88,2019-01-24,16.05
89,2019-01-23,15.99
90,2019-01-22,15.92
91,2019-01-18,15.77
92,2019-01-17,16.12
93,2019-01-16,15.97
94,2019-01-15,15.86
95,2019-01-14,16.19
96,2019-01-11,16.44
97,2019-01-10,16.36
98,2019-01-09,16.59
99,2019-01-08,16.30
100,2019-01-07,16.33
101,2019-01-04,16.50
102,2019-01-03,16.60
103,2019-01-02,16.28
104,2018-12-31,16.22
105,2018-12-28,15.99
106,2018-12-27,16.25
107,2018-12-26,15.99
108,2018-12-24,16.26
109,2018-12-21,15.75
110,2018-12-20,15.95
111,2018-12-19,15.27
112,2018-12-18,16.14
113,2018-12-17,15.83
114,2018-12-14,15.41
115,2018-12-13,15.84
116,2018-12-12,15.84
117,2018-12-11,15.50
118,2018-12-10,15.63
119,2018-12-07,15.65
120,2018-12-06,15.23
121,2018-12-04,15.12
122,2018-12-03,15.02
123,2018-11-30,14.71
124,2018-11-29,14.86
125,2018-11-28,14.94
126,2018-11-27,14.56
127,2018-11-26,14.86
128,2018-11-23,14.99
129,2018-11-21,15.29
130,2018-11-20,14.89
131,2018-11-19,15.00
132,2018-11-16,15.00
133,2018-11-15,14.81
134,2018-11-14,14.53
135,2018-11-13,14.17
136,2018-11-12,14.33
137,2018-11-09,14.63
138,2018-11-08,14.91
139,2018-11-07,15.09
140,2018-11-06,15.08
141,2018-11-05,15.24
142,2018-11-02,15.08
143,2018-11-01,15.13
144,2018-10-31,14.51
145,2018-10-30,14.69
146,2018-10-29,14.75
147,2018-10-26,14.79
148,2018-10-25,14.66
149,2018-10-24,15.41
150,2018-10-23,15.68
151,2018-10-22,15.46
152,2018-10-19,15.60
153,2018-10-18,15.61
154,2018-10-17,15.47
155,2018-10-16,15.55
156,2018-10-15,15.65
157,2018-10-12,15.36
158,2018-10-11,15.46
159,2018-10-10,14.44
160,2018-10-09,14.19
161,2018-10-08,14.40
162,2018-10-05,14.35
163,2018-10-04,14.46
164,2018-10-03,14.49
165,2018-10-02,14.74
166,2018-10-01,14.28
167,2018-09-28,14.24
168,2018-09-27,14.16
169,2018-09-26,14.24
170,2018-09-25,14.65
171,2018-09-24,14.55
172,2018-09-21,14.46
173,2018-09-20,14.60
174,2018-09-19,14.50
175,2018-09-18,14.18
176,2018-09-17,14.16
177,2018-09-14,13.90
178,2018-09-13,13.98
179,2018-09-12,13.97
180,2018-09-11,13.56
181,2018-09-10,13.55
182,2018-09-07,13.79
183,2018-09-06,13.74
184,2018-09-05,13.71
185,2018-09-04,13.83
186,2018-08-31,14.34
187,2018-08-30,14.44
188,2018-08-29,14.70
189,2018-08-28,14.62
190,2018-08-27,14.89
191,2018-08-24,14.67
192,2018-08-23,14.30
193,2018-08-22,14.73
194,2018-08-21,14.58
195,2018-08-20,14.48
196,2018-08-17,14.40
197,2018-08-16,14.02
198,2018-08-15,14.33
199,2018-08-14,15.29
200,2018-08-13,15.44
201,2018-08-10,15.98
202,2018-08-09,16.20
203,2018-08-08,16.24
204,2018-08-07,16.25
205,2018-08-06,16.45
206,2018-08-03,16.59
207,2018-08-02,16.46
208,2018-08-01,16.60
209,2018-07-31,16.75
210,2018-07-30,16.71
211,2018-07-27,16.67
212,2018-07-26,16.72
213,2018-07-25,16.98
214,2018-07-24,16.86
215,2018-07-23,16.74
216,2018-07-20,17.08
217,2018-07-19,16.94
218,2018-07-18,17.05
219,2018-07-17,17.10
220,2018-07-16,17.13
221,2018-07-13,17.23
222,2018-07-12,17.31
223,2018-07-11,17.27
224,2018-07-10,17.78
225,2018-07-09,17.82
226,2018-07-06,17.88
227,2018-07-05,17.82
228,2018-07-03,17.61
229,2018-07-02,17.34
230,2018-06-29,17.47
231,2018-06-28,17.12
232,2018-06-27,17.06
233,2018-06-26,17.22
234,2018-06-25,17.26
235,2018-06-22,17.43
236,2018-06-21,17.19
237,2018-06-20,17.26
238,2018-06-19,17.39
239,2018-06-18,17.51
240,2018-06-15,17.50
241,2018-06-14,17.85
242,2018-06-13,17.73
243,2018-06-12,17.71
244,2018-06-11,17.82
245,2018-06-08,17.65
246,2018-06-07,17.74
247,2018-06-06,17.69
248,2018-06-05,17.71
249,2018-06-04,17.57
250,2018-06-01,17.65
251,2018-05-31,17.74
252,2018-05-30,17.81
253,2018-05-29,17.62
254,2018-05-25,17.74
255,2018-05-24,17.96
256,2018-05-23,17.71
257,2018-05-22,17.56
258,2018-05-21,17.70
259,2018-05-18,17.64
260,2018-05-17,17.66
261,2018-05-16,17.69
262,2018-05-15,17.71
263,2018-05-14,18.13
264,2018-05-11,18.20
265,2018-05-10,18.22
266,2018-05-09,18.02
267,2018-05-08,18.06
268,2018-05-07,18.03
269,2018-05-04,18.09
270,2018-05-03,18.08
271,2018-05-02,17.91
272,2018-05-01,17.83
273,2018-04-30,17.88
274,2018-04-27,18.20
275,2018-04-26,18.00
276,2018-04-25,17.96
277,2018-04-24,18.15
278,2018-04-23,17.95
279,2018-04-20,18.12
280,2018-04-19,18.35
281,2018-04-18,18.34
282,2018-04-17,18.21
283,2018-04-16,18.19
284,2018-04-13,18.27
285,2018-04-12,17.94
286,2018-04-11,18.10
287,2018-04-10,17.72
288,2018-04-09,17.55
289,2018-04-06,17.68
290,2018-04-05,17.56
291,2018-04-04,17.53
292,2018-04-03,17.59
293,2018-04-02,17.87
294,2018-03-29,17.57
295,2018-03-28,17.36
296,2018-03-27,17.70
297,2018-03-26,17.97
298,2018-03-23,17.67
299,2018-03-22,17.16
300,2018-03-21,17.36
301,2018-03-20,16.91
302,2018-03-19,17.08
303,2018-03-16,16.98
304,2018-03-15,17.02
305,2018-03-14,17.29
306,2018-03-13,17.21
307,2018-03-12,17.29
308,2018-03-09,17.19
309,2018-03-08,17.32
310,2018-03-07,17.24
311,2018-03-06,17.62
312,2018-03-05,17.25
313,2018-03-02,17.18
314,2018-03-01,17.21
315,2018-02-28,17.12
316,2018-02-27,17.19
317,2018-02-26,17.67
318,2018-02-23,17.50
319,2018-02-22,17.39
320,2018-02-21,17.57
321,2018-02-20,17.64
322,2018-02-16,18.08
323,2018-02-15,18.61
324,2018-02-14,18.60
325,2018-02-13,17.77
326,2018-02-12,17.72
327,2018-02-09,17.14
328,2018-02-08,17.45
329,2018-02-07,17.54
330,2018-02-06,17.82
331,2018-02-05,18.12
332,2018-02-02,18.37
333,2018-02-01,19.13
334,2018-01-31,19.13
335,2018-01-30,18.93
336,2018-01-29,19.07
337,2018-01-26,19.70
338,2018-01-25,19.60
339,2018-01-24,20.05
340,2018-01-23,19.62
341,2018-01-22,19.14
342,2018-01-19,19.02
343,2018-01-18,19.01
344,2018-01-17,19.30
345,2018-01-16,19.71
346,2018-01-12,19.44
347,2018-01-11,18.90
348,2018-01-10,18.80
349,2018-01-09,18.67
350,2018-01-08,18.89
351,2018-01-05,19.17
352,2018-01-04,19.20
353,2018-01-03,19.17
354,2018-01-02,19.22
355,2017-12-29,18.67
356,2017-12-28,18.64
357,2017-12-27,18.58
358,2017-12-26,18.75
359,2017-12-22,18.28
360,2017-12-21,18.15
361,2017-12-20,18.03
362,2017-12-19,17.73
363,2017-12-18,17.75
364,2017-12-15,17.44
365,2017-12-14,17.45
366,2017-12-13,17.55
367,2017-12-12,16.98
368,2017-12-11,16.97
369,2017-12-08,17.11
370,2017-12-07,17.05
371,2017-12-06,17.10
372,2017-12-05,17.34
373,2017-12-04,17.61
374,2017-12-01,17.87
375,2017-11-30,17.75
376,2017-11-29,17.90
377,2017-11-28,18.22
378,2017-11-27,18.27
379,2017-11-24,18.12
380,2017-11-22,18.19
381,2017-11-21,17.93
382,2017-11-20,17.82
383,2017-11-17,18.08
384,2017-11-16,17.88
385,2017-11-15,17.86
386,2017-11-14,17.85
387,2017-11-13,17.85
388,2017-11-10,17.89
389,2017-11-09,18.06
390,2017-11-08,18.03
391,2017-11-07,17.88
392,2017-11-06,18.04
393,2017-11-03,17.71
394,2017-11-02,17.81
395,2017-11-01,17.82
396,2017-10-31,17.77
397,2017-10-30,18.03
398,2017-10-27,17.81
399,2017-10-26,17.63
