,Date,NAV
1,2019-05-30,7.01
2,2019-05-29,6.80
3,2019-05-28,6.89
4,2019-05-24,6.99
5,2019-05-23,6.91
6,2019-05-22,6.97
7,2019-05-21,7.14
8,2019-05-20,7.25
9,2019-05-17,7.32
10,2019-05-16,7.30
11,2019-05-15,7.45
12,2019-05-14,7.45
13,2019-05-13,7.58
14,2019-05-10,7.45
15,2019-05-09,7.64
16,2019-05-08,7.82
17,2019-05-07,7.99
18,2019-05-06,7.86
19,2019-05-03,7.90
20,2019-05-02,7.72
21,2019-05-01,8.04
22,2019-04-30,8.15
23,2019-04-29,8.18
24,2019-04-26,8.34
25,2019-04-25,7.96
26,2019-04-24,8.06
27,2019-04-23,7.94
28,2019-04-22,7.98
29,2019-04-18,8.19
30,2019-04-17,8.30
31,2019-04-16,8.45
32,2019-04-15,8.59
33,2019-04-12,8.66
34,2019-04-11,8.62
35,2019-04-10,8.86
36,2019-04-09,9.03
37,2019-04-08,9.02
38,2019-04-05,8.83
39,2019-04-04,8.89
40,2019-04-03,8.73
41,2019-04-02,8.71
42,2019-04-01,8.63
43,2019-03-29,8.83
44,2019-03-28,8.94
45,2019-03-27,9.25
46,2019-03-26,9.40
47,2019-03-25,9.39
48,2019-03-22,9.28
49,2019-03-21,9.25
50,2019-03-20,9.27
51,2019-03-19,9.09
52,2019-03-18,9.05
53,2019-03-15,9.06
54,2019-03-14,9.03
55,2019-03-13,9.35
56,2019-03-12,9.25
57,2019-03-11,9.02
58,2019-03-08,9.11
59,2019-03-07,8.82
60,2019-03-06,8.75
61,2019-03-05,8.93
62,2019-03-04,8.73
63,2019-03-01,8.85
64,2019-02-28,9.23
65,2019-02-27,9.35
66,2019-02-26,9.50
67,2019-02-25,9.52
68,2019-02-22,9.47
69,2019-02-21,9.42
70,2019-02-20,9.55
71,2019-02-19,9.62
72,2019-02-15,9.11
73,2019-02-14,8.97
74,2019-02-13,8.82
75,2019-02-12,8.88
76,2019-02-11,8.96
77,2019-02-08,8.96
78,2019-02-07,8.82
79,2019-02-06,9.01
80,2019-02-05,9.11
81,2019-02-04,9.03
82,2019-02-01,9.00
83,2019-01-31,9.07
84,2019-01-30,8.89
85,2019-01-29,8.72
86,2019-01-28,8.40
87,2019-01-25,8.38
88,2019-01-24,8.01
89,2019-01-23,7.90
90,2019-01-22,7.87
91,2019-01-18,8.00
92,2019-01-17,8.15
93,2019-01-16,8.17
94,2019-01-15,8.26
95,2019-01-14,8.63
96,2019-01-11,8.65
97,2019-01-10,8.69
98,2019-01-09,8.91
99,2019-01-08,8.71
100,2019-01-07,8.51
101,2019-01-04,8.57
102,2019-01-03,8.54
103,2019-01-02,8.24
104,2018-12-31,8.04
105,2018-12-28,8.05
106,2018-12-27,7.91
107,2018-12-26,8.00
108,2018-12-24,7.90
109,2018-12-21,7.80
110,2018-12-20,7.99
111,2018-12-19,7.63
112,2018-12-18,8.03
113,2018-12-17,7.88
114,2018-12-14,7.70
115,2018-12-13,7.88
116,2018-12-12,7.85
117,2018-12-11,7.65
118,2018-12-10,7.64
119,2018-12-07,7.78
120,2018-12-06,7.58
121,2018-12-04,7.68
122,2018-12-03,7.75
123,2018-11-30,7.48
124,2018-11-29,7.54
125,2018-11-28,7.65
126,2018-11-27,7.36
127,2018-11-26,7.57
128,2018-11-23,7.68
129,2018-11-21,7.97
130,2018-11-20,7.78
131,2018-11-19,7.87
132,2018-11-16,7.91
133,2018-11-15,7.83
134,2018-11-14,7.53
135,2018-11-13,7.42
136,2018-11-12,7.57
137,2018-11-09,7.96
138,2018-11-08,8.04
139,2018-11-07,8.02
140,2018-11-06,8.22
141,2018-11-05,8.38
142,2018-11-02,8.34
143,2018-11-01,8.35
144,2018-10-31,7.82
145,2018-10-30,8.07
146,2018-10-29,8.03
147,2018-10-26,8.26
148,2018-10-25,8.19
149,2018-10-24,8.57
150,2018-10-23,8.71
151,2018-10-22,8.80
152,2018-10-19,8.88
153,2018-10-18,8.97
154,2018-10-17,9.00
155,2018-10-16,8.97
156,2018-10-15,9.00
157,2018-10-12,8.83
158,2018-10-11,8.94
159,2018-10-10,8.49
160,2018-10-09,8.51
161,2018-10-08,8.55
