,Date,NAV
1,2019-05-30,31.94
2,2019-05-29,31.91
3,2019-05-28,31.85
4,2019-05-24,31.31
5,2019-05-23,31.75
6,2019-05-22,30.81
7,2019-05-21,30.35
8,2019-05-20,31.09
9,2019-05-17,30.41
10,2019-05-16,29.77
11,2019-05-15,30.61
12,2019-05-14,30.49
13,2019-05-13,31.22
14,2019-05-10,29.72
15,2019-05-09,30.38
16,2019-05-08,29.83
17,2019-05-07,29.79
18,2019-05-06,28.60
19,2019-05-03,27.83
20,2019-05-02,28.66
21,2019-05-01,27.94
22,2019-04-30,26.95
23,2019-04-29,27.08
24,2019-04-26,27.14
25,2019-04-25,27.44
26,2019-04-24,26.68
27,2019-04-23,26.37
28,2019-04-22,26.47
29,2019-04-18,26.03
30,2019-04-17,25.87
31,2019-04-16,25.73
32,2019-04-15,26.07
33,2019-04-12,25.95
34,2019-04-11,26.56
35,2019-04-10,26.49
36,2019-04-09,26.54
37,2019-04-08,26.04
38,2019-04-05,25.99
39,2019-04-04,25.97
40,2019-04-03,26.70
41,2019-04-02,27.45
42,2019-04-01,27.64
43,2019-03-29,28.56
44,2019-03-28,29.06
45,2019-03-27,29.52
46,2019-03-26,29.41
47,2019-03-25,29.73
48,2019-03-22,29.52
49,2019-03-21,27.78
50,2019-03-20,28.39
51,2019-03-19,28.52
52,2019-03-18,28.23
53,2019-03-15,28.54
54,2019-03-14,28.60
55,2019-03-13,27.86
56,2019-03-12,28.25
57,2019-03-11,28.50
58,2019-03-08,29.36
59,2019-03-07,29.14
60,2019-03-06,28.65
61,2019-03-05,28.69
62,2019-03-04,28.53
63,2019-03-01,28.50
64,2019-02-28,28.41
65,2019-02-27,27.74
66,2019-02-26,27.60
67,2019-02-25,27.31
68,2019-02-22,27.73
69,2019-02-21,28.02
70,2019-02-20,27.77
71,2019-02-19,28.83
72,2019-02-15,29.33
73,2019-02-14,30.02
74,2019-02-13,29.54
75,2019-02-12,29.85
76,2019-02-11,31.22
77,2019-02-08,31.37
78,2019-02-07,31.23
79,2019-02-06,30.10
80,2019-02-05,29.77
81,2019-02-04,30.12
82,2019-02-01,30.16
83,2019-01-31,30.47
84,2019-01-30,29.32
85,2019-01-29,30.23
86,2019-01-28,30.78
87,2019-01-25,30.66
88,2019-01-24,32.09
89,2019-01-23,31.69
90,2019-01-22,31.21
91,2019-01-18,30.40
92,2019-01-17,31.32
93,2019-01-16,32.39
94,2019-01-15,32.95
95,2019-01-14,32.49
96,2019-01-11,31.99
97,2019-01-10,31.56
98,2019-01-09,32.05
99,2019-01-08,32.27
100,2019-01-07,33.07
101,2019-01-04,33.37
102,2019-01-03,36.15
103,2019-01-02,34.19
104,2018-12-31,34.98
105,2018-12-28,35.22
106,2018-12-27,34.78
107,2018-12-26,36.13
108,2018-12-24,39.25
109,2018-12-21,37.49
110,2018-12-20,37.33
111,2018-12-19,36.39
112,2018-12-18,35.18
113,2018-12-17,35.68
114,2018-12-14,34.63
115,2018-12-13,33.84
116,2018-12-12,33.15
117,2018-12-11,33.88
118,2018-12-10,33.61
119,2018-12-07,33.72
120,2018-12-06,32.13
121,2018-12-04,30.46
122,2018-12-03,29.35
123,2018-11-30,30.62
124,2018-11-29,30.60
125,2018-11-28,31.06
126,2018-11-27,32.22
127,2018-11-26,31.22
128,2018-11-23,31.68
129,2018-11-21,31.04
130,2018-11-20,31.75
131,2018-11-19,30.38
132,2018-11-16,29.43
133,2018-11-15,29.84
134,2018-11-14,30.77
135,2018-11-13,30.67
136,2018-11-12,30.36
137,2018-11-09,29.56
138,2018-11-08,28.54
139,2018-11-07,28.67
140,2018-11-06,29.40
141,2018-11-05,29.97
142,2018-11-02,30.31
143,2018-11-01,30.18
144,2018-10-31,32.29
145,2018-10-30,33.34
146,2018-10-29,34.09
147,2018-10-26,33.98
148,2018-10-25,33.24
149,2018-10-24,34.52
150,2018-10-23,32.10
151,2018-10-22,31.14
152,2018-10-19,30.85
153,2018-10-18,30.55
154,2018-10-17,30.02
155,2018-10-16,29.46
156,2018-10-15,30.12
157,2018-10-12,30.15
158,2018-10-11,29.79
159,2018-10-10,29.56
160,2018-10-09,28.39
161,2018-10-08,26.60
162,2018-10-05,26.81
163,2018-10-04,26.21
164,2018-10-03,25.51
165,2018-10-02,26.36
166,2018-10-01,26.36
167,2018-09-28,26.36
168,2018-09-27,25.92
169,2018-09-26,25.62
170,2018-09-25,24.93
171,2018-09-24,25.00
172,2018-09-21,24.32
173,2018-09-20,24.22
174,2018-09-19,24.87
175,2018-09-18,25.41
176,2018-09-17,25.35
177,2018-09-14,25.35
178,2018-09-13,25.35
179,2018-09-12,25.35
180,2018-09-11,25.55
181,2018-09-10,25.55
182,2018-09-07,25.79
183,2018-09-06,24.87
184,2018-09-05,25.06
185,2018-09-04,25.50
186,2018-08-31,25.14
187,2018-08-30,25.05
188,2018-08-29,24.70
189,2018-08-28,24.70
190,2018-08-27,24.53
191,2018-08-24,25.31
192,2018-08-23,25.89
193,2018-08-22,25.46
194,2018-08-21,25.15
195,2018-08-20,25.56
196,2018-08-17,25.95
197,2018-08-16,26.33
198,2018-08-15,26.79
199,2018-08-14,25.86
200,2018-08-13,26.25
201,2018-08-10,25.65
202,2018-08-09,25.04
203,2018-08-08,25.27
204,2018-08-07,25.05
205,2018-08-06,25.29
206,2018-08-03,25.46
207,2018-08-02,25.69
208,2018-08-01,25.29
209,2018-07-31,24.70
210,2018-07-30,25.30
211,2018-07-27,25.15
212,2018-07-26,24.88
213,2018-07-25,25.35
214,2018-07-24,25.73
215,2018-07-23,26.23
216,2018-07-20,26.13
217,2018-07-19,25.99
218,2018-07-18,25.52
219,2018-07-17,25.61
220,2018-07-16,26.38
221,2018-07-13,25.87
222,2018-07-12,25.87
223,2018-07-11,25.99
224,2018-07-10,25.15
225,2018-07-09,25.67
226,2018-07-06,26.04
227,2018-07-05,26.31
228,2018-07-03,26.53
229,2018-07-02,26.74
230,2018-06-29,26.31
231,2018-06-28,26.60
232,2018-06-27,26.83
233,2018-06-26,26.73
234,2018-06-25,27.09
235,2018-06-22,26.08
236,2018-06-21,26.81
237,2018-06-20,26.43
