,Date,NAV
1,2019-05-30,8.79
2,2019-05-29,8.81
3,2019-05-28,8.91
4,2019-05-24,8.92
5,2019-05-23,8.90
6,2019-05-22,9.06
7,2019-05-21,9.08
8,2019-05-20,9.02
9,2019-05-17,9.09
10,2019-05-16,9.17
11,2019-05-15,9.10
12,2019-05-14,9.09
13,2019-05-13,9.04
14,2019-05-10,9.29
15,2019-05-09,9.18
16,2019-05-08,9.19
17,2019-05-07,9.20
18,2019-05-06,9.37
19,2019-05-03,9.46
20,2019-05-02,9.32
21,2019-05-01,9.45
22,2019-04-30,9.57
23,2019-04-29,9.67
24,2019-04-26,9.66
25,2019-04-25,9.57
26,2019-04-24,9.63
27,2019-04-23,9.73
28,2019-04-22,9.71
29,2019-04-18,9.74
30,2019-04-17,9.77
31,2019-04-16,9.69
32,2019-04-15,9.63
33,2019-04-12,9.58
34,2019-04-11,9.52
35,2019-04-10,9.60
36,2019-04-09,9.56
37,2019-04-08,9.63
38,2019-04-05,9.55
39,2019-04-04,9.48
40,2019-04-03,9.42
41,2019-04-02,9.35
42,2019-04-01,9.41
43,2019-03-29,9.26
44,2019-03-28,9.18
45,2019-03-27,9.20
46,2019-03-26,9.17
47,2019-03-25,9.16
48,2019-03-22,9.20
49,2019-03-21,9.43
50,2019-03-20,9.39
51,2019-03-19,9.50
52,2019-03-18,9.52
53,2019-03-15,9.50
54,2019-03-14,9.43
55,2019-03-13,9.42
56,2019-03-12,9.33
57,2019-03-11,9.24
58,2019-03-08,9.20
59,2019-03-07,9.25
60,2019-03-06,9.45
61,2019-03-05,9.50
62,2019-03-04,9.51
63,2019-03-01,9.46
64,2019-02-28,9.48
65,2019-02-27,9.61
66,2019-02-26,9.66
67,2019-02-25,9.66
68,2019-02-22,9.61
69,2019-02-21,9.58
70,2019-02-20,9.60
71,2019-02-19,9.51
72,2019-02-15,9.39
73,2019-02-14,9.36
74,2019-02-13,9.32
75,2019-02-12,9.29
76,2019-02-11,9.20
77,2019-02-08,9.24
78,2019-02-07,9.32
79,2019-02-06,9.48
80,2019-02-05,9.52
81,2019-02-04,9.45
82,2019-02-01,9.38
83,2019-01-31,9.45
84,2019-01-30,9.46
85,2019-01-29,9.39
86,2019-01-28,9.37
87,2019-01-25,9.43
88,2019-01-24,9.27
89,2019-01-23,9.29
90,2019-01-22,9.27
91,2019-01-18,9.49
92,2019-01-17,9.39
93,2019-01-16,9.32
94,2019-01-15,9.31
95,2019-01-14,9.32
96,2019-01-11,9.38
97,2019-01-10,9.45
98,2019-01-09,9.38
99,2019-01-08,9.31
100,2019-01-07,9.20
101,2019-01-04,9.09
102,2019-01-03,8.74
103,2019-01-02,8.86
104,2018-12-31,8.87
105,2018-12-28,8.84
106,2018-12-27,8.85
107,2018-12-26,8.74
108,2018-12-24,8.49
109,2018-12-21,8.59
110,2018-12-20,8.66
111,2018-12-19,8.79
112,2018-12-18,8.92
113,2018-12-17,8.92
114,2018-12-14,9.05
115,2018-12-13,9.14
116,2018-12-12,9.16
117,2018-12-11,9.18
118,2018-12-10,9.18
119,2018-12-07,9.29
120,2018-12-06,9.36
121,2018-12-04,9.55
122,2018-12-03,9.75
123,2018-11-30,9.59
124,2018-11-29,9.59
125,2018-11-28,9.56
126,2018-11-27,9.43
127,2018-11-26,9.55
128,2018-11-23,9.53
129,2018-11-21,9.53
130,2018-11-20,9.43
131,2018-11-19,9.75
132,2018-11-16,9.89
133,2018-11-15,9.91
134,2018-11-14,9.80
135,2018-11-13,9.98
136,2018-11-12,10.00
137,2018-11-09,10.13
138,2018-11-08,10.37
139,2018-11-07,10.39
140,2018-11-06,10.13
141,2018-11-05,9.96
142,2018-11-02,9.96
