,Date,NAV
1,2019-05-30,24.88
2,2019-05-29,24.90
3,2019-05-28,24.89
4,2019-05-24,24.89
5,2019-05-23,24.91
6,2019-05-22,24.88
7,2019-05-21,24.89
8,2019-05-20,24.89
9,2019-05-17,24.87
10,2019-05-16,24.87
11,2019-05-15,24.87
12,2019-05-14,24.88
13,2019-05-13,24.88
14,2019-05-10,24.88
15,2019-05-09,24.88
16,2019-05-08,24.86
17,2019-05-07,24.86
18,2019-05-06,24.86
19,2019-05-03,24.85
20,2019-05-02,24.87
21,2019-05-01,24.87
22,2019-04-30,24.85
23,2019-04-29,24.84
24,2019-04-26,24.87
25,2019-04-25,24.87
26,2019-04-24,24.86
27,2019-04-23,24.87
28,2019-04-22,24.85
29,2019-04-18,24.85
30,2019-04-17,24.85
31,2019-04-16,24.85
32,2019-04-15,24.85
33,2019-04-12,24.85
34,2019-04-11,24.85
35,2019-04-10,24.84
36,2019-04-09,24.85
37,2019-04-08,24.86
38,2019-04-05,24.84
39,2019-04-04,24.86
40,2019-04-03,24.85
41,2019-04-02,24.84
42,2019-04-01,24.84
43,2019-03-29,24.84
44,2019-03-28,24.85
45,2019-03-27,24.84
46,2019-03-26,24.85
47,2019-03-25,24.84
48,2019-03-22,24.85
49,2019-03-21,24.85
50,2019-03-20,24.83
51,2019-03-19,24.83
52,2019-03-18,24.82
53,2019-03-15,24.86
54,2019-03-14,24.86
55,2019-03-13,24.86
56,2019-03-12,24.86
57,2019-03-11,24.85
58,2019-03-08,24.85
59,2019-03-07,24.85
60,2019-03-06,24.85
61,2019-03-05,24.85
62,2019-03-04,24.87
63,2019-03-01,24.85
64,2019-02-28,24.86
65,2019-02-27,24.83
66,2019-02-26,24.85
67,2019-02-25,24.85
68,2019-02-22,24.85
69,2019-02-21,24.87
70,2019-02-20,24.87
71,2019-02-19,24.86
72,2019-02-15,24.85
73,2019-02-14,24.85
74,2019-02-13,24.86
75,2019-02-12,24.85
76,2019-02-11,24.84
77,2019-02-08,24.85
78,2019-02-07,24.86
79,2019-02-06,24.83
80,2019-02-05,24.83
81,2019-02-04,24.80
82,2019-02-01,24.81
83,2019-01-31,24.81
84,2019-01-30,24.82
85,2019-01-29,24.85
86,2019-01-28,24.84
87,2019-01-25,24.84
88,2019-01-24,24.85
89,2019-01-23,24.84
90,2019-01-22,24.84
91,2019-01-18,24.80
92,2019-01-17,24.81
93,2019-01-16,24.84
94,2019-01-15,24.84
95,2019-01-14,24.81
96,2019-01-11,24.82
97,2019-01-10,24.82
98,2019-01-09,24.84
99,2019-01-08,24.82
100,2019-01-07,24.84
101,2019-01-04,24.81
102,2019-01-03,24.84
103,2019-01-02,24.80
104,2018-12-31,24.82
105,2018-12-28,24.82
106,2018-12-27,24.81
107,2018-12-26,24.81
108,2018-12-24,24.80
109,2018-12-21,24.79
110,2018-12-20,24.78
111,2018-12-19,24.76
112,2018-12-18,24.80
113,2018-12-17,24.80
114,2018-12-14,24.80
115,2018-12-13,24.80
116,2018-12-12,24.79
117,2018-12-11,24.80
118,2018-12-10,24.80
119,2018-12-07,24.77
120,2018-12-06,24.77
121,2018-12-04,24.77
122,2018-12-03,24.77
123,2018-11-30,24.80
124,2018-11-29,24.78
125,2018-11-28,24.74
126,2018-11-27,24.72
127,2018-11-26,24.73
128,2018-11-23,24.80
129,2018-11-21,24.73
130,2018-11-20,24.73
131,2018-11-19,24.76
