,Date,NAV
1,2019-05-30,17.61
2,2019-05-29,17.59
3,2019-05-28,17.61
4,2019-05-24,17.60
5,2019-05-23,17.58
6,2019-05-22,17.55
7,2019-05-21,17.54
8,2019-05-20,17.55
9,2019-05-17,17.54
10,2019-05-16,17.55
11,2019-05-15,17.55
12,2019-05-14,17.53
13,2019-05-13,17.56
14,2019-05-10,17.51
15,2019-05-09,17.53
16,2019-05-08,17.49
17,2019-05-07,17.51
18,2019-05-06,17.49
19,2019-05-03,17.49
20,2019-05-02,17.48
21,2019-05-01,17.49
22,2019-04-30,17.48
23,2019-04-29,17.49
24,2019-04-26,17.48
25,2019-04-25,17.46
26,2019-04-24,17.47
27,2019-04-23,17.45
28,2019-04-22,17.46
29,2019-04-18,17.47
30,2019-04-17,17.45
31,2019-04-16,17.45
32,2019-04-15,17.46
33,2019-04-12,17.43
34,2019-04-11,17.45
35,2019-04-10,17.44
36,2019-04-09,17.46
37,2019-04-08,17.44
38,2019-04-05,17.46
39,2019-04-04,17.47
40,2019-04-03,17.47
41,2019-04-02,17.47
42,2019-04-01,17.45
43,2019-03-29,17.49
44,2019-03-28,17.49
45,2019-03-27,17.48
46,2019-03-26,17.47
47,2019-03-25,17.46
48,2019-03-22,17.47
49,2019-03-21,17.44
50,2019-03-20,17.44
51,2019-03-19,17.40
52,2019-03-18,17.40
53,2019-03-15,17.42
54,2019-03-14,17.40
55,2019-03-13,17.44
56,2019-03-12,17.42
57,2019-03-11,17.44
58,2019-03-08,17.43
59,2019-03-07,17.43
60,2019-03-06,17.41
61,2019-03-05,17.41
62,2019-03-04,17.40
63,2019-03-01,17.38
64,2019-02-28,17.40
65,2019-02-27,17.39
66,2019-02-26,17.39
67,2019-02-25,17.36
68,2019-02-22,17.36
69,2019-02-21,17.34
70,2019-02-20,17.38
71,2019-02-19,17.36
72,2019-02-15,17.35
73,2019-02-14,17.36
74,2019-02-13,17.35
75,2019-02-12,17.35
76,2019-02-11,17.33
77,2019-02-08,17.33
78,2019-02-07,17.32
79,2019-02-06,17.34
80,2019-02-05,17.33
81,2019-02-04,17.30
82,2019-02-01,17.32
83,2019-01-31,17.31
84,2019-01-30,17.29
85,2019-01-29,17.30
86,2019-01-28,17.29
87,2019-01-25,17.28
88,2019-01-24,17.29
89,2019-01-23,17.25
90,2019-01-22,17.27
91,2019-01-18,17.28
92,2019-01-17,17.25
93,2019-01-16,17.27
94,2019-01-15,17.25
95,2019-01-14,17.24
96,2019-01-11,17.22
97,2019-01-10,17.24
98,2019-01-09,17.19
99,2019-01-08,17.22
100,2019-01-07,17.20
101,2019-01-04,17.20
102,2019-01-03,17.22
103,2019-01-02,17.20
104,2018-12-31,17.19
105,2018-12-28,17.19
106,2018-12-27,17.23
107,2018-12-26,17.23
108,2018-12-24,17.24
109,2018-12-21,17.19
110,2018-12-20,17.19
111,2018-12-19,17.19
112,2018-12-18,17.18
113,2018-12-17,17.17
114,2018-12-14,17.17
115,2018-12-13,17.15
116,2018-12-12,17.15
117,2018-12-11,17.19
118,2018-12-10,17.17
119,2018-12-07,17.16
120,2018-12-06,17.17
121,2018-12-04,17.14
122,2018-12-03,17.11
123,2018-11-30,17.10
124,2018-11-29,17.06
125,2018-11-28,17.05
126,2018-11-27,17.03
127,2018-11-26,17.05
128,2018-11-23,17.06
129,2018-11-21,17.02
130,2018-11-20,17.02
131,2018-11-19,17.00
132,2018-11-16,17.03
133,2018-11-15,16.99
134,2018-11-14,17.03
135,2018-11-13,16.99
136,2018-11-12,16.98
137,2018-11-09,16.97
