,Date,NAV
1,2019-05-30,36.48
2,2019-05-29,36.43
3,2019-05-28,36.40
4,2019-05-24,36.44
5,2019-05-23,36.35
6,2019-05-22,36.41
7,2019-05-21,36.36
8,2019-05-20,36.22
9,2019-05-17,36.35
10,2019-05-16,36.45
11,2019-05-15,36.42
12,2019-05-14,36.31
13,2019-05-13,36.10
14,2019-05-10,36.27
15,2019-05-09,36.19
16,2019-05-08,36.20
17,2019-05-07,36.18
18,2019-05-06,36.33
19,2019-05-03,36.32
20,2019-05-02,36.27
21,2019-05-01,36.36
22,2019-04-30,36.28
23,2019-04-29,36.27
24,2019-04-26,36.24
25,2019-04-25,36.22
26,2019-04-24,36.33
27,2019-04-23,36.30
28,2019-04-22,36.22
29,2019-04-18,36.21
30,2019-04-17,36.28
31,2019-04-16,36.36
32,2019-04-15,36.36
33,2019-04-12,36.34
34,2019-04-11,36.34
35,2019-04-10,36.31
36,2019-04-09,36.26
37,2019-04-08,36.36
38,2019-04-05,36.47
39,2019-04-04,36.41
40,2019-04-03,36.35
41,2019-04-02,36.30
42,2019-04-01,36.25
43,2019-03-29,36.03
44,2019-03-28,35.89
45,2019-03-27,35.83
46,2019-03-26,35.92
47,2019-03-25,35.82
48,2019-03-22,35.88
49,2019-03-21,35.99
50,2019-03-20,35.91
51,2019-03-19,35.94
52,2019-03-18,36.08
53,2019-03-15,36.11
54,2019-03-14,36.05
55,2019-03-13,36.03
56,2019-03-12,35.94
57,2019-03-11,35.86
58,2019-03-08,35.83
59,2019-03-07,35.74
60,2019-03-06,35.89
61,2019-03-05,35.79
62,2019-03-04,35.78
63,2019-03-01,35.78
64,2019-02-28,35.51
65,2019-02-27,35.51
66,2019-02-26,35.46
67,2019-02-25,35.55
68,2019-02-22,35.53
69,2019-02-21,35.45
70,2019-02-20,35.50
71,2019-02-19,35.49
72,2019-02-15,35.46
73,2019-02-14,35.28
74,2019-02-13,35.31
75,2019-02-12,35.24
76,2019-02-11,34.98
77,2019-02-08,34.97
78,2019-02-07,34.91
79,2019-02-06,35.10
80,2019-02-05,35.18
81,2019-02-04,35.18
82,2019-02-01,35.17
83,2019-01-31,35.31
84,2019-01-30,35.25
85,2019-01-29,34.99
86,2019-01-28,34.93
87,2019-01-25,34.95
88,2019-01-24,34.83
89,2019-01-23,34.64
90,2019-01-22,34.60
91,2019-01-18,34.66
92,2019-01-17,34.60
93,2019-01-16,34.50
94,2019-01-15,34.53
95,2019-01-14,34.51
96,2019-01-11,34.53
97,2019-01-10,34.39
98,2019-01-09,34.28
99,2019-01-08,34.35
100,2019-01-07,34.26
101,2019-01-04,34.16
102,2019-01-03,33.80
103,2019-01-02,33.74
104,2018-12-31,33.42
105,2018-12-28,33.10
106,2018-12-27,32.78
107,2018-12-26,32.83
108,2018-12-24,32.62
109,2018-12-21,32.83
110,2018-12-20,32.97
111,2018-12-19,33.16
112,2018-12-18,33.21
113,2018-12-17,33.30
114,2018-12-14,33.49
115,2018-12-13,33.58
116,2018-12-12,33.68
117,2018-12-11,33.74
118,2018-12-10,33.68
119,2018-12-07,33.68
120,2018-12-06,33.64
121,2018-12-04,33.79
122,2018-12-03,33.94
123,2018-11-30,33.94
124,2018-11-29,34.01
125,2018-11-28,34.10
126,2018-11-27,34.06
127,2018-11-26,34.12
128,2018-11-23,34.13
129,2018-11-21,34.21
130,2018-11-20,34.03
131,2018-11-19,34.30
132,2018-11-16,34.50
133,2018-11-15,34.42
134,2018-11-14,34.56
135,2018-11-13,34.65
136,2018-11-12,34.68
137,2018-11-09,34.84
138,2018-11-08,34.83
139,2018-11-07,34.80
140,2018-11-06,34.72
141,2018-11-05,34.63
142,2018-11-02,34.63
143,2018-11-01,34.75
144,2018-10-31,34.72
145,2018-10-30,34.69
146,2018-10-29,34.71
147,2018-10-26,34.68
148,2018-10-25,34.80
149,2018-10-24,34.58
150,2018-10-23,34.71
151,2018-10-22,34.81
152,2018-10-19,34.79
153,2018-10-18,34.66
154,2018-10-17,34.58
155,2018-10-16,34.56
156,2018-10-15,34.50
157,2018-10-12,34.44
158,2018-10-11,34.50
159,2018-10-10,34.53
160,2018-10-09,34.80
161,2018-10-08,34.69
162,2018-10-05,34.63
163,2018-10-04,34.63
164,2018-10-03,34.91
165,2018-10-02,35.14
166,2018-10-01,35.24
167,2018-09-28,35.52
168,2018-09-27,35.45
169,2018-09-26,35.41
170,2018-09-25,35.44
171,2018-09-24,35.50
172,2018-09-21,35.54
173,2018-09-20,35.49
174,2018-09-19,35.47
175,2018-09-18,35.59
176,2018-09-17,35.63
177,2018-09-14,35.72
178,2018-09-13,35.65
179,2018-09-12,35.68
180,2018-09-11,35.64
181,2018-09-10,35.60
182,2018-09-07,35.49
183,2018-09-06,35.67
184,2018-09-05,35.71
185,2018-09-04,35.87
186,2018-08-31,36.14
187,2018-08-30,36.03
188,2018-08-29,36.11
189,2018-08-28,36.04
190,2018-08-27,35.97
191,2018-08-24,35.97
192,2018-08-23,35.82
193,2018-08-22,35.85
194,2018-08-21,35.89
195,2018-08-20,35.85
196,2018-08-17,35.78
197,2018-08-16,35.69
198,2018-08-15,35.60
199,2018-08-14,35.62
200,2018-08-13,35.55
201,2018-08-10,35.57
202,2018-08-09,35.59
203,2018-08-08,35.67
204,2018-08-07,35.70
205,2018-08-06,35.71
206,2018-08-03,35.69
207,2018-08-02,35.59
208,2018-08-01,35.58
209,2018-07-31,35.64
210,2018-07-30,35.62
211,2018-07-27,35.65
212,2018-07-26,35.79
213,2018-07-25,35.80
214,2018-07-24,35.74
215,2018-07-23,35.73
216,2018-07-20,35.78
217,2018-07-19,35.68
218,2018-07-18,35.56
219,2018-07-17,35.59
220,2018-07-16,35.65
221,2018-07-13,35.71
222,2018-07-12,35.91
223,2018-07-11,35.91
224,2018-07-10,36.02
225,2018-07-09,36.00
226,2018-07-06,36.02
227,2018-07-05,35.95
228,2018-07-03,35.86
229,2018-07-02,35.76
230,2018-06-29,35.57
231,2018-06-28,35.48
232,2018-06-27,35.42
233,2018-06-26,35.44
234,2018-06-25,35.40
235,2018-06-22,35.44
236,2018-06-21,35.38
237,2018-06-20,35.40
238,2018-06-19,35.44
239,2018-06-18,35.41
240,2018-06-15,35.44
241,2018-06-14,35.40
242,2018-06-13,35.31
243,2018-06-12,35.36
244,2018-06-11,35.39
245,2018-06-08,35.38
246,2018-06-07,35.36
247,2018-06-06,35.31
248,2018-06-05,35.27
249,2018-06-04,35.20
250,2018-06-01,35.08
251,2018-05-31,34.95
252,2018-05-30,34.95
253,2018-05-29,34.92
254,2018-05-25,34.87
255,2018-05-24,34.86
256,2018-05-23,34.74
257,2018-05-22,34.67
258,2018-05-21,34.66
259,2018-05-18,34.68
260,2018-05-17,34.65
261,2018-05-16,34.66
262,2018-05-15,34.63
263,2018-05-14,34.80
264,2018-05-11,34.77
265,2018-05-10,34.74
266,2018-05-09,34.69
267,2018-05-08,34.69
268,2018-05-07,34.76
269,2018-05-04,34.71
270,2018-05-03,34.69
271,2018-05-02,34.65
272,2018-05-01,34.69
273,2018-04-30,34.67
274,2018-04-27,34.64
275,2018-04-26,34.59
276,2018-04-25,34.57
277,2018-04-24,34.71
278,2018-04-23,34.78
279,2018-04-20,34.82
280,2018-04-19,34.84
281,2018-04-18,34.86
282,2018-04-17,34.83
283,2018-04-16,34.77
284,2018-04-13,34.71
285,2018-04-12,34.78
286,2018-04-11,34.83
287,2018-04-10,34.83
288,2018-04-09,34.77
289,2018-04-06,34.73
290,2018-04-05,34.77
291,2018-04-04,34.69
292,2018-04-03,34.68
293,2018-04-02,34.81
294,2018-03-29,34.92
295,2018-03-28,34.85
296,2018-03-27,34.77
297,2018-03-26,34.79
298,2018-03-23,34.79
299,2018-03-22,34.83
300,2018-03-21,34.94
301,2018-03-20,34.88
302,2018-03-19,34.98
303,2018-03-16,35.02
304,2018-03-15,35.01
305,2018-03-14,34.97
306,2018-03-13,34.95
307,2018-03-12,34.90
308,2018-03-09,34.92
309,2018-03-08,34.94
310,2018-03-07,34.92
311,2018-03-06,34.87
312,2018-03-05,34.79
313,2018-03-02,34.65
314,2018-03-01,34.69
315,2018-02-28,34.73
316,2018-02-27,34.68
317,2018-02-26,34.64
318,2018-02-23,34.51
319,2018-02-22,34.40
320,2018-02-21,34.34
321,2018-02-20,34.33
322,2018-02-16,34.31
323,2018-02-15,34.18
324,2018-02-14,34.11
325,2018-02-13,34.17
326,2018-02-12,34.18
327,2018-02-09,34.09
328,2018-02-08,34.04
329,2018-02-07,34.28
330,2018-02-06,34.21
331,2018-02-05,34.14
332,2018-02-02,34.21
333,2018-02-01,34.45
334,2018-01-31,34.64
335,2018-01-30,34.45
336,2018-01-29,34.60
337,2018-01-26,34.89
338,2018-01-25,34.96
339,2018-01-24,34.98
340,2018-01-23,35.02
341,2018-01-22,34.93
342,2018-01-19,34.94
343,2018-01-18,34.80
344,2018-01-17,34.93
