,Date,NAV
1,2019-05-30,42.80
2,2019-05-29,42.71
3,2019-05-28,42.69
4,2019-05-24,42.70
5,2019-05-23,42.57
6,2019-05-22,42.61
7,2019-05-21,42.56
8,2019-05-20,42.46
9,2019-05-17,42.65
10,2019-05-16,42.70
11,2019-05-15,42.60
12,2019-05-14,42.48
13,2019-05-13,42.36
14,2019-05-10,42.46
15,2019-05-09,42.40
16,2019-05-08,42.40
17,2019-05-07,42.34
18,2019-05-06,42.44
19,2019-05-03,42.43
20,2019-05-02,42.46
21,2019-05-01,42.45
22,2019-04-30,42.39
23,2019-04-29,42.43
24,2019-04-26,42.35
25,2019-04-25,42.37
26,2019-04-24,42.46
27,2019-04-23,42.42
28,2019-04-22,42.35
29,2019-04-18,42.40
30,2019-04-17,42.42
31,2019-04-16,42.45
32,2019-04-15,42.36
33,2019-04-12,42.33
34,2019-04-11,42.27
35,2019-04-10,42.25
36,2019-04-09,42.20
37,2019-04-08,42.33
38,2019-04-05,42.44
39,2019-04-04,42.38
40,2019-04-03,42.32
41,2019-04-02,42.25
42,2019-04-01,42.31
43,2019-03-29,42.08
44,2019-03-28,41.91
45,2019-03-27,41.83
46,2019-03-26,41.83
47,2019-03-25,41.77
48,2019-03-22,41.92
49,2019-03-21,42.00
50,2019-03-20,41.89
51,2019-03-19,41.93
52,2019-03-18,42.04
53,2019-03-15,42.07
54,2019-03-14,42.00
55,2019-03-13,41.95
56,2019-03-12,41.94
57,2019-03-11,41.79
58,2019-03-08,41.85
59,2019-03-07,41.77
60,2019-03-06,41.95
61,2019-03-05,41.81
62,2019-03-04,41.79
63,2019-03-01,41.81
64,2019-02-28,41.51
65,2019-02-27,41.49
66,2019-02-26,41.50
67,2019-02-25,41.50
68,2019-02-22,41.46
69,2019-02-21,41.40
70,2019-02-20,41.47
71,2019-02-19,41.47
72,2019-02-15,41.42
73,2019-02-14,41.29
74,2019-02-13,41.23
75,2019-02-12,41.12
76,2019-02-11,40.95
77,2019-02-08,40.89
78,2019-02-07,40.82
79,2019-02-06,40.95
80,2019-02-05,41.06
81,2019-02-04,40.96
82,2019-02-01,41.04
83,2019-01-31,40.99
84,2019-01-30,40.84
85,2019-01-29,40.63
86,2019-01-28,40.54
87,2019-01-25,40.48
88,2019-01-24,40.32
89,2019-01-23,40.16
90,2019-01-22,40.19
91,2019-01-18,40.37
92,2019-01-17,40.14
93,2019-01-16,40.02
94,2019-01-15,40.11
95,2019-01-14,40.16
96,2019-01-11,40.18
97,2019-01-10,39.93
98,2019-01-09,39.87
99,2019-01-08,39.93
100,2019-01-07,39.86
101,2019-01-04,39.71
102,2019-01-03,39.28
103,2019-01-02,39.10
104,2018-12-31,38.64
105,2018-12-28,38.30
106,2018-12-27,37.82
107,2018-12-26,37.99
108,2018-12-24,37.77
109,2018-12-21,38.06
110,2018-12-20,38.10
111,2018-12-19,38.40
112,2018-12-18,38.36
113,2018-12-17,38.39
114,2018-12-14,38.61
115,2018-12-13,38.65
116,2018-12-12,38.68
117,2018-12-11,38.66
118,2018-12-10,38.58
119,2018-12-07,38.64
120,2018-12-06,38.63
121,2018-12-04,38.73
122,2018-12-03,38.89
123,2018-11-30,38.85
124,2018-11-29,39.02
125,2018-11-28,39.14
126,2018-11-27,39.15
127,2018-11-26,39.25
128,2018-11-23,39.32
129,2018-11-21,39.29
130,2018-11-20,39.16
131,2018-11-19,39.44
132,2018-11-16,39.55
133,2018-11-15,39.53
134,2018-11-14,39.71
135,2018-11-13,39.81
136,2018-11-12,39.84
137,2018-11-09,39.91
138,2018-11-08,39.89
139,2018-11-07,39.95
140,2018-11-06,39.84
141,2018-11-05,39.83
142,2018-11-02,39.77
143,2018-11-01,39.92
144,2018-10-31,39.85
145,2018-10-30,39.83
146,2018-10-29,39.89
147,2018-10-26,39.81
148,2018-10-25,39.91
149,2018-10-24,39.83
150,2018-10-23,39.84
151,2018-10-22,39.88
152,2018-10-19,39.73
153,2018-10-18,39.60
154,2018-10-17,39.49
155,2018-10-16,39.48
156,2018-10-15,39.41
157,2018-10-12,39.43
158,2018-10-11,39.33
159,2018-10-10,39.32
160,2018-10-09,39.57
161,2018-10-08,39.45
162,2018-10-05,39.48
163,2018-10-04,39.56
164,2018-10-03,39.83
165,2018-10-02,40.16
166,2018-10-01,40.23
167,2018-09-28,40.66
168,2018-09-27,40.62
169,2018-09-26,40.59
170,2018-09-25,40.53
171,2018-09-24,40.70
172,2018-09-21,40.75
173,2018-09-20,40.65
174,2018-09-19,40.73
175,2018-09-18,40.90
176,2018-09-17,40.91
177,2018-09-14,40.98
178,2018-09-13,40.97
179,2018-09-12,40.96
180,2018-09-11,40.97
181,2018-09-10,40.98
182,2018-09-07,40.83
183,2018-09-06,41.02
184,2018-09-05,41.02
185,2018-09-04,41.11
186,2018-08-31,41.35
187,2018-08-30,41.30
188,2018-08-29,41.35
189,2018-08-28,41.21
190,2018-08-27,41.14
191,2018-08-24,41.13
192,2018-08-23,41.04
193,2018-08-22,41.09
194,2018-08-21,41.05
195,2018-08-20,41.05
196,2018-08-17,40.85
197,2018-08-16,40.87
198,2018-08-15,40.74
199,2018-08-14,40.73
200,2018-08-13,40.69
201,2018-08-10,40.64
202,2018-08-09,40.71
203,2018-08-08,40.76
204,2018-08-07,40.73
205,2018-08-06,40.76
206,2018-08-03,40.75
207,2018-08-02,40.72
208,2018-08-01,40.65
209,2018-07-31,40.79
210,2018-07-30,40.80
211,2018-07-27,40.76
212,2018-07-26,40.90
213,2018-07-25,40.92
214,2018-07-24,40.97
215,2018-07-23,41.02
216,2018-07-20,41.03
217,2018-07-19,40.86
218,2018-07-18,40.83
219,2018-07-17,40.88
220,2018-07-16,40.95
221,2018-07-13,41.06
222,2018-07-12,41.20
223,2018-07-11,41.28
224,2018-07-10,41.33
225,2018-07-09,41.31
226,2018-07-06,41.40
227,2018-07-05,41.28
228,2018-07-03,41.17
229,2018-07-02,41.03
230,2018-06-29,40.89
231,2018-06-28,40.75
232,2018-06-27,40.70
233,2018-06-26,40.73
234,2018-06-25,40.72
235,2018-06-22,40.73
236,2018-06-21,40.67
237,2018-06-20,40.72
238,2018-06-19,40.77
239,2018-06-18,40.78
240,2018-06-15,40.84
241,2018-06-14,40.69
242,2018-06-13,40.67
243,2018-06-12,40.71
244,2018-06-11,40.76
245,2018-06-08,40.86
246,2018-06-07,40.87
247,2018-06-06,40.83
248,2018-06-05,40.70
249,2018-06-04,40.57
250,2018-06-01,40.49
251,2018-05-31,40.34
252,2018-05-30,40.35
253,2018-05-29,40.27
254,2018-05-25,40.21
255,2018-05-24,40.18
256,2018-05-23,39.99
257,2018-05-22,39.92
258,2018-05-21,39.91
259,2018-05-18,39.94
260,2018-05-17,39.95
261,2018-05-16,39.95
262,2018-05-15,39.93
263,2018-05-14,40.11
264,2018-05-11,40.06
265,2018-05-10,39.86
266,2018-05-09,39.90
267,2018-05-08,39.94
268,2018-05-07,39.90
269,2018-05-04,39.95
270,2018-05-03,39.80
271,2018-05-02,39.85
272,2018-05-01,39.86
273,2018-04-30,39.89
274,2018-04-27,39.81
275,2018-04-26,39.76
276,2018-04-25,39.73
277,2018-04-24,39.86
278,2018-04-23,40.05
279,2018-04-20,40.01
280,2018-04-19,40.03
281,2018-04-18,40.07
282,2018-04-17,40.08
