,Date,NAV
1,2019-05-30,11.51
2,2019-05-29,11.50
3,2019-05-28,11.50
4,2019-05-24,11.52
5,2019-05-23,11.50
6,2019-05-22,11.51
7,2019-05-21,11.51
8,2019-05-20,11.47
9,2019-05-17,11.52
10,2019-05-16,11.55
11,2019-05-15,11.54
12,2019-05-14,11.49
13,2019-05-13,11.46
14,2019-05-10,11.49
15,2019-05-09,11.48
16,2019-05-08,11.51
17,2019-05-07,11.49
18,2019-05-06,11.52
19,2019-05-03,11.54
20,2019-05-02,11.48
21,2019-05-01,11.50
22,2019-04-30,11.44
23,2019-04-29,11.48
24,2019-04-26,11.46
25,2019-04-25,11.49
26,2019-04-24,11.50
27,2019-04-23,11.54
28,2019-04-22,11.53
29,2019-04-18,11.53
30,2019-04-17,11.56
31,2019-04-16,11.55
32,2019-04-15,11.58
33,2019-04-12,11.55
34,2019-04-11,11.57
35,2019-04-10,11.55
36,2019-04-09,11.54
37,2019-04-08,11.58
38,2019-04-05,11.61
39,2019-04-04,11.58
40,2019-04-03,11.56
41,2019-04-02,11.55
42,2019-04-01,11.47
43,2019-03-29,11.43
44,2019-03-28,11.42
45,2019-03-27,11.40
46,2019-03-26,11.39
47,2019-03-25,11.38
48,2019-03-22,11.42
49,2019-03-21,11.47
50,2019-03-20,11.43
51,2019-03-19,11.45
52,2019-03-18,11.47
53,2019-03-15,11.44
54,2019-03-14,11.43
55,2019-03-13,11.45
56,2019-03-12,11.42
57,2019-03-11,11.42
58,2019-03-08,11.41
59,2019-03-07,11.42
60,2019-03-06,11.44
61,2019-03-05,11.42
62,2019-03-04,11.43
63,2019-03-01,11.39
64,2019-02-28,11.32
65,2019-02-27,11.35
66,2019-02-26,11.34
67,2019-02-25,11.35
68,2019-02-22,11.35
69,2019-02-21,11.34
70,2019-02-20,11.35
71,2019-02-19,11.33
72,2019-02-15,11.31
73,2019-02-14,11.26
74,2019-02-13,11.26
75,2019-02-12,11.24
76,2019-02-11,11.19
77,2019-02-08,11.17
78,2019-02-07,11.18
79,2019-02-06,11.25
80,2019-02-05,11.27
81,2019-02-04,11.20
82,2019-02-01,11.20
83,2019-01-31,11.24
84,2019-01-30,11.21
85,2019-01-29,11.17
86,2019-01-28,11.16
87,2019-01-25,11.18
88,2019-01-24,11.12
89,2019-01-23,11.08
90,2019-01-22,11.08
91,2019-01-18,11.08
92,2019-01-17,11.05
93,2019-01-16,11.05
94,2019-01-15,11.03
95,2019-01-14,11.02
96,2019-01-11,11.05
97,2019-01-10,10.99
98,2019-01-09,10.98
99,2019-01-08,10.98
100,2019-01-07,10.97
