,Date,NAV
1,2019-05-30,46.96
2,2019-05-29,47.00
3,2019-05-28,47.54
4,2019-05-24,48.01
5,2019-05-23,47.66
6,2019-05-22,47.72
7,2019-05-21,47.78
8,2019-05-20,47.50
9,2019-05-17,47.68
10,2019-05-16,47.87
11,2019-05-15,47.60
12,2019-05-14,47.38
13,2019-05-13,47.29
14,2019-05-10,47.30
15,2019-05-09,46.92
16,2019-05-08,46.82
17,2019-05-07,46.81
18,2019-05-06,47.45
19,2019-05-03,47.69
20,2019-05-02,47.24
21,2019-05-01,47.28
22,2019-04-30,47.14
23,2019-04-29,46.99
24,2019-04-26,47.15
25,2019-04-25,46.99
26,2019-04-24,47.03
27,2019-04-23,46.83
28,2019-04-22,46.39
29,2019-04-18,46.79
30,2019-04-17,46.59
31,2019-04-16,47.00
32,2019-04-15,47.55
33,2019-04-12,47.73
34,2019-04-11,47.63
35,2019-04-10,47.82
36,2019-04-09,47.40
37,2019-04-08,47.68
38,2019-04-05,47.83
39,2019-04-04,47.83
40,2019-04-03,48.02
41,2019-04-02,47.98
42,2019-04-01,47.92
43,2019-03-29,47.86
44,2019-03-28,47.90
45,2019-03-27,47.76
46,2019-03-26,47.63
47,2019-03-25,47.33
48,2019-03-22,47.22
49,2019-03-21,47.52
50,2019-03-20,47.05
51,2019-03-19,46.85
52,2019-03-18,46.86
53,2019-03-15,47.02
54,2019-03-14,47.00
55,2019-03-13,46.97
56,2019-03-12,46.63
57,2019-03-11,46.56
58,2019-03-08,45.97
59,2019-03-07,45.88
60,2019-03-06,46.09
61,2019-03-05,46.26
62,2019-03-04,46.04
63,2019-03-01,46.01
64,2019-02-28,46.14
65,2019-02-27,46.26
66,2019-02-26,46.30
67,2019-02-25,46.41
68,2019-02-22,46.54
69,2019-02-21,46.31
70,2019-02-20,46.40
71,2019-02-19,46.60
72,2019-02-15,46.39
73,2019-02-14,46.17
74,2019-02-13,46.17
75,2019-02-12,46.17
76,2019-02-11,46.47
77,2019-02-08,46.25
78,2019-02-07,46.26
79,2019-02-06,46.13
80,2019-02-05,46.45
81,2019-02-04,46.11
82,2019-02-01,45.97
83,2019-01-31,46.26
84,2019-01-30,45.99
85,2019-01-29,45.54
86,2019-01-28,45.07
87,2019-01-25,44.89
88,2019-01-24,44.30
89,2019-01-23,44.21
90,2019-01-22,44.07
91,2019-01-18,44.33
92,2019-01-17,44.08
93,2019-01-16,44.10
94,2019-01-15,43.61
95,2019-01-14,43.43
96,2019-01-11,43.56
97,2019-01-10,43.49
98,2019-01-09,43.11
99,2019-01-08,43.09
100,2019-01-07,42.33
101,2019-01-04,41.92
102,2019-01-03,41.48
103,2019-01-02,41.08
104,2018-12-31,41.67
105,2018-12-28,41.79
106,2018-12-27,41.65
107,2018-12-26,41.64
108,2018-12-24,40.73
109,2018-12-21,41.86
110,2018-12-20,42.13
111,2018-12-19,42.50
112,2018-12-18,43.01
113,2018-12-17,42.56
114,2018-12-14,43.66
115,2018-12-13,43.88
116,2018-12-12,43.68
117,2018-12-11,44.05
118,2018-12-10,44.03
119,2018-12-07,44.32
120,2018-12-06,44.73
121,2018-12-04,43.79
122,2018-12-03,44.25
123,2018-11-30,43.97
124,2018-11-29,44.12
125,2018-11-28,44.25
126,2018-11-27,43.75
127,2018-11-26,43.80
128,2018-11-23,43.70
129,2018-11-21,43.44
130,2018-11-20,43.44
131,2018-11-19,43.68
132,2018-11-16,43.73
133,2018-11-15,43.37
134,2018-11-14,43.73
135,2018-11-13,43.71
136,2018-11-12,43.59
137,2018-11-09,43.60
138,2018-11-08,43.73
139,2018-11-07,43.63
140,2018-11-06,43.18
141,2018-11-05,42.93
142,2018-11-02,42.31
143,2018-11-01,42.72
144,2018-10-31,42.55
145,2018-10-30,42.95
146,2018-10-29,42.56
147,2018-10-26,42.40
148,2018-10-25,42.75
149,2018-10-24,42.41
150,2018-10-23,42.44
151,2018-10-22,42.39
152,2018-10-19,42.81
153,2018-10-18,42.47
154,2018-10-17,42.56
155,2018-10-16,42.57
156,2018-10-15,41.77
157,2018-10-12,41.72
158,2018-10-11,41.95
159,2018-10-10,42.64
160,2018-10-09,43.26
161,2018-10-08,43.08
162,2018-10-05,42.77
163,2018-10-04,42.84
164,2018-10-03,43.33
165,2018-10-02,43.59
166,2018-10-01,43.98
167,2018-09-28,44.01
168,2018-09-27,43.96
169,2018-09-26,43.97
170,2018-09-25,44.14
171,2018-09-24,44.02
172,2018-09-21,44.65
173,2018-09-20,44.67
174,2018-09-19,44.46
175,2018-09-18,44.83
176,2018-09-17,44.56
177,2018-09-14,44.56
178,2018-09-13,44.92
179,2018-09-12,44.61
180,2018-09-11,44.48
181,2018-09-10,44.55
182,2018-09-07,44.39
183,2018-09-06,44.61
184,2018-09-05,44.61
185,2018-09-04,44.58
186,2018-08-31,45.11
187,2018-08-30,45.04
188,2018-08-29,45.24
189,2018-08-28,45.20
190,2018-08-27,44.79
191,2018-08-24,44.78
192,2018-08-23,44.65
193,2018-08-22,44.72
194,2018-08-21,44.84
195,2018-08-20,45.01
196,2018-08-17,44.76
197,2018-08-16,44.16
198,2018-08-15,44.16
199,2018-08-14,44.02
200,2018-08-13,43.87
201,2018-08-10,43.94
202,2018-08-09,44.55
203,2018-08-08,44.67
204,2018-08-07,44.66
205,2018-08-06,44.59
206,2018-08-03,44.67
207,2018-08-02,44.36
208,2018-08-01,44.28
209,2018-07-31,44.58
210,2018-07-30,44.08
211,2018-07-27,44.33
212,2018-07-26,44.20
213,2018-07-25,44.36
214,2018-07-24,44.06
215,2018-07-23,43.99
