,Date,NAV
1,2019-05-30,111.44
2,2019-05-29,111.04
3,2019-05-28,112.49
4,2019-05-24,113.62
5,2019-05-23,113.35
6,2019-05-22,112.92
7,2019-05-21,112.51
8,2019-05-20,111.66
9,2019-05-17,113.02
10,2019-05-16,113.13
11,2019-05-15,112.47
12,2019-05-14,111.66
13,2019-05-13,111.22
14,2019-05-10,111.19
15,2019-05-09,109.98
16,2019-05-08,109.55
17,2019-05-07,109.68
18,2019-05-06,111.79
19,2019-05-03,112.30
20,2019-05-02,111.50
21,2019-05-01,111.40
22,2019-04-30,111.00
23,2019-04-29,109.76
24,2019-04-26,110.90
25,2019-04-25,110.37
26,2019-04-24,110.23
27,2019-04-23,109.21
28,2019-04-22,107.91
29,2019-04-18,109.20
30,2019-04-17,108.18
31,2019-04-16,109.29
32,2019-04-15,112.07
33,2019-04-12,112.60
34,2019-04-11,111.98
35,2019-04-10,112.07
36,2019-04-09,111.11
37,2019-04-08,111.64
38,2019-04-05,112.23
39,2019-04-04,111.50
40,2019-04-03,111.79
41,2019-04-02,112.04
42,2019-04-01,111.08
43,2019-03-29,111.20
44,2019-03-28,111.49
45,2019-03-27,110.56
46,2019-03-26,111.01
47,2019-03-25,110.20
48,2019-03-22,110.12
49,2019-03-21,110.50
50,2019-03-20,108.55
51,2019-03-19,108.00
52,2019-03-18,108.44
53,2019-03-15,109.13
54,2019-03-14,109.73
55,2019-03-13,109.44
56,2019-03-12,108.97
57,2019-03-11,108.34
58,2019-03-08,106.82
59,2019-03-07,106.71
60,2019-03-06,106.87
61,2019-03-05,107.29
62,2019-03-04,106.89
63,2019-03-01,106.42
64,2019-02-28,106.66
65,2019-02-27,106.21
66,2019-02-26,106.74
67,2019-02-25,106.88
68,2019-02-22,107.69
69,2019-02-21,107.00
70,2019-02-20,106.72
71,2019-02-19,107.59
72,2019-02-15,107.42
73,2019-02-14,106.89
74,2019-02-13,106.31
75,2019-02-12,105.68
76,2019-02-11,106.55
77,2019-02-08,106.28
78,2019-02-07,106.16
79,2019-02-06,105.16
80,2019-02-05,105.88
81,2019-02-04,105.26
82,2019-02-01,104.40
83,2019-01-31,105.15
84,2019-01-30,104.15
85,2019-01-29,103.27
86,2019-01-28,102.35
87,2019-01-25,101.20
88,2019-01-24,100.07
89,2019-01-23,99.93
90,2019-01-22,100.00
91,2019-01-18,100.21
92,2019-01-17,99.86
93,2019-01-16,99.55
94,2019-01-15,98.97
95,2019-01-14,97.84
96,2019-01-11,98.12
97,2019-01-10,97.91
98,2019-01-09,96.27
99,2019-01-08,96.49
100,2019-01-07,94.58
101,2019-01-04,93.91
102,2019-01-03,93.06
103,2019-01-02,92.69
104,2018-12-31,95.06
105,2018-12-28,94.77
106,2018-12-27,94.49
107,2018-12-26,94.24
108,2018-12-24,91.38
109,2018-12-21,95.28
110,2018-12-20,96.41
111,2018-12-19,97.65
112,2018-12-18,98.54
113,2018-12-17,97.53
114,2018-12-14,101.17
115,2018-12-13,101.32
116,2018-12-12,100.72
117,2018-12-11,102.87
118,2018-12-10,102.71
119,2018-12-07,103.39
120,2018-12-06,104.64
121,2018-12-04,102.04
122,2018-12-03,103.45
123,2018-11-30,102.69
124,2018-11-29,101.82
125,2018-11-28,101.67
126,2018-11-27,100.89
127,2018-11-26,100.40
128,2018-11-23,100.29
129,2018-11-21,100.58
130,2018-11-20,100.66
131,2018-11-19,101.62
132,2018-11-16,101.30
133,2018-11-15,100.02
134,2018-11-14,100.91
135,2018-11-13,100.94
136,2018-11-12,100.74
137,2018-11-09,100.40
138,2018-11-08,100.18
139,2018-11-07,100.02
140,2018-11-06,98.81
141,2018-11-05,98.22
142,2018-11-02,96.54
143,2018-11-01,97.59
144,2018-10-31,97.30
145,2018-10-30,98.73
146,2018-10-29,97.57
147,2018-10-26,96.22
148,2018-10-25,98.49
149,2018-10-24,97.39
150,2018-10-23,96.09
151,2018-10-22,95.47
152,2018-10-19,96.82
153,2018-10-18,95.99
154,2018-10-17,95.94
155,2018-10-16,96.18
156,2018-10-15,94.34
157,2018-10-12,93.87
158,2018-10-11,93.89
159,2018-10-10,96.68
160,2018-10-09,97.98
161,2018-10-08,97.59
162,2018-10-05,96.32
163,2018-10-04,96.28
164,2018-10-03,96.89
165,2018-10-02,97.78
166,2018-10-01,97.97
167,2018-09-28,98.75
168,2018-09-27,97.36
169,2018-09-26,96.98
170,2018-09-25,98.16
171,2018-09-24,98.15
172,2018-09-21,100.30
173,2018-09-20,100.23
174,2018-09-19,99.45
175,2018-09-18,100.52
176,2018-09-17,101.14
177,2018-09-14,100.61
178,2018-09-13,101.37
179,2018-09-12,100.87
180,2018-09-11,100.81
181,2018-09-10,100.84
182,2018-09-07,100.27
183,2018-09-06,101.46
184,2018-09-05,101.14
185,2018-09-04,100.40
186,2018-08-31,101.36
187,2018-08-30,100.97
188,2018-08-29,101.44
189,2018-08-28,101.56
190,2018-08-27,100.34
191,2018-08-24,100.47
192,2018-08-23,99.85
193,2018-08-22,100.03
194,2018-08-21,100.72
195,2018-08-20,101.61
196,2018-08-17,101.65
197,2018-08-16,100.65
198,2018-08-15,99.83
199,2018-08-14,98.87
200,2018-08-13,98.59
201,2018-08-10,98.54
202,2018-08-09,99.48
203,2018-08-08,99.55
204,2018-08-07,99.99
205,2018-08-06,100.24
206,2018-08-03,100.28
207,2018-08-02,98.96
208,2018-08-01,99.43
209,2018-07-31,98.69
210,2018-07-30,96.74
211,2018-07-27,96.84
212,2018-07-26,97.62
213,2018-07-25,97.40
214,2018-07-24,96.51
215,2018-07-23,96.85
216,2018-07-20,96.98
217,2018-07-19,97.90
218,2018-07-18,96.90
219,2018-07-17,97.18
220,2018-07-16,98.03
221,2018-07-13,98.56
222,2018-07-12,98.98
223,2018-07-11,98.70
224,2018-07-10,98.95
225,2018-07-09,98.63
226,2018-07-06,99.47
227,2018-07-05,99.06
228,2018-07-03,97.78
229,2018-07-02,97.20
230,2018-06-29,97.78
231,2018-06-28,97.52
232,2018-06-27,96.58
233,2018-06-26,96.83
234,2018-06-25,96.52
235,2018-06-22,96.66
236,2018-06-21,95.79
237,2018-06-20,95.13
238,2018-06-19,93.97
239,2018-06-18,94.00
240,2018-06-15,94.13
241,2018-06-14,94.22
242,2018-06-13,93.26
243,2018-06-12,95.21
244,2018-06-11,94.78
245,2018-06-08,95.00
246,2018-06-07,94.57
247,2018-06-06,94.64
248,2018-06-05,94.41
249,2018-06-04,94.88
250,2018-06-01,93.93
251,2018-05-31,93.51
252,2018-05-30,93.83
253,2018-05-29,92.42
254,2018-05-25,92.10
255,2018-05-24,91.75
256,2018-05-23,92.11
257,2018-05-22,91.11
258,2018-05-21,90.93
259,2018-05-18,89.90
260,2018-05-17,89.86
261,2018-05-16,90.46
262,2018-05-15,90.98
263,2018-05-14,92.75
264,2018-05-11,93.52
265,2018-05-10,93.81
266,2018-05-09,92.97
267,2018-05-08,92.33
268,2018-05-07,92.97
269,2018-05-04,92.55
270,2018-05-03,91.51
271,2018-05-02,91.77
272,2018-05-01,92.32
273,2018-04-30,91.23
274,2018-04-27,91.78
275,2018-04-26,89.76
276,2018-04-25,88.36
277,2018-04-24,88.49
278,2018-04-23,88.19
279,2018-04-20,88.39
280,2018-04-19,89.22
281,2018-04-18,90.62
282,2018-04-17,90.80
283,2018-04-16,89.64
284,2018-04-13,89.26
285,2018-04-12,88.68
286,2018-04-11,89.82
287,2018-04-10,89.88
288,2018-04-09,89.74
289,2018-04-06,90.01
290,2018-04-05,90.75
291,2018-04-04,90.98
292,2018-04-03,89.97
293,2018-04-02,89.21
294,2018-03-29,90.58
295,2018-03-28,90.61
296,2018-03-27,88.40
297,2018-03-26,87.94
298,2018-03-23,86.93
299,2018-03-22,88.57
300,2018-03-21,89.23
301,2018-03-20,89.86
302,2018-03-19,90.12
303,2018-03-16,91.02
304,2018-03-15,90.24
305,2018-03-14,90.19
306,2018-03-13,90.05
307,2018-03-12,89.91
308,2018-03-09,89.56
309,2018-03-08,89.01
310,2018-03-07,88.82
311,2018-03-06,88.30
312,2018-03-05,88.03
313,2018-03-02,86.97
314,2018-03-01,87.12
315,2018-02-28,86.90
316,2018-02-27,86.77
317,2018-02-26,88.79
318,2018-02-23,88.53
319,2018-02-22,87.05
320,2018-02-21,86.00
321,2018-02-20,87.74
322,2018-02-16,88.84
323,2018-02-15,88.42
324,2018-02-14,87.66
325,2018-02-13,88.38
326,2018-02-12,87.77
327,2018-02-09,87.65
328,2018-02-08,85.26
329,2018-02-07,87.72
330,2018-02-06,88.20
331,2018-02-05,88.25
332,2018-02-02,90.76
333,2018-02-01,91.39
334,2018-01-31,93.67
335,2018-01-30,91.76
336,2018-01-29,92.32
337,2018-01-26,93.43
338,2018-01-25,93.56
339,2018-01-24,93.83
340,2018-01-23,94.27
