,Date,NAV
1,2019-05-30,86.51
2,2019-05-29,86.16
3,2019-05-28,87.20
4,2019-05-24,88.13
5,2019-05-23,87.84
6,2019-05-22,87.72
7,2019-05-21,87.41
8,2019-05-20,86.68
9,2019-05-17,87.98
10,2019-05-16,88.23
11,2019-05-15,87.71
12,2019-05-14,87.14
13,2019-05-13,86.78
14,2019-05-10,86.88
15,2019-05-09,85.97
16,2019-05-08,85.77
17,2019-05-07,85.78
18,2019-05-06,87.37
19,2019-05-03,87.66
20,2019-05-02,86.97
21,2019-05-01,86.94
22,2019-04-30,87.00
23,2019-04-29,86.02
24,2019-04-26,86.85
25,2019-04-25,86.20
26,2019-04-24,86.37
27,2019-04-23,85.81
28,2019-04-22,84.80
29,2019-04-18,85.64
30,2019-04-17,85.06
31,2019-04-16,85.84
32,2019-04-15,87.72
33,2019-04-12,88.17
34,2019-04-11,87.71
35,2019-04-10,87.80
36,2019-04-09,87.01
37,2019-04-08,87.43
38,2019-04-05,87.95
39,2019-04-04,87.35
40,2019-04-03,87.48
41,2019-04-02,87.57
42,2019-04-01,87.01
43,2019-03-29,87.04
44,2019-03-28,87.11
45,2019-03-27,86.36
46,2019-03-26,86.54
47,2019-03-25,85.90
48,2019-03-22,85.88
49,2019-03-21,86.40
50,2019-03-20,84.96
51,2019-03-19,84.68
52,2019-03-18,84.93
53,2019-03-15,85.40
54,2019-03-14,85.60
55,2019-03-13,85.47
56,2019-03-12,85.08
57,2019-03-11,84.74
58,2019-03-08,83.51
59,2019-03-07,83.43
60,2019-03-06,83.57
61,2019-03-05,83.98
62,2019-03-04,83.72
63,2019-03-01,83.38
64,2019-02-28,83.55
65,2019-02-27,83.31
66,2019-02-26,83.55
67,2019-02-25,83.77
68,2019-02-22,84.39
69,2019-02-21,83.94
70,2019-02-20,83.87
71,2019-02-19,84.47
72,2019-02-15,84.45
73,2019-02-14,83.93
74,2019-02-13,83.66
75,2019-02-12,83.28
76,2019-02-11,83.76
77,2019-02-08,83.53
78,2019-02-07,83.51
79,2019-02-06,82.87
80,2019-02-05,83.45
81,2019-02-04,82.94
82,2019-02-01,82.38
83,2019-01-31,82.95
84,2019-01-30,82.09
85,2019-01-29,81.44
86,2019-01-28,80.79
87,2019-01-25,80.07
88,2019-01-24,79.15
89,2019-01-23,78.87
90,2019-01-22,78.87
91,2019-01-18,79.10
92,2019-01-17,78.80
93,2019-01-16,78.38
94,2019-01-15,77.90
95,2019-01-14,77.13
96,2019-01-11,77.38
97,2019-01-10,77.11
98,2019-01-09,76.06
99,2019-01-08,76.16
100,2019-01-07,74.80
101,2019-01-04,74.05
102,2019-01-03,73.27
103,2019-01-02,72.80
104,2018-12-31,74.41
105,2018-12-28,74.18
106,2018-12-27,73.95
107,2018-12-26,73.83
108,2018-12-24,71.49
109,2018-12-21,74.16
110,2018-12-20,75.10
111,2018-12-19,76.21
112,2018-12-18,77.05
113,2018-12-17,76.37
114,2018-12-14,79.29
115,2018-12-13,79.45
116,2018-12-12,78.98
