,Date,NAV
1,2019-05-30,88.89
2,2019-05-29,88.38
3,2019-05-28,89.62
4,2019-05-24,90.47
5,2019-05-23,90.15
6,2019-05-22,90.06
7,2019-05-21,89.79
8,2019-05-20,89.01
9,2019-05-17,90.37
10,2019-05-16,90.52
11,2019-05-15,90.05
12,2019-05-14,89.56
13,2019-05-13,89.16
14,2019-05-10,89.25
15,2019-05-09,88.24
16,2019-05-08,87.74
17,2019-05-07,87.77
18,2019-05-06,89.56
19,2019-05-03,89.80
20,2019-05-02,89.11
21,2019-05-01,88.98
22,2019-04-30,88.84
23,2019-04-29,88.06
24,2019-04-26,88.78
25,2019-04-25,88.41
26,2019-04-24,88.43
27,2019-04-23,87.67
28,2019-04-22,86.67
29,2019-04-18,87.55
30,2019-04-17,86.94
31,2019-04-16,87.89
32,2019-04-15,90.28
33,2019-04-12,90.64
34,2019-04-11,90.15
35,2019-04-10,90.02
36,2019-04-09,89.16
37,2019-04-08,89.45
38,2019-04-05,90.04
39,2019-04-04,89.73
40,2019-04-03,89.70
41,2019-04-02,90.02
42,2019-04-01,89.12
43,2019-03-29,89.12
44,2019-03-28,89.39
45,2019-03-27,88.53
46,2019-03-26,88.87
47,2019-03-25,88.05
48,2019-03-22,87.99
49,2019-03-21,88.21
50,2019-03-20,86.83
51,2019-03-19,86.44
52,2019-03-18,86.93
53,2019-03-15,87.43
54,2019-03-14,87.98
55,2019-03-13,87.92
56,2019-03-12,87.29
57,2019-03-11,87.01
58,2019-03-08,85.54
59,2019-03-07,85.40
60,2019-03-06,85.61
61,2019-03-05,85.93
62,2019-03-04,85.73
63,2019-03-01,85.25
64,2019-02-28,85.51
65,2019-02-27,84.98
66,2019-02-26,85.50
67,2019-02-25,85.68
68,2019-02-22,86.25
69,2019-02-21,85.78
70,2019-02-20,85.81
71,2019-02-19,86.24
72,2019-02-15,86.06
73,2019-02-14,85.56
74,2019-02-13,85.19
75,2019-02-12,85.02
76,2019-02-11,85.83
77,2019-02-08,85.25
78,2019-02-07,85.49
79,2019-02-06,84.61
80,2019-02-05,85.27
81,2019-02-04,84.57
82,2019-02-01,84.15
83,2019-01-31,84.67
84,2019-01-30,83.69
85,2019-01-29,82.98
86,2019-01-28,82.29
87,2019-01-25,81.54
88,2019-01-24,80.60
89,2019-01-23,80.30
90,2019-01-22,80.16
91,2019-01-18,80.46
92,2019-01-17,80.32
93,2019-01-16,80.19
94,2019-01-15,79.50
95,2019-01-14,78.66
96,2019-01-11,79.03
97,2019-01-10,78.71
98,2019-01-09,77.69
99,2019-01-08,77.70
100,2019-01-07,76.22
101,2019-01-04,75.66
102,2019-01-03,74.85
103,2019-01-02,74.51
104,2018-12-31,76.33
105,2018-12-28,75.86
106,2018-12-27,75.54
107,2018-12-26,75.53
108,2018-12-24,73.52
109,2018-12-21,76.39
110,2018-12-20,77.17
111,2018-12-19,78.63
112,2018-12-18,79.19
113,2018-12-17,78.49
114,2018-12-14,81.31
115,2018-12-13,81.58
116,2018-12-12,80.88
117,2018-12-11,82.63
118,2018-12-10,82.26
119,2018-12-07,82.83
120,2018-12-06,83.82
121,2018-12-04,82.37
122,2018-12-03,82.69
123,2018-11-30,81.86
124,2018-11-29,82.07
125,2018-11-28,81.72
126,2018-11-27,81.21
127,2018-11-26,80.72
128,2018-11-23,80.41
129,2018-11-21,81.30
130,2018-11-20,80.79
131,2018-11-19,81.73
132,2018-11-16,81.53
133,2018-11-15,80.28
134,2018-11-14,81.22
135,2018-11-13,81.22
136,2018-11-12,81.81
137,2018-11-09,80.65
138,2018-11-08,80.84
139,2018-11-07,80.44
140,2018-11-06,79.62
141,2018-11-05,79.74
142,2018-11-02,77.52
143,2018-11-01,79.59
144,2018-10-31,79.59
145,2018-10-30,79.73
146,2018-10-29,79.00
147,2018-10-26,77.70
148,2018-10-25,79.21
149,2018-10-24,78.68
150,2018-10-23,77.91
151,2018-10-22,77.86
152,2018-10-19,78.27
153,2018-10-18,77.90
154,2018-10-17,77.65
155,2018-10-16,78.14
156,2018-10-15,77.12
157,2018-10-12,75.79
158,2018-10-11,76.13
159,2018-10-10,79.57
160,2018-10-09,79.78
161,2018-10-08,79.78
162,2018-10-05,78.60
163,2018-10-04,78.35
164,2018-10-03,78.67
165,2018-10-02,79.68
166,2018-10-01,80.37
167,2018-09-28,80.44
168,2018-09-27,79.69
169,2018-09-26,79.89
170,2018-09-25,80.16
171,2018-09-24,80.02
172,2018-09-21,81.79
173,2018-09-20,81.41
174,2018-09-19,80.99
175,2018-09-18,81.90
176,2018-09-17,82.38
177,2018-09-14,81.87
178,2018-09-13,82.71
179,2018-09-12,82.11
180,2018-09-11,82.10
181,2018-09-10,82.14
182,2018-09-07,81.70
183,2018-09-06,82.71
184,2018-09-05,82.55
185,2018-09-04,82.42
186,2018-08-31,82.76
187,2018-08-30,82.80
188,2018-08-29,83.01
189,2018-08-28,82.58
190,2018-08-27,81.77
191,2018-08-24,82.08
192,2018-08-23,81.77
193,2018-08-22,81.91
194,2018-08-21,82.43
195,2018-08-20,83.32
196,2018-08-17,82.95
197,2018-08-16,82.14
198,2018-08-15,81.47
199,2018-08-14,80.98
200,2018-08-13,80.46
201,2018-08-10,80.60
202,2018-08-09,81.24
203,2018-08-08,81.20
204,2018-08-07,81.54
205,2018-08-06,81.72
206,2018-08-03,81.72
207,2018-08-02,81.22
208,2018-08-01,80.79
209,2018-07-31,80.92
210,2018-07-30,79.31
211,2018-07-27,79.32
212,2018-07-26,80.06
213,2018-07-25,79.20
214,2018-07-24,79.20
215,2018-07-23,79.51
216,2018-07-20,79.76
217,2018-07-19,80.62
218,2018-07-18,79.67
219,2018-07-17,79.92
220,2018-07-16,80.59
221,2018-07-13,81.15
222,2018-07-12,81.27
223,2018-07-11,81.27
224,2018-07-10,81.27
225,2018-07-09,80.93
226,2018-07-06,81.69
227,2018-07-05,81.09
228,2018-07-03,79.49
229,2018-07-02,79.49
230,2018-06-29,80.54
231,2018-06-28,80.30
232,2018-06-27,80.04
233,2018-06-26,79.78
234,2018-06-25,79.28
235,2018-06-22,78.85
236,2018-06-21,78.85
237,2018-06-20,78.54
238,2018-06-19,77.68
239,2018-06-18,78.78
240,2018-06-15,78.34
241,2018-06-14,77.96
242,2018-06-13,77.25
243,2018-06-12,78.78
244,2018-06-11,78.34
245,2018-06-08,78.47
246,2018-06-07,78.25
247,2018-06-06,78.21
248,2018-06-05,78.26
249,2018-06-04,78.13
250,2018-06-01,77.47
251,2018-05-31,77.44
252,2018-05-30,76.85
253,2018-05-29,76.44
254,2018-05-25,76.37
255,2018-05-24,75.88
256,2018-05-23,76.30
257,2018-05-22,75.51
258,2018-05-21,75.42
259,2018-05-18,74.57
260,2018-05-17,74.59
