,Date,NAV
1,2019-05-30,14.28
2,2019-05-29,14.34
3,2019-05-28,14.15
4,2019-05-24,14.02
5,2019-05-23,14.07
6,2019-05-22,14.08
7,2019-05-21,14.11
8,2019-05-20,14.19
9,2019-05-17,14.07
10,2019-05-16,14.00
11,2019-05-15,14.02
12,2019-05-14,14.15
13,2019-05-13,14.19
14,2019-05-10,14.16
15,2019-05-09,14.32
16,2019-05-08,14.32
17,2019-05-07,14.40
18,2019-05-06,14.10
19,2019-05-03,14.07
20,2019-05-02,14.17
21,2019-05-01,14.18
22,2019-04-30,14.19
23,2019-04-29,14.33
24,2019-04-26,14.20
25,2019-04-25,14.24
26,2019-04-24,14.27
27,2019-04-23,14.37
28,2019-04-22,14.55
29,2019-04-18,14.39
30,2019-04-17,14.47
31,2019-04-16,14.35
32,2019-04-15,14.05
33,2019-04-12,13.99
34,2019-04-11,14.04
35,2019-04-10,14.05
36,2019-04-09,14.17
37,2019-04-08,14.08
38,2019-04-05,14.02
39,2019-04-04,14.11
40,2019-04-03,14.07
41,2019-04-02,14.07
42,2019-04-01,14.16
43,2019-03-29,14.16
44,2019-03-28,14.15
45,2019-03-27,14.27
46,2019-03-26,14.24
47,2019-03-25,14.34
48,2019-03-22,14.32
49,2019-03-21,14.25
50,2019-03-20,14.49
51,2019-03-19,14.55
52,2019-03-18,14.50
53,2019-03-15,14.40
54,2019-03-14,14.38
55,2019-03-13,14.40
56,2019-03-12,14.48
57,2019-03-11,14.53
58,2019-03-08,14.73
59,2019-03-07,14.76
60,2019-03-06,14.69
61,2019-03-05,14.65
62,2019-03-04,14.68
63,2019-03-01,14.73
64,2019-02-28,14.73
65,2019-02-27,14.76
66,2019-02-26,14.70
67,2019-02-25,14.63
68,2019-02-22,14.55
69,2019-02-21,14.63
70,2019-02-20,14.62
71,2019-02-19,14.52
72,2019-02-15,14.54
73,2019-02-14,14.62
74,2019-02-13,14.65
75,2019-02-12,14.72
76,2019-02-11,14.63
77,2019-02-08,14.68
78,2019-02-07,14.67
79,2019-02-06,14.78
80,2019-02-05,14.69
81,2019-02-04,14.78
82,2019-02-01,14.86
83,2019-01-31,14.78
84,2019-01-30,14.90
85,2019-01-29,15.04
86,2019-01-28,15.17
87,2019-01-25,15.31
88,2019-01-24,15.49
89,2019-01-23,15.54
90,2019-01-22,15.54
91,2019-01-18,15.50
92,2019-01-17,15.51
93,2019-01-16,15.60
94,2019-01-15,15.72
95,2019-01-14,15.85
96,2019-01-11,15.81
97,2019-01-10,15.87
98,2019-01-09,16.07
99,2019-01-08,16.06
100,2019-01-07,16.34
101,2019-01-04,16.47
102,2019-01-03,16.70
103,2019-01-02,16.78
104,2018-12-31,16.43
105,2018-12-28,16.46
106,2018-12-27,16.54
107,2018-12-26,16.51
108,2018-12-24,17.08
109,2018-12-21,16.50
110,2018-12-20,16.29
111,2018-12-19,16.04
112,2018-12-18,15.86
113,2018-12-17,16.01
114,2018-12-14,15.46
115,2018-12-13,15.44
116,2018-12-12,15.50
117,2018-12-11,15.24
118,2018-12-10,15.24
119,2018-12-07,15.13
120,2018-12-06,14.95
121,2018-12-04,15.35
122,2018-12-03,15.16
123,2018-11-30,15.23
124,2018-11-29,15.32
125,2018-11-28,15.46
126,2018-11-27,15.53
127,2018-11-26,15.61
128,2018-11-23,15.61
129,2018-11-21,15.56
130,2018-11-20,15.56
131,2018-11-19,15.44
132,2018-11-16,15.38
133,2018-11-15,15.64
134,2018-11-14,15.50
135,2018-11-13,15.47
136,2018-11-12,15.41
137,2018-11-09,15.47
138,2018-11-08,15.53
139,2018-11-07,15.52
140,2018-11-06,15.71
141,2018-11-05,15.71
142,2018-11-02,16.02
143,2018-11-01,15.83
144,2018-10-31,15.92
145,2018-10-30,15.73
146,2018-10-29,15.92
147,2018-10-26,16.11
148,2018-10-25,15.69
149,2018-10-24,15.91
150,2018-10-23,16.06
151,2018-10-22,16.13
152,2018-10-19,15.97
153,2018-10-18,16.08
154,2018-10-17,16.07
155,2018-10-16,16.02
156,2018-10-15,16.22
157,2018-10-12,16.39
158,2018-10-11,16.37
159,2018-10-10,15.98
160,2018-10-09,15.74
161,2018-10-08,15.72
162,2018-10-05,15.98
163,2018-10-04,15.92
164,2018-10-03,15.83
165,2018-10-02,15.68
166,2018-10-01,15.56
167,2018-09-28,15.61
168,2018-09-27,15.65
169,2018-09-26,15.77
170,2018-09-25,15.55
171,2018-09-24,15.57
172,2018-09-21,15.25
173,2018-09-20,15.27
174,2018-09-19,15.39
175,2018-09-18,15.26
176,2018-09-17,15.21
177,2018-09-14,15.24
178,2018-09-13,15.09
179,2018-09-12,15.21
180,2018-09-11,15.17
181,2018-09-10,15.16
182,2018-09-07,15.21
183,2018-09-06,15.11
184,2018-09-05,15.19
185,2018-09-04,15.19
