,Date,NAV
1,2019-05-30,43.98
2,2019-05-29,43.88
3,2019-05-28,44.51
4,2019-05-24,45.03
5,2019-05-23,44.87
6,2019-05-22,44.86
7,2019-05-21,44.85
8,2019-05-20,44.40
9,2019-05-17,44.98
10,2019-05-16,45.04
11,2019-05-15,44.78
12,2019-05-14,44.52
13,2019-05-13,44.40
14,2019-05-10,44.43
15,2019-05-09,43.95
16,2019-05-08,43.76
17,2019-05-07,43.92
18,2019-05-06,44.76
19,2019-05-03,44.87
20,2019-05-02,44.53
21,2019-05-01,44.54
22,2019-04-30,44.34
23,2019-04-29,43.90
24,2019-04-26,44.41
25,2019-04-25,44.08
26,2019-04-24,44.04
27,2019-04-23,43.64
28,2019-04-22,43.06
29,2019-04-18,43.69
30,2019-04-17,43.26
31,2019-04-16,43.67
32,2019-04-15,44.73
33,2019-04-12,45.01
34,2019-04-11,44.76
35,2019-04-10,44.84
36,2019-04-09,44.35
37,2019-04-08,44.63
38,2019-04-05,44.92
39,2019-04-04,44.70
40,2019-04-03,44.76
41,2019-04-02,44.81
42,2019-04-01,44.49
43,2019-03-29,44.43
44,2019-03-28,44.62
45,2019-03-27,44.21
46,2019-03-26,44.37
47,2019-03-25,43.90
48,2019-03-22,43.89
49,2019-03-21,44.12
50,2019-03-20,43.38
51,2019-03-19,43.26
52,2019-03-18,43.44
53,2019-03-15,43.79
54,2019-03-14,44.03
55,2019-03-13,43.96
56,2019-03-12,43.79
57,2019-03-11,43.54
58,2019-03-08,42.95
59,2019-03-07,42.95
60,2019-03-06,43.10
61,2019-03-05,43.29
62,2019-03-04,43.14
63,2019-03-01,42.92
64,2019-02-28,43.20
65,2019-02-27,43.09
66,2019-02-26,43.30
67,2019-02-25,43.41
68,2019-02-22,43.70
69,2019-02-21,43.43
70,2019-02-20,43.32
71,2019-02-19,43.65
72,2019-02-15,43.61
73,2019-02-14,43.36
74,2019-02-13,43.37
75,2019-02-12,43.05
76,2019-02-11,43.41
77,2019-02-08,43.31
78,2019-02-07,43.31
79,2019-02-06,42.89
80,2019-02-05,43.06
81,2019-02-04,42.87
82,2019-02-01,42.48
83,2019-01-31,42.74
84,2019-01-30,42.46
85,2019-01-29,42.10
86,2019-01-28,41.73
87,2019-01-25,41.30
88,2019-01-24,40.77
89,2019-01-23,40.71
90,2019-01-22,40.70
91,2019-01-18,40.82
92,2019-01-17,40.68
93,2019-01-16,40.46
94,2019-01-15,40.16
95,2019-01-14,39.75
96,2019-01-11,39.91
97,2019-01-10,39.82
98,2019-01-09,39.27
99,2019-01-08,39.29
100,2019-01-07,38.41
101,2019-01-04,38.03
102,2019-01-03,37.60
103,2019-01-02,37.39
104,2018-12-31,38.40
105,2018-12-28,38.26
106,2018-12-27,38.19
107,2018-12-26,38.14
108,2018-12-24,36.93
109,2018-12-21,38.46
110,2018-12-20,38.86
111,2018-12-19,39.42
112,2018-12-18,39.93
113,2018-12-17,39.56
114,2018-12-14,41.10
115,2018-12-13,41.13
116,2018-12-12,40.91
117,2018-12-11,41.75
118,2018-12-10,41.79
119,2018-12-07,42.14
120,2018-12-06,42.62
121,2018-12-04,41.59
122,2018-12-03,42.25
123,2018-11-30,41.96
124,2018-11-29,41.54
125,2018-11-28,41.55
126,2018-11-27,41.17
127,2018-11-26,41.01
128,2018-11-23,40.97
129,2018-11-21,41.08
130,2018-11-20,41.08
131,2018-11-19,41.39
132,2018-11-16,41.28
133,2018-11-15,40.87
134,2018-11-14,41.22
135,2018-11-13,41.35
136,2018-11-12,41.28
137,2018-11-09,41.24
138,2018-11-08,41.21
139,2018-11-07,41.07
140,2018-11-06,40.56
141,2018-11-05,40.35
142,2018-11-02,39.70
143,2018-11-01,40.17
144,2018-10-31,40.03
145,2018-10-30,40.60
146,2018-10-29,40.22
147,2018-10-26,39.63
148,2018-10-25,40.38
149,2018-10-24,39.75
150,2018-10-23,39.39
151,2018-10-22,39.17
152,2018-10-19,39.80
153,2018-10-18,39.52
154,2018-10-17,39.58
155,2018-10-16,39.71
156,2018-10-15,38.99
157,2018-10-12,38.78
158,2018-10-11,38.87
159,2018-10-10,40.03
160,2018-10-09,40.55
161,2018-10-08,40.46
162,2018-10-05,39.86
163,2018-10-04,39.84
164,2018-10-03,40.22
165,2018-10-02,40.61
166,2018-10-01,40.73
167,2018-09-28,41.11
168,2018-09-27,40.46
169,2018-09-26,40.35
170,2018-09-25,40.87
171,2018-09-24,40.80
172,2018-09-21,41.65
173,2018-09-20,41.57
174,2018-09-19,41.23
175,2018-09-18,41.76
176,2018-09-17,41.99
177,2018-09-14,41.76
178,2018-09-13,42.11
179,2018-09-12,41.92
180,2018-09-11,41.98
181,2018-09-10,41.97
182,2018-09-07,41.75
183,2018-09-06,42.23
184,2018-09-05,42.10
185,2018-09-04,41.79
186,2018-08-31,42.29
187,2018-08-30,42.14
188,2018-08-29,42.28
189,2018-08-28,42.30
190,2018-08-27,41.79
191,2018-08-24,41.91
192,2018-08-23,41.64
193,2018-08-22,41.70
194,2018-08-21,41.94
195,2018-08-20,42.24
196,2018-08-17,42.24
197,2018-08-16,41.80
198,2018-08-15,41.45
199,2018-08-14,41.09
200,2018-08-13,40.85
201,2018-08-10,40.90
202,2018-08-09,41.23
203,2018-08-08,41.24
204,2018-08-07,41.43
205,2018-08-06,41.53
206,2018-08-03,41.55
207,2018-08-02,41.11
208,2018-08-01,41.28
209,2018-07-31,41.04
210,2018-07-30,40.26
211,2018-07-27,40.14
212,2018-07-26,40.66
213,2018-07-25,40.57
214,2018-07-24,40.24
215,2018-07-23,40.50
216,2018-07-20,40.51
217,2018-07-19,40.91
218,2018-07-18,40.40
219,2018-07-17,40.48
220,2018-07-16,40.90
221,2018-07-13,41.10
222,2018-07-12,41.22
223,2018-07-11,41.12
224,2018-07-10,41.26
225,2018-07-09,41.19
226,2018-07-06,41.46
227,2018-07-05,41.33
228,2018-07-03,40.89
229,2018-07-02,40.52
230,2018-06-29,40.84
231,2018-06-28,40.75
232,2018-06-27,40.36
233,2018-06-26,40.50
234,2018-06-25,40.45
235,2018-06-22,40.56
236,2018-06-21,40.24
237,2018-06-20,39.97
238,2018-06-19,39.49
239,2018-06-18,39.56
240,2018-06-15,39.56
241,2018-06-14,39.64
242,2018-06-13,39.26
243,2018-06-12,39.97
244,2018-06-11,39.79
245,2018-06-08,39.91
246,2018-06-07,39.77
247,2018-06-06,39.75
248,2018-06-05,39.66
249,2018-06-04,39.76
250,2018-06-01,39.36
251,2018-05-31,39.14
252,2018-05-30,39.29
253,2018-05-29,38.67
254,2018-05-25,38.53
255,2018-05-24,38.39
256,2018-05-23,38.47
257,2018-05-22,38.05
258,2018-05-21,37.91
259,2018-05-18,37.43
260,2018-05-17,37.40
261,2018-05-16,37.58
262,2018-05-15,37.74
263,2018-05-14,38.45
264,2018-05-11,38.80
265,2018-05-10,38.94
266,2018-05-09,38.68
267,2018-05-08,38.38
268,2018-05-07,38.60
269,2018-05-04,38.29
270,2018-05-03,37.90
271,2018-05-02,37.82
272,2018-05-01,38.05
273,2018-04-30,37.66
274,2018-04-27,37.80
275,2018-04-26,36.99
276,2018-04-25,36.47
277,2018-04-24,36.50
278,2018-04-23,36.40
279,2018-04-20,36.45
280,2018-04-19,36.80
281,2018-04-18,37.36
282,2018-04-17,37.45
283,2018-04-16,37.02
284,2018-04-13,36.83
285,2018-04-12,36.59
286,2018-04-11,36.97
287,2018-04-10,36.95
288,2018-04-09,36.86
289,2018-04-06,37.01
290,2018-04-05,37.27
291,2018-04-04,37.41
292,2018-04-03,37.01
293,2018-04-02,36.60
294,2018-03-29,37.11
295,2018-03-28,37.16
296,2018-03-27,36.16
297,2018-03-26,36.04
298,2018-03-23,35.62
299,2018-03-22,36.27
300,2018-03-21,36.59
301,2018-03-20,36.82
302,2018-03-19,36.97
303,2018-03-16,37.28
304,2018-03-15,36.97
305,2018-03-14,37.01
306,2018-03-13,36.98
307,2018-03-12,37.00
308,2018-03-09,36.87
309,2018-03-08,36.66
310,2018-03-07,36.58
311,2018-03-06,36.36
312,2018-03-05,36.22
313,2018-03-02,35.83
314,2018-03-01,35.83
315,2018-02-28,35.74
316,2018-02-27,35.69
317,2018-02-26,36.59
318,2018-02-23,36.48
319,2018-02-22,35.89
320,2018-02-21,35.51
321,2018-02-20,36.21
322,2018-02-16,36.64
