,Date,NAV
1,2019-05-30,26.97
2,2019-05-29,27.11
3,2019-05-28,27.16
4,2019-05-24,26.95
5,2019-05-23,26.93
6,2019-05-22,27.33
7,2019-05-21,27.47
8,2019-05-20,27.40
9,2019-05-17,27.70
10,2019-05-16,28.49
11,2019-05-15,27.91
12,2019-05-14,27.84
13,2019-05-13,27.35
14,2019-05-10,28.41
15,2019-05-09,27.91
16,2019-05-08,28.42
17,2019-05-07,28.36
18,2019-05-06,29.00
19,2019-05-03,29.71
20,2019-05-02,29.29
21,2019-05-01,29.25
22,2019-04-30,29.27
23,2019-04-29,29.45
24,2019-04-26,29.31
25,2019-04-25,29.17
26,2019-04-24,29.24
27,2019-04-23,29.24
28,2019-04-22,29.43
29,2019-04-18,29.73
30,2019-04-17,29.67
31,2019-04-16,30.07
32,2019-04-15,30.20
33,2019-04-12,30.70
34,2019-04-11,30.25
35,2019-04-10,30.71
36,2019-04-09,30.80
37,2019-04-08,30.66
38,2019-04-05,30.77
39,2019-04-04,30.58
40,2019-04-03,30.56
41,2019-04-02,30.62
42,2019-04-01,30.69
43,2019-03-29,30.01
44,2019-03-28,29.47
45,2019-03-27,29.24
46,2019-03-26,28.99
47,2019-03-25,28.93
48,2019-03-22,28.76
49,2019-03-21,29.44
50,2019-03-20,29.46
51,2019-03-19,29.45
52,2019-03-18,29.17
53,2019-03-15,28.35
54,2019-03-14,27.88
55,2019-03-13,28.21
56,2019-03-12,28.10
57,2019-03-11,27.76
58,2019-03-08,27.29
59,2019-03-07,27.77
60,2019-03-06,28.26
61,2019-03-05,28.28
62,2019-03-04,27.97
63,2019-03-01,27.70
64,2019-02-28,27.39
65,2019-02-27,27.62
66,2019-02-26,27.99
67,2019-02-25,28.10
68,2019-02-22,27.94
69,2019-02-21,27.69
70,2019-02-20,27.77
71,2019-02-19,27.53
72,2019-02-15,27.23
73,2019-02-14,27.32
74,2019-02-13,27.37
75,2019-02-12,27.26
76,2019-02-11,27.36
77,2019-02-08,27.38
78,2019-02-07,27.12
79,2019-02-06,27.34
80,2019-02-05,27.72
81,2019-02-04,27.31
82,2019-02-01,27.04
83,2019-01-31,27.43
84,2019-01-30,27.05
85,2019-01-29,26.42
86,2019-01-28,26.10
87,2019-01-25,26.29
88,2019-01-24,25.93
89,2019-01-23,25.48
90,2019-01-22,25.14
91,2019-01-18,25.72
92,2019-01-17,25.32
93,2019-01-16,25.89
94,2019-01-15,25.47
95,2019-01-14,25.24
96,2019-01-11,25.37
97,2019-01-10,25.52
98,2019-01-09,25.13
99,2019-01-08,24.95
100,2019-01-07,24.86
101,2019-01-04,24.62
102,2019-01-03,23.70
103,2019-01-02,23.71
104,2018-12-31,24.35
105,2018-12-28,24.37
106,2018-12-27,24.20
107,2018-12-26,24.39
108,2018-12-24,23.99
109,2018-12-21,24.14
110,2018-12-20,24.48
111,2018-12-19,24.51
112,2018-12-18,24.81
113,2018-12-17,24.96
114,2018-12-14,25.33
115,2018-12-13,25.43
116,2018-12-12,24.99
117,2018-12-11,24.56
118,2018-12-10,24.47
119,2018-12-07,24.62
120,2018-12-06,24.82
121,2018-12-04,24.85
122,2018-12-03,25.36
123,2018-11-30,25.07
124,2018-11-29,24.68
125,2018-11-28,25.09
126,2018-11-27,24.27
127,2018-11-26,24.40
128,2018-11-23,24.07
129,2018-11-21,24.47
130,2018-11-20,23.98
131,2018-11-19,24.21
132,2018-11-16,23.99
133,2018-11-15,23.99
134,2018-11-14,23.44
135,2018-11-13,23.24
136,2018-11-12,22.70
137,2018-11-09,22.83
138,2018-11-08,23.29
139,2018-11-07,23.81
140,2018-11-06,23.32
141,2018-11-05,23.34
142,2018-11-02,23.46
143,2018-11-01,23.53
144,2018-10-31,22.36
145,2018-10-30,22.31
146,2018-10-29,21.99
147,2018-10-26,22.41
148,2018-10-25,22.44
149,2018-10-24,21.74
150,2018-10-23,22.21
151,2018-10-22,22.67
152,2018-10-19,22.22
153,2018-10-18,21.79
154,2018-10-17,22.25
155,2018-10-16,22.33
156,2018-10-15,22.14
157,2018-10-12,22.52
158,2018-10-11,22.21
159,2018-10-10,22.56
160,2018-10-09,23.21
161,2018-10-08,23.21
162,2018-10-05,23.59
163,2018-10-04,23.60
164,2018-10-03,24.08
165,2018-10-02,24.10
166,2018-10-01,24.57
167,2018-09-28,24.48
168,2018-09-27,25.14
169,2018-09-26,25.20
170,2018-09-25,25.41
171,2018-09-24,25.31
172,2018-09-21,25.92
173,2018-09-20,25.59
174,2018-09-19,25.53
175,2018-09-18,25.10
176,2018-09-17,24.69
177,2018-09-14,24.93
178,2018-09-13,24.94
179,2018-09-12,24.34
180,2018-09-11,24.06
181,2018-09-10,24.18
182,2018-09-07,24.29
183,2018-09-06,24.54
184,2018-09-05,24.66
185,2018-09-04,25.31
186,2018-08-31,25.65
187,2018-08-30,25.61
188,2018-08-29,26.18
189,2018-08-28,25.82
190,2018-08-27,26.08
191,2018-08-24,25.64
192,2018-08-23,25.43
193,2018-08-22,25.72
194,2018-08-21,25.77
195,2018-08-20,25.21
196,2018-08-17,25.14
197,2018-08-16,24.92
198,2018-08-15,24.52
199,2018-08-14,25.40
200,2018-08-13,25.42
201,2018-08-10,25.84
202,2018-08-09,25.80
203,2018-08-08,25.54
204,2018-08-07,25.81
205,2018-08-06,24.81
206,2018-08-03,24.99
207,2018-08-02,25.26
208,2018-08-01,25.52
209,2018-07-31,26.33
210,2018-07-30,26.16
211,2018-07-27,26.37
212,2018-07-26,26.36
213,2018-07-25,26.64
214,2018-07-24,26.22
215,2018-07-23,25.54
216,2018-07-20,25.40
217,2018-07-19,25.14
218,2018-07-18,25.53
219,2018-07-17,25.64
220,2018-07-16,25.66
221,2018-07-13,26.05
222,2018-07-12,26.03
223,2018-07-11,25.64
224,2018-07-10,26.14
225,2018-07-09,26.26
226,2018-07-06,25.73
227,2018-07-05,25.46
228,2018-07-03,25.78
229,2018-07-02,25.76
230,2018-06-29,26.14
231,2018-06-28,25.50
232,2018-06-27,25.62
233,2018-06-26,26.55
234,2018-06-25,27.03
235,2018-06-22,27.77
236,2018-06-21,27.59
237,2018-06-20,28.00
238,2018-06-19,27.91
239,2018-06-18,28.38
240,2018-06-15,28.68
241,2018-06-14,28.67
242,2018-06-13,29.01
243,2018-06-12,29.16
244,2018-06-11,29.20
245,2018-06-08,29.26
246,2018-06-07,29.27
247,2018-06-06,29.45
248,2018-06-05,29.36
249,2018-06-04,28.95
250,2018-06-01,28.39
251,2018-05-31,28.12
252,2018-05-30,27.87
253,2018-05-29,27.82
254,2018-05-25,28.42
255,2018-05-24,28.22
256,2018-05-23,28.41
257,2018-05-22,28.79
258,2018-05-21,28.78
259,2018-05-18,28.64
260,2018-05-17,28.46
261,2018-05-16,28.84
262,2018-05-15,28.71
263,2018-05-14,28.87
264,2018-05-11,28.57
265,2018-05-10,28.37
266,2018-05-09,28.14
267,2018-05-08,27.86
268,2018-05-07,27.51
269,2018-05-04,27.83
270,2018-05-03,27.66
271,2018-05-02,28.06
272,2018-05-01,28.08
273,2018-04-30,28.00
274,2018-04-27,27.88
275,2018-04-26,27.89
276,2018-04-25,27.75
277,2018-04-24,27.68
278,2018-04-23,27.29
279,2018-04-20,27.48
280,2018-04-19,27.79
281,2018-04-18,27.94
282,2018-04-17,27.95
283,2018-04-16,28.25
284,2018-04-13,28.66
