,Date,NAV
1,2019-05-30,42.50
2,2019-05-29,42.63
3,2019-05-28,42.35
4,2019-05-24,42.15
5,2019-05-23,42.51
6,2019-05-22,44.19
7,2019-05-21,44.48
8,2019-05-20,43.49
9,2019-05-17,45.35
10,2019-05-16,47.60
11,2019-05-15,47.63
12,2019-05-14,46.91
13,2019-05-13,45.92
14,2019-05-10,48.00
15,2019-05-09,47.65
16,2019-05-08,48.05
17,2019-05-07,48.20
18,2019-05-06,49.92
19,2019-05-03,51.76
20,2019-05-02,50.77
21,2019-05-01,50.91
22,2019-04-30,51.13
23,2019-04-29,50.95
24,2019-04-26,50.93
25,2019-04-25,50.63
26,2019-04-24,51.35
27,2019-04-23,51.96
28,2019-04-22,51.46
29,2019-04-18,51.68
30,2019-04-17,51.47
31,2019-04-16,51.11
32,2019-04-15,50.66
33,2019-04-12,51.67
34,2019-04-11,50.93
35,2019-04-10,51.72
36,2019-04-09,51.72
37,2019-04-08,51.85
38,2019-04-05,51.89
39,2019-04-04,51.05
40,2019-04-03,50.64
41,2019-04-02,50.00
42,2019-04-01,50.31
43,2019-03-29,49.11
44,2019-03-28,48.10
45,2019-03-27,47.69
46,2019-03-26,47.72
47,2019-03-25,47.61
48,2019-03-22,47.05
49,2019-03-21,48.48
50,2019-03-20,48.24
51,2019-03-19,48.90
52,2019-03-18,49.08
53,2019-03-15,48.69
54,2019-03-14,47.93
55,2019-03-13,48.54
56,2019-03-12,48.43
57,2019-03-11,48.38
58,2019-03-08,46.79
59,2019-03-07,47.40
60,2019-03-06,49.41
61,2019-03-05,49.80
62,2019-03-04,48.32
63,2019-03-01,47.83
64,2019-02-28,47.66
65,2019-02-27,47.83
66,2019-02-26,48.30
67,2019-02-25,48.94
68,2019-02-22,47.95
69,2019-02-21,46.12
70,2019-02-20,46.15
71,2019-02-19,45.82
72,2019-02-15,45.09
73,2019-02-14,45.95
74,2019-02-13,46.17
75,2019-02-12,45.90
76,2019-02-11,45.21
77,2019-02-08,44.66
78,2019-02-07,44.08
79,2019-02-06,45.23
80,2019-02-05,45.81
