,Date,NAV
1,2019-05-30,139.81
2,2019-05-29,138.49
3,2019-05-28,140.22
4,2019-05-24,139.89
5,2019-05-23,139.76
6,2019-05-22,142.37
7,2019-05-21,141.87
8,2019-05-20,140.16
9,2019-05-17,141.47
10,2019-05-16,143.56
11,2019-05-15,141.27
12,2019-05-14,139.32
13,2019-05-13,137.57
14,2019-05-10,143.21
15,2019-05-09,143.47
16,2019-05-08,144.05
17,2019-05-07,144.79
18,2019-05-06,147.83
19,2019-05-03,148.48
20,2019-05-02,146.37
21,2019-05-01,146.43
22,2019-04-30,147.73
23,2019-04-29,149.21
24,2019-04-26,148.17
25,2019-04-25,146.90
26,2019-04-24,146.17
27,2019-04-23,146.80
28,2019-04-22,144.00
29,2019-04-18,142.34
30,2019-04-17,142.55
31,2019-04-16,143.72
32,2019-04-15,143.29
33,2019-04-12,143.40
34,2019-04-11,143.49
35,2019-04-10,143.47
36,2019-04-09,142.60
37,2019-04-08,142.60
38,2019-04-05,142.43
39,2019-04-04,141.96
40,2019-04-03,142.66
41,2019-04-02,141.83
42,2019-04-01,141.08
43,2019-03-29,138.90
44,2019-03-28,137.93
45,2019-03-27,137.13
46,2019-03-26,138.88
47,2019-03-25,138.06
48,2019-03-22,137.96
49,2019-03-21,142.11
50,2019-03-20,140.19
51,2019-03-19,139.29
52,2019-03-18,138.80
53,2019-03-15,138.86
54,2019-03-14,138.59
55,2019-03-13,138.53
56,2019-03-12,137.67
57,2019-03-11,137.21
58,2019-03-08,134.20
59,2019-03-07,134.66
60,2019-03-06,136.28
61,2019-03-05,137.24
62,2019-03-04,136.85
63,2019-03-01,138.29
64,2019-02-28,137.00
65,2019-02-27,137.93
66,2019-02-26,137.70
67,2019-02-25,137.76
68,2019-02-22,137.37
69,2019-02-21,135.78
70,2019-02-20,136.40
71,2019-02-19,137.13
72,2019-02-15,136.38
73,2019-02-14,136.31
74,2019-02-13,136.11
75,2019-02-12,136.32
76,2019-02-11,133.97
77,2019-02-08,134.03
78,2019-02-07,133.16
79,2019-02-06,135.53
80,2019-02-05,135.83
81,2019-02-04,134.43
82,2019-02-01,132.48
83,2019-01-31,132.32
84,2019-01-30,129.70
85,2019-01-29,127.06
86,2019-01-28,129.14
87,2019-01-25,130.30
88,2019-01-24,128.08
89,2019-01-23,127.37
90,2019-01-22,127.63
91,2019-01-18,130.46
92,2019-01-17,128.93
93,2019-01-16,127.74
94,2019-01-15,127.89
95,2019-01-14,124.83
96,2019-01-11,125.74
97,2019-01-10,125.74
98,2019-01-09,125.27
99,2019-01-08,124.75
100,2019-01-07,122.54
101,2019-01-04,119.80
102,2019-01-03,114.08
103,2019-01-02,117.47
104,2018-12-31,116.66
105,2018-12-28,115.69
106,2018-12-27,115.84
107,2018-12-26,114.68
108,2018-12-24,107.21
109,2018-12-21,109.18
110,2018-12-20,114.23
111,2018-12-19,116.84
112,2018-12-18,119.28
113,2018-12-17,117.79
114,2018-12-14,121.76
115,2018-12-13,124.20
116,2018-12-12,125.00
117,2018-12-11,122.86
118,2018-12-10,122.40
119,2018-12-07,121.07
120,2018-12-06,124.99
121,2018-12-04,123.21
122,2018-12-03,128.60
123,2018-11-30,126.28
124,2018-11-29,125.34
125,2018-11-28,125.50
126,2018-11-27,120.43
127,2018-11-26,121.00
128,2018-11-23,117.44
129,2018-11-21,118.14
130,2018-11-20,116.38
131,2018-11-19,117.59
132,2018-11-16,123.81
133,2018-11-15,124.71
134,2018-11-14,122.37
135,2018-11-13,123.23
136,2018-11-12,123.04
137,2018-11-09,127.09
138,2018-11-08,129.94
139,2018-11-07,130.73
140,2018-11-06,126.81
141,2018-11-05,126.29
142,2018-11-02,127.56
143,2018-11-01,128.06
144,2018-10-31,126.01
145,2018-10-30,122.04
146,2018-10-29,119.50
147,2018-10-26,122.17
148,2018-10-25,125.65
149,2018-10-24,121.31
150,2018-10-23,127.45
151,2018-10-22,127.96
152,2018-10-19,126.88
153,2018-10-18,128.38
154,2018-10-17,131.84
155,2018-10-16,131.39
156,2018-10-15,127.02
157,2018-10-12,127.98
158,2018-10-11,124.39
159,2018-10-10,125.49
160,2018-10-09,132.39
161,2018-10-08,132.68
162,2018-10-05,135.10
163,2018-10-04,136.57
164,2018-10-03,139.69
165,2018-10-02,138.77
166,2018-10-01,140.59
167,2018-09-28,141.54
168,2018-09-27,142.37
169,2018-09-26,141.66
170,2018-09-25,141.77
171,2018-09-24,140.81
172,2018-09-21,140.13
173,2018-09-20,141.91
174,2018-09-19,140.69
175,2018-09-18,141.24
176,2018-09-17,139.80
177,2018-09-14,142.84
178,2018-09-13,143.17
179,2018-09-12,142.93
180,2018-09-11,143.09
181,2018-09-10,141.48
182,2018-09-07,140.87
183,2018-09-06,140.07
184,2018-09-05,141.13
185,2018-09-04,145.05
186,2018-08-31,145.69
187,2018-08-30,145.82
188,2018-08-29,146.16
189,2018-08-28,145.06
190,2018-08-27,144.86
191,2018-08-24,143.50
192,2018-08-23,140.86
193,2018-08-22,140.65
194,2018-08-21,139.54
195,2018-08-20,139.24
196,2018-08-17,138.40
197,2018-08-16,138.93
198,2018-08-15,138.71
199,2018-08-14,140.94
200,2018-08-13,139.77
201,2018-08-10,140.15
202,2018-08-09,141.20
203,2018-08-08,140.45
204,2018-08-07,140.37
205,2018-08-06,139.89
206,2018-08-03,137.81
207,2018-08-02,138.36
208,2018-08-01,136.41
209,2018-07-31,135.40
210,2018-07-30,135.55
211,2018-07-27,139.88
212,2018-07-26,144.30
213,2018-07-25,147.65
214,2018-07-24,144.55
215,2018-07-23,144.51
216,2018-07-20,144.04
217,2018-07-19,144.48
218,2018-07-18,146.12
219,2018-07-17,146.30
220,2018-07-16,145.08
221,2018-07-13,145.08
222,2018-07-12,146.07
223,2018-07-11,143.20
224,2018-07-10,142.71
225,2018-07-09,143.43
226,2018-07-06,142.21
227,2018-07-05,140.15
228,2018-07-03,138.16
229,2018-07-02,139.63
230,2018-06-29,137.65
231,2018-06-28,137.87
232,2018-06-27,135.89
233,2018-06-26,138.68
234,2018-06-25,137.53
235,2018-06-22,141.94
236,2018-06-21,143.23
237,2018-06-20,144.91
238,2018-06-19,143.47
239,2018-06-18,143.92
240,2018-06-15,142.83
241,2018-06-14,142.80
242,2018-06-13,140.74
243,2018-06-12,140.27
244,2018-06-11,138.76
245,2018-06-08,138.09
246,2018-06-07,137.61
247,2018-06-06,139.75
248,2018-06-05,139.44
249,2018-06-04,138.21
250,2018-06-01,136.73
251,2018-05-31,134.41
252,2018-05-30,133.91
253,2018-05-29,132.41
254,2018-05-25,132.68
255,2018-05-24,132.92
256,2018-05-23,132.81
257,2018-05-22,131.54
258,2018-05-21,132.48
259,2018-05-18,131.55
260,2018-05-17,131.39
261,2018-05-16,131.40
262,2018-05-15,130.71
263,2018-05-14,131.74
264,2018-05-11,132.59
265,2018-05-10,132.79
266,2018-05-09,131.40
267,2018-05-08,128.58
268,2018-05-07,127.79
269,2018-05-04,126.14
270,2018-05-03,124.69
271,2018-05-02,124.32
272,2018-05-01,124.56
273,2018-04-30,123.84
274,2018-04-27,123.96
275,2018-04-26,123.99
276,2018-04-25,121.27
277,2018-04-24,122.18
278,2018-04-23,125.38
279,2018-04-20,125.84
280,2018-04-19,126.90
281,2018-04-18,126.67
282,2018-04-17,126.43
283,2018-04-16,122.32
284,2018-04-13,121.64
285,2018-04-12,122.51
286,2018-04-11,121.44
287,2018-04-10,121.40
288,2018-04-09,118.67
289,2018-04-06,118.29
290,2018-04-05,120.80
291,2018-04-04,119.37
292,2018-04-03,117.89
293,2018-04-02,117.23
294,2018-03-29,120.50
295,2018-03-28,117.78
296,2018-03-27,119.60
297,2018-03-26,124.42
298,2018-03-23,120.80
299,2018-03-22,124.03
300,2018-03-21,127.37
301,2018-03-20,127.16
302,2018-03-19,126.91
303,2018-03-16,129.87
304,2018-03-15,130.38
305,2018-03-14,130.90
306,2018-03-13,129.20
307,2018-03-12,131.25
308,2018-03-09,131.02
309,2018-03-08,128.89
310,2018-03-07,128.56
311,2018-03-06,127.00
312,2018-03-05,126.04
313,2018-03-02,123.80
314,2018-03-01,121.70
315,2018-02-28,123.11
316,2018-02-27,123.23
317,2018-02-26,124.48
318,2018-02-23,123.30
319,2018-02-22,121.15
320,2018-02-21,121.73
321,2018-02-20,122.00
322,2018-02-16,121.99
323,2018-02-15,122.85
324,2018-02-14,120.82
325,2018-02-13,118.05
326,2018-02-12,117.16
327,2018-02-09,115.39
328,2018-02-08,114.44
329,2018-02-07,118.15
330,2018-02-06,118.08
331,2018-02-05,115.56
332,2018-02-02,119.73
333,2018-02-01,121.80
334,2018-01-31,121.86
335,2018-01-30,121.69
336,2018-01-29,122.18
337,2018-01-26,122.42
338,2018-01-25,120.54
339,2018-01-24,119.88
340,2018-01-23,120.15
341,2018-01-22,118.59
342,2018-01-19,116.94
343,2018-01-18,116.11
344,2018-01-17,116.12
345,2018-01-16,115.37
346,2018-01-12,116.43
347,2018-01-11,115.40
348,2018-01-10,114.22
349,2018-01-09,114.49
350,2018-01-08,114.78
351,2018-01-05,114.01
352,2018-01-04,112.92
353,2018-01-03,112.64
354,2018-01-02,111.07
355,2017-12-29,109.88
356,2017-12-28,110.61
357,2017-12-27,110.17
358,2017-12-26,110.09
359,2017-12-22,110.21
360,2017-12-21,110.70
361,2017-12-20,110.92
362,2017-12-19,111.56
363,2017-12-18,112.17
364,2017-12-15,110.70
365,2017-12-14,109.54
366,2017-12-13,109.32
367,2017-12-12,108.85
368,2017-12-11,109.30
369,2017-12-08,108.80
370,2017-12-07,108.62
371,2017-12-06,107.32
372,2017-12-05,106.71
373,2017-12-04,106.33
374,2017-12-01,108.44
375,2017-11-30,108.90
376,2017-11-29,108.58
377,2017-11-28,111.26
378,2017-11-27,110.90
379,2017-11-24,111.01
380,2017-11-22,110.05
381,2017-11-21,109.75
382,2017-11-20,108.40
383,2017-11-17,107.88
384,2017-11-16,107.97
385,2017-11-15,106.05
386,2017-11-14,106.68
387,2017-11-13,106.38
388,2017-11-10,106.19
389,2017-11-09,105.99
390,2017-11-08,107.18
391,2017-11-07,106.75
392,2017-11-06,107.65
393,2017-11-03,107.39
394,2017-11-02,106.89
395,2017-11-01,107.27
396,2017-10-31,107.43
397,2017-10-30,107.02
398,2017-10-27,107.25
399,2017-10-26,105.13
400,2017-10-25,104.36
401,2017-10-24,104.84
402,2017-10-23,104.27
403,2017-10-20,105.55
404,2017-10-19,104.82
405,2017-10-18,105.25
406,2017-10-17,105.13
407,2017-10-16,105.16
408,2017-10-13,105.44
409,2017-10-12,105.14
410,2017-10-11,104.95
411,2017-10-10,104.37
412,2017-10-09,104.86
413,2017-10-06,105.04
414,2017-10-05,104.86
415,2017-10-04,103.69
416,2017-10-03,103.46
417,2017-10-02,102.74
418,2017-09-29,102.36
419,2017-09-28,101.54
420,2017-09-27,101.34
421,2017-09-26,99.66
422,2017-09-25,99.56
423,2017-09-22,101.62
424,2017-09-21,101.49
425,2017-09-20,101.52
426,2017-09-19,101.47
427,2017-09-18,101.18
428,2017-09-15,101.01
429,2017-09-14,100.82
430,2017-09-13,101.10
431,2017-09-12,101.20
432,2017-09-11,100.79
433,2017-09-08,99.62
434,2017-09-07,100.40
435,2017-09-06,99.88
436,2017-09-05,99.76
437,2017-09-01,100.47
438,2017-08-31,100.52
439,2017-08-30,99.37
440,2017-08-29,98.18
441,2017-08-28,97.72
442,2017-08-25,97.53
443,2017-08-24,98.51
444,2017-08-23,98.32
445,2017-08-22,98.54
446,2017-08-21,96.94
447,2017-08-18,96.96
448,2017-08-17,96.79
449,2017-08-16,98.59
450,2017-08-15,98.06
451,2017-08-14,98.32
452,2017-08-11,97.07
453,2017-08-10,96.20
454,2017-08-09,98.92
455,2017-08-08,99.33
456,2017-08-07,99.69
457,2017-08-04,99.07
458,2017-08-03,98.36
459,2017-08-02,98.20
460,2017-08-01,98.99
461,2017-07-31,98.87
