,Date,NAV
1,2019-05-30,204.47
2,2019-05-29,203.57
3,2019-05-28,205.15
4,2019-05-24,205.30
5,2019-05-23,205.04
6,2019-05-22,209.02
7,2019-05-21,209.64
8,2019-05-20,207.31
9,2019-05-17,210.72
10,2019-05-16,213.02
11,2019-05-15,210.69
12,2019-05-14,207.57
13,2019-05-13,204.98
14,2019-05-10,212.80
15,2019-05-09,212.47
16,2019-05-08,214.19
17,2019-05-07,214.46
18,2019-05-06,218.83
19,2019-05-03,220.04
20,2019-05-02,217.22
21,2019-05-01,218.43
22,2019-04-30,219.48
23,2019-04-29,220.77
24,2019-04-26,220.34
25,2019-04-25,219.99
26,2019-04-24,219.57
27,2019-04-23,219.91
28,2019-04-22,217.13
29,2019-04-18,215.80
30,2019-04-17,215.58
31,2019-04-16,215.03
32,2019-04-15,214.03
33,2019-04-12,214.11
34,2019-04-11,212.87
35,2019-04-10,212.99
36,2019-04-09,211.37
37,2019-04-08,212.24
38,2019-04-05,211.66
39,2019-04-04,210.92
40,2019-04-03,211.59
41,2019-04-02,210.26
42,2019-04-01,209.30
43,2019-03-29,206.21
44,2019-03-28,204.52
45,2019-03-27,203.79
46,2019-03-26,205.37
47,2019-03-25,204.46
48,2019-03-22,204.86
49,2019-03-21,210.21
50,2019-03-20,205.99
51,2019-03-19,205.31
52,2019-03-18,204.37
53,2019-03-15,203.85
54,2019-03-14,202.33
55,2019-03-13,202.55
56,2019-03-12,201.26
57,2019-03-11,200.27
58,2019-03-08,195.95
59,2019-03-07,196.03
60,2019-03-06,198.29
61,2019-03-05,199.48
62,2019-03-04,199.31
63,2019-03-01,199.84
64,2019-02-28,198.13
65,2019-02-27,199.00
66,2019-02-26,199.10
67,2019-02-25,198.75
68,2019-02-22,197.89
69,2019-02-21,195.28
70,2019-02-20,196.00
71,2019-02-19,196.15
72,2019-02-15,195.79
73,2019-02-14,195.01
74,2019-02-13,194.63
75,2019-02-12,194.53
76,2019-02-11,191.61
77,2019-02-08,191.27
78,2019-02-07,190.52
79,2019-02-06,193.45
80,2019-02-05,193.92
81,2019-02-04,191.84
82,2019-02-01,189.18
83,2019-01-31,189.27
84,2019-01-30,186.86
85,2019-01-29,181.56
86,2019-01-28,183.72
87,2019-01-25,186.23
88,2019-01-24,183.34
89,2019-01-23,181.46
90,2019-01-22,181.21
91,2019-01-18,184.88
92,2019-01-17,182.57
93,2019-01-16,181.37
94,2019-01-15,181.25
95,2019-01-14,177.90
96,2019-01-11,179.51
97,2019-01-10,180.00
98,2019-01-09,179.17
99,2019-01-08,177.56
100,2019-01-07,175.44
101,2019-01-04,173.19
102,2019-01-03,165.30
103,2019-01-02,172.67
104,2018-12-31,171.48
105,2018-12-28,170.30
106,2018-12-27,170.58
107,2018-12-26,169.28
108,2018-12-24,159.13
109,2018-12-21,162.72
110,2018-12-20,168.72
111,2018-12-19,171.59
112,2018-12-18,175.63
113,2018-12-17,173.49
114,2018-12-14,178.22
115,2018-12-13,182.44
116,2018-12-12,182.63
117,2018-12-11,180.60
118,2018-12-10,180.47
119,2018-12-07,178.15
120,2018-12-06,184.13
121,2018-12-04,182.91
122,2018-12-03,190.41
123,2018-11-30,186.61
124,2018-11-29,184.88
125,2018-11-28,185.68
126,2018-11-27,179.28
127,2018-11-26,179.19
128,2018-11-23,174.84
129,2018-11-21,176.12
130,2018-11-20,174.37
131,2018-11-19,176.71
132,2018-11-16,184.56
133,2018-11-15,185.54
134,2018-11-14,181.69
135,2018-11-13,183.36
136,2018-11-12,183.04
137,2018-11-09,189.38
138,2018-11-08,192.94
139,2018-11-07,193.94
140,2018-11-06,188.13
141,2018-11-05,186.68
142,2018-11-02,187.65
143,2018-11-01,190.13
144,2018-10-31,187.56
145,2018-10-30,182.23
146,2018-10-29,179.82
147,2018-10-26,183.95
148,2018-10-25,189.26
149,2018-10-24,182.54
150,2018-10-23,191.72
151,2018-10-22,192.58
152,2018-10-19,191.06
153,2018-10-18,191.82
154,2018-10-17,196.62
155,2018-10-16,196.90
156,2018-10-15,190.93
