,Date,NAV
1,2019-05-30,52.00
2,2019-05-29,51.61
3,2019-05-28,52.14
4,2019-05-24,52.69
5,2019-05-23,52.19
6,2019-05-22,53.20
7,2019-05-21,53.42
8,2019-05-20,52.65
9,2019-05-17,53.12
10,2019-05-16,54.07
11,2019-05-15,53.86
12,2019-05-14,53.64
13,2019-05-13,53.07
14,2019-05-10,55.41
15,2019-05-09,55.49
16,2019-05-08,56.82
17,2019-05-07,56.92
18,2019-05-06,58.06
19,2019-05-03,58.75
20,2019-05-02,58.70
21,2019-05-01,58.77
22,2019-04-30,59.29
23,2019-04-29,59.56
24,2019-04-26,59.26
25,2019-04-25,59.54
26,2019-04-24,60.69
27,2019-04-23,60.45
28,2019-04-22,60.04
29,2019-04-18,59.85
30,2019-04-17,60.05
31,2019-04-16,60.39
32,2019-04-15,59.89
33,2019-04-12,59.90
34,2019-04-11,59.19
35,2019-04-10,59.22
36,2019-04-09,58.37
37,2019-04-08,58.72
38,2019-04-05,58.44
39,2019-04-04,58.19
40,2019-04-03,58.42
41,2019-04-02,57.93
42,2019-04-01,57.59
43,2019-03-29,56.47
44,2019-03-28,56.01
45,2019-03-27,55.55
46,2019-03-26,55.63
47,2019-03-25,55.06
48,2019-03-22,55.26
49,2019-03-21,56.74
50,2019-03-20,55.52
51,2019-03-19,55.97
52,2019-03-18,56.26
53,2019-03-15,56.33
54,2019-03-14,55.86
55,2019-03-13,55.86
56,2019-03-12,55.50
57,2019-03-11,55.84
58,2019-03-08,54.75
59,2019-03-07,54.90
60,2019-03-06,55.53
61,2019-03-05,56.18
62,2019-03-04,56.97
63,2019-03-01,57.20
64,2019-02-28,57.12
65,2019-02-27,57.46
66,2019-02-26,57.33
67,2019-02-25,57.42
68,2019-02-22,57.15
69,2019-02-21,56.05
70,2019-02-20,56.30
71,2019-02-19,56.03
72,2019-02-15,55.54
73,2019-02-14,54.46
74,2019-02-13,53.96
75,2019-02-12,53.55
76,2019-02-11,53.14
77,2019-02-08,52.51
78,2019-02-07,51.11
79,2019-02-06,52.07
80,2019-02-05,51.44
81,2019-02-04,51.53
82,2019-02-01,51.28
83,2019-01-31,51.03
84,2019-01-30,50.23
85,2019-01-29,50.24
86,2019-01-28,50.53
87,2019-01-25,50.87
88,2019-01-24,50.33
89,2019-01-23,49.74
90,2019-01-22,49.35
91,2019-01-18,50.43
92,2019-01-17,49.76
93,2019-01-16,49.77
94,2019-01-15,49.80
95,2019-01-14,49.23
96,2019-01-11,49.67
97,2019-01-10,49.64
98,2019-01-09,49.19
99,2019-01-08,49.03
100,2019-01-07,48.34
101,2019-01-04,47.47
102,2019-01-03,45.93
103,2019-01-02,47.36
104,2018-12-31,47.22
105,2018-12-28,46.76
106,2018-12-27,46.46
107,2018-12-26,46.05
108,2018-12-24,44.12
109,2018-12-21,45.15
110,2018-12-20,46.64
111,2018-12-19,47.33
112,2018-12-18,48.02
113,2018-12-17,48.13
114,2018-12-14,49.40
115,2018-12-13,50.37
116,2018-12-12,50.81
117,2018-12-11,50.06
118,2018-12-10,49.91
119,2018-12-07,49.31
120,2018-12-06,50.94
121,2018-12-04,50.38
122,2018-12-03,52.08
123,2018-11-30,51.16
124,2018-11-29,50.98
125,2018-11-28,51.20
126,2018-11-27,49.85
127,2018-11-26,50.01
128,2018-11-23,49.32
129,2018-11-21,49.10
130,2018-11-20,48.64
131,2018-11-19,49.58
132,2018-11-16,51.15
133,2018-11-15,51.39
134,2018-11-14,50.32
135,2018-11-13,50.52
136,2018-11-12,50.42
137,2018-11-09,52.89
138,2018-11-08,53.31
139,2018-11-07,53.22
140,2018-11-06,52.05
141,2018-11-05,51.75
142,2018-11-02,52.04
143,2018-11-01,51.58
144,2018-10-31,50.15
145,2018-10-30,48.54
146,2018-10-29,47.68
147,2018-10-26,49.76
148,2018-10-25,50.26
149,2018-10-24,48.81
150,2018-10-23,50.42
151,2018-10-22,50.74
152,2018-10-19,50.54
153,2018-10-18,51.05
154,2018-10-17,51.63
155,2018-10-16,51.30
156,2018-10-15,49.93
157,2018-10-12,49.57
