,Date,NAV
1,2019-05-30,187.17
2,2019-05-29,186.24
3,2019-05-28,187.57
4,2019-05-24,188.19
5,2019-05-23,188.36
6,2019-05-22,191.62
7,2019-05-21,192.65
8,2019-05-20,190.19
9,2019-05-17,194.19
10,2019-05-16,196.08
11,2019-05-15,194.29
12,2019-05-14,191.37
13,2019-05-13,189.08
14,2019-05-10,196.85
15,2019-05-09,196.52
16,2019-05-08,197.83
17,2019-05-07,198.39
18,2019-05-06,202.73
19,2019-05-03,204.08
20,2019-05-02,201.71
21,2019-05-01,202.57
22,2019-04-30,203.30
23,2019-04-29,205.41
24,2019-04-26,204.88
25,2019-04-25,205.30
26,2019-04-24,204.46
27,2019-04-23,204.64
28,2019-04-22,202.07
29,2019-04-18,200.98
30,2019-04-17,200.48
31,2019-04-16,199.68
32,2019-04-15,198.73
33,2019-04-12,198.62
34,2019-04-11,197.45
35,2019-04-10,197.58
36,2019-04-09,196.07
37,2019-04-08,196.64
38,2019-04-05,196.01
39,2019-04-04,195.52
40,2019-04-03,195.91
41,2019-04-02,194.48
42,2019-04-01,193.31
43,2019-03-29,190.60
44,2019-03-28,188.80
45,2019-03-27,188.48
46,2019-03-26,189.95
47,2019-03-25,189.39
48,2019-03-22,190.17
49,2019-03-21,194.90
50,2019-03-20,190.62
51,2019-03-19,190.21
52,2019-03-18,189.42
53,2019-03-15,189.07
54,2019-03-14,187.66
55,2019-03-13,187.82
56,2019-03-12,186.75
57,2019-03-11,185.51
58,2019-03-08,181.50
59,2019-03-07,181.43
60,2019-03-06,183.33
61,2019-03-05,184.25
62,2019-03-04,184.20
63,2019-03-01,184.44
64,2019-02-28,183.14
65,2019-02-27,183.82
66,2019-02-26,183.95
67,2019-02-25,183.75
68,2019-02-22,182.66
69,2019-02-21,180.36
70,2019-02-20,180.77
71,2019-02-19,180.81
72,2019-02-15,180.47
73,2019-02-14,179.83
74,2019-02-13,179.42
75,2019-02-12,179.47
76,2019-02-11,176.98
77,2019-02-08,177.08
78,2019-02-07,176.18
79,2019-02-06,178.91
80,2019-02-05,178.96
81,2019-02-04,177.35
82,2019-02-01,174.23
83,2019-01-31,173.72
84,2019-01-30,171.52
85,2019-01-29,166.45
86,2019-01-28,168.50
87,2019-01-25,170.78
88,2019-01-24,168.06
89,2019-01-23,166.71
90,2019-01-22,166.41
91,2019-01-18,169.56
92,2019-01-17,167.09
93,2019-01-16,165.91
94,2019-01-15,165.90
95,2019-01-14,162.79
96,2019-01-11,164.32
97,2019-01-10,164.71
98,2019-01-09,164.27
99,2019-01-08,162.60
100,2019-01-07,160.82
101,2019-01-04,159.47
102,2019-01-03,152.54
103,2019-01-02,159.94
104,2018-12-31,159.59
105,2018-12-28,158.48
106,2018-12-27,158.85
107,2018-12-26,157.77
108,2018-12-24,148.10
109,2018-12-21,151.95
110,2018-12-20,157.10
111,2018-12-19,159.76
112,2018-12-18,163.38
113,2018-12-17,161.64
114,2018-12-14,165.59
115,2018-12-13,169.36
116,2018-12-12,169.24
117,2018-12-11,167.53
118,2018-12-10,167.05
119,2018-12-07,164.60
120,2018-12-06,170.50
121,2018-12-04,169.63
122,2018-12-03,176.41
123,2018-11-30,173.26
124,2018-11-29,171.68
125,2018-11-28,172.37
126,2018-11-27,166.61
127,2018-11-26,166.87
128,2018-11-23,163.03
129,2018-11-21,164.47
130,2018-11-20,162.94
131,2018-11-19,165.48
132,2018-11-16,172.55
133,2018-11-15,173.05
134,2018-11-14,169.13
135,2018-11-13,170.60
136,2018-11-12,170.36
137,2018-11-09,176.33
138,2018-11-08,179.68
139,2018-11-07,180.53
140,2018-11-06,175.62
141,2018-11-05,174.42
142,2018-11-02,175.32
143,2018-11-01,178.70
144,2018-10-31,176.83
145,2018-10-30,172.48
146,2018-10-29,169.70
147,2018-10-26,172.94
148,2018-10-25,176.85
149,2018-10-24,171.06
150,2018-10-23,179.72
151,2018-10-22,180.18
152,2018-10-19,178.71
153,2018-10-18,179.35
154,2018-10-17,183.41
155,2018-10-16,184.18
156,2018-10-15,178.70
157,2018-10-12,181.21
158,2018-10-11,176.36
159,2018-10-10,177.82
160,2018-10-09,186.50
161,2018-10-08,186.12
162,2018-10-05,188.22
163,2018-10-04,190.49
164,2018-10-03,194.20
165,2018-10-02,193.16
166,2018-10-01,193.50
167,2018-09-28,193.21
168,2018-09-27,192.83
169,2018-09-26,191.26
170,2018-09-25,191.98
171,2018-09-24,191.84
172,2018-09-21,190.65
173,2018-09-20,191.67
174,2018-09-19,189.45
175,2018-09-18,189.85
176,2018-09-17,188.79
177,2018-09-14,191.71
178,2018-09-13,191.60
179,2018-09-12,189.43
180,2018-09-11,190.52
181,2018-09-10,189.12
182,2018-09-07,188.63
183,2018-09-06,189.12
184,2018-09-05,191.10
185,2018-09-04,193.98
186,2018-08-31,194.65
187,2018-08-30,194.33
188,2018-08-29,194.78
189,2018-08-28,192.94
190,2018-08-27,192.44
191,2018-08-24,190.54
192,2018-08-23,188.40
193,2018-08-22,188.09
194,2018-08-21,187.19
195,2018-08-20,186.76
196,2018-08-17,187.06
197,2018-08-16,186.82
