,Date,NAV
1,2019-05-30,130.27
2,2019-05-29,129.90
3,2019-05-28,131.33
4,2019-05-24,131.15
5,2019-05-23,131.06
6,2019-05-22,133.76
7,2019-05-21,134.03
8,2019-05-20,132.33
9,2019-05-17,134.96
10,2019-05-16,138.05
11,2019-05-15,136.40
12,2019-05-14,134.19
13,2019-05-13,132.31
14,2019-05-10,137.20
15,2019-05-09,137.48
16,2019-05-08,138.19
17,2019-05-07,138.78
18,2019-05-06,142.34
19,2019-05-03,144.17
20,2019-05-02,141.49
21,2019-05-01,142.09
22,2019-04-30,142.49
23,2019-04-29,143.68
24,2019-04-26,142.88
25,2019-04-25,141.89
26,2019-04-24,141.55
27,2019-04-23,142.48
28,2019-04-22,139.86
29,2019-04-18,138.66
30,2019-04-17,138.65
31,2019-04-16,139.16
32,2019-04-15,138.65
33,2019-04-12,139.19
34,2019-04-11,138.91
35,2019-04-10,139.16
36,2019-04-09,139.08
37,2019-04-08,139.16
38,2019-04-05,138.92
39,2019-04-04,137.94
40,2019-04-03,138.22
41,2019-04-02,137.35
42,2019-04-01,136.91
43,2019-03-29,134.74
44,2019-03-28,133.40
45,2019-03-27,132.79
46,2019-03-26,134.22
47,2019-03-25,133.83
48,2019-03-22,133.31
49,2019-03-21,137.10
50,2019-03-20,135.57
51,2019-03-19,134.24
52,2019-03-18,133.99
53,2019-03-15,133.89
54,2019-03-14,133.56
55,2019-03-13,134.05
56,2019-03-12,133.06
57,2019-03-11,132.58
58,2019-03-08,129.77
59,2019-03-07,130.15
60,2019-03-06,132.55
61,2019-03-05,133.09
62,2019-03-04,131.23
63,2019-03-01,131.51
64,2019-02-28,130.83
65,2019-02-27,131.96
66,2019-02-26,131.28
67,2019-02-25,131.23
68,2019-02-22,130.65
69,2019-02-21,128.68
70,2019-02-20,129.80
71,2019-02-19,130.30
72,2019-02-15,129.07
73,2019-02-14,129.53
74,2019-02-13,129.09
75,2019-02-12,129.12
76,2019-02-11,126.83
77,2019-02-08,126.73
78,2019-02-07,126.33
79,2019-02-06,128.65
80,2019-02-05,129.63
81,2019-02-04,127.85
82,2019-02-01,126.34
83,2019-01-31,126.66
84,2019-01-30,123.81
85,2019-01-29,120.63
86,2019-01-28,122.46
87,2019-01-25,123.06
88,2019-01-24,120.63
89,2019-01-23,119.11
90,2019-01-22,119.44
91,2019-01-18,122.68
92,2019-01-17,121.41
93,2019-01-16,120.39
94,2019-01-15,120.38
95,2019-01-14,117.56
96,2019-01-11,118.25
97,2019-01-10,118.59
98,2019-01-09,118.00
99,2019-01-08,116.96
100,2019-01-07,115.50
101,2019-01-04,113.06
102,2019-01-03,107.62
103,2019-01-02,110.59
104,2018-12-31,109.83
105,2018-12-28,109.49
106,2018-12-27,109.45
107,2018-12-26,108.98
108,2018-12-24,102.97
109,2018-12-21,104.07
110,2018-12-20,108.05
111,2018-12-19,110.26
112,2018-12-18,112.94
113,2018-12-17,112.04
114,2018-12-14,116.14
115,2018-12-13,118.12
116,2018-12-12,118.87
117,2018-12-11,117.15
118,2018-12-10,116.47
119,2018-12-07,115.69
120,2018-12-06,118.72
121,2018-12-04,117.55
122,2018-12-03,121.96
123,2018-11-30,119.36
124,2018-11-29,118.37
125,2018-11-28,118.48
