,Date,NAV
1,2019-05-30,77.66
2,2019-05-29,77.45
3,2019-05-28,77.93
4,2019-05-24,78.17
5,2019-05-23,77.25
6,2019-05-22,79.35
7,2019-05-21,79.84
8,2019-05-20,78.81
9,2019-05-17,80.38
10,2019-05-16,82.13
11,2019-05-15,82.25
12,2019-05-14,81.56
13,2019-05-13,80.40
14,2019-05-10,84.07
15,2019-05-09,84.17
16,2019-05-08,84.46
17,2019-05-07,85.75
18,2019-05-06,86.25
19,2019-05-03,86.69
20,2019-05-02,85.28
21,2019-05-01,85.90
22,2019-04-30,85.45
23,2019-04-29,85.06
24,2019-04-26,84.91
25,2019-04-25,84.57
26,2019-04-24,86.03
27,2019-04-23,85.66
28,2019-04-22,84.37
29,2019-04-18,84.40
30,2019-04-17,85.04
31,2019-04-16,85.23
32,2019-04-15,84.41
33,2019-04-12,84.39
34,2019-04-11,83.85
35,2019-04-10,84.03
36,2019-04-09,83.05
37,2019-04-08,83.42
38,2019-04-05,83.32
39,2019-04-04,82.58
40,2019-04-03,82.66
41,2019-04-02,81.89
42,2019-04-01,81.52
43,2019-03-29,80.23
44,2019-03-28,79.33
45,2019-03-27,79.03
46,2019-03-26,79.38
47,2019-03-25,79.08
48,2019-03-22,79.22
49,2019-03-21,82.40
50,2019-03-20,80.80
51,2019-03-19,81.31
52,2019-03-18,81.51
53,2019-03-15,81.58
54,2019-03-14,80.89
55,2019-03-13,81.19
56,2019-03-12,80.99
57,2019-03-11,80.88
58,2019-03-08,79.19
59,2019-03-07,79.15
60,2019-03-06,80.17
61,2019-03-05,81.68
62,2019-03-04,82.20
63,2019-03-01,83.07
64,2019-02-28,82.80
65,2019-02-27,83.34
66,2019-02-26,83.97
67,2019-02-25,84.33
68,2019-02-22,83.81
69,2019-02-21,82.88
70,2019-02-20,83.20
71,2019-02-19,82.25
72,2019-02-15,82.00
73,2019-02-14,80.86
74,2019-02-13,80.34
75,2019-02-12,79.97
76,2019-02-11,78.82
77,2019-02-08,78.33
78,2019-02-07,78.03
79,2019-02-06,79.31
80,2019-02-05,78.59
81,2019-02-04,78.59
82,2019-02-01,77.73
83,2019-01-31,77.60
84,2019-01-30,76.40
85,2019-01-29,75.59
86,2019-01-28,75.90
87,2019-01-25,76.29
88,2019-01-24,74.46
89,2019-01-23,72.61
90,2019-01-22,72.86
91,2019-01-18,74.41
92,2019-01-17,73.44
93,2019-01-16,73.04
94,2019-01-15,72.94
95,2019-01-14,72.44
96,2019-01-11,73.46
97,2019-01-10,72.89
98,2019-01-09,72.10
99,2019-01-08,71.09
100,2019-01-07,70.42
101,2019-01-04,69.05
102,2019-01-03,66.57
103,2019-01-02,69.36
104,2018-12-31,69.02
105,2018-12-28,68.47
