,Date,NAV
1,2019-05-30,92.89
2,2019-05-29,92.49
3,2019-05-28,93.73
4,2019-05-24,93.49
5,2019-05-23,92.70
6,2019-05-22,94.80
7,2019-05-21,94.71
8,2019-05-20,93.69
9,2019-05-17,95.26
10,2019-05-16,96.37
11,2019-05-15,94.40
12,2019-05-14,93.05
13,2019-05-13,91.26
14,2019-05-10,94.91
15,2019-05-09,94.86
16,2019-05-08,95.22
17,2019-05-07,94.60
18,2019-05-06,96.90
19,2019-05-03,96.71
20,2019-05-02,95.76
21,2019-05-01,95.39
22,2019-04-30,96.16
23,2019-04-29,95.93
24,2019-04-26,95.43
25,2019-04-25,94.37
26,2019-04-24,94.06
27,2019-04-23,93.74
28,2019-04-22,92.23
29,2019-04-18,90.79
30,2019-04-17,91.34
31,2019-04-16,92.76
32,2019-04-15,93.36
33,2019-04-12,93.48
34,2019-04-11,93.42
35,2019-04-10,93.30
36,2019-04-09,92.15
37,2019-04-08,91.69
38,2019-04-05,91.55
39,2019-04-04,91.05
40,2019-04-03,93.20
41,2019-04-02,92.83
42,2019-04-01,92.23
43,2019-03-29,91.42
44,2019-03-28,90.15
45,2019-03-27,89.06
46,2019-03-26,90.63
47,2019-03-25,90.36
48,2019-03-22,90.23
49,2019-03-21,93.41
50,2019-03-20,91.29
51,2019-03-19,91.30
52,2019-03-18,90.68
53,2019-03-15,90.24
54,2019-03-14,89.99
55,2019-03-13,89.42
56,2019-03-12,88.88
57,2019-03-11,88.49
58,2019-03-08,86.51
59,2019-03-07,86.16
60,2019-03-06,85.97
61,2019-03-05,86.86
62,2019-03-04,86.78
63,2019-03-01,88.81
64,2019-02-28,88.09
65,2019-02-27,88.03
66,2019-02-26,87.90
67,2019-02-25,88.00
68,2019-02-22,87.99
69,2019-02-21,86.26
70,2019-02-20,86.67
71,2019-02-19,87.40
72,2019-02-15,87.49
73,2019-02-14,86.84
74,2019-02-13,86.16
75,2019-02-12,86.17
76,2019-02-11,84.97
77,2019-02-08,85.37
78,2019-02-07,83.64
79,2019-02-06,83.90
80,2019-02-05,85.89
81,2019-02-04,85.43
82,2019-02-01,84.23
83,2019-01-31,84.10
84,2019-01-30,81.91
85,2019-01-29,80.13
86,2019-01-28,81.20
87,2019-01-25,81.78
88,2019-01-24,80.54
89,2019-01-23,80.02
90,2019-01-22,80.32
91,2019-01-18,81.65
92,2019-01-17,80.19
93,2019-01-16,79.32
94,2019-01-15,79.17
95,2019-01-14,77.61
96,2019-01-11,78.38
97,2019-01-10,78.55
98,2019-01-09,78.21
99,2019-01-08,77.68
100,2019-01-07,76.26
101,2019-01-04,74.29
102,2019-01-03,71.25
103,2019-01-02,73.50
104,2018-12-31,73.90
105,2018-12-28,73.15
106,2018-12-27,73.31
107,2018-12-26,72.22
108,2018-12-24,68.31
109,2018-12-21,69.50
110,2018-12-20,72.04
111,2018-12-19,73.67
112,2018-12-18,74.54
113,2018-12-17,73.99
114,2018-12-14,76.60
115,2018-12-13,78.55
116,2018-12-12,79.18
117,2018-12-11,77.93
118,2018-12-10,77.56
119,2018-12-07,76.32
120,2018-12-06,79.08
121,2018-12-04,77.51
122,2018-12-03,80.64
123,2018-11-30,79.52
124,2018-11-29,78.45
125,2018-11-28,77.91
126,2018-11-27,74.02
127,2018-11-26,74.61
128,2018-11-23,72.55
129,2018-11-21,72.24
130,2018-11-20,70.87
131,2018-11-19,71.70
132,2018-11-16,76.85
133,2018-11-15,76.92
134,2018-11-14,75.06
135,2018-11-13,75.57
136,2018-11-12,75.45
137,2018-11-09,77.41
138,2018-11-08,79.27
139,2018-11-07,79.78
140,2018-11-06,75.18
141,2018-11-05,75.46
142,2018-11-02,76.23
143,2018-11-01,77.00
144,2018-10-31,76.07
145,2018-10-30,73.76
146,2018-10-29,73.22
147,2018-10-26,73.67
148,2018-10-25,75.52
149,2018-10-24,73.45
150,2018-10-23,77.10
151,2018-10-22,77.70
152,2018-10-19,76.42
153,2018-10-18,78.62
154,2018-10-17,80.27
155,2018-10-16,80.37
156,2018-10-15,77.01
157,2018-10-12,77.70
158,2018-10-11,74.88
159,2018-10-10,75.91
160,2018-10-09,79.94
161,2018-10-08,80.08
162,2018-10-05,82.32
163,2018-10-04,82.90
164,2018-10-03,85.17
165,2018-10-02,84.60
166,2018-10-01,86.02
167,2018-09-28,87.08
168,2018-09-27,86.81
169,2018-09-26,86.27
170,2018-09-25,86.92
171,2018-09-24,85.72
172,2018-09-21,85.15
173,2018-09-20,85.94
174,2018-09-19,85.27
175,2018-09-18,86.96
176,2018-09-17,86.21
177,2018-09-14,88.71
178,2018-09-13,88.41
179,2018-09-12,87.84
180,2018-09-11,87.58
181,2018-09-10,86.74
182,2018-09-07,85.68
183,2018-09-06,85.22
184,2018-09-05,84.60
185,2018-09-04,87.03
186,2018-08-31,86.65
187,2018-08-30,86.28
188,2018-08-29,86.56
189,2018-08-28,85.70
190,2018-08-27,85.37
191,2018-08-24,85.15
192,2018-08-23,83.62
193,2018-08-22,83.32
194,2018-08-21,82.35
195,2018-08-20,81.72
196,2018-08-17,81.54
197,2018-08-16,81.61
198,2018-08-15,81.23
199,2018-08-14,82.32
200,2018-08-13,81.57
201,2018-08-10,81.81
202,2018-08-09,81.68
203,2018-08-08,81.14
204,2018-08-07,80.88
205,2018-08-06,80.80
206,2018-08-03,79.75
207,2018-08-02,80.12
208,2018-08-01,78.63
209,2018-07-31,77.14
210,2018-07-30,77.03
211,2018-07-27,79.48
212,2018-07-26,81.84
213,2018-07-25,81.55
214,2018-07-24,80.28
215,2018-07-23,81.36
216,2018-07-20,81.00
217,2018-07-19,81.33
218,2018-07-18,81.62
219,2018-07-17,81.54
220,2018-07-16,80.59
221,2018-07-13,81.01
222,2018-07-12,81.02
223,2018-07-11,79.11
224,2018-07-10,79.08
225,2018-07-09,79.28
226,2018-07-06,78.97
227,2018-07-05,77.77
228,2018-07-03,77.21
229,2018-07-02,77.25
230,2018-06-29,76.32
231,2018-06-28,75.96
232,2018-06-27,74.71
233,2018-06-26,76.70
234,2018-06-25,75.77
235,2018-06-22,77.72
236,2018-06-21,79.47
237,2018-06-20,80.92
238,2018-06-19,80.81
239,2018-06-18,81.44
240,2018-06-15,80.72
241,2018-06-14,80.73
242,2018-06-13,79.75
243,2018-06-12,79.44
244,2018-06-11,78.45
245,2018-06-08,78.26
246,2018-06-07,77.59
247,2018-06-06,79.35
248,2018-06-05,79.16
249,2018-06-04,78.32
250,2018-06-01,77.51
251,2018-05-31,76.54
252,2018-05-30,76.42
253,2018-05-29,75.75
254,2018-05-25,75.69
255,2018-05-24,75.39
256,2018-05-23,74.93
257,2018-05-22,74.13
258,2018-05-21,74.75
259,2018-05-18,75.01
260,2018-05-17,74.34
261,2018-05-16,74.09
262,2018-05-15,73.82
263,2018-05-14,74.23
264,2018-05-11,75.33
265,2018-05-10,75.62
266,2018-05-09,74.94
267,2018-05-08,73.93
268,2018-05-07,73.36
269,2018-05-04,72.52
270,2018-05-03,71.74
271,2018-05-02,71.20
272,2018-05-01,71.46
273,2018-04-30,70.98
274,2018-04-27,70.95
275,2018-04-26,71.24
276,2018-04-25,69.82
277,2018-04-24,70.25
278,2018-04-23,71.42
279,2018-04-20,71.68
280,2018-04-19,72.56
281,2018-04-18,73.04
282,2018-04-17,72.85
283,2018-04-16,70.97
284,2018-04-13,70.08
285,2018-04-12,70.98
286,2018-04-11,69.93
287,2018-04-10,70.21
288,2018-04-09,68.97
289,2018-04-06,68.56
290,2018-04-05,69.86
291,2018-04-04,69.63
292,2018-04-03,68.35
293,2018-04-02,67.91
294,2018-03-29,69.41
295,2018-03-28,68.16
296,2018-03-27,68.49
297,2018-03-26,70.92
298,2018-03-23,68.78
299,2018-03-22,70.43
300,2018-03-21,72.15
301,2018-03-20,72.00
302,2018-03-19,71.10
303,2018-03-16,71.80
304,2018-03-15,72.04
305,2018-03-14,72.13
306,2018-03-13,72.31
307,2018-03-12,72.94
308,2018-03-09,72.94
309,2018-03-08,72.16
310,2018-03-07,72.14
311,2018-03-06,71.45
312,2018-03-05,71.45
313,2018-03-02,70.33
314,2018-03-01,69.06
315,2018-02-28,69.67
316,2018-02-27,70.02
317,2018-02-26,70.75
318,2018-02-23,70.16
319,2018-02-22,68.64
320,2018-02-21,69.45
321,2018-02-20,68.93
322,2018-02-16,68.56
323,2018-02-15,68.28
324,2018-02-14,66.68
325,2018-02-13,65.77
326,2018-02-12,65.16
327,2018-02-09,63.83
328,2018-02-08,64.46
329,2018-02-07,66.30
330,2018-02-06,65.74
331,2018-02-05,65.07
332,2018-02-02,67.15
333,2018-02-01,68.31
334,2018-01-31,68.84
335,2018-01-30,68.30
336,2018-01-29,68.71
337,2018-01-26,69.29
338,2018-01-25,67.89
339,2018-01-24,67.81
340,2018-01-23,68.54
341,2018-01-22,68.30
342,2018-01-19,67.79
343,2018-01-18,67.03
344,2018-01-17,67.14
345,2018-01-16,66.46
346,2018-01-12,67.51
347,2018-01-11,67.04
348,2018-01-10,65.58
349,2018-01-09,65.78
350,2018-01-08,65.97
351,2018-01-05,65.68
352,2018-01-04,65.18
353,2018-01-03,64.79
354,2018-01-02,64.02
355,2017-12-29,63.50
356,2017-12-28,63.63
357,2017-12-27,63.71
358,2017-12-26,63.56
359,2017-12-22,63.74
360,2017-12-21,64.18
