,Date,NAV
1,2019-05-30,56.06
2,2019-05-29,55.84
3,2019-05-28,56.66
4,2019-05-24,56.99
5,2019-05-23,56.81
6,2019-05-22,58.17
7,2019-05-21,58.54
8,2019-05-20,57.82
9,2019-05-17,58.86
10,2019-05-16,59.38
11,2019-05-15,58.46
12,2019-05-14,58.34
13,2019-05-13,57.14
14,2019-05-10,59.51
15,2019-05-09,59.80
16,2019-05-08,60.32
17,2019-05-07,60.33
18,2019-05-06,61.82
19,2019-05-03,62.23
20,2019-05-02,62.06
21,2019-05-01,62.14
22,2019-04-30,63.13
23,2019-04-29,63.15
24,2019-04-26,62.71
25,2019-04-25,62.60
26,2019-04-24,62.78
27,2019-04-23,62.75
28,2019-04-22,61.75
29,2019-04-18,61.19
30,2019-04-17,61.71
31,2019-04-16,61.77
32,2019-04-15,61.13
33,2019-04-12,60.79
34,2019-04-11,60.34
35,2019-04-10,60.31
36,2019-04-09,59.58
37,2019-04-08,59.58
38,2019-04-05,59.17
39,2019-04-04,59.00
40,2019-04-03,60.24
41,2019-04-02,59.92
42,2019-04-01,59.59
43,2019-03-29,58.96
44,2019-03-28,58.36
45,2019-03-27,58.18
46,2019-03-26,58.92
47,2019-03-25,58.23
48,2019-03-22,58.17
49,2019-03-21,59.96
50,2019-03-20,58.81
51,2019-03-19,58.85
52,2019-03-18,58.73
53,2019-03-15,58.57
54,2019-03-14,58.40
55,2019-03-13,58.07
56,2019-03-12,57.70
57,2019-03-11,57.94
58,2019-03-08,56.33
59,2019-03-07,56.50
60,2019-03-06,56.68
61,2019-03-05,57.20
62,2019-03-04,57.56
63,2019-03-01,58.67
64,2019-02-28,58.14
65,2019-02-27,58.52
66,2019-02-26,57.93
67,2019-02-25,57.86
68,2019-02-22,57.53
69,2019-02-21,56.86
70,2019-02-20,56.80
71,2019-02-19,56.65
72,2019-02-15,56.46
73,2019-02-14,56.41
74,2019-02-13,55.46
75,2019-02-12,55.90
76,2019-02-11,55.37
77,2019-02-08,54.84
78,2019-02-07,53.85
79,2019-02-06,54.62
80,2019-02-05,54.69
81,2019-02-04,54.37
82,2019-02-01,53.79
83,2019-01-31,53.24
84,2019-01-30,52.43
85,2019-01-29,51.68
86,2019-01-28,51.69
87,2019-01-25,51.73
88,2019-01-24,50.94
89,2019-01-23,50.64
90,2019-01-22,50.18
91,2019-01-18,50.80
92,2019-01-17,50.32
93,2019-01-16,50.11
94,2019-01-15,50.34
95,2019-01-14,49.50
96,2019-01-11,50.19
97,2019-01-10,50.12
98,2019-01-09,49.97
99,2019-01-08,49.60
100,2019-01-07,48.73
101,2019-01-04,47.78
102,2019-01-03,46.23
103,2019-01-02,47.86
104,2018-12-31,48.27
105,2018-12-28,47.79
106,2018-12-27,47.52
107,2018-12-26,47.23
108,2018-12-24,45.19
109,2018-12-21,45.92
110,2018-12-20,47.25
111,2018-12-19,48.23
112,2018-12-18,48.95
113,2018-12-17,48.31
114,2018-12-14,50.26
115,2018-12-13,51.23
116,2018-12-12,51.40
117,2018-12-11,50.53
118,2018-12-10,50.66
119,2018-12-07,49.91
120,2018-12-06,51.11
121,2018-12-04,50.80
122,2018-12-03,52.48
123,2018-11-30,51.43
124,2018-11-29,51.47
125,2018-11-28,50.81
126,2018-11-27,49.31
127,2018-11-26,49.74
128,2018-11-23,49.04
129,2018-11-21,48.86
130,2018-11-20,48.12
131,2018-11-19,49.43
132,2018-11-16,51.73
133,2018-11-15,51.78
134,2018-11-14,50.78
135,2018-11-13,50.92
136,2018-11-12,51.00
137,2018-11-09,52.82
138,2018-11-08,53.65
139,2018-11-07,53.62
140,2018-11-06,51.93
141,2018-11-05,51.50
142,2018-11-02,51.98
143,2018-11-01,52.48
144,2018-10-31,51.95
145,2018-10-30,50.53
146,2018-10-29,49.72
147,2018-10-26,50.32
148,2018-10-25,51.26
149,2018-10-24,51.00
150,2018-10-23,51.84
151,2018-10-22,52.46
152,2018-10-19,51.26
153,2018-10-18,52.09
154,2018-10-17,52.71
155,2018-10-16,52.83
156,2018-10-15,51.35
157,2018-10-12,51.55
158,2018-10-11,50.90
159,2018-10-10,51.41
160,2018-10-09,53.03
161,2018-10-08,53.55
162,2018-10-05,54.72
163,2018-10-04,55.29
164,2018-10-03,56.38
165,2018-10-02,55.97
166,2018-10-01,56.76
167,2018-09-28,57.45
168,2018-09-27,57.39
169,2018-09-26,57.42
170,2018-09-25,57.65
171,2018-09-24,57.34
172,2018-09-21,57.08
173,2018-09-20,57.05
174,2018-09-19,56.46
175,2018-09-18,57.26
176,2018-09-17,57.08
177,2018-09-14,58.20
178,2018-09-13,58.04
179,2018-09-12,57.95
180,2018-09-11,57.69
181,2018-09-10,57.55
182,2018-09-07,57.22
183,2018-09-06,56.73
184,2018-09-05,56.85
185,2018-09-04,57.84
186,2018-08-31,57.87
187,2018-08-30,57.40
188,2018-08-29,57.39
189,2018-08-28,57.22
190,2018-08-27,56.86
191,2018-08-24,56.90
192,2018-08-23,55.91
193,2018-08-22,55.38
194,2018-08-21,55.02
195,2018-08-20,54.88
196,2018-08-17,54.85
197,2018-08-16,54.73
198,2018-08-15,54.14
199,2018-08-14,54.46
200,2018-08-13,54.39
201,2018-08-10,54.55
202,2018-08-09,55.15
203,2018-08-08,54.32
204,2018-08-07,54.26
205,2018-08-06,54.20
206,2018-08-03,53.35
207,2018-08-02,53.43
208,2018-08-01,52.59
209,2018-07-31,52.10
210,2018-07-30,52.48
211,2018-07-27,54.02
212,2018-07-26,55.59
213,2018-07-25,54.87
214,2018-07-24,54.24
215,2018-07-23,54.92
216,2018-07-20,55.26
217,2018-07-19,55.30
218,2018-07-18,55.49
219,2018-07-17,55.43
220,2018-07-16,54.78
221,2018-07-13,54.97
222,2018-07-12,55.38
223,2018-07-11,53.94
224,2018-07-10,53.93
225,2018-07-09,53.47
226,2018-07-06,53.54
227,2018-07-05,52.90
228,2018-07-03,52.47
229,2018-07-02,52.59
230,2018-06-29,51.95
231,2018-06-28,51.76
232,2018-06-27,51.19
233,2018-06-26,52.24
234,2018-06-25,51.72
235,2018-06-22,52.99
236,2018-06-21,54.12
237,2018-06-20,54.54
238,2018-06-19,54.10
239,2018-06-18,54.61
240,2018-06-15,54.45
241,2018-06-14,54.56
242,2018-06-13,54.09
243,2018-06-12,53.85
244,2018-06-11,53.15
245,2018-06-08,53.00
246,2018-06-07,52.87
247,2018-06-06,53.51
248,2018-06-05,53.18
249,2018-06-04,52.87
250,2018-06-01,52.51
251,2018-05-31,51.69
252,2018-05-30,52.00
253,2018-05-29,51.69
254,2018-05-25,51.91
255,2018-05-24,51.46
256,2018-05-23,51.76
257,2018-05-22,51.37
258,2018-05-21,51.52
259,2018-05-18,51.49
260,2018-05-17,51.32
261,2018-05-16,51.24
262,2018-05-15,51.24
263,2018-05-14,51.39
264,2018-05-11,51.60
265,2018-05-10,51.84
266,2018-05-09,51.26
267,2018-05-08,51.12
268,2018-05-07,50.82
269,2018-05-04,50.17
270,2018-05-03,49.64
271,2018-05-02,50.02
272,2018-05-01,49.53
273,2018-04-30,49.47
274,2018-04-27,49.41
