,Date,NAV
1,2019-05-30,176.77
2,2019-05-29,176.03
3,2019-05-28,177.49
4,2019-05-24,178.16
5,2019-05-23,178.25
6,2019-05-22,181.02
7,2019-05-21,181.83
8,2019-05-20,179.95
9,2019-05-17,183.04
10,2019-05-16,184.93
11,2019-05-15,183.09
12,2019-05-14,180.54
13,2019-05-13,178.58
14,2019-05-10,185.00
15,2019-05-09,184.77
16,2019-05-08,185.77
17,2019-05-07,186.24
18,2019-05-06,189.94
19,2019-05-03,191.11
20,2019-05-02,188.11
21,2019-05-01,188.93
22,2019-04-30,189.54
23,2019-04-29,191.02
24,2019-04-26,190.65
25,2019-04-25,190.48
26,2019-04-24,189.71
27,2019-04-23,190.31
28,2019-04-22,187.92
29,2019-04-18,187.39
30,2019-04-17,187.15
31,2019-04-16,186.50
32,2019-04-15,185.86
33,2019-04-12,185.83
34,2019-04-11,185.03
35,2019-04-10,185.47
36,2019-04-09,184.48
37,2019-04-08,185.13
38,2019-04-05,184.66
39,2019-04-04,183.71
40,2019-04-03,183.78
41,2019-04-02,182.73
42,2019-04-01,182.04
43,2019-03-29,179.66
44,2019-03-28,178.31
45,2019-03-27,177.90
46,2019-03-26,179.05
47,2019-03-25,178.22
48,2019-03-22,178.56
49,2019-03-21,182.57
50,2019-03-20,179.76
51,2019-03-19,179.05
52,2019-03-18,178.45
53,2019-03-15,178.03
54,2019-03-14,176.39
55,2019-03-13,176.69
56,2019-03-12,175.37
57,2019-03-11,174.41
58,2019-03-08,170.86
59,2019-03-07,171.12
60,2019-03-06,173.24
61,2019-03-05,174.23
62,2019-03-04,174.10
63,2019-03-01,174.07
64,2019-02-28,172.88
65,2019-02-27,173.27
66,2019-02-26,173.38
67,2019-02-25,173.20
68,2019-02-22,172.58
69,2019-02-21,171.31
70,2019-02-20,171.94
71,2019-02-19,171.97
72,2019-02-15,171.63
73,2019-02-14,170.91
74,2019-02-13,170.70
75,2019-02-12,170.58
76,2019-02-11,168.09
77,2019-02-08,168.25
78,2019-02-07,167.92
79,2019-02-06,170.21
80,2019-02-05,170.72
81,2019-02-04,169.22
82,2019-02-01,167.15
83,2019-01-31,167.85
84,2019-01-30,165.38
85,2019-01-29,161.28
86,2019-01-28,162.81
87,2019-01-25,164.85
88,2019-01-24,162.90
89,2019-01-23,161.86
90,2019-01-22,161.65
91,2019-01-18,164.95
92,2019-01-17,163.33
93,2019-01-16,162.06
94,2019-01-15,162.09
95,2019-01-14,158.98
96,2019-01-11,160.40
97,2019-01-10,160.99
98,2019-01-09,160.53
99,2019-01-08,159.23
100,2019-01-07,157.80
101,2019-01-04,155.95
102,2019-01-03,149.55
103,2019-01-02,154.60
104,2018-12-31,153.98
105,2018-12-28,152.69
106,2018-12-27,152.77
107,2018-12-26,152.18
108,2018-12-24,143.24
109,2018-12-21,146.88
110,2018-12-20,151.58
111,2018-12-19,153.81
112,2018-12-18,157.68
113,2018-12-17,156.70
114,2018-12-14,160.33
115,2018-12-13,164.33
116,2018-12-12,164.28
117,2018-12-11,162.85
118,2018-12-10,162.31
119,2018-12-07,160.63
120,2018-12-06,166.11
121,2018-12-04,164.95
122,2018-12-03,171.53
123,2018-11-30,168.58
124,2018-11-29,167.37
125,2018-11-28,167.91
126,2018-11-27,162.68
127,2018-11-26,162.13
128,2018-11-23,158.47
129,2018-11-21,159.62
130,2018-11-20,158.42
131,2018-11-19,161.30
132,2018-11-16,166.72
133,2018-11-15,167.31
134,2018-11-14,164.43
135,2018-11-13,165.69
136,2018-11-12,165.55
137,2018-11-09,170.72
138,2018-11-08,173.65
139,2018-11-07,174.76
140,2018-11-06,169.45
141,2018-11-05,168.17
142,2018-11-02,168.59
143,2018-11-01,171.26
144,2018-10-31,169.03
145,2018-10-30,165.15
146,2018-10-29,162.47
147,2018-10-26,165.88
148,2018-10-25,170.26
149,2018-10-24,164.57
150,2018-10-23,172.46
151,2018-10-22,173.10
152,2018-10-19,172.21
153,2018-10-18,172.37
154,2018-10-17,176.46
155,2018-10-16,176.39
156,2018-10-15,171.41
157,2018-10-12,173.51
158,2018-10-11,168.81
159,2018-10-10,170.93
160,2018-10-09,178.79
161,2018-10-08,178.21
162,2018-10-05,179.31
163,2018-10-04,181.53
164,2018-10-03,185.08
165,2018-10-02,184.88
166,2018-10-01,185.30
167,2018-09-28,184.92
168,2018-09-27,184.96
169,2018-09-26,183.41
170,2018-09-25,183.28
171,2018-09-24,183.03
172,2018-09-21,182.52
173,2018-09-20,183.53
174,2018-09-19,181.52
175,2018-09-18,181.66
176,2018-09-17,180.17
177,2018-09-14,182.80
178,2018-09-13,183.34
179,2018-09-12,181.40
180,2018-09-11,181.94
181,2018-09-10,180.55
182,2018-09-07,179.94
183,2018-09-06,180.64
184,2018-09-05,182.27
185,2018-09-04,184.65
186,2018-08-31,185.45
187,2018-08-30,185.21
188,2018-08-29,185.54
189,2018-08-28,183.42
190,2018-08-27,183.15
191,2018-08-24,181.30
192,2018-08-23,179.63
193,2018-08-22,179.89
194,2018-08-21,179.20
195,2018-08-20,178.54
196,2018-08-17,178.70
197,2018-08-16,178.66
198,2018-08-15,178.07
199,2018-08-14,180.28
200,2018-08-13,179.16
201,2018-08-10,179.36
202,2018-08-09,180.74
203,2018-08-08,180.85
204,2018-08-07,180.63
205,2018-08-06,179.97
206,2018-08-03,178.92
207,2018-08-02,178.37
208,2018-08-01,175.98
209,2018-07-31,175.31
210,2018-07-30,173.98
211,2018-07-27,176.47
212,2018-07-26,178.89
213,2018-07-25,181.64
214,2018-07-24,179.14
215,2018-07-23,178.40
216,2018-07-20,177.84
217,2018-07-19,177.87
218,2018-07-18,178.77
219,2018-07-17,179.11
220,2018-07-16,178.02
221,2018-07-13,178.45
222,2018-07-12,178.30
223,2018-07-11,175.28
224,2018-07-10,176.18
225,2018-07-09,176.05
226,2018-07-06,174.48
227,2018-07-05,171.80
228,2018-07-03,169.70
229,2018-07-02,171.69
230,2018-06-29,170.54
231,2018-06-28,170.09
232,2018-06-27,168.63
233,2018-06-26,170.96
234,2018-06-25,170.26
235,2018-06-22,174.19
236,2018-06-21,174.58
237,2018-06-20,176.11
238,2018-06-19,174.86
239,2018-06-18,175.36
240,2018-06-15,175.46
241,2018-06-14,176.08
242,2018-06-13,174.31
243,2018-06-12,174.32
244,2018-06-11,173.41
245,2018-06-08,172.94
246,2018-06-07,172.93
247,2018-06-06,174.35
