,Date,NAV
1,2019-05-30,105.46
2,2019-05-29,104.49
3,2019-05-28,106.07
4,2019-05-24,106.71
5,2019-05-23,107.01
6,2019-05-22,110.85
7,2019-05-21,112.06
8,2019-05-20,109.36
9,2019-05-17,113.70
10,2019-05-16,116.13
11,2019-05-15,114.16
12,2019-05-14,110.61
13,2019-05-13,108.05
14,2019-05-10,117.31
15,2019-05-09,116.91
16,2019-05-08,118.53
17,2019-05-07,119.18
18,2019-05-06,124.75
19,2019-05-03,126.43
20,2019-05-02,123.23
21,2019-05-01,124.38
22,2019-04-30,125.39
23,2019-04-29,127.94
24,2019-04-26,127.30
25,2019-04-25,128.00
26,2019-04-24,126.68
27,2019-04-23,127.01
28,2019-04-22,123.78
29,2019-04-18,122.50
30,2019-04-17,121.93
31,2019-04-16,120.99
32,2019-04-15,119.76
33,2019-04-12,119.76
34,2019-04-11,118.28
35,2019-04-10,118.41
36,2019-04-09,116.64
37,2019-04-08,117.42
38,2019-04-05,116.76
39,2019-04-04,116.13
40,2019-04-03,116.64
41,2019-04-02,114.88
42,2019-04-01,113.53
43,2019-03-29,110.44
44,2019-03-28,108.37
45,2019-03-27,108.07
46,2019-03-26,109.82
47,2019-03-25,109.06
48,2019-03-22,110.08
49,2019-03-21,115.49
50,2019-03-20,110.76
51,2019-03-19,110.36
52,2019-03-18,109.48
53,2019-03-15,109.04
54,2019-03-14,107.53
55,2019-03-13,107.68
56,2019-03-12,106.41
57,2019-03-11,105.02
58,2019-03-08,100.49
59,2019-03-07,100.42
60,2019-03-06,102.76
61,2019-03-05,103.81
62,2019-03-04,103.86
63,2019-03-01,104.00
64,2019-02-28,102.59
65,2019-02-27,103.36
66,2019-02-26,103.51
67,2019-02-25,103.26
68,2019-02-22,102.10
69,2019-02-21,99.42
70,2019-02-20,100.10
71,2019-02-19,100.05
72,2019-02-15,99.68
73,2019-02-14,98.99
74,2019-02-13,98.45
75,2019-02-12,98.48
76,2019-02-11,95.79
77,2019-02-08,95.90
78,2019-02-07,94.83
79,2019-02-06,98.03
80,2019-02-05,98.14
81,2019-02-04,96.31
82,2019-02-01,93.17
83,2019-01-31,92.75
84,2019-01-30,90.33
85,2019-01-29,85.02
86,2019-01-28,87.22
87,2019-01-25,89.54
88,2019-01-24,86.85
89,2019-01-23,85.43
90,2019-01-22,85.17
91,2019-01-18,88.50
92,2019-01-17,85.85
93,2019-01-16,84.72
94,2019-01-15,84.82
95,2019-01-14,81.71
96,2019-01-11,83.18
97,2019-01-10,83.67
98,2019-01-09,83.10
99,2019-01-08,81.52
100,2019-01-07,79.72
101,2019-01-04,78.50
102,2019-01-03,71.84
103,2019-01-02,79.21
104,2018-12-31,78.77
105,2018-12-28,77.75
106,2018-12-27,78.02
107,2018-12-26,76.99
108,2018-12-24,68.34
109,2018-12-21,71.88
110,2018-12-20,77.01
111,2018-12-19,79.70
112,2018-12-18,83.53
113,2018-12-17,81.65
114,2018-12-14,85.81
115,2018-12-13,89.89
116,2018-12-12,89.79
117,2018-12-11,87.98
118,2018-12-10,87.37
119,2018-12-07,84.93
120,2018-12-06,91.25
121,2018-12-04,90.33
122,2018-12-03,97.94
123,2018-11-30,94.41
124,2018-11-29,92.78
125,2018-11-28,93.47
126,2018-11-27,87.69
127,2018-11-26,87.70
128,2018-11-23,83.81
129,2018-11-21,85.31
130,2018-11-20,83.70
131,2018-11-19,86.51
132,2018-11-16,94.09
133,2018-11-15,94.66
134,2018-11-14,90.54
135,2018-11-13,92.20
136,2018-11-12,91.83
137,2018-11-09,98.66
138,2018-11-08,102.29
139,2018-11-07,103.50
140,2018-11-06,98.02
141,2018-11-05,96.47
142,2018-11-02,97.55
143,2018-11-01,101.55
144,2018-10-31,99.49
145,2018-10-30,94.65
146,2018-10-29,91.63
147,2018-10-26,95.24
148,2018-10-25,99.83
149,2018-10-24,93.45
150,2018-10-23,103.35
151,2018-10-22,103.98
152,2018-10-19,102.12
153,2018-10-18,103.05
154,2018-10-17,107.72
155,2018-10-16,108.49
156,2018-10-15,102.34
157,2018-10-12,105.36
158,2018-10-11,99.79
159,2018-10-10,101.57
160,2018-10-09,111.96
161,2018-10-08,111.48
162,2018-10-05,113.92
163,2018-10-04,116.79
164,2018-10-03,121.56
165,2018-10-02,120.35
166,2018-10-01,120.71
167,2018-09-28,120.38
168,2018-09-27,120.17
169,2018-09-26,118.09
170,2018-09-25,118.83
171,2018-09-24,118.82
172,2018-09-21,117.22
173,2018-09-20,118.48
174,2018-09-19,115.85
175,2018-09-18,116.39
176,2018-09-17,114.99
177,2018-09-14,118.52
178,2018-09-13,118.53
179,2018-09-12,115.80
180,2018-09-11,117.35
181,2018-09-10,115.56
182,2018-09-07,114.96
183,2018-09-06,115.63
184,2018-09-05,118.04
185,2018-09-04,121.74
186,2018-08-31,122.51
187,2018-08-30,122.24
188,2018-08-29,122.79
189,2018-08-28,120.47
190,2018-08-27,119.83
191,2018-08-24,117.49
192,2018-08-23,114.92
193,2018-08-22,114.58
194,2018-08-21,113.58
195,2018-08-20,113.03
196,2018-08-17,113.41
197,2018-08-16,113.08
198,2018-08-15,112.73
199,2018-08-14,115.06
200,2018-08-13,113.72
201,2018-08-10,114.02
202,2018-08-09,116.11
203,2018-08-08,115.94
204,2018-08-07,115.20
205,2018-08-06,114.73
206,2018-08-03,112.92
207,2018-08-02,112.25
208,2018-08-01,108.87
209,2018-07-31,106.68
210,2018-07-30,105.83
211,2018-07-27,109.43
212,2018-07-26,114.17
213,2018-07-25,117.86
214,2018-07-24,114.63
215,2018-07-23,113.92
216,2018-07-20,112.56
217,2018-07-19,112.75
218,2018-07-18,113.38
219,2018-07-17,113.58
220,2018-07-16,111.87
221,2018-07-13,112.51
222,2018-07-12,112.46
223,2018-07-11,108.46
224,2018-07-10,109.90
225,2018-07-09,109.46
226,2018-07-06,107.75
227,2018-07-05,105.00
228,2018-07-03,101.95
229,2018-07-02,104.60
230,2018-06-29,102.45
231,2018-06-28,102.39
232,2018-06-27,100.45
233,2018-06-26,103.60
234,2018-06-25,102.81
235,2018-06-22,107.46
236,2018-06-21,108.71
237,2018-06-20,110.85
238,2018-06-19,110.15
239,2018-06-18,111.56
240,2018-06-15,111.06
241,2018-06-14,112.00
242,2018-06-13,110.60
243,2018-06-12,111.24
244,2018-06-11,109.93
245,2018-06-08,109.77
246,2018-06-07,109.99
247,2018-06-06,112.26
248,2018-06-05,111.58
249,2018-06-04,110.53
250,2018-06-01,108.81
251,2018-05-31,104.98
252,2018-05-30,104.92
253,2018-05-29,103.38
254,2018-05-25,104.66
255,2018-05-24,104.41
256,2018-05-23,104.68
257,2018-05-22,102.99
258,2018-05-21,103.38
259,2018-05-18,101.69
260,2018-05-17,102.66
261,2018-05-16,103.71
262,2018-05-15,102.81
263,2018-05-14,104.71
264,2018-05-11,104.65
265,2018-05-10,105.63
266,2018-05-09,102.99
267,2018-05-08,100.05
268,2018-05-07,99.61
269,2018-05-04,97.76
270,2018-05-03,94.06
271,2018-05-02,93.71
272,2018-05-01,93.67
273,2018-04-30,91.34
274,2018-04-27,92.58
275,2018-04-26,92.96
276,2018-04-25,89.24
277,2018-04-24,89.37
278,2018-04-23,93.03
279,2018-04-20,93.80
280,2018-04-19,96.80
281,2018-04-18,99.14
282,2018-04-17,100.02
283,2018-04-16,95.93
284,2018-04-13,94.56
285,2018-04-12,95.45
286,2018-04-11,93.04
287,2018-04-10,93.68
288,2018-04-09,89.06
289,2018-04-06,87.96
290,2018-04-05,92.33
291,2018-04-04,91.73
292,2018-04-03,89.08
293,2018-04-02,87.12
294,2018-03-29,92.04
295,2018-03-28,88.24
296,2018-03-27,89.84
297,2018-03-26,96.88
298,2018-03-23,89.58
299,2018-03-22,94.67
300,2018-03-21,99.85
301,2018-03-20,100.86
302,2018-03-19,101.17
303,2018-03-16,105.80
304,2018-03-15,106.12
305,2018-03-14,106.25
306,2018-03-13,106.31
307,2018-03-12,109.13
308,2018-03-09,108.08
309,2018-03-08,103.64
310,2018-03-07,103.21
311,2018-03-06,101.72
312,2018-03-05,101.16
313,2018-03-02,99.02
314,2018-03-01,96.94
315,2018-02-28,100.29
316,2018-02-27,101.67
317,2018-02-26,103.25
318,2018-02-23,100.09
319,2018-02-22,96.06
320,2018-02-21,96.10
321,2018-02-20,97.01
322,2018-02-16,96.51
323,2018-02-15,97.10
324,2018-02-14,93.41
325,2018-02-13,89.65
326,2018-02-12,89.10
327,2018-02-09,85.87
328,2018-02-08,81.82
329,2018-02-07,89.45
330,2018-02-06,91.63
331,2018-02-05,86.94
332,2018-02-02,94.39
333,2018-02-01,100.38
334,2018-01-31,100.39
335,2018-01-30,99.03
336,2018-01-29,101.22
337,2018-01-26,102.96
338,2018-01-25,99.56
339,2018-01-24,100.53
340,2018-01-23,102.43
341,2018-01-22,100.84
342,2018-01-19,99.09
343,2018-01-18,98.96
344,2018-01-17,98.82
345,2018-01-16,95.71
346,2018-01-12,96.78
347,2018-01-11,95.50
348,2018-01-10,94.54
349,2018-01-09,95.24
350,2018-01-08,95.83
351,2018-01-05,94.86
352,2018-01-04,93.13
353,2018-01-03,92.31
354,2018-01-02,90.34
355,2017-12-29,87.42
356,2017-12-28,88.48
357,2017-12-27,88.63
358,2017-12-26,88.09
359,2017-12-22,89.86
360,2017-12-21,89.96
361,2017-12-20,90.75
362,2017-12-19,90.82
363,2017-12-18,91.70
364,2017-12-15,89.66
365,2017-12-14,87.55
366,2017-12-13,87.72
367,2017-12-12,87.87
368,2017-12-11,88.40
369,2017-12-08,86.83
370,2017-12-07,86.19
371,2017-12-06,85.13
372,2017-12-05,83.81
373,2017-12-04,83.84
374,2017-12-01,86.84
375,2017-11-30,87.85
376,2017-11-29,86.62
377,2017-11-28,91.26
378,2017-11-27,91.48
379,2017-11-24,91.44
380,2017-11-22,90.20
381,2017-11-21,90.89
382,2017-11-20,88.60
383,2017-11-17,87.73
384,2017-11-16,88.94
385,2017-11-15,86.26
386,2017-11-14,87.69
387,2017-11-13,88.16
388,2017-11-10,88.09
389,2017-11-09,88.15
390,2017-11-08,89.84
391,2017-11-07,89.06
392,2017-11-06,89.13
393,2017-11-03,88.21
394,2017-11-02,86.48
395,2017-11-01,86.24
396,2017-10-31,86.73
397,2017-10-30,85.76
398,2017-10-27,85.02
399,2017-10-26,80.35
400,2017-10-25,79.60
401,2017-10-24,80.37
402,2017-10-23,79.77
403,2017-10-20,80.70
404,2017-10-19,79.41
405,2017-10-18,80.17
406,2017-10-17,79.54
407,2017-10-16,79.56
408,2017-10-13,78.79
409,2017-10-12,78.17
410,2017-10-11,78.24
411,2017-10-10,77.18
412,2017-10-09,77.29
413,2017-10-06,76.85
414,2017-10-05,76.51
415,2017-10-04,74.85
416,2017-10-03,75.12
417,2017-10-02,74.69
418,2017-09-29,74.60
419,2017-09-28,73.41
420,2017-09-27,73.68
421,2017-09-26,71.49
422,2017-09-25,70.90
423,2017-09-22,72.86
424,2017-09-21,73.12
425,2017-09-20,73.76
426,2017-09-19,74.78
427,2017-09-18,74.46
428,2017-09-15,73.99
429,2017-09-14,73.58
430,2017-09-13,74.41
431,2017-09-12,74.20
432,2017-09-11,74.08
433,2017-09-08,72.15
434,2017-09-07,73.40
435,2017-09-06,73.07
436,2017-09-05,72.85
437,2017-09-01,74.17
438,2017-08-31,74.38
439,2017-08-30,72.93
440,2017-08-29,71.81
441,2017-08-28,71.06
442,2017-08-25,70.68
443,2017-08-24,70.85
444,2017-08-23,71.28
445,2017-08-22,71.34
446,2017-08-21,69.22
447,2017-08-18,69.40
448,2017-08-17,69.40
449,2017-08-16,72.47
450,2017-08-15,72.03
451,2017-08-14,71.80
452,2017-08-11,69.45
453,2017-08-10,68.30
454,2017-08-09,71.38
455,2017-08-08,71.52
456,2017-08-07,71.70
457,2017-08-04,70.85
458,2017-08-03,70.30
459,2017-08-02,70.89
460,2017-08-01,70.24
461,2017-07-31,69.64
462,2017-07-28,70.38
463,2017-07-27,70.52
464,2017-07-26,72.03
465,2017-07-25,72.22
466,2017-07-24,72.61
467,2017-07-21,71.95
468,2017-07-20,72.28
469,2017-07-19,72.36
470,2017-07-18,71.49
471,2017-07-17,70.85
472,2017-07-14,70.79
473,2017-07-13,69.56
474,2017-07-12,69.06
475,2017-07-11,67.33
476,2017-07-10,66.89
477,2017-07-07,65.58
478,2017-07-06,64.00
479,2017-07-05,65.29
480,2017-07-03,63.70
481,2017-06-30,65.12
482,2017-06-29,65.11
483,2017-06-28,67.64
484,2017-06-27,66.03
485,2017-06-26,68.43
486,2017-06-23,69.40
487,2017-06-22,68.35
488,2017-06-21,68.07
489,2017-06-20,67.02
490,2017-06-19,68.10
491,2017-06-16,65.81
492,2017-06-15,66.34
493,2017-06-14,66.76
494,2017-06-13,67.85
495,2017-06-12,66.59
496,2017-06-09,67.75
497,2017-06-08,72.22
498,2017-06-07,71.70
499,2017-06-06,71.28
500,2017-06-05,71.52
501,2017-06-02,71.28
502,2017-06-01,69.65
503,2017-05-31,69.27
504,2017-05-30,69.92
505,2017-05-26,69.46
506,2017-05-25,69.49
507,2017-05-24,68.31
508,2017-05-23,67.81
509,2017-05-22,67.71
510,2017-05-19,66.54
511,2017-05-18,65.87
512,2017-05-17,64.78
513,2017-05-16,69.07
514,2017-05-15,68.10
515,2017-05-12,67.29
516,2017-05-11,66.90
517,2017-05-10,67.10
518,2017-05-09,66.57
519,2017-05-08,66.57
520,2017-05-05,65.97
521,2017-05-04,65.32
522,2017-05-03,65.29
523,2017-05-02,65.33
524,2017-05-01,65.14
525,2017-04-28,63.82
526,2017-04-27,63.52
527,2017-04-26,62.62
528,2017-04-25,63.13
529,2017-04-24,62.24
530,2017-04-21,60.47
531,2017-04-20,60.68
532,2017-04-19,59.66
533,2017-04-18,59.67
534,2017-04-17,59.51
535,2017-04-13,59.03
536,2017-04-12,59.10
537,2017-04-11,59.42
538,2017-04-10,60.10
539,2017-04-07,60.55
540,2017-04-06,60.62
541,2017-04-05,60.49
542,2017-04-04,60.96
543,2017-04-03,60.72
544,2017-03-31,61.14
545,2017-03-30,61.03
546,2017-03-29,61.08
547,2017-03-28,60.72
548,2017-03-27,59.90
549,2017-03-24,59.72
550,2017-03-23,59.57
551,2017-03-22,59.89
552,2017-03-21,59.05
553,2017-03-20,60.82
554,2017-03-17,61.00
555,2017-03-16,60.54
556,2017-03-15,60.40
557,2017-03-14,59.64
558,2017-03-13,59.90
559,2017-03-10,59.59
560,2017-03-09,59.14
561,2017-03-08,59.25
562,2017-03-07,58.89
563,2017-03-06,59.00
564,2017-03-03,58.94
565,2017-03-02,58.92
566,2017-03-01,59.82
567,2017-02-28,58.10
568,2017-02-27,58.87
569,2017-02-24,58.49
570,2017-02-23,58.55
571,2017-02-22,59.12
572,2017-02-21,58.87
573,2017-02-17,58.20
574,2017-02-16,57.85
575,2017-02-15,57.57
576,2017-02-14,57.04
577,2017-02-13,56.81
578,2017-02-10,56.16
579,2017-02-09,55.96
580,2017-02-08,55.76
581,2017-02-07,55.29
582,2017-02-06,54.86
583,2017-02-03,54.62
584,2017-02-02,53.95
585,2017-02-01,54.02
586,2017-01-31,52.40
587,2017-01-30,53.31
588,2017-01-27,54.43
589,2017-01-26,53.98
590,2017-01-25,53.99
591,2017-01-24,52.81
592,2017-01-23,51.77
593,2017-01-20,51.51
594,2017-01-19,51.38
595,2017-01-18,51.31
596,2017-01-17,51.02
597,2017-01-13,51.53
598,2017-01-12,51.14
599,2017-01-11,51.45
600,2017-01-10,50.91
601,2017-01-09,50.82
602,2017-01-06,50.57
603,2017-01-05,49.64
604,2017-01-04,49.52
605,2017-01-03,48.96
606,2016-12-30,48.27
607,2016-12-29,49.26
608,2016-12-28,49.40
609,2016-12-27,50.33
610,2016-12-23,49.75
611,2016-12-22,49.63
612,2016-12-21,50.22
613,2016-12-20,50.24
614,2016-12-19,50.04
615,2016-12-16,49.26
616,2016-12-15,50.16
617,2016-12-14,49.85
618,2016-12-13,50.09
619,2016-12-12,48.46
620,2016-12-09,49.12
621,2016-12-08,48.52
622,2016-12-07,48.04
623,2016-12-06,46.34
624,2016-12-05,46.08
625,2016-12-02,45.33
626,2016-12-01,44.98
627,2016-11-30,47.27
628,2016-11-29,48.21
629,2016-11-28,48.18
630,2016-11-25,47.79
631,2016-11-23,47.79
632,2016-11-22,48.23
633,2016-11-21,48.10
634,2016-11-18,47.17
635,2016-11-17,47.09
636,2016-11-16,46.74
637,2016-11-15,45.93
638,2016-11-14,44.48
639,2016-11-11,45.85
640,2016-11-10,45.09
641,2016-11-09,46.94
642,2016-11-08,46.94
643,2016-11-07,46.47
644,2016-11-04,44.36
645,2016-11-03,44.64
646,2016-11-02,45.57
647,2016-11-01,46.21
648,2016-10-31,47.06
649,2016-10-28,46.90
650,2016-10-27,47.03
651,2016-10-26,47.38
652,2016-10-25,48.08
653,2016-10-24,48.46
654,2016-10-21,47.21
655,2016-10-20,46.78
656,2016-10-19,46.98
657,2016-10-18,46.98
658,2016-10-17,46.38
659,2016-10-14,46.59
660,2016-10-13,46.30
661,2016-10-12,46.85
662,2016-10-11,46.93
663,2016-10-10,48.05
664,2016-10-07,47.46
665,2016-10-06,47.64
666,2016-10-05,47.65
667,2016-10-04,47.00
668,2016-10-03,47.11
