,Date,NAV
1,2019-05-30,15.81
2,2019-05-29,16.08
3,2019-05-28,15.81
4,2019-05-24,15.66
5,2019-05-23,15.65
6,2019-05-22,14.88
7,2019-05-21,14.62
8,2019-05-20,15.18
9,2019-05-17,14.41
10,2019-05-16,14.04
11,2019-05-15,14.47
12,2019-05-14,14.96
13,2019-05-13,15.72
14,2019-05-10,14.13
15,2019-05-09,14.23
16,2019-05-08,13.96
17,2019-05-07,13.88
18,2019-05-06,13.04
19,2019-05-03,12.74
20,2019-05-02,13.12
21,2019-05-01,12.91
22,2019-04-30,12.79
23,2019-04-29,12.88
24,2019-04-26,12.87
25,2019-04-25,12.73
26,2019-04-24,12.72
27,2019-04-23,12.72
28,2019-04-22,13.14
29,2019-04-18,13.23
30,2019-04-17,13.33
31,2019-04-16,13.57
32,2019-04-15,13.75
33,2019-04-12,13.74
34,2019-04-11,14.04
35,2019-04-10,13.96
36,2019-04-09,14.28
37,2019-04-08,14.07
38,2019-04-05,14.24
39,2019-04-04,14.42
40,2019-04-03,14.23
41,2019-04-02,14.58
42,2019-04-01,14.73
43,2019-03-29,15.38
44,2019-03-28,15.83
45,2019-03-27,15.98
46,2019-03-26,15.74
47,2019-03-25,15.99
48,2019-03-22,15.81
49,2019-03-21,14.73
50,2019-03-20,15.95
51,2019-03-19,15.79
52,2019-03-18,15.90
53,2019-03-15,16.10
54,2019-03-14,16.69
55,2019-03-13,16.81
56,2019-03-12,17.15
57,2019-03-11,17.44
58,2019-03-08,18.63
59,2019-03-07,18.62
60,2019-03-06,18.10
61,2019-03-05,17.82
62,2019-03-04,17.66
63,2019-03-01,17.45
64,2019-02-28,17.82
65,2019-02-27,17.65
66,2019-02-26,17.61
67,2019-02-25,17.71
68,2019-02-22,17.94
69,2019-02-21,18.67
70,2019-02-20,18.67
71,2019-02-19,18.73
72,2019-02-15,18.75
73,2019-02-14,19.21
74,2019-02-13,19.26
75,2019-02-12,19.38
76,2019-02-11,20.17
77,2019-02-08,20.15
78,2019-02-07,20.48
79,2019-02-06,19.64
80,2019-02-05,19.85
81,2019-02-04,20.37
82,2019-02-01,21.39
83,2019-01-31,21.76
84,2019-01-30,21.65
85,2019-01-29,23.88
86,2019-01-28,23.14
87,2019-01-25,22.26
88,2019-01-24,23.20
89,2019-01-23,23.85
90,2019-01-22,24.08
91,2019-01-18,22.91
92,2019-01-17,24.00
93,2019-01-16,24.48
94,2019-01-15,24.51
95,2019-01-14,25.67
96,2019-01-11,24.96
97,2019-01-10,24.81
98,2019-01-09,25.15
99,2019-01-08,26.11
100,2019-01-07,26.82
101,2019-01-04,27.58
102,2019-01-03,31.77
103,2019-01-02,27.58
104,2018-12-31,27.58
105,2018-12-28,28.40
106,2018-12-27,28.16
107,2018-12-26,28.88
108,2018-12-24,35.00
109,2018-12-21,32.52
110,2018-12-20,29.89
111,2018-12-19,27.99
112,2018-12-18,26.61
113,2018-12-17,27.38
114,2018-12-14,25.71
115,2018-12-13,23.94
116,2018-12-12,24.04
117,2018-12-11,24.63
118,2018-12-10,24.73
119,2018-12-07,25.80
120,2018-12-06,23.29
121,2018-12-04,23.44
122,2018-12-03,21.05
123,2018-11-30,22.53
124,2018-11-29,23.18
125,2018-11-28,22.57
126,2018-11-27,25.16
127,2018-11-26,25.34
128,2018-11-23,27.17
129,2018-11-21,26.41
130,2018-11-20,26.90
131,2018-11-19,25.30
132,2018-11-16,22.69
133,2018-11-15,22.65
134,2018-11-14,24.46
135,2018-11-13,23.52
136,2018-11-12,23.62
137,2018-11-09,21.36
138,2018-11-08,20.37
139,2018-11-07,20.26
140,2018-11-06,22.14
141,2018-11-05,22.61
142,2018-11-02,22.53
143,2018-11-01,21.29
144,2018-10-31,22.09
145,2018-10-30,23.72
146,2018-10-29,24.48
147,2018-10-26,23.34
148,2018-10-25,22.11
149,2018-10-24,24.48
150,2018-10-23,21.61
151,2018-10-22,21.38
152,2018-10-19,21.91
153,2018-10-18,21.90
154,2018-10-17,20.64
155,2018-10-16,20.38
156,2018-10-15,22.39
157,2018-10-12,21.38
158,2018-10-11,23.54
159,2018-10-10,22.61
160,2018-10-09,19.83
161,2018-10-08,20.04
162,2018-10-05,19.39
163,2018-10-04,18.63
164,2018-10-03,17.75
165,2018-10-02,17.90
166,2018-10-01,17.90
167,2018-09-28,18.15
168,2018-09-27,18.36
169,2018-09-26,18.66
170,2018-09-25,18.46
171,2018-09-24,18.42
172,2018-09-21,18.59
173,2018-09-20,18.43
174,2018-09-19,19.08
175,2018-09-18,18.91
176,2018-09-17,19.30
177,2018-09-14,18.56
178,2018-09-13,18.57
179,2018-09-12,19.20
180,2018-09-11,18.98
181,2018-09-10,19.47
182,2018-09-07,19.67
183,2018-09-06,19.46
184,2018-09-05,19.07
185,2018-09-04,18.32
186,2018-08-31,18.12
187,2018-08-30,18.18
188,2018-08-29,18.02
189,2018-08-28,18.51
190,2018-08-27,18.61
191,2018-08-24,19.12
192,2018-08-23,19.73
193,2018-08-22,19.81
194,2018-08-21,19.95
195,2018-08-20,20.07
196,2018-08-17,19.95
197,2018-08-16,20.10
198,2018-08-15,20.32
199,2018-08-14,19.80
200,2018-08-13,20.15
201,2018-08-10,20.05
202,2018-08-09,19.60
203,2018-08-08,19.65
204,2018-08-07,19.78
205,2018-08-06,19.98
206,2018-08-03,20.36
207,2018-08-02,20.55
208,2018-08-01,21.39
209,2018-07-31,21.94
210,2018-07-30,22.11
211,2018-07-27,21.16
212,2018-07-26,20.07
213,2018-07-25,19.26
214,2018-07-24,19.96
215,2018-07-23,20.33
216,2018-07-20,20.59
217,2018-07-19,20.63
218,2018-07-18,20.37
219,2018-07-17,20.28
220,2018-07-16,20.75
221,2018-07-13,20.55
222,2018-07-12,20.50
223,2018-07-11,21.59
224,2018-07-10,21.25
225,2018-07-09,21.43
226,2018-07-06,21.91
227,2018-07-05,22.72
228,2018-07-03,23.72
229,2018-07-02,22.89
230,2018-06-29,23.55
231,2018-06-28,23.46
232,2018-06-27,24.35
233,2018-06-26,23.38
234,2018-06-25,23.66
235,2018-06-22,22.28
236,2018-06-21,22.08
237,2018-06-20,21.56
238,2018-06-19,21.74
239,2018-06-18,21.35
240,2018-06-15,21.42
241,2018-06-14,21.26
242,2018-06-13,21.62
243,2018-06-12,21.29
244,2018-06-11,21.63
245,2018-06-08,21.64
246,2018-06-07,21.67
247,2018-06-06,21.08
248,2018-06-05,21.44
249,2018-06-04,21.72
250,2018-06-01,22.23
251,2018-05-31,23.42
252,2018-05-30,23.46
253,2018-05-29,23.98
254,2018-05-25,23.52
255,2018-05-24,23.51
256,2018-05-23,23.44
257,2018-05-22,23.99
258,2018-05-21,23.85
259,2018-05-18,24.45
260,2018-05-17,24.13
261,2018-05-16,23.82
262,2018-05-15,24.12
263,2018-05-14,23.45
264,2018-05-11,23.39
265,2018-05-10,23.30
266,2018-05-09,24.27
267,2018-05-08,25.20
268,2018-05-07,25.31
269,2018-05-04,25.86
270,2018-05-03,27.43
271,2018-05-02,27.60
272,2018-05-01,27.51
273,2018-04-30,28.65
274,2018-04-27,28.07
275,2018-04-26,27.92
276,2018-04-25,29.52
277,2018-04-24,29.48
278,2018-04-23,28.04
279,2018-04-20,27.76
280,2018-04-19,26.59
281,2018-04-18,25.72
282,2018-04-17,25.56
283,2018-04-16,27.09
284,2018-04-13,27.67
285,2018-04-12,27.37
286,2018-04-11,28.46
