,Date,NAV
1,2019-05-30,33.83
2,2019-05-29,33.39
3,2019-05-28,33.06
4,2019-05-24,33.91
5,2019-05-23,34.41
6,2019-05-22,35.41
7,2019-05-21,36.89
8,2019-05-20,35.46
9,2019-05-17,38.39
10,2019-05-16,39.90
11,2019-05-15,41.13
12,2019-05-14,40.55
13,2019-05-13,38.91
14,2019-05-10,42.55
15,2019-05-09,42.61
16,2019-05-08,44.17
17,2019-05-07,45.29
18,2019-05-06,47.40
19,2019-05-03,48.79
20,2019-05-02,47.81
21,2019-05-01,47.24
22,2019-04-30,47.85
23,2019-04-29,47.38
24,2019-04-26,47.88
25,2019-04-25,50.39
26,2019-04-24,52.31
27,2019-04-23,51.63
28,2019-04-22,50.74
29,2019-04-18,50.57
30,2019-04-17,50.68
31,2019-04-16,49.00
32,2019-04-15,46.44
33,2019-04-12,47.11
34,2019-04-11,45.98
35,2019-04-10,45.97
36,2019-04-09,45.12
37,2019-04-08,46.07
38,2019-04-05,45.88
39,2019-04-04,45.44
40,2019-04-03,45.34
41,2019-04-02,43.55
42,2019-04-01,43.47
43,2019-03-29,41.71
44,2019-03-28,40.59
45,2019-03-27,40.64
46,2019-03-26,41.69
47,2019-03-25,40.71
48,2019-03-22,41.76
49,2019-03-21,44.13
50,2019-03-20,41.56
51,2019-03-19,42.40
52,2019-03-18,41.37
53,2019-03-15,41.53
54,2019-03-14,39.18
55,2019-03-13,39.79
56,2019-03-12,39.13
57,2019-03-11,38.86
58,2019-03-08,37.13
59,2019-03-07,37.12
60,2019-03-06,38.06
61,2019-03-05,39.33
62,2019-03-04,39.66
63,2019-03-01,39.39
64,2019-02-28,38.77
65,2019-02-27,38.79
66,2019-02-26,39.49
67,2019-02-25,39.84
68,2019-02-22,39.30
69,2019-02-21,38.31
70,2019-02-20,38.88
71,2019-02-19,38.37
72,2019-02-15,38.57
73,2019-02-14,38.09
74,2019-02-13,37.77
75,2019-02-12,37.29
76,2019-02-11,35.74
77,2019-02-08,35.45
78,2019-02-07,35.53
79,2019-02-06,37.18
80,2019-02-05,35.54
81,2019-02-04,35.10
82,2019-02-01,34.57
83,2019-01-31,33.66
84,2019-01-30,33.73
85,2019-01-29,32.14
86,2019-01-28,32.99
87,2019-01-25,34.57
88,2019-01-24,34.12
89,2019-01-23,30.95
90,2019-01-22,31.47
91,2019-01-18,33.26
92,2019-01-17,31.89
93,2019-01-16,31.27
94,2019-01-15,31.79
95,2019-01-14,31.55
96,2019-01-11,32.42
97,2019-01-10,31.77
98,2019-01-09,31.06
99,2019-01-08,29.73
100,2019-01-07,30.03
101,2019-01-04,29.01
102,2019-01-03,26.60
103,2019-01-02,30.14
104,2018-12-31,29.54
105,2018-12-28,29.43
106,2018-12-27,28.96
107,2018-12-26,28.49
108,2018-12-24,25.55
109,2018-12-21,27.16
110,2018-12-20,28.05
111,2018-12-19,28.58
112,2018-12-18,31.30
113,2018-12-17,30.45
114,2018-12-14,31.27
115,2018-12-13,32.16
116,2018-12-12,32.15
117,2018-12-11,31.32
118,2018-12-10,31.10
119,2018-12-07,29.97
120,2018-12-06,32.39
121,2018-12-04,32.45
122,2018-12-03,36.15
123,2018-11-30,34.38
124,2018-11-29,33.09
125,2018-11-28,33.69
126,2018-11-27,32.36
127,2018-11-26,32.09
128,2018-11-23,30.81
129,2018-11-21,30.99
130,2018-11-20,31.08
131,2018-11-19,30.96
132,2018-11-16,33.64
133,2018-11-15,35.00
134,2018-11-14,32.91
135,2018-11-13,32.92
136,2018-11-12,31.89
137,2018-11-09,35.27
138,2018-11-08,36.40
139,2018-11-07,36.88
140,2018-11-06,35.85
141,2018-11-05,35.38
142,2018-11-02,35.55
143,2018-11-01,36.91
144,2018-10-31,34.16
145,2018-10-30,33.60
146,2018-10-29,30.68
147,2018-10-26,31.66
148,2018-10-25,32.46
149,2018-10-24,30.86
150,2018-10-23,35.49
151,2018-10-22,36.18
152,2018-10-19,35.74
153,2018-10-18,36.85
154,2018-10-17,38.66
155,2018-10-16,39.05
156,2018-10-15,36.63
157,2018-10-12,37.52
158,2018-10-11,36.13
159,2018-10-10,37.29
160,2018-10-09,40.99
161,2018-10-08,41.17
162,2018-10-05,41.96
163,2018-10-04,44.10
